티로보틱스(117730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-29,14400,15000,11200,13050,4339097,70463.0,5399459.0
2018-11-30,13300,14500,12750,12850,1234072,69383.0,5399459.0
2018-12-03,13000,13100,12100,12400,421120,66953.0,5399459.0
2018-12-04,12400,12600,11800,12200,396527,65873.0,5399459.0
2018-12-05,12000,12450,11800,11950,237174,64524.0,5399459.0
2018-12-06,12000,12250,11600,11650,194664,62904.0,5399459.0
2018-12-07,11900,11900,10950,11150,263874,60204.0,5399459.0
2018-12-10,11000,11200,10600,10800,187019,58314.0,5399459.0
2018-12-11,10900,11100,10300,10850,286938,58584.0,5399459.0
2018-12-12,10850,11400,10550,10750,239285,58044.0,5399459.0
2018-12-13,10900,11250,10700,11050,277753,59664.0,5399459.0
2018-12-14,10950,10950,10000,10050,287016,54265.0,5399459.0
2018-12-17,9970,10150,9500,9560,178240,51619.0,5399459.0
2018-12-18,9250,9440,8990,9080,225178,49027.0,5399459.0
2018-12-19,9150,9350,9000,9170,122959,49513.0,5399459.0
2018-12-20,9130,9670,9020,9250,124164,49945.0,5399459.0
2018-12-21,9210,9710,9150,9470,129314,51133.0,5399459.0
2018-12-24,9470,9780,9410,9530,81618,51457.0,5399459.0
2018-12-26,9230,9360,8990,9000,96937,48595.0,5399459.0
2018-12-27,9100,9250,9030,9030,50452,48757.0,5399459.0
2018-12-28,9160,9590,9090,9450,87991,51025.0,5399459.0
2019-01-02,9700,9710,9240,9420,49754,50863.0,5399459.0
2019-01-03,9400,9560,9090,9150,63418,49405.0,5399459.0
2019-01-04,9050,9910,8930,9520,78335,51403.0,5399459.0
2019-01-07,9610,9690,9400,9410,56231,50809.0,5399459.0
2019-01-08,9410,9470,9230,9270,33084,50053.0,5399459.0
2019-01-09,9290,9630,9250,9480,67181,51187.0,5399459.0
2019-01-10,9670,10050,9450,9490,298298,51241.0,5399459.0
2019-01-11,9630,9830,9460,9650,137266,52105.0,5399459.0
2019-01-14,9730,9980,9590,9700,111882,52375.0,5399459.0
2019-01-15,9720,9770,9560,9590,55152,51781.0,5399459.0
2019-01-16,9580,9600,9380,9450,62804,51025.0,5399459.0
2019-01-17,9460,9550,9250,9340,48333,50431.0,5399459.0
2019-01-18,9350,9350,9190,9280,50956,50107.0,5399459.0
2019-01-21,9340,9630,9300,9550,127793,51565.0,5399459.0
2019-01-22,9840,9850,9540,9710,153297,52429.0,5399459.0
2019-01-23,9700,9830,9570,9650,112206,52105.0,5399459.0
2019-01-24,9700,9820,9610,9650,58549,52105.0,5399459.0
2019-01-25,9650,10150,9640,10100,275240,54535.0,5399459.0
2019-01-28,10050,10450,9980,10150,211495,54805.0,5399459.0
2019-01-29,10200,12400,10050,11800,3564435,63714.0,5399459.0
2019-01-30,11650,13350,11600,12800,1674555,69113.0,5399459.0
2019-01-31,12750,13250,12600,12750,625318,68843.0,5399459.0
2019-02-01,12950,14450,12950,13800,1706524,74513.0,5399459.0
2019-02-07,13800,14000,13250,13900,395196,75052.0,5399459.0
2019-02-08,13700,13850,13050,13400,256472,72353.0,5399459.0
2019-02-11,13400,13850,13300,13550,218784,73163.0,5399459.0
2019-02-12,13550,14200,13400,14150,407586,76402.0,5399459.0
2019-02-13,14500,17400,14000,16400,3152032,88551.0,5399459.0
2019-02-14,16350,16850,15750,16250,628540,87741.0,5399459.0
2019-02-15,16350,16600,15000,15450,619786,83422.0,5399459.0
2019-02-18,15450,16150,15150,15650,480872,84502.0,5399459.0
2019-02-19,15650,16000,15100,15650,279872,84502.0,5399459.0
2019-02-20,15750,16550,15450,15800,471789,85311.0,5399459.0
2019-02-21,15900,16650,15700,16350,388688,88281.0,5399459.0
2019-02-22,16150,16400,15550,16050,222759,86661.0,5399459.0
2019-02-25,16000,16300,15700,15750,161064,85041.0,5399459.0
2019-02-26,15600,15600,14650,15000,395001,80992.0,5399459.0
2019-02-27,15050,15350,14550,14700,259804,79372.0,5399459.0
2019-02-28,14650,14800,13800,13800,325357,74513.0,5399459.0
2019-03-04,14050,14650,13850,14550,207831,78562.0,5399459.0
2019-03-05,14500,14550,14050,14400,110070,77752.0,5399459.0
2019-03-06,14600,15300,14400,15200,345042,82072.0,5399459.0
2019-03-07,15000,15700,14750,14750,214056,79642.0,5399459.0
2019-03-08,14750,15100,14500,14800,131472,79912.0,5399459.0
2019-03-11,14900,16200,14900,15850,562171,85581.0,5399459.0
2019-03-12,16000,16500,15750,16100,243377,86931.0,5399459.0
2019-03-13,16100,16250,15500,15900,179131,85851.0,5399459.0
2019-03-14,16150,16550,15800,16200,236955,87471.0,5399459.0
2019-03-15,16300,18000,16150,16550,996172,89361.0,5399459.0
2019-03-18,16550,17250,16400,16550,248261,89361.0,5399459.0
2019-03-19,16650,16750,15300,15700,441680,84772.0,5399459.0
2019-03-20,15600,15700,14700,15400,193877,83152.0,5399459.0
2019-03-21,15300,16000,14900,15900,282287,85851.0,5399459.0
2019-03-22,15800,15800,15000,15100,273520,81532.0,5399459.0
2019-03-25,14600,17100,14500,15350,1719561,82882.0,5399459.0
2019-03-26,15800,16450,14850,15000,712143,80992.0,5399459.0
2019-03-27,15150,15650,14400,14400,315706,77752.0,5399459.0
2019-03-28,14550,14800,13850,13900,209024,75052.0,5399459.0
2019-03-29,14150,14850,13700,14600,192517,78832.0,5399459.0
2019-04-01,15000,15100,14700,14900,93111,80452.0,5399459.0
2019-04-02,15050,15550,14750,15150,121389,81802.0,5399459.0
2019-04-03,15300,15350,14550,15200,116045,82072.0,5399459.0
2019-04-04,15250,15750,14950,15450,224555,83422.0,5399459.0
2019-04-05,15450,15550,14850,15350,180015,82882.0,5399459.0
2019-04-08,15300,15700,14900,14900,104328,80452.0,5399459.0
2019-04-09,15050,15150,14650,14850,136016,80182.0,5399459.0
2019-04-10,15000,15300,14650,15050,95281,81262.0,5399459.0
2019-04-11,15000,15400,14850,14850,101357,80182.0,5399459.0
2019-04-12,14850,15100,14700,15000,140925,80992.0,5399459.0
2019-04-15,15000,15150,14600,14700,123876,79372.0,5399459.0
2019-04-16,14700,14750,14050,14300,166018,77212.0,5399459.0
2019-04-17,14550,14750,14300,14400,91417,77752.0,5399459.0
2019-04-18,14500,14650,13700,13900,81842,75052.0,5399459.0
2019-04-19,14050,14300,13850,14150,57779,76402.0,5399459.0
2019-04-22,14100,14200,13550,13750,95939,74243.0,5399459.0
2019-04-23,13800,13800,13150,13350,125236,72083.0,5399459.0
2019-04-24,13450,13550,12950,12950,122040,69923.0,5399459.0
2019-04-25,13100,13650,12850,13450,101014,72623.0,5399459.0
2019-04-26,13450,13550,12650,12950,143273,69923.0,5399459.0
2019-04-29,13000,13000,12450,12950,99158,69923.0,5399459.0
2019-04-30,12800,13200,12800,12950,54979,69923.0,5399459.0
2019-05-02,12950,13750,12900,13500,109695,72893.0,5399459.0
2019-05-03,13650,13650,13000,13250,84877,71543.0,5399459.0
2019-05-07,13150,13150,12800,12950,67215,69923.0,5399459.0
2019-05-08,12600,12750,12400,12550,85969,67763.0,5399459.0
2019-05-09,12550,12650,11750,11900,85134,64254.0,5399459.0
2019-05-10,11750,12100,11500,11750,98339,63444.0,5399459.0
2019-05-13,11750,12100,11650,11700,36271,63174.0,5399459.0
2019-05-14,11400,11950,11400,11750,42206,63444.0,5399459.0
2019-05-15,11950,12500,11750,12200,116733,65873.0,5399459.0
2019-05-16,12500,12550,12000,12150,88819,65603.0,5399459.0
2019-05-17,12350,13200,12350,12600,162196,68033.0,5399459.0
