조이맥스(101730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-06-03,55000,63250,46750,46750,612897,317900.0,3400000.0
2009-06-04,41550,42100,39750,39750,1002933,270300.0,3400000.0
2009-06-05,38650,40050,36750,39250,1175720,266900.0,3400000.0
2009-06-08,40500,40700,34500,34500,658155,234600.0,3400000.0
2009-06-09,34500,34900,30250,31600,811267,214880.0,3400000.0
2009-06-10,32150,35400,31850,32300,884685,219640.0,3400000.0
2009-06-11,32800,33200,30700,31200,368512,212160.0,3400000.0
2009-06-12,31450,33350,30850,32950,372927,224060.0,3400000.0
2009-06-15,32699,32800,31250,31800,254573,216240.0,3400000.0
2009-06-16,31100,33000,31100,31500,298529,214200.0,3400000.0
2009-06-17,31799,33050,31600,32700,357285,222360.0,3400000.0
2009-06-18,33200,33600,30700,31200,242279,212160.0,3400000.0
2009-06-19,31500,31550,29150,29350,238375,199580.0,3400000.0
2009-06-22,29500,29600,28350,28550,130796,194140.0,3400000.0
2009-06-23,28049,29100,27049,27600,152045,187680.0,3400000.0
2009-06-24,27799,28100,26500,26700,149860,181560.0,3400000.0
2009-06-25,27000,30200,27000,28600,459849,194480.0,3400000.0
2009-06-26,29000,29550,27900,27900,158310,189720.0,3400000.0
2009-06-29,28100,29049,27750,27750,156958,188700.0,3400000.0
2009-06-30,28200,28350,25700,26300,248441,178840.0,3400000.0
2009-07-01,26850,30200,26550,29550,1100227,200940.0,3400000.0
2009-07-02,30250,31150,29750,30200,382650,205360.0,3400000.0
2009-07-03,29800,34700,29650,34700,740594,235960.0,3400000.0
2009-07-06,35700,37250,33800,34550,906537,234940.0,3400000.0
2009-07-07,34550,35500,33600,35500,579336,241400.0,3400000.0
2009-07-08,34800,35350,32200,33100,431402,225080.0,3400000.0
2009-07-09,33000,33900,31800,32200,260015,218960.0,3400000.0
2009-07-10,32650,34300,32000,33000,460927,224400.0,3400000.0
2009-07-13,32750,33350,30250,30300,220845,206040.0,3400000.0
2009-07-14,31250,31350,28250,28800,260934,195840.0,3400000.0
2009-07-15,29300,29850,28800,29350,148125,199580.0,3400000.0
2009-07-16,29600,30450,27650,28500,209655,193800.0,3400000.0
2009-07-17,28749,29050,27750,28450,136685,193460.0,3400000.0
2009-07-20,28750,29800,28350,29650,174241,201620.0,3400000.0
2009-07-21,29700,30400,29150,29150,131763,198220.0,3400000.0
2009-07-22,29500,29900,28650,28750,96110,195500.0,3400000.0
2009-07-23,29000,29250,28650,28650,74215,194820.0,3400000.0
2009-07-24,29100,29399,28500,28700,95539,195160.0,3400000.0
2009-07-27,28950,30200,28750,30150,152194,205020.0,3400000.0
2009-07-28,30700,30700,29400,29450,122935,200260.0,3400000.0
2009-07-29,29550,29700,28650,28750,100824,195500.0,3400000.0
2009-07-30,28900,29250,28550,28950,55077,196860.0,3400000.0
2009-07-31,28950,29200,28150,28150,146888,191420.0,3400000.0
2009-08-03,28350,28900,28050,28700,108187,195160.0,3400000.0
2009-08-04,29050,29100,27900,27950,124929,190060.0,3400000.0
2009-08-05,28049,28300,27500,27550,105661,187340.0,3400000.0
2009-08-06,27800,27849,27049,27600,119810,187680.0,3400000.0
2009-08-07,27800,27800,27250,27450,43786,186660.0,3400000.0
2009-08-10,27700,29650,27250,28750,269474,195500.0,3400000.0
2009-08-11,29050,30500,28800,29950,256792,203660.0,3400000.0
2009-08-12,29950,30650,29700,30350,201366,206380.0,3400000.0
2009-08-13,30550,30800,29800,30150,184966,205020.0,3400000.0
2009-08-14,30350,30350,28800,29000,145392,197200.0,3400000.0
2009-08-17,28899,29299,27100,27400,136594,186320.0,3400000.0
2009-08-18,26950,28050,26800,27650,81874,188020.0,3400000.0
2009-08-19,27750,27899,27000,27000,66489,183600.0,3400000.0
2009-08-20,27050,27500,26700,26950,63252,183260.0,3400000.0
2009-08-21,27750,28150,27050,27200,106124,184960.0,3400000.0
2009-08-24,27500,27600,26300,26700,106685,181560.0,3400000.0
2009-08-25,26400,27350,26400,26600,58020,180880.0,3400000.0
2009-08-26,26999,28599,26850,27500,190077,187000.0,3400000.0
2009-08-27,27850,27850,26700,26750,83398,181900.0,3400000.0
2009-08-28,26800,28450,26800,28000,134830,190400.0,3400000.0
2009-08-31,28699,31000,28550,30200,360512,205360.0,3400000.0
2009-09-01,30650,31300,29850,31150,217398,211820.0,3400000.0
2009-09-02,30550,31150,30250,31000,131971,210800.0,3400000.0
2009-09-03,31050,31300,30200,30900,101134,210120.0,3400000.0
2009-09-04,31150,32800,30950,31950,254314,217260.0,3400000.0
2009-09-07,31950,32600,29750,29750,641765,202300.0,3400000.0
2009-09-08,30149,30250,28250,28400,266074,193120.0,3400000.0
2009-09-09,28750,28800,27350,27500,141934,187000.0,3400000.0
2009-09-10,27500,28350,27500,27650,92030,188020.0,3400000.0
2009-09-11,27700,28100,27550,27650,88821,188020.0,3400000.0
2009-09-14,27750,28300,27599,27650,90812,188020.0,3400000.0
2009-09-15,27650,27850,26900,27100,159916,184280.0,3400000.0
2009-09-16,27200,27350,26850,27000,78909,183600.0,3400000.0
2009-09-17,27150,27349,26100,26250,188236,178500.0,3400000.0
2009-09-18,26250,27599,26050,27250,130174,185300.0,3400000.0
2009-09-21,26999,27850,26999,27500,147186,187000.0,3400000.0
2009-09-22,28500,28900,27000,27100,211948,92140.0,3400000.0
2009-09-23,27150,27300,26200,26200,114055,89080.0,3400000.0
2009-09-24,26200,26850,26100,26300,70431,89420.0,3400000.0
2009-09-25,26400,27350,26200,26300,94808,89420.0,3400000.0
2009-09-28,26350,26650,25700,25750,55613,87550.0,3400000.0
2009-09-29,25900,26100,25200,25200,55944,85680.0,3400000.0
2009-09-30,25000,25500,24750,24800,44669,84320.0,3400000.0
2009-10-01,24850,25000,23700,23800,63329,80920.0,3400000.0
2009-10-05,23400,24000,22900,22900,38921,77860.0,3400000.0
2009-10-06,23300,23400,22350,22450,41636,76330.0,3400000.0
2009-10-07,22700,23050,22100,23050,45906,78370.0,3400000.0
2009-10-08,23500,24300,22900,23800,54117,80920.0,3400000.0
2009-10-09,23800,24200,23300,24100,46737,81940.0,3400000.0
2009-10-12,24400,24750,24100,24250,51571,82450.0,3400000.0
