동구바이오제약(006620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-02-13,32000,41600,32000,41600,1548539,399526.0,9604000.0
2018-02-14,50700,52600,39450,39450,9160132,378878.0,9604000.0
2018-02-19,38300,40800,37150,38500,1929364,369754.0,9604000.0
2018-02-20,41500,42200,36350,37350,2025081,358709.0,9604000.0
2018-02-21,36500,38200,36000,36700,1025252,352467.0,9604000.0
2018-02-22,36650,37400,34850,34950,755386,335660.0,9604000.0
2018-02-23,35350,35850,33800,34400,593271,330378.0,9604000.0
2018-02-26,34550,35350,34100,35050,700367,336620.0,9604000.0
2018-02-27,37000,44500,36300,41350,7596987,397125.0,9604000.0
2018-02-28,40300,40750,37900,38550,1471403,370234.0,9604000.0
2018-03-02,37500,38000,35750,38000,734512,364952.0,9604000.0
2018-03-05,37700,40500,36800,40000,1642818,384160.0,9604000.0
2018-03-06,39050,41950,38650,40600,1379205,389922.0,9604000.0
2018-03-07,40450,40500,36800,36800,735691,353427.0,9604000.0
2018-03-08,37000,42400,36900,38100,1672687,365912.0,9604000.0
2018-03-09,38400,39750,38000,38250,438248,367353.0,9604000.0
2018-03-12,39200,39900,38850,39050,492697,375036.0,9604000.0
2018-03-13,38800,38850,37800,38100,503778,365912.0,9604000.0
2018-03-14,37650,39300,37550,38200,429239,366873.0,9604000.0
2018-03-15,37900,39600,37650,39600,679995,380318.0,9604000.0
2018-03-16,39800,42900,38950,42500,1309198,408170.0,9604000.0
2018-03-19,41900,45000,40750,43850,1888514,421135.0,9604000.0
2018-03-20,42800,45400,42450,43400,957135,416814.0,9604000.0
2018-03-21,43850,43900,40900,41550,656467,399046.0,9604000.0
2018-03-22,42600,46850,41350,42850,2049262,411531.0,9604000.0
2018-03-23,41300,42200,39850,40000,537160,384160.0,9604000.0
2018-03-26,40000,40400,38350,40000,415937,384160.0,9604000.0
2018-03-27,40700,42300,40300,41200,444631,395685.0,9604000.0
2018-03-28,40600,42800,39850,40850,483015,392323.0,9604000.0
2018-03-29,41300,42150,40750,41000,281320,393764.0,9604000.0
2018-03-30,41900,42800,40900,40900,372113,392804.0,9604000.0
2018-04-02,40950,42200,40550,40950,391102,393284.0,9604000.0
2018-04-03,40950,42200,40950,42200,392903,405289.0,9604000.0
2018-04-04,42600,42650,41450,42600,456978,409130.0,9604000.0
2018-04-05,43150,43500,41300,41400,468450,397606.0,9604000.0
2018-04-06,41550,41800,40000,40000,387709,384160.0,9604000.0
2018-04-09,39550,40250,39100,39800,276384,382239.0,9604000.0
2018-04-10,40300,41200,39900,40450,309105,388482.0,9604000.0
2018-04-11,40550,41900,40300,40300,392921,387041.0,9604000.0
2018-04-12,40400,40800,38900,39300,293712,377437.0,9604000.0
2018-04-13,39500,39600,38450,38950,238686,374076.0,9604000.0
2018-04-16,39100,39150,38350,39000,222419,374556.0,9604000.0
2018-04-17,39150,39200,38000,38100,198252,365912.0,9604000.0
2018-04-18,38150,38700,37700,37700,232678,362071.0,9604000.0
2018-04-19,37400,37500,35250,35300,342407,339021.0,9604000.0
2018-04-20,35350,36050,34800,35550,166133,341422.0,9604000.0
2018-04-23,35650,35750,33000,33100,264057,317892.0,9604000.0
2018-04-24,32700,33600,32700,32850,149775,315491.0,9604000.0
2018-04-25,32500,33300,31950,32300,122441,310209.0,9604000.0
2018-04-26,32600,33850,32600,33350,141106,320293.0,9604000.0
2018-04-27,33950,33950,33250,33550,83345,322214.0,9604000.0
2018-04-30,33550,33550,31000,31050,263014,298204.0,9604000.0
2018-05-02,30450,30800,28900,30350,229093,291481.0,9604000.0
2018-05-03,30750,31000,30000,30100,108902,289080.0,9604000.0
2018-05-04,29900,30100,28800,29200,161461,280437.0,9604000.0
2018-05-08,29250,29700,29150,29300,105968,281397.0,9604000.0
2018-05-09,29000,31200,29000,31100,174568,298684.0,9604000.0
2018-05-10,31600,32700,30700,32300,140886,310209.0,9604000.0
2018-05-11,32350,33350,31950,32750,136829,314531.0,9604000.0
2018-05-14,31500,31750,30250,30400,338253,291962.0,9604000.0
2018-05-15,30800,31050,30200,30500,155661,292922.0,9604000.0
2018-05-16,30850,31250,30500,30800,177406,295803.0,9604000.0
2018-05-17,31100,31100,30150,30450,90873,292442.0,9604000.0
2018-05-18,30750,31400,30600,31100,140177,298684.0,9604000.0
2018-05-21,31100,32250,31100,31600,126059,303486.0,9604000.0
2018-05-23,32100,32250,31200,31500,97598,302526.0,9604000.0
2018-05-24,31700,32150,30850,31550,106484,303006.0,9604000.0
2018-05-25,31850,33000,31700,32200,207204,309249.0,9604000.0
2018-05-28,31500,31900,30750,31200,164802,299645.0,9604000.0
2018-05-29,31250,31500,30500,30600,127686,293882.0,9604000.0
