엠플러스(259630),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-09-20,28350,34850,23100,23400,5426872,119618.0,5111890.0
2017-09-21,24300,25600,21200,22650,1296978,115784.0,5111890.0
2017-09-22,22400,22800,20450,21500,675768,109906.0,5111890.0
2017-09-25,22750,23150,20550,21600,669631,110417.0,5111890.0
2017-09-26,21100,22300,20550,22000,498869,112462.0,5111890.0
2017-09-27,22150,22250,20150,20200,500356,103260.0,5111890.0
2017-09-28,20200,20400,18600,18850,413445,96359.0,5111890.0
2017-09-29,18850,19200,18050,19000,240175,97126.0,5111890.0
2017-10-10,19150,19450,18050,19400,357375,99171.0,5111890.0
2017-10-11,19350,20600,19050,19800,400500,101215.0,5111890.0
2017-10-12,19850,19850,18650,18750,258769,95848.0,5111890.0
2017-10-13,18750,19100,18050,18100,212396,92525.0,5111890.0
2017-10-16,18150,18250,16600,16800,263214,85880.0,5111890.0
2017-10-17,16750,17350,16600,16800,169519,85880.0,5111890.0
2017-10-18,16800,17000,15750,16050,284234,82046.0,5111890.0
2017-10-19,16250,18050,15900,16700,793342,85369.0,5111890.0
2017-10-20,16500,16600,16000,16150,293031,82557.0,5111890.0
2017-10-23,16550,17250,16450,16900,318920,86391.0,5111890.0
2017-10-24,17050,17850,16850,16950,351154,86647.0,5111890.0
2017-10-25,17150,17700,16800,17700,199910,90480.0,5111890.0
2017-10-26,17700,18050,17150,17300,247620,88436.0,5111890.0
2017-10-27,17350,17500,17000,17200,153396,87925.0,5111890.0
2017-10-30,17350,17400,16850,16900,110825,86391.0,5111890.0
2017-10-31,17050,17050,16450,16750,109275,85624.0,5111890.0
2017-11-01,17000,21500,16850,19300,3972969,98659.0,5111890.0
2017-11-02,19150,19500,18400,19500,793428,99682.0,5111890.0
2017-11-03,19400,19950,18450,19300,694028,98659.0,5111890.0
2017-11-06,19250,20950,19100,19900,1006693,101727.0,5111890.0
2017-11-07,20150,21750,19900,21200,1193188,108372.0,5111890.0
2017-11-08,21300,21400,19950,20100,519380,102749.0,5111890.0
2017-11-09,20000,20850,19500,20600,414585,105305.0,5111890.0
2017-11-10,20850,21050,19800,20000,343801,102238.0,5111890.0
2017-11-13,20100,20400,19800,19950,233832,101982.0,5111890.0
2017-11-14,19950,20250,19700,20050,258583,102493.0,5111890.0
2017-11-15,20050,20100,19000,19150,349826,97893.0,5111890.0
2017-11-16,19250,20500,19000,20300,440630,103771.0,5111890.0
2017-11-17,20350,20900,20050,20350,365023,104027.0,5111890.0
2017-11-20,20700,20950,20200,20700,241507,105816.0,5111890.0
2017-11-21,21100,22100,20850,21600,774049,110417.0,5111890.0
2017-11-22,21900,23650,21650,23500,1217644,120129.0,5111890.0
2017-11-23,24400,25150,22800,23400,775401,119618.0,5111890.0
2017-11-24,23400,24200,23050,23550,348212,120385.0,5111890.0
2017-11-27,23850,25100,23650,25100,526245,128308.0,5111890.0
2017-11-28,25100,25250,23700,23700,457730,121152.0,5111890.0
2017-11-29,23350,23850,21950,23150,340503,118340.0,5111890.0
2017-11-30,22900,23050,21950,22000,276674,112462.0,5111890.0
2017-12-01,22350,23450,21650,23450,197766,119874.0,5111890.0
2017-12-04,23500,24250,22650,24250,239725,123963.0,5111890.0
2017-12-05,24000,24750,23600,23950,215891,122430.0,5111890.0
2017-12-06,24050,24600,22650,23000,352138,117573.0,5111890.0
2017-12-07,22750,23000,21300,22000,296297,112462.0,5111890.0
2017-12-08,22300,22300,20950,21100,165941,107861.0,5111890.0
2017-12-11,21100,21300,20250,21000,141944,107350.0,5111890.0
2017-12-12,21100,21550,20550,21400,120916,109394.0,5111890.0
2017-12-13,21550,21800,20850,21000,96191,107350.0,5111890.0
2017-12-14,20900,21400,20750,20900,82440,106839.0,5111890.0
2017-12-15,21200,22450,20650,22000,198701,112462.0,5111890.0
2017-12-18,22150,22450,21600,21750,99244,111184.0,5111890.0
