신한제5호스팩(323230),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-06-19,3860,4500,2750,2805,14672112,12090.0,4310000.0
2019-06-20,2650,3645,2615,3645,22485953,15710.0,4310000.0
2019-06-21,3780,4735,3700,4735,18912569,20408.0,4310000.0
2019-06-24,5100,5110,3550,3675,8742284,15839.0,4310000.0
2019-06-25,3530,3630,2960,3030,5132711,13059.0,4310000.0
2019-06-26,3170,3530,2860,2870,10239917,12370.0,4310000.0
2019-06-27,2930,3040,2650,2710,2412972,11680.0,4310000.0
2019-06-28,2740,2990,2590,2715,2208769,11702.0,4310000.0
2019-07-01,2655,2715,2455,2490,1321744,10732.0,4310000.0
2019-07-02,2505,2635,2400,2470,1479099,10646.0,4310000.0
2019-07-03,2470,2680,2445,2520,1977935,10861.0,4310000.0
2019-07-04,2500,2505,2365,2390,662470,10301.0,4310000.0
2019-07-05,2380,2540,2345,2390,1437522,10301.0,4310000.0
2019-07-08,2380,2430,2265,2265,471656,9762.0,4310000.0
2019-07-09,2265,2305,2200,2245,437696,9676.0,4310000.0
2019-07-10,2250,2290,2230,2235,318562,9633.0,4310000.0
2019-07-11,2250,2270,2225,2245,259369,9676.0,4310000.0
2019-07-12,2245,2290,2215,2265,460895,9762.0,4310000.0
2019-07-15,2260,2270,2180,2215,341654,9547.0,4310000.0
2019-07-16,2185,2210,2110,2120,486285,9137.0,4310000.0
2019-07-17,2120,2245,2120,2135,516757,9202.0,4310000.0
2019-07-18,2165,2285,2135,2195,777897,9460.0,4310000.0
2019-07-19,2165,2210,2145,2170,252417,9353.0,4310000.0
2019-07-22,2195,2480,2165,2220,3619139,9568.0,4310000.0
2019-07-23,2215,2250,2165,2165,658928,9331.0,4310000.0
2019-07-24,2190,2195,2140,2145,378785,9245.0,4310000.0
2019-07-25,2160,2170,2120,2130,238254,9180.0,4310000.0
2019-07-26,2130,2190,2120,2145,324844,9245.0,4310000.0
2019-07-29,2120,2180,2120,2120,231425,9137.0,4310000.0
2019-07-30,2130,2140,2120,2120,94609,9137.0,4310000.0
2019-07-31,2120,2140,2105,2125,270826,9159.0,4310000.0
2019-08-01,2110,2135,2105,2115,142908,9116.0,4310000.0
2019-08-02,2105,2120,2095,2105,161255,9073.0,4310000.0
2019-08-05,2115,2115,2060,2080,253092,8965.0,4310000.0
2019-08-06,2055,2085,2035,2075,240392,8943.0,4310000.0
2019-08-07,2075,2090,2055,2080,111678,8965.0,4310000.0
2019-08-08,2075,2120,2075,2105,89627,9073.0,4310000.0
2019-08-09,2095,2130,2075,2075,51205,8943.0,4310000.0
2019-08-12,2075,2085,2065,2080,50738,8965.0,4310000.0
2019-08-13,2080,2130,2080,2095,83947,9029.0,4310000.0
2019-08-14,2125,2125,2080,2085,85148,8986.0,4310000.0
2019-08-16,2075,2120,2075,2085,45689,8986.0,4310000.0
2019-08-19,2080,2095,2080,2090,28688,9008.0,4310000.0
2019-08-20,2090,2110,2085,2085,41706,8986.0,4310000.0
2019-08-21,2085,2100,2080,2080,32997,8965.0,4310000.0
2019-08-22,2085,2090,2075,2075,50539,8943.0,4310000.0
2019-08-23,2100,2100,2065,2085,44900,8986.0,4310000.0
2019-08-26,2090,2100,2070,2075,71790,8943.0,4310000.0
2019-08-27,2090,2090,2070,2080,26712,8965.0,4310000.0
2019-08-28,2080,2090,2065,2085,72357,8986.0,4310000.0
2019-08-29,2080,2085,2075,2080,43141,8965.0,4310000.0
2019-08-30,2075,2085,2070,2075,46232,8943.0,4310000.0
2019-09-02,2085,2090,2070,2080,29686,8965.0,4310000.0
2019-09-03,2080,2085,2070,2085,29189,8986.0,4310000.0
2019-09-04,2085,2090,2070,2075,17531,8943.0,4310000.0
2019-09-05,2075,2115,2070,2110,68742,9094.0,4310000.0
2019-09-06,2115,2150,2085,2110,41902,9094.0,4310000.0
2019-09-09,2100,2120,2075,2085,29665,8986.0,4310000.0
2019-09-10,2115,2115,2085,2105,26338,9073.0,4310000.0
2019-09-11,2095,2120,2090,2095,11935,9029.0,4310000.0
2019-09-16,2095,2100,2080,2085,69705,8986.0,4310000.0
2019-09-17,2085,2095,2080,2095,37071,9029.0,4310000.0
2019-09-18,2085,2100,2085,2090,49337,9008.0,4310000.0
2019-09-19,2085,2095,2080,2090,23063,9008.0,4310000.0
2019-09-20,2090,2095,2080,2080,47882,8965.0,4310000.0
2019-09-23,2100,2100,2085,2095,17652,9029.0,4310000.0
2019-09-24,2085,2100,2080,2095,19425,9029.0,4310000.0
2019-09-25,2090,2100,2080,2085,23354,8986.0,4310000.0
2019-09-26,2095,2095,2075,2075,36718,8943.0,4310000.0
2019-09-27,2095,2100,2075,2075,30471,8943.0,4310000.0
2019-09-30,2080,2150,2080,2130,82841,9180.0,4310000.0
2019-10-01,2095,2130,2095,2110,23460,9094.0,4310000.0
2019-10-02,2095,2140,2090,2105,14751,9073.0,4310000.0
2019-10-04,2095,2105,2085,2105,26445,9073.0,4310000.0
2019-10-07,2080,2105,2080,2100,15148,9051.0,4310000.0
