엘앤에프(066970),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-01-02,2432,2432,2432,2432,312161,26250.0,8750000.0
2003-01-03,2447,2626,2196,2286,515729,24675.0,8750000.0
2003-01-06,2383,2553,2196,2554,292101,27562.0,8750000.0
2003-01-07,2756,2852,2675,2854,57077,30800.0,8750000.0
2003-01-08,3160,3194,3031,3194,55611,34475.0,8750000.0
2003-01-09,3403,3574,3088,3267,471422,35262.0,8750000.0
2003-01-10,3323,3420,2877,2999,217194,32375.0,8750000.0
2003-01-13,2844,3234,2844,3129,101259,33775.0,8750000.0
2003-01-14,3088,3502,2966,3461,338941,37362.0,8750000.0
2003-01-15,3315,3436,3096,3170,171679,34212.0,8750000.0
2003-01-16,3120,3250,3006,3056,73602,32988.0,8750000.0
2003-01-17,2950,3088,2707,2878,57240,31062.0,8750000.0
2003-01-20,2586,2747,2586,2675,75470,28875.0,8750000.0
2003-01-21,2715,2796,2536,2715,67097,29312.0,8750000.0
2003-01-22,2675,2715,2504,2505,35381,27038.0,8750000.0
2003-01-23,2568,2568,2333,2481,28568,26775.0,8750000.0
2003-01-24,2415,2496,2188,2197,40078,23712.0,8750000.0
2003-01-27,1977,2082,1961,2035,48861,21962.0,8750000.0
2003-01-28,1985,2237,1985,2076,35335,22400.0,8750000.0
2003-01-29,2148,2318,2148,2319,43807,25025.0,8750000.0
2003-01-30,2456,2593,2253,2391,140966,25812.0,8750000.0
2003-02-03,2318,2666,2261,2586,252818,27912.0,8750000.0
2003-02-04,2690,2747,2520,2562,930691,27650.0,8750000.0
2003-02-05,2561,2593,2399,2400,226108,25900.0,8750000.0
2003-02-06,2439,2456,2115,2173,272490,23450.0,8750000.0
2003-02-07,2196,2212,2042,2148,262816,23188.0,8750000.0
2003-02-10,2155,2333,2155,2310,1221120,24938.0,8750000.0
2003-02-11,2432,2528,2075,2384,1550697,25725.0,8750000.0
2003-02-12,2399,2439,2212,2270,518828,24500.0,8750000.0
2003-02-13,2326,2536,2253,2537,1398042,27388.0,8750000.0
2003-02-14,2626,2641,2456,2530,1200242,27300.0,8750000.0
2003-02-17,2593,2722,2577,2675,919152,28875.0,8750000.0
2003-02-18,2682,2682,2432,2432,539358,26250.0,8750000.0
2003-02-19,2513,2521,2269,2270,420052,24500.0,8750000.0
2003-02-20,2269,2505,2269,2449,701637,26425.0,8750000.0
2003-02-21,2407,2487,2318,2359,312570,25462.0,8750000.0
2003-02-24,2407,2634,2407,2635,1030312,28438.0,8750000.0
2003-02-25,2561,2715,2528,2594,985184,28000.0,8750000.0
2003-02-26,2675,2861,2641,2708,1456639,29225.0,8750000.0
2003-02-27,2520,2675,2463,2562,505989,27650.0,8750000.0
2003-02-28,2626,2641,2432,2432,438702,26250.0,8750000.0
2003-03-03,2391,2391,2220,2261,550905,24412.0,8750000.0
2003-03-04,2269,2342,2163,2173,350887,23450.0,8750000.0
2003-03-05,2108,2140,1913,1913,329886,20650.0,8750000.0
2003-03-06,1953,1994,1694,1792,486600,19338.0,8750000.0
2003-03-07,1685,1807,1653,1735,323630,18725.0,8750000.0
2003-03-10,1848,1937,1750,1864,624748,20125.0,8750000.0
2003-03-11,1766,1904,1766,1832,401102,19775.0,8750000.0
