마크로젠(038290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-02-22,5588,5588,5588,5588,15,32160.0,3200000.0
2000-02-23,6254,6254,6254,6255,1,36000.0,3200000.0
2000-02-24,7005,7005,7005,7005,7,40320.0,3200000.0
2000-02-25,7839,7839,7839,7839,0,45120.0,3200000.0
2000-02-28,8756,8756,8756,8757,2,50400.0,3200000.0
2000-02-29,9785,9785,9785,9785,10,56320.0,3200000.0
2000-03-02,10954,10954,10954,10953,3,63040.0,3200000.0
2000-03-03,12259,12259,12259,12259,5,70560.0,3200000.0
2000-03-06,13706,13706,13706,13705,10,78880.0,3200000.0
2000-03-07,15345,15345,15345,15345,58,88320.0,3200000.0
2000-03-08,17180,17180,17180,17180,6,98880.0,3200000.0
2000-03-09,19238,19238,19238,19237,1,110720.0,3200000.0
2000-03-10,21545,21545,21545,21545,10,124000.0,3200000.0
2000-03-13,24130,24130,24130,24130,13,138880.0,3200000.0
2000-03-14,27022,27022,27022,27021,238,155520.0,3200000.0
2000-03-15,30246,30246,30246,30246,2045,174080.0,3200000.0
2000-03-16,33860,33860,33860,33860,1924,194880.0,3200000.0
2000-03-17,37919,37919,37919,37919,1357,218240.0,3200000.0
2000-03-20,42422,42422,42422,42422,1016,244160.0,3200000.0
2000-03-21,47481,47481,47481,47481,11728,273280.0,3200000.0
2000-03-22,53152,53152,53152,53153,16360,305920.0,3200000.0
2000-03-23,59492,59492,59492,59491,213943,342400.0,3200000.0
2000-03-24,66440,66440,66440,66441,7248,382400.0,3200000.0
2000-03-27,74224,74224,74224,74225,41072,427200.0,3200000.0
2000-03-28,83120,83120,83120,83121,310126,478400.0,3200000.0
2000-03-29,92851,92851,88681,92851,932521,534400.0,3200000.0
2000-03-30,90905,102859,85345,92573,1717672,532800.0,3200000.0
2000-03-31,89514,96742,81730,81731,717158,470400.0,3200000.0
2000-04-03,77004,80062,72000,72001,332845,414400.0,3200000.0
2000-04-04,63384,63384,63384,63383,15021,364800.0,3200000.0
2000-04-06,60047,70889,56711,63383,1830837,364800.0,3200000.0
2000-04-07,70888,70888,69498,70889,165922,408000.0,3200000.0
2000-04-10,79228,79228,76726,79229,755696,456000.0,3200000.0
