디티앤씨(187220),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-17,30000,31000,25500,26050,2303450,245844.0,9437374.0
2014-12-18,26800,28200,25500,26550,533728,250562.0,9437374.0
2014-12-19,27400,27600,23950,24750,486187,233575.0,9437374.0
2014-12-22,24750,25000,21100,21500,576847,202904.0,9437374.0
2014-12-23,21500,24700,20900,24700,551889,233103.0,9437374.0
2014-12-24,25300,27300,24400,25500,346944,240653.0,9437374.0
2014-12-26,25500,25800,23050,23200,130192,218947.0,9437374.0
2014-12-29,23800,26450,23000,25150,166887,237350.0,9437374.0
2014-12-30,24500,25700,24050,24100,63251,237483.0,9854054.0
2015-01-02,24500,25100,23350,25100,81677,247337.0,9854054.0
2015-01-05,25000,26050,24450,24450,73923,240932.0,9854054.0
2015-01-06,24150,24150,22450,22700,111965,223687.0,9854054.0
2015-01-07,22850,23200,21900,22350,66148,220238.0,9854054.0
2015-01-08,22300,23250,22150,23200,68020,228614.0,9854054.0
2015-01-09,23250,24400,23050,23200,70645,228614.0,9854054.0
2015-01-12,22850,23450,22250,22350,46863,220238.0,9854054.0
2015-01-13,22650,23500,22200,22800,53763,224672.0,9854054.0
2015-01-14,23200,23700,22450,23550,54042,232063.0,9854054.0
2015-01-15,23200,24150,22350,23750,190357,234034.0,9854054.0
2015-01-16,23950,26850,23100,26100,458205,257191.0,9854054.0
2015-01-19,26100,27800,25500,26650,835624,262611.0,9854054.0
2015-01-20,26300,28300,26200,27750,773895,273450.0,9854054.0
2015-01-21,27700,29800,27450,29550,1104668,291187.0,9854054.0
2015-01-22,29400,29700,27700,28250,552214,278377.0,9854054.0
2015-01-23,28350,28950,27300,28550,276660,281333.0,9854054.0
2015-01-26,28500,28950,27400,28150,432690,277392.0,9854054.0
2015-01-27,28200,29450,28000,28600,397344,281826.0,9854054.0
2015-01-28,28800,29250,28000,28350,184189,279362.0,9854054.0
2015-01-29,28150,28550,26700,26900,291954,265074.0,9854054.0
2015-01-30,27100,27400,26400,26850,111175,264581.0,9854054.0
2015-02-02,26700,28600,26700,28550,388940,281333.0,9854054.0
2015-02-03,28850,29200,28000,28550,311157,281333.0,9854054.0
2015-02-04,28900,28900,27800,28400,158059,279855.0,9854054.0
2015-02-05,28500,28800,27800,27950,151012,275421.0,9854054.0
2015-02-06,28050,28700,27500,28100,196770,276899.0,9854054.0
2015-02-09,28200,28250,27200,27200,135076,268030.0,9854054.0
2015-02-10,26900,27500,25500,26100,232792,257191.0,9854054.0
2015-02-11,25900,28250,25900,27450,213932,270494.0,9854054.0
2015-02-12,27600,27750,26650,27400,63711,270001.0,9854054.0
2015-02-13,27000,27950,26950,27500,159706,270986.0,9854054.0
2015-02-16,27500,28650,27500,28500,240885,280841.0,9854054.0
2015-02-17,28400,29150,28300,28900,267291,284782.0,9854054.0
2015-02-23,29050,29450,27550,28200,177106,277884.0,9854054.0
2015-02-24,28250,28750,27950,28750,117040,283304.0,9854054.0
2015-02-25,28750,28900,26900,27800,271685,273943.0,9854054.0
2015-02-26,27750,28050,27100,27450,77859,270494.0,9854054.0
2015-02-27,27450,27850,27050,27800,84999,273943.0,9854054.0
2015-03-02,28000,28000,26900,27050,89807,266552.0,9854054.0
2015-03-03,27000,27250,26450,27100,85126,267045.0,9854054.0
2015-03-04,26800,27850,26800,27800,103840,273943.0,9854054.0
2015-03-05,27750,28350,27350,28250,81169,278377.0,9854054.0
2015-03-06,28200,28250,27350,27450,106934,270494.0,9854054.0
2015-03-09,27300,27300,24900,25200,273670,248322.0,9854054.0
2015-03-10,25500,25550,23500,25000,167051,246351.0,9854054.0
2015-03-11,25100,25100,24250,24450,82528,240932.0,9854054.0
2015-03-12,24800,25800,24500,25450,91052,250786.0,9854054.0
2015-03-13,25500,27400,25000,26800,196868,264089.0,9854054.0
2015-03-16,27150,27500,26700,27200,77234,268030.0,9854054.0
2015-03-17,26800,27000,25800,26400,181056,260147.0,9854054.0
