한글과컴퓨터(030520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,2149,2149,2099,2104,87460,13081.0,3107120.0
1999-01-05,2104,2104,2014,2044,60650,12708.0,3107120.0
1999-01-06,1999,2099,1999,2094,73470,13019.0,3107120.0
1999-01-07,2149,2149,1999,1999,63580,12428.0,3107120.0
1999-01-08,2054,2099,1999,2024,67050,12584.0,3107120.0
1999-01-11,2224,2264,2054,2263,128300,14075.0,3107120.0
1999-01-12,2524,2534,2499,2533,393010,15753.0,3107120.0
1999-01-13,2834,2834,2834,2833,164430,17617.0,3107120.0
1999-01-14,3174,3174,3174,3173,180960,19730.0,3107120.0
1999-01-15,3553,3553,3553,3553,59520,22092.0,3107120.0
1999-01-18,3978,3978,3978,3978,239320,24733.0,3107120.0
1999-01-19,4453,4453,4098,4398,889250,27343.0,3107120.0
1999-01-20,4398,4398,3873,4048,941860,25168.0,3107120.0
1999-01-21,4048,4533,3998,4532,608660,28182.0,3107120.0
1999-01-22,5073,5073,4498,4847,789610,30139.0,3107120.0
1999-01-25,4748,4848,4268,4497,419750,27964.0,3107120.0
1999-01-26,4448,4598,3973,4048,310980,25168.0,3107120.0
1999-01-27,3853,4248,3628,3998,254620,24857.0,3107120.0
1999-01-28,4048,4478,4008,4298,686770,26721.0,3107120.0
1999-01-29,4348,4813,4248,4812,1141440,29922.0,3107120.0
1999-02-01,5373,5373,5373,5372,1154880,33402.0,3107120.0
1999-02-02,5997,5997,5647,5997,1716260,37285.0,3107120.0
1999-02-03,6397,6647,5448,5847,2031100,36353.0,3107120.0
1999-02-04,5847,5847,5148,5722,668060,35577.0,3107120.0
1999-02-05,5747,6197,5747,5997,1056070,37285.0,3107120.0
1999-02-08,6047,6297,5298,5347,554150,33246.0,3107120.0
1999-02-09,5398,5398,4723,4797,409650,29828.0,3107120.0
1999-02-10,4748,5248,4348,4947,287900,30760.0,3107120.0
1999-02-11,4648,5148,4648,4847,178710,30139.0,3107120.0
1999-02-12,4848,5098,4698,5097,287960,31693.0,3107120.0
1999-02-18,4948,4948,4748,4892,108150,30419.0,3107120.0
1999-02-19,4523,4848,4308,4587,155050,28523.0,3107120.0
1999-02-22,4253,4498,4148,4248,167370,26411.0,3107120.0
1999-02-23,4238,4498,3738,4023,304940,25012.0,3107120.0
1999-02-24,3923,4398,3853,4388,395990,27281.0,3107120.0
1999-02-25,4198,4198,3948,4048,174230,25168.0,3107120.0
1999-02-26,4098,4343,3948,4248,187480,26411.0,3107120.0
1999-03-02,4448,4548,4398,4462,221320,27747.0,3107120.0
1999-03-03,4498,4598,3998,4223,61130,26255.0,3107120.0
1999-03-04,4198,4393,4148,4298,117470,26721.0,3107120.0
1999-03-05,4048,4298,4048,4123,104950,25634.0,3107120.0
1999-03-08,4073,4488,4073,4472,342030,27809.0,3107120.0
1999-03-09,4398,4823,4323,4722,381390,29362.0,3107120.0
1999-03-10,4723,5048,4698,4947,468440,30760.0,3107120.0
1999-03-11,4948,5148,4798,4897,208100,30450.0,3107120.0
1999-03-12,4848,4898,4698,4847,214010,30139.0,3107120.0
1999-03-15,4798,5423,4798,4897,120260,30450.0,3107120.0
1999-03-16,4998,4998,4798,4897,87640,30450.0,3107120.0
1999-03-17,4748,4798,4498,4797,248220,29828.0,3107120.0
1999-03-18,4798,4993,4498,4642,147210,28865.0,3107120.0
1999-03-19,4598,4748,4448,4747,73380,29518.0,3107120.0
1999-03-22,4648,4998,4423,4997,195440,31071.0,3107120.0
1999-03-23,4673,4748,4598,4672,53150,29052.0,3107120.0
1999-03-24,4743,4748,4528,4747,81900,29518.0,3107120.0
1999-03-25,4548,5298,4498,5147,994460,32003.0,3107120.0
1999-03-26,5298,5373,4848,4947,734460,30760.0,3107120.0
1999-03-29,4898,4898,4493,4597,168650,28586.0,3107120.0
1999-03-30,4598,4598,4448,4497,160040,27964.0,3107120.0
1999-03-31,4498,4693,4468,4637,199090,28834.0,3107120.0
1999-04-01,4848,4998,4798,4947,566060,30760.0,3107120.0
1999-04-02,4998,5098,4898,4997,370150,31071.0,3107120.0
1999-04-06,4998,4998,4748,4892,272670,30419.0,3107120.0
1999-04-07,4898,5473,4873,5472,497980,34023.0,3107120.0
1999-04-08,5697,5997,5473,5647,769750,35110.0,3107120.0
1999-04-09,5722,6322,5647,6322,1588480,39305.0,3107120.0
