KTH(036030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-12-24,31350,31350,31350,31350,877,1081575.0,34500000.0
1999-12-27,35100,35100,35100,35100,613,1210950.0,34500000.0
1999-12-28,39300,39300,39300,39300,775,1355850.0,34500000.0
2000-01-04,44000,44000,44000,44000,130,1518000.0,34500000.0
2000-01-05,49250,49250,49250,49250,883,1699125.0,34500000.0
2000-01-06,55100,55100,55100,55100,998,1900950.0,34500000.0
2000-01-07,61700,61700,61700,61700,6210,2128650.0,34500000.0
2000-01-10,69100,69100,69100,69100,8947,2383950.0,34500000.0
2000-01-11,77300,77300,77300,77300,10778,2666850.0,34500000.0
2000-01-12,86500,86500,86500,86500,97849,2984250.0,34500000.0
2000-01-13,96800,96800,76300,83500,3322685,2880750.0,34500000.0
2000-01-14,81000,82500,73500,74000,1507328,2553000.0,34500000.0
2000-01-17,82800,82800,78000,82800,1349125,2856600.0,34500000.0
2000-01-18,84900,92700,83500,92700,638936,3198150.0,34500000.0
2000-01-19,103500,103500,86000,94500,2931050,3260250.0,34500000.0
2000-01-20,91000,97900,83200,92000,1566819,3174000.0,34500000.0
2000-01-21,91000,97900,86000,89700,1628362,3094650.0,34500000.0
2000-01-24,87000,92900,86100,87000,1066824,3001500.0,34500000.0
2000-01-25,84000,84000,76700,77300,679993,2666850.0,34500000.0
2000-01-26,80000,81000,72200,77800,644010,2684100.0,34500000.0
2000-01-27,73000,74900,69200,69800,425302,2408100.0,34500000.0
2000-01-28,67500,76400,67500,75200,819468,2594400.0,34500000.0
2000-01-31,71900,77000,70200,74900,686510,2584050.0,34500000.0
2000-02-01,76200,78900,73200,75000,739033,2587500.0,34500000.0
2000-02-02,75500,82000,73500,78500,1345092,2708250.0,34500000.0
2000-02-03,79900,87000,79000,85500,1431606,2949750.0,34500000.0
2000-02-07,91000,95700,90600,95700,875985,3301650.0,34500000.0
2000-02-08,99900,100000,85100,85800,1632582,2960100.0,34500000.0
2000-02-09,89000,94500,87000,93400,1308777,3222300.0,34500000.0
2000-02-10,88000,94900,87200,90000,1130760,3105000.0,34500000.0
2000-02-11,94800,99500,92500,96000,1550297,3312000.0,34500000.0
