씨씨에스(066790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-05-30,999,1110,880,908,1303155,39952.0,4400000.0
2003-06-02,900,908,812,813,404628,35772.0,4400000.0
2003-06-03,810,849,787,810,313751,35640.0,4400000.0
2003-06-04,770,829,770,777,204472,34188.0,4400000.0
2003-06-05,777,833,777,798,363690,35112.0,4400000.0
2003-06-09,800,808,764,766,177611,33704.0,4400000.0
2003-06-10,760,795,758,762,270450,33528.0,4400000.0
2003-06-11,780,841,772,809,568154,35596.0,4400000.0
2003-06-12,819,829,783,790,218080,34760.0,4400000.0
2003-06-13,792,797,767,772,204023,33968.0,4400000.0
2003-06-16,766,776,764,771,91106,33924.0,4400000.0
2003-06-17,781,786,765,766,121995,33704.0,4400000.0
2003-06-18,762,777,759,759,108820,33396.0,4400000.0
2003-06-19,762,770,735,740,90531,32560.0,4400000.0
2003-06-20,740,741,724,725,94680,31900.0,4400000.0
2003-06-23,727,751,721,725,81083,31900.0,4400000.0
2003-06-24,701,723,682,687,67847,30228.0,4400000.0
2003-06-25,671,696,671,680,71473,29920.0,4400000.0
2003-06-26,673,688,669,671,52262,29524.0,4400000.0
2003-06-27,676,682,668,671,42160,29524.0,4400000.0
2003-06-30,674,713,674,705,158064,31020.0,4400000.0
2003-07-01,710,713,687,692,62813,30448.0,4400000.0
2003-07-02,700,715,700,714,135530,31416.0,4400000.0
2003-07-03,725,756,710,740,653590,32560.0,4400000.0
2003-07-04,742,805,742,794,404429,34936.0,4400000.0
2003-07-07,803,803,731,796,232394,35024.0,4400000.0
2003-07-08,794,820,770,810,337578,38135.0,4708000.0
2003-07-09,812,815,798,801,169489,37711.0,4708000.0
2003-07-10,806,835,780,825,187201,38841.0,4708000.0
2003-07-11,830,887,807,865,205747,40724.0,4708000.0
2003-07-14,890,890,847,857,300278,40348.0,4708000.0
2003-07-15,865,865,773,773,219209,36393.0,4708000.0
2003-07-16,780,805,779,780,159055,36722.0,4708000.0
2003-07-18,738,794,738,772,96658,36346.0,4708000.0
2003-07-21,765,788,735,735,82443,34604.0,4708000.0
2003-07-22,705,734,687,702,95545,33050.0,4708000.0
2003-07-23,707,719,695,695,35558,32721.0,4708000.0
2003-07-24,683,724,683,724,78397,34086.0,4708000.0
2003-07-25,720,720,704,715,44993,33662.0,4708000.0
2003-07-28,717,730,708,710,71294,33427.0,4708000.0
2003-07-29,718,764,707,749,187351,35263.0,4708000.0
2003-07-30,750,752,719,719,68208,33851.0,4708000.0
2003-07-31,715,738,703,707,78216,33286.0,4708000.0
2003-08-01,708,718,703,707,148980,33286.0,4708000.0
2003-08-04,718,725,689,691,112343,32532.0,4708000.0
2003-08-05,702,713,688,690,94680,32485.0,4708000.0
2003-08-06,675,710,672,710,83252,33427.0,4708000.0
2003-08-07,696,709,691,695,64009,32721.0,4708000.0
2003-08-08,689,695,678,679,64304,31967.0,4708000.0
2003-08-11,671,686,669,671,45880,31591.0,4708000.0
2003-08-12,666,676,664,672,59174,31638.0,4708000.0
2003-08-13,675,676,652,659,87733,31026.0,4708000.0
2003-08-14,655,655,616,623,103303,29331.0,4708000.0
2003-08-18,681,697,663,697,154773,32815.0,4708000.0
2003-08-19,730,730,678,699,278752,32909.0,4708000.0
2003-08-20,699,700,662,663,106261,31214.0,4708000.0
2003-08-21,684,721,670,709,272032,33380.0,4708000.0
2003-08-22,718,720,677,680,116776,32014.0,4708000.0
2003-08-25,668,690,655,668,82973,31449.0,4708000.0
2003-08-26,660,670,646,655,54551,30837.0,4708000.0
2003-08-27,645,658,625,627,88916,29519.0,4708000.0
2003-08-28,628,646,628,630,56468,29660.0,4708000.0
2003-08-29,631,646,631,637,42846,29990.0,4708000.0
2003-09-01,637,643,630,630,70549,29660.0,4708000.0
2003-09-02,635,651,630,638,112777,30037.0,4708000.0
2003-09-03,646,650,633,640,126228,30131.0,4708000.0
2003-09-04,643,650,624,625,67838,29425.0,4708000.0
2003-09-05,622,628,601,611,90425,28766.0,4708000.0
2003-09-08,606,624,606,619,38361,29143.0,4708000.0
2003-09-09,620,620,610,610,56264,28719.0,4708000.0
2003-09-15,615,624,604,619,30606,29143.0,4708000.0
2003-09-16,620,643,619,636,67723,29943.0,4708000.0
2003-09-17,636,647,626,634,33819,29849.0,4708000.0
2003-09-18,614,630,614,624,24055,29378.0,4708000.0
2003-09-19,624,634,607,615,41363,28954.0,4708000.0
2003-09-22,609,619,595,600,36324,28248.0,4708000.0
2003-09-23,585,609,585,596,35261,28060.0,4708000.0
2003-09-24,595,608,595,599,23774,28201.0,4708000.0
2003-09-25,590,601,580,592,41893,27871.0,4708000.0
2003-09-26,591,625,591,599,40216,28201.0,4708000.0
2003-09-29,602,646,602,638,79940,30037.0,4708000.0
2003-09-30,636,641,623,636,56761,29943.0,4708000.0
2003-10-01,632,672,632,663,136604,31214.0,4708000.0
2003-10-02,675,677,655,660,56130,31073.0,4708000.0
2003-10-06,660,663,640,650,58044,30602.0,4708000.0
2003-10-07,650,660,630,660,76705,31073.0,4708000.0
2003-10-08,665,665,651,657,25777,30932.0,4708000.0
2003-10-09,663,663,640,656,29365,30884.0,4708000.0
2003-10-10,647,657,640,656,53047,30884.0,4708000.0
2003-10-13,657,657,640,651,28616,30649.0,4708000.0
2003-10-14,650,651,641,641,35167,30178.0,4708000.0
2003-10-15,645,656,640,650,70699,30602.0,4708000.0
2003-10-16,642,685,640,670,130550,31544.0,4708000.0
2003-10-17,663,682,657,674,67808,31732.0,4708000.0
2003-10-20,680,710,680,690,186220,32485.0,4708000.0
2003-10-21,687,711,676,711,111647,33474.0,4708000.0
2003-10-22,712,714,688,688,59442,32391.0,4708000.0
2003-10-23,655,686,655,686,99039,32297.0,4708000.0
2003-10-24,684,708,675,700,66675,32956.0,4708000.0
2003-10-27,704,704,675,690,46100,32485.0,4708000.0
2003-10-28,700,701,681,700,99124,32956.0,4708000.0
2003-10-29,698,705,682,686,38247,32297.0,4708000.0
2003-10-30,682,686,661,665,38596,31308.0,4708000.0
2003-10-31,655,660,640,642,31536,30225.0,4708000.0
2003-11-03,643,650,627,628,22272,29566.0,4708000.0
2003-11-04,621,645,621,630,31905,29660.0,4708000.0
2003-11-05,621,639,621,636,9648,29943.0,4708000.0
2003-11-06,624,650,624,631,45555,29707.0,4708000.0
2003-11-07,632,641,626,631,10436,29707.0,4708000.0
2003-11-10,631,631,621,630,12516,29660.0,4708000.0
2003-11-11,620,634,611,615,20393,28954.0,4708000.0
2003-11-12,630,630,610,623,33564,29331.0,4708000.0
2003-11-13,620,625,611,619,19976,29143.0,4708000.0
2003-11-14,613,628,611,615,9740,28954.0,4708000.0
2003-11-17,613,622,610,618,8826,29095.0,4708000.0
2003-11-18,605,617,601,617,23660,29048.0,4708000.0
2003-11-19,603,617,601,605,11647,28483.0,4708000.0
2003-11-20,601,613,592,594,13472,27966.0,4708000.0
2003-11-21,586,590,574,580,32404,27306.0,4708000.0
2003-11-24,575,575,555,555,7990,26129.0,4708000.0
2003-11-25,548,570,548,551,9743,25941.0,4708000.0
2003-11-26,543,582,543,576,11274,27118.0,4708000.0
2003-11-27,575,575,554,560,5735,26365.0,4708000.0
2003-11-28,575,575,552,563,8494,26506.0,4708000.0
2003-12-01,570,570,554,560,16401,26365.0,4708000.0
2003-12-02,560,569,550,558,11028,26271.0,4708000.0
2003-12-03,553,624,553,595,50708,28013.0,4708000.0
2003-12-04,604,604,583,595,12738,28013.0,4708000.0
2003-12-05,583,589,570,573,9057,26977.0,4708000.0
2003-12-08,553,579,550,559,12786,26318.0,4708000.0
2003-12-09,551,563,551,552,15411,25988.0,4708000.0
2003-12-10,552,555,550,554,6629,26082.0,4708000.0
2003-12-11,555,555,548,553,11164,26035.0,4708000.0
2003-12-12,551,563,550,560,18178,26365.0,4708000.0
2003-12-15,568,568,558,563,6847,26506.0,4708000.0
2003-12-16,563,567,553,563,13370,26506.0,4708000.0
2003-12-17,563,563,554,554,7419,26082.0,4708000.0
2003-12-18,552,560,550,554,10026,26082.0,4708000.0
2003-12-19,554,562,532,537,12068,25282.0,4708000.0
2003-12-22,537,542,526,526,7985,24764.0,4708000.0
2003-12-23,534,571,531,548,96984,25800.0,4708000.0
2003-12-24,550,558,530,546,23564,25706.0,4708000.0
2003-12-26,545,548,530,548,19653,25800.0,4708000.0
2003-12-29,525,563,525,540,25822,25423.0,4708000.0
2003-12-30,551,557,536,557,8744,26224.0,4708000.0
2004-01-02,555,555,540,550,2771,25894.0,4708000.0
2004-01-05,550,552,535,548,1621,25800.0,4708000.0
2004-01-06,540,553,535,549,16290,25847.0,4708000.0
2004-01-07,540,550,540,540,13661,25423.0,4708000.0
2004-01-08,552,552,532,532,9927,25047.0,4708000.0
2004-01-09,531,539,528,530,15746,24952.0,4708000.0
2004-01-12,525,545,525,531,6975,24999.0,4708000.0
2004-01-13,531,531,515,524,7226,24670.0,4708000.0
2004-01-14,530,530,501,504,28938,23728.0,4708000.0
2004-01-15,545,545,506,513,12271,24152.0,4708000.0
2004-01-16,514,514,501,501,21441,23587.0,4708000.0
2004-01-19,492,508,492,504,8627,23728.0,4708000.0
2004-01-20,507,507,491,502,3240,23634.0,4708000.0
2004-01-26,490,510,490,500,3232,23516.0,4708000.0
2004-01-27,493,502,491,491,8671,23116.0,4708000.0
2004-01-28,488,503,484,486,12117,22857.0,4708000.0
2004-01-29,481,510,481,510,12003,24011.0,4708000.0
2004-01-30,509,519,496,513,7995,24152.0,4708000.0
2004-02-02,509,509,496,498,4171,23422.0,4708000.0
2004-02-03,495,505,490,500,17102,23540.0,4708000.0
2004-02-04,493,506,490,499,4723,23493.0,4708000.0
2004-02-05,492,501,480,493,12170,23210.0,4708000.0
2004-02-06,489,495,480,483,5974,22740.0,4708000.0
2004-02-09,485,498,481,483,8990,22716.0,4708000.0
2004-02-10,489,489,477,480,10619,22575.0,4708000.0
2004-02-11,487,487,476,480,4670,22598.0,4708000.0
2004-02-12,483,483,459,479,18401,22528.0,4708000.0
2004-02-13,471,480,460,465,8369,21892.0,4708000.0
2004-02-16,467,468,452,460,10870,21657.0,4708000.0
2004-02-17,462,469,452,460,17714,21657.0,4708000.0
2004-02-18,460,467,452,459,7111,21610.0,4708000.0
2004-02-19,453,457,448,450,21435,21186.0,4708000.0
2004-02-20,448,468,448,468,41586,22033.0,4708000.0
2004-02-23,467,475,459,467,8910,21963.0,4708000.0
2004-02-24,474,474,455,460,5240,21657.0,4708000.0
2004-02-25,468,468,455,460,5972,21633.0,4708000.0
2004-02-26,444,452,439,441,12095,20739.0,4708000.0
2004-02-27,463,463,443,446,8232,20974.0,4708000.0
2004-03-02,446,449,440,448,3340,21092.0,4708000.0
2004-03-03,465,501,465,501,138471,23587.0,4708000.0
2004-03-04,561,561,533,561,395106,26412.0,4708000.0
2004-03-05,589,608,518,548,619157,25800.0,4708000.0
2004-03-08,540,540,483,483,229767,22740.0,4708000.0
2004-03-09,485,489,439,454,116432,21351.0,4708000.0
2004-03-10,452,484,445,454,154340,21374.0,4708000.0
2004-03-11,450,453,432,439,58558,20668.0,4708000.0
2004-03-12,440,450,386,409,71454,19256.0,4708000.0
2004-03-15,420,424,413,420,43825,19774.0,4708000.0
2004-03-16,413,419,410,410,24035,19303.0,4708000.0
2004-03-17,414,459,414,459,80381,21610.0,4708000.0
2004-03-18,460,468,435,452,43232,21280.0,4708000.0
2004-03-19,452,478,452,461,32404,21704.0,4708000.0
2004-03-22,469,469,451,460,14731,21657.0,4708000.0
2004-03-23,464,464,452,457,7782,21516.0,4708000.0
2004-03-24,459,463,451,453,13750,21304.0,4708000.0
2004-03-25,455,466,450,455,10281,21421.0,4708000.0
2004-03-26,460,460,450,455,4579,21421.0,4708000.0
2004-03-29,446,457,446,455,5488,21421.0,4708000.0
2004-03-30,479,502,463,464,36765,21845.0,4708000.0
2004-03-31,465,477,445,455,6253,21421.0,4708000.0
2004-04-01,478,480,452,470,15401,22128.0,4708000.0
2004-04-02,465,479,461,480,12361,22575.0,4708000.0
2004-04-06,473,489,473,484,15791,22787.0,4708000.0
