디지탈옵틱(106520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-07-13,7494,8594,7288,8596,2587630,67415.0,5393177.0
2012-07-16,9075,9178,7734,8389,3359631,65797.0,5393177.0
2012-07-17,8698,9626,8182,8424,3793504,66066.0,5393177.0
2012-07-18,8456,8835,8181,8183,1426241,64179.0,5393177.0
2012-07-19,8388,8697,7975,8493,1114707,66606.0,5393177.0
2012-07-20,8904,9764,8457,8630,2936766,67684.0,5393177.0
2012-07-23,8732,9900,8594,9902,1966740,77662.0,5393177.0
2012-07-24,10452,10865,9833,10143,1991043,79549.0,5393177.0
2012-07-25,10073,11551,9935,10521,1562450,82516.0,5393177.0
2012-07-26,10623,10727,10004,10452,958172,81976.0,5393177.0
2012-07-27,10760,11070,9385,9387,1151559,73617.0,5393177.0
2012-07-30,9557,9728,8835,9318,773546,73078.0,5393177.0
2012-07-31,9455,9558,9007,9146,632872,71729.0,5393177.0
2012-08-01,9110,9248,8663,8768,721868,69528.0,5453177.0
2012-08-02,8801,9111,8663,8836,602449,70073.0,5453177.0
2012-08-03,8732,9006,8526,8596,462746,68165.0,5453177.0
2012-08-06,8733,8766,8217,8527,392974,67619.0,5453177.0
2012-08-07,8456,8939,8456,8871,447972,70346.0,5453177.0
2012-08-08,8972,8972,8250,8286,500599,65711.0,5453177.0
2012-08-09,8182,8285,7528,7702,713269,61076.0,5453177.0
2012-08-10,7769,8079,7666,7736,529198,61348.0,5453177.0
2012-08-13,7735,7804,7563,7702,244665,61076.0,5453177.0
2012-08-14,7735,7908,7495,7702,343111,61076.0,5453177.0
2012-08-16,7769,7975,7734,7839,256097,62166.0,5453177.0
2012-08-17,7907,8353,7769,8080,793918,64075.0,5453177.0
2012-08-20,8147,8147,7734,7839,301544,62166.0,5453177.0
2012-08-21,8182,9007,8044,8836,2292119,70073.0,5453177.0
2012-08-22,8697,8766,8388,8664,569273,68710.0,5453177.0
2012-08-23,8800,9351,8732,9215,1247678,73073.0,5453177.0
