남화토건(091590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-01-31,4000,4600,3765,4290,10266891,50365.0,11740000.0
2012-02-01,4350,4380,4000,4090,1030290,48017.0,11740000.0
2012-02-02,4185,4185,3855,4010,417042,47077.0,11740000.0
2012-02-03,3970,4250,3925,4020,459266,47195.0,11740000.0
2012-02-06,4050,4430,4005,4100,518002,48134.0,11740000.0
2012-02-07,4155,4245,3950,4060,333842,47664.0,11740000.0
2012-02-08,4070,4130,3960,4045,268348,47488.0,11740000.0
2012-02-09,4095,4100,3980,4035,178572,47371.0,11740000.0
2012-02-10,4035,4065,3940,4000,251643,46960.0,11740000.0
2012-02-13,4090,4195,4000,4110,181810,48251.0,11740000.0
2012-02-14,4180,4260,4120,4220,322026,49543.0,11740000.0
2012-02-15,4145,4215,4050,4140,202202,48604.0,11740000.0
2012-02-16,4140,4250,4100,4200,384720,49308.0,11740000.0
2012-02-17,4310,4600,4295,4440,1079748,52126.0,11740000.0
2012-02-20,4515,5100,4515,5010,1946162,58817.0,11740000.0
2012-02-21,5130,5470,4960,5250,683584,61635.0,11740000.0
2012-02-22,5250,5300,4990,5200,471006,61048.0,11740000.0
2012-02-23,5190,5400,5060,5280,477538,61987.0,11740000.0
2012-02-24,5450,5450,5190,5300,289773,62222.0,11740000.0
2012-02-27,5350,5350,5090,5140,220991,60344.0,11740000.0
2012-02-28,5100,5190,5000,5130,245655,60226.0,11740000.0
2012-02-29,5170,5790,5000,5600,886284,65744.0,11740000.0
2012-03-02,5600,5710,5470,5600,290504,65744.0,11740000.0
2012-03-05,5530,5680,5410,5630,167848,66096.0,11740000.0
2012-03-06,5600,5650,5200,5420,270058,63631.0,11740000.0
2012-03-07,5340,5410,5170,5310,134915,62339.0,11740000.0
2012-03-08,5330,5470,5250,5320,148912,62457.0,11740000.0
2012-03-09,5270,5340,5200,5320,147571,62457.0,11740000.0
2012-03-12,5320,5430,5250,5400,95477,63396.0,11740000.0
2012-03-13,5400,5450,5250,5400,124124,63396.0,11740000.0
2012-03-14,5440,5840,5400,5600,421130,65744.0,11740000.0
2012-03-15,5660,5690,5520,5540,121578,65040.0,11740000.0
2012-03-16,5540,5540,5310,5400,218508,63396.0,11740000.0
