에스피시스템스(317830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-14,9800,12700,9800,12700,1918453,103450.0,8145700.0
2019-08-16,13750,14400,9650,9700,6116318,79013.0,8145700.0
2019-08-19,9360,10150,8070,8370,2596466,68180.0,8145700.0
2019-08-20,8540,9190,7950,8410,2124081,68505.0,8145700.0
2019-08-21,8260,8540,8130,8330,733932,67854.0,8145700.0
2019-08-22,8540,8880,7710,7770,1271636,63292.0,8145700.0
2019-08-23,7640,8030,7400,7560,592523,61581.0,8145700.0
2019-08-26,7190,7380,6700,6700,312438,54576.0,8145700.0
2019-08-27,6840,7010,6320,6500,535666,52947.0,8145700.0
2019-08-28,7200,8100,6940,7070,5092230,57590.0,8145700.0
2019-08-29,6990,7000,6650,6720,662249,54739.0,8145700.0
2019-08-30,6830,6980,6680,6680,397233,54413.0,8145700.0
2019-09-02,6650,7190,6540,6880,600734,56042.0,8145700.0
2019-09-03,6790,8300,6790,7820,4100811,63699.0,8145700.0
2019-09-04,7790,7800,7470,7620,451118,62070.0,8145700.0
2019-09-05,7720,9710,7600,8400,5391989,68424.0,8145700.0
2019-09-06,8410,10300,8400,9620,7770272,78362.0,8145700.0
2019-09-09,9770,11000,9470,9560,4012109,77873.0,8145700.0
2019-09-10,9690,10450,9030,9150,1565612,74533.0,8145700.0
2019-09-11,9370,10250,9310,10250,3586580,83493.0,8145700.0
2019-09-16,10200,10250,9720,9790,891824,79746.0,8145700.0
2019-09-17,9590,9930,9200,9320,876521,75918.0,8145700.0
2019-09-18,9350,9460,9100,9380,466178,76407.0,8145700.0
2019-09-19,9380,9810,9100,9420,877836,76732.0,8145700.0
2019-09-20,9460,9570,9160,9160,329582,74615.0,8145700.0
2019-09-23,9210,9250,8970,9180,201695,74778.0,8145700.0
2019-09-24,9180,9300,8710,8750,221441,71275.0,8145700.0
2019-09-25,8690,8710,8040,8150,385543,66387.0,8145700.0
2019-09-26,8240,8330,7910,7980,169995,65003.0,8145700.0
2019-09-27,8070,8080,7820,7840,93000,63862.0,8145700.0
2019-09-30,7840,7970,7620,7820,108576,63699.0,8145700.0
2019-10-01,7800,8180,7720,8180,175514,66632.0,8145700.0
2019-10-02,8180,8380,8040,8300,243458,67609.0,8145700.0
2019-10-04,8250,8300,7960,7960,119865,64840.0,8145700.0
2019-10-07,7900,8000,7650,7830,138815,63781.0,8145700.0
