뉴로스(126870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-02-15,6915,7068,5898,6356,1882855,52391.0,4191242.0
2012-02-16,6305,6584,6178,6331,266697,52181.0,4191242.0
2012-02-17,6356,6432,5669,5721,374629,47151.0,4191242.0
2012-02-20,5542,5974,5542,5695,278771,46942.0,4191242.0
2012-02-21,5593,6025,5567,5695,639662,46942.0,4191242.0
2012-02-22,5745,6203,5644,5975,313167,49247.0,4191242.0
2012-02-23,6025,6178,5847,6026,169460,49666.0,4191242.0
2012-02-24,6076,6152,5898,6026,171308,49666.0,4191242.0
2012-02-27,6051,6051,5771,5848,74499,48199.0,4191242.0
2012-02-28,5898,5898,5593,5822,105193,47990.0,4191242.0
2012-02-29,5695,5847,5288,5466,300034,45056.0,4191242.0
2012-03-02,5466,5593,5364,5415,60102,44637.0,4191242.0
2012-03-05,5415,5491,5059,5059,146593,41703.0,4191242.0
2012-03-06,4912,5389,4637,5237,243104,43170.0,4191242.0
2012-03-07,5084,5923,5023,5644,507306,49180.0,4430600.0
2012-03-08,5745,6000,5593,5721,455216,49844.0,4430600.0
2012-03-09,5720,5771,5339,5492,216748,47850.0,4430600.0
2012-03-12,5517,5669,5339,5466,158420,47629.0,4430600.0
2012-03-13,5491,5517,5161,5390,172080,53360.0,5033994.0
2012-03-14,5390,5415,5262,5263,40287,52102.0,5033994.0
2012-03-15,5364,5593,5186,5593,83849,55374.0,5033994.0
2012-03-16,5593,5593,5084,5492,588398,54367.0,5033994.0
2012-03-19,5542,6203,5491,5949,520830,58898.0,5033994.0
2012-03-20,5949,6178,5771,6178,215299,61163.0,5033994.0
2012-03-21,6076,6254,6000,6102,71735,60408.0,5033994.0
2012-03-22,6152,6279,5796,5797,81279,57388.0,5033994.0
2012-03-23,5796,5898,5593,5797,89394,57388.0,5033994.0
2012-03-26,5796,5822,5339,5466,172582,54115.0,5033994.0
2012-03-27,5466,5974,5339,5924,250480,58646.0,5033994.0
2012-03-28,5822,5873,5567,5619,218771,55626.0,5033994.0
2012-03-29,5542,5618,5339,5568,104703,55122.0,5033994.0
2012-03-30,5618,5618,5415,5517,37271,54619.0,5033994.0
2012-04-02,5466,5567,5339,5339,60606,52857.0,5033994.0
2012-04-03,5390,5415,4998,5136,116435,50843.0,5033994.0
2012-04-04,5084,5135,4779,4912,85435,48628.0,5033994.0
2012-04-05,4866,4957,4647,4958,84093,49081.0,5033994.0
2012-04-06,4957,5008,4876,4927,31477,48779.0,5033994.0
2012-04-09,4967,4967,4500,4500,53877,44551.0,5033994.0
2012-04-10,4474,4693,4423,4571,41697,45256.0,5033994.0
2012-04-12,4474,4622,4373,4429,39549,43846.0,5033994.0
2012-04-13,4464,4525,4403,4515,43432,44702.0,5033994.0
2012-04-16,4505,4505,4378,4378,34002,43343.0,5033994.0
2012-04-17,4464,4678,4418,4510,96473,44652.0,5033994.0
2012-04-18,4591,4815,4581,4709,77144,46615.0,5033994.0
2012-04-19,4642,4764,4642,4729,17731,46816.0,5033994.0
2012-04-20,4662,4749,4576,4653,36652,46061.0,5033994.0
2012-04-23,4652,4678,4464,4465,23017,44198.0,5033994.0
2012-04-24,4373,4449,4266,4317,35712,42739.0,5033994.0
2012-04-25,4327,4418,4062,4159,52204,41178.0,5033994.0
2012-04-26,4164,4291,3976,3976,39728,39366.0,5033994.0
2012-04-27,3920,4169,3915,4144,58647,41027.0,5033994.0
2012-04-30,4220,4220,3874,3976,62894,39366.0,5033994.0
2012-05-02,4052,4118,3915,4012,50269,39718.0,5033994.0
2012-05-03,3986,4078,3920,3992,23999,39517.0,5033994.0
