한국테크놀로지(053590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-08-23,279870,279870,279870,279861,765699,45228.0,15596000.0
2001-08-24,292408,306879,247047,247048,2103590,39926.0,15596000.0
2001-08-27,218112,236449,218112,218104,2878932,35247.0,15596000.0
2001-08-28,221956,227750,213278,221957,1190377,35871.0,15596000.0
2001-08-29,216179,220037,195905,195906,915199,31660.0,15596000.0
2001-08-30,181436,197845,181436,189151,476550,30568.0,15596000.0
2001-08-31,177570,187220,171776,172740,394548,27917.0,15596000.0
2001-09-03,175645,179501,172752,173707,497948,28073.0,15596000.0
2001-09-04,173712,175642,170812,172740,305640,27917.0,15596000.0
2001-09-05,171782,172746,169846,169846,502326,27449.0,15596000.0
2001-09-06,169858,172750,169858,170814,397355,27605.0,15596000.0
2001-09-07,170819,172746,169846,169846,318891,27449.0,15596000.0
2001-09-10,171786,171786,169858,170814,274740,27605.0,15596000.0
2001-09-11,169846,170819,169846,169846,289677,27449.0,15596000.0
2001-09-12,169858,175644,169858,170814,1349640,27605.0,15596000.0
2001-09-13,170819,191085,170819,191077,758039,30880.0,15596000.0
2001-09-14,207485,213278,178532,188184,950810,30412.0,15596000.0
2001-09-17,188196,193016,170823,170814,401308,27605.0,15596000.0
2001-09-18,178534,183364,171776,172740,258739,27917.0,15596000.0
2001-09-19,174675,185289,172746,174675,756575,28229.0,15596000.0
2001-09-20,181437,183366,170823,170814,475919,27605.0,15596000.0
2001-09-21,170819,171782,169846,169846,1709249,27449.0,15596000.0
2001-09-24,169853,189154,149579,166953,554062,26981.0,15596000.0
2001-09-25,173709,175636,153443,153444,242361,24798.0,15596000.0
2001-09-26,154410,164061,150545,151510,334658,24486.0,15596000.0
2001-09-27,151521,159235,147655,152477,178997,24642.0,15596000.0
2001-09-28,149584,157307,149584,152477,200128,24642.0,15596000.0
2001-10-04,164064,165994,158271,163092,181896,26357.0,15596000.0
2001-10-05,163093,163093,157308,158264,60190,25577.0,15596000.0
2001-10-08,153449,163100,152484,160199,54326,25889.0,15596000.0
2001-10-09,161169,169856,161169,165026,103904,26669.0,15596000.0
2001-10-10,160197,183364,160197,183357,309084,29632.0,15596000.0
2001-10-11,188191,196878,182397,185290,167686,29944.0,15596000.0
2001-10-12,188188,193018,171787,173707,212676,28073.0,15596000.0
2001-10-15,165023,176611,165023,171781,160598,27761.0,15596000.0
2001-10-16,171777,183364,171777,183357,276177,29632.0,15596000.0
2001-10-17,192051,204595,187222,204587,704061,33064.0,15596000.0
2001-10-18,207497,220040,198810,207488,818166,33531.0,15596000.0
2001-10-19,214243,217144,197843,206521,413470,33375.0,15596000.0
2001-10-22,212313,212313,200726,208447,400668,33687.0,15596000.0
2001-10-23,208447,217133,185289,190110,465832,30724.0,15596000.0
2001-10-24,186257,193015,180464,183357,237564,29632.0,15596000.0
2001-10-25,187226,188190,180468,182397,113401,29476.0,15596000.0
2001-10-26,179508,198809,177579,196873,287521,31816.0,15596000.0
2001-10-29,194940,209412,192039,200726,531625,32440.0,15596000.0
2001-10-30,193982,193982,181438,181430,198874,29320.0,15596000.0
2001-10-31,181433,186254,177577,185290,177461,29944.0,15596000.0
2001-11-01,185289,203626,185289,200726,572997,32440.0,15596000.0
2001-11-02,203633,206525,188196,192045,462117,31036.0,15596000.0
2001-11-05,197832,214240,196868,200726,895843,32440.0,15596000.0
2001-11-06,202666,203630,194952,196873,320638,31816.0,15596000.0
2001-11-07,200730,206523,193015,193972,664942,31348.0,15596000.0
2001-11-08,193974,201689,187216,190110,322970,30724.0,15596000.0
2001-11-09,187219,191084,186255,188184,179693,30412.0,15596000.0
2001-11-12,188194,192050,184328,186257,358329,30100.0,15596000.0
2001-11-13,184328,188194,181435,186257,425093,30100.0,15596000.0
2001-11-14,186260,194946,184331,192045,758680,31036.0,15596000.0
2001-11-15,190121,191086,177578,186257,399042,30100.0,15596000.0
2001-11-16,182400,185293,172749,178536,349113,28853.0,15596000.0
2001-11-19,176609,178537,172752,173707,360018,28073.0,15596000.0
2001-11-20,174678,176614,165027,167920,440976,27137.0,15596000.0
2001-11-21,164062,170820,164062,167920,249827,27137.0,15596000.0
2001-11-22,166953,172746,166953,169846,290387,27449.0,15596000.0
2001-11-23,168886,171787,165029,165986,259710,26825.0,15596000.0
2001-11-26,163094,168880,155373,156337,516822,25266.0,15596000.0
2001-11-27,155376,162133,155376,157304,250801,25421.0,15596000.0
2001-11-28,159231,161161,150545,151510,252324,24486.0,15596000.0
2001-11-29,148626,159241,148626,157304,209779,25421.0,15596000.0
2001-11-30,160206,167928,159242,167920,251978,27137.0,15596000.0
2001-12-03,168888,168888,159237,161166,201690,26045.0,15596000.0
2001-12-04,161166,166952,161166,164059,188484,26513.0,15596000.0
2001-12-05,166958,166958,158271,163092,233765,26357.0,15596000.0
2001-12-06,160207,165993,158270,160199,185044,25889.0,15596000.0
2001-12-07,162125,164061,161161,162125,215575,26201.0,15596000.0
2001-12-10,162133,165027,154411,157304,177197,25421.0,15596000.0
2001-12-11,153443,159236,153443,158264,126898,25577.0,15596000.0
2001-12-12,161157,176600,161157,176602,1467225,28541.0,15596000.0
2001-12-13,171771,179493,166950,168879,905281,27293.0,15596000.0
2001-12-14,168888,169853,161166,164059,400801,26513.0,15596000.0
2001-12-17,164059,169852,159237,161166,326756,26045.0,15596000.0
2001-12-18,162137,164064,155377,155370,282576,25110.0,15596000.0
2001-12-19,158271,158271,144762,144755,234160,23394.0,15596000.0
2001-12-20,139934,150549,139934,147649,145508,23862.0,15596000.0
2001-12-21,139929,147652,139929,140895,122193,22770.0,15596000.0
2001-12-24,137038,144759,137038,140895,106947,22770.0,15596000.0
2001-12-26,137038,147661,137038,146689,120754,23706.0,15596000.0
2001-12-27,143798,149584,143798,144755,50799,23394.0,15596000.0
2001-12-28,149591,152484,144761,149584,136888,24174.0,15596000.0
2002-01-02,149581,154410,149581,151510,187997,24486.0,15596000.0
2002-01-03,153445,153445,146688,148617,107878,24018.0,15596000.0
2002-01-04,148614,152479,145721,145722,189468,23550.0,15596000.0
2002-01-07,146686,146686,142828,145722,153942,23550.0,15596000.0
2002-01-08,146688,146688,139929,140895,163372,22770.0,15596000.0
2002-01-09,139932,143798,139932,141862,108062,22926.0,15596000.0
2002-01-10,143795,144759,139929,140895,220991,22770.0,15596000.0
2002-01-11,142828,145721,140900,145722,190873,23550.0,15596000.0
2002-01-14,144760,146688,141867,146689,268618,23706.0,15596000.0
2002-01-15,146687,146687,132215,138000,258631,22302.0,15596000.0
2002-01-16,138969,140897,134147,134140,129042,21678.0,15596000.0
2002-01-17,131247,133175,120632,126417,237195,20431.0,15596000.0
2002-01-18,126426,126426,120641,121597,409088,19651.0,15596000.0
2002-01-21,121602,125458,118709,125459,117713,20275.0,15596000.0
2002-01-22,126424,127389,123532,123524,201401,19963.0,15596000.0
2002-01-23,120632,126426,120632,126417,202275,20431.0,15596000.0
2002-01-24,127387,127387,122566,125459,339071,20275.0,15596000.0
2002-01-25,123535,126427,120642,124491,281167,20119.0,15596000.0
2002-01-28,124498,136078,124498,132213,438488,21367.0,15596000.0
2002-01-29,132218,132218,125459,128352,203475,20743.0,15596000.0
2002-01-30,127390,127390,120641,121597,305204,19651.0,15596000.0
2002-01-31,124500,126427,122570,124491,209645,20119.0,15596000.0
2002-02-01,124498,126426,121605,121597,114933,19651.0,15596000.0
2002-02-04,121605,124498,118712,118704,83202,19183.0,15596000.0
2002-02-05,117748,120641,115811,118704,154835,19183.0,15596000.0
2002-02-06,118702,125460,117737,120630,371121,19495.0,15596000.0
2002-02-07,120640,120640,108097,108089,480123,17468.0,15596000.0
2002-02-08,108085,110014,103265,110015,104707,17779.0,15596000.0
2002-02-14,110978,112916,107121,110015,130174,17779.0,15596000.0
2002-02-15,108097,110989,106160,108089,228425,17468.0,15596000.0
2002-02-18,107123,110016,101329,105187,164334,17000.0,15596000.0
2002-02-19,105182,106155,100361,101327,273690,16376.0,15596000.0
2002-02-20,97470,101328,97470,99400,113653,16064.0,15596000.0
2002-02-21,99399,101328,96506,99400,169196,16064.0,15596000.0
2002-02-22,97470,99399,95542,96506,128915,15596.0,15596000.0
2002-02-25,99410,108097,96509,108089,629208,17468.0,15596000.0
2002-02-26,106156,106156,99399,99400,496002,16064.0,15596000.0
2002-02-27,99399,102300,99399,99400,246262,16064.0,15596000.0
2002-02-28,99405,101333,97477,98433,195875,15908.0,15596000.0
2002-03-04,100365,109052,100365,105187,376116,17000.0,15596000.0
2002-03-05,105195,108087,102294,105187,302849,17000.0,15596000.0
2002-03-06,106157,117737,106157,117737,1004363,19027.0,15596000.0
2002-03-07,119670,121605,112919,113876,738594,18403.0,15596000.0
2002-03-08,117735,127386,115805,127385,1156866,20587.0,15596000.0
2002-03-11,131247,140898,122560,137033,882609,22146.0,15596000.0
2002-03-12,137038,139939,123530,125459,1093443,20275.0,15596000.0
2002-03-13,125459,125459,115808,117737,537846,19027.0,15596000.0
2002-03-14,117737,119674,112916,117737,437016,19027.0,15596000.0
2002-03-15,115814,120635,115814,116770,458468,18871.0,15596000.0
2002-03-18,118703,118703,113873,115802,428199,18715.0,15596000.0
2002-03-19,115812,124500,114848,124491,906118,20119.0,15596000.0
2002-03-20,126422,129324,120637,125459,857389,20275.0,15596000.0
2002-03-21,122566,127387,119673,125459,635162,20275.0,15596000.0
2002-03-22,130279,138965,128350,130279,1627884,21055.0,15596000.0
2002-03-25,126421,145721,126421,145722,1057911,23550.0,15596000.0
2002-03-26,150557,163100,145727,163092,1335463,26357.0,15596000.0
2002-03-27,168880,179504,154409,166953,1599364,26981.0,15596000.0
2002-03-28,168888,172746,156337,164059,542546,26513.0,15596000.0
2002-03-29,149588,181431,149588,164059,1336743,26513.0,15596000.0
2002-04-01,160198,167921,144762,144755,457141,23394.0,15596000.0
2002-04-02,138006,151523,138006,142829,387600,23082.0,15596000.0
2002-04-03,137039,142834,127389,131246,582743,21211.0,15596000.0
2002-04-04,126420,145721,126420,135107,435841,21834.0,15596000.0
2002-04-08,132210,139933,131246,134140,307302,21678.0,15596000.0
2002-04-09,134147,138969,130282,131246,296748,21211.0,15596000.0
2002-04-10,127388,134146,118702,120630,327495,19495.0,15596000.0
2002-04-11,118712,126426,116775,118704,419970,19183.0,15596000.0
2002-04-12,115806,120627,115806,119663,206654,19339.0,15596000.0
2002-04-15,116770,128350,116770,122557,253271,19807.0,15596000.0
2002-04-16,124485,129314,122556,122557,193663,19807.0,15596000.0
2002-04-17,122570,126427,120642,124491,251864,20119.0,15596000.0
2002-04-18,124495,126424,119667,120630,158883,19495.0,15596000.0
2002-04-19,119674,125459,117737,117737,190636,19027.0,15596000.0
2002-04-22,120641,120641,109062,110982,162895,17935.0,15596000.0
2002-04-23,109054,117740,108089,113876,127879,18403.0,15596000.0
2002-04-24,113885,116778,111948,116770,129884,18871.0,15596000.0
2002-04-25,113879,114843,110985,114844,132391,18559.0,15596000.0
2002-04-26,115810,116774,112909,115802,94218,18715.0,15596000.0
2002-04-29,115809,115809,110980,112909,117336,18247.0,15596000.0
2002-04-30,112918,113883,107124,110982,61808,17935.0,15596000.0
2002-05-02,112915,116771,108085,114844,182912,18559.0,15596000.0
2002-05-03,115810,115810,111944,115802,31510,18715.0,15596000.0
2002-05-06,111944,117737,110980,112909,141343,18247.0,15596000.0
2002-05-07,114845,115809,111944,112909,47250,18247.0,15596000.0
2002-05-08,113881,115809,110980,112909,70816,18247.0,15596000.0
2002-05-09,113881,115809,110015,112909,113592,18247.0,15596000.0
2002-05-10,110989,111953,106160,108089,122598,17468.0,15596000.0
2002-05-13,104229,110978,104229,110015,200835,17779.0,15596000.0
2002-05-14,110026,112918,106160,108089,150478,17468.0,15596000.0
2002-05-15,108088,111954,108088,110982,200604,17935.0,15596000.0
2002-05-16,111951,111951,109051,110015,46594,17779.0,15596000.0
2002-05-17,110989,113883,108088,110982,210067,17935.0,15596000.0
2002-05-20,110978,112916,110014,110015,173332,17779.0,15596000.0
2002-05-21,109062,111954,108088,110982,220481,17935.0,15596000.0
2002-05-22,110978,111951,109051,110015,87936,17779.0,15596000.0
2002-05-23,110981,119667,108087,115802,593303,18715.0,15596000.0
