미래테크놀로지(213090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-01,14900,15900,13700,13700,939766,75350.0,5500000.0
2015-12-02,14000,14500,13700,14100,200095,77550.0,5500000.0
2015-12-03,14150,14500,13850,13850,79808,76175.0,5500000.0
2015-12-04,13550,13900,13450,13850,67200,76175.0,5500000.0
2015-12-07,13850,13850,13300,13450,44449,73975.0,5500000.0
2015-12-08,13500,13500,12650,12850,52466,70675.0,5500000.0
2015-12-09,12700,12900,12250,12500,34273,68750.0,5500000.0
2015-12-10,12500,12700,12250,12500,34850,68750.0,5500000.0
2015-12-11,12650,12800,12300,12650,17130,69575.0,5500000.0
2015-12-14,12300,12350,11700,11950,34961,65725.0,5500000.0
2015-12-15,12200,13750,11800,13000,64856,71500.0,5500000.0
2015-12-16,13400,13400,12400,12800,16465,70400.0,5500000.0
2015-12-17,12600,13050,12500,13000,28201,71500.0,5500000.0
2015-12-18,12750,13250,12750,13100,10139,72050.0,5500000.0
2015-12-21,13000,13300,12850,13200,14220,72600.0,5500000.0
2015-12-22,13300,13550,12850,12850,14913,70675.0,5500000.0
2015-12-23,12850,13300,12750,12900,7936,70950.0,5500000.0
2015-12-24,13000,13650,13000,13450,22935,73975.0,5500000.0
2015-12-28,13550,14400,13450,13450,91446,73975.0,5500000.0
2015-12-29,13250,14200,13250,13900,52761,76450.0,5500000.0
2015-12-30,13900,14200,13700,13950,20955,76725.0,5500000.0
2016-01-04,13950,13950,13050,13400,109723,73700.0,5500000.0
2016-01-05,13200,14100,13200,14100,36321,77550.0,5500000.0
2016-01-06,14250,14250,13350,13600,32310,74800.0,5500000.0
2016-01-07,13250,13800,13250,13500,22610,74250.0,5500000.0
2016-01-08,13500,13500,13150,13150,17953,72325.0,5500000.0
2016-01-11,13150,13700,13150,13500,22167,74250.0,5500000.0
2016-01-12,13450,14700,13400,13500,41896,74250.0,5500000.0
2016-01-13,13700,13800,13250,13500,11531,74250.0,5500000.0
2016-01-14,13500,13600,12900,12900,20562,70950.0,5500000.0
2016-01-15,12900,13100,12400,12650,17541,69575.0,5500000.0
2016-01-18,12500,12600,12250,12550,5207,69025.0,5500000.0
2016-01-19,12600,12900,12250,12800,30362,70400.0,5500000.0
2016-01-20,12950,13200,12150,12500,12286,68750.0,5500000.0
2016-01-21,12500,12650,12100,12400,19642,68200.0,5500000.0
2016-01-22,12550,12850,12150,12500,13852,68750.0,5500000.0
2016-01-25,12500,12850,12200,12450,16676,68475.0,5500000.0
2016-01-26,12450,12600,12200,12250,12604,67375.0,5500000.0
2016-01-27,12250,12700,12050,12350,38812,67925.0,5500000.0
2016-01-28,12250,13050,12250,12900,38886,70950.0,5500000.0
2016-01-29,12800,13000,12500,13000,30293,71500.0,5500000.0
2016-02-01,13100,13200,12700,13100,16985,72050.0,5500000.0
2016-02-02,13150,14300,12850,14300,125250,78650.0,5500000.0
2016-02-03,14450,14550,13600,14300,53242,78650.0,5500000.0
2016-02-04,14150,14150,13250,13400,44644,73700.0,5500000.0
2016-02-05,13300,13650,13100,13350,39437,73425.0,5500000.0
2016-02-11,12950,13350,12850,12900,10238,70950.0,5500000.0
2016-02-12,12150,12600,11550,11550,68991,63525.0,5500000.0
2016-02-15,11900,12150,11550,11900,24259,65450.0,5500000.0
2016-02-16,11900,12400,11900,12100,19558,66550.0,5500000.0
2016-02-17,12100,12450,11650,11950,68877,65725.0,5500000.0
2016-02-18,12200,12350,11750,11800,29058,64900.0,5500000.0
2016-02-19,11800,12350,11550,12300,40130,67650.0,5500000.0
2016-02-22,12050,12150,11750,11900,55117,65450.0,5500000.0
2016-02-23,11800,12000,11650,11700,14911,64350.0,5500000.0
2016-02-24,11800,12350,11400,12250,52879,67375.0,5500000.0
2016-02-25,12300,12950,12050,12800,40278,70400.0,5500000.0
2016-02-26,13000,13400,12700,12750,14887,70125.0,5500000.0
2016-02-29,12900,13000,12400,12750,17071,70125.0,5500000.0
2016-03-02,12900,13500,12800,13250,19605,72875.0,5500000.0
2016-03-03,13250,13450,12850,13350,17893,73425.0,5500000.0
2016-03-04,13450,13450,12550,12550,25549,69025.0,5500000.0
2016-03-07,12650,13000,12300,13000,20913,71500.0,5500000.0
2016-03-08,13100,13150,12600,12700,10008,69850.0,5500000.0
2016-03-09,12700,12800,12450,12450,12286,68475.0,5500000.0
2016-03-10,12650,13000,12600,12750,11586,70125.0,5500000.0
2016-03-11,12700,13000,12500,12750,7699,70125.0,5500000.0
2016-03-14,12950,12950,12550,12550,5021,69025.0,5500000.0
2016-03-15,12550,12900,12550,12850,5027,70675.0,5500000.0
