천보(278280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-11,52500,53000,47300,47300,2503503,466203.0,9856294.0
2019-02-12,47850,49150,47300,48500,737515,478030.0,9856294.0
2019-02-13,48600,49900,46050,49300,585364,485915.0,9856294.0
2019-02-14,49900,51600,49500,50300,668382,495772.0,9856294.0
2019-02-15,50000,50100,47700,49400,359835,486901.0,9856294.0
2019-02-18,50300,50800,49300,49600,167075,488872.0,9856294.0
2019-02-19,49300,52400,48400,50800,504325,500700.0,9856294.0
2019-02-20,51500,55000,51000,54300,612471,535197.0,9856294.0
2019-02-21,54300,56800,53200,54000,339047,540000.0,10000000.0
2019-02-22,53500,55300,52300,54100,283855,541000.0,10000000.0
2019-02-25,54200,56800,53500,56500,246209,565000.0,10000000.0
2019-02-26,55800,57000,54400,54700,237816,547000.0,10000000.0
2019-02-27,54600,55200,53400,55000,170669,550000.0,10000000.0
2019-02-28,55800,58900,54900,55600,357268,556000.0,10000000.0
2019-03-04,56900,59300,56300,58800,237726,588000.0,10000000.0
2019-03-05,58800,60900,57500,59600,260027,596000.0,10000000.0
2019-03-06,60300,60300,58300,59100,172016,591000.0,10000000.0
2019-03-07,59600,68500,59100,64000,539862,640000.0,10000000.0
2019-03-08,64000,67800,63400,64700,263162,647000.0,10000000.0
2019-03-11,63600,68400,63500,68400,228527,684000.0,10000000.0
2019-03-12,68900,70600,66500,67600,229460,676000.0,10000000.0
2019-03-13,67900,70900,66600,69100,256053,691000.0,10000000.0
2019-03-14,70000,75000,69900,73800,249292,738000.0,10000000.0
2019-03-15,76400,83300,75400,77500,401112,775000.0,10000000.0
2019-03-18,80000,82500,78500,80900,269727,809000.0,10000000.0
2019-03-19,81800,82800,78000,78000,239394,780000.0,10000000.0
2019-03-20,78800,79900,73400,77200,295087,772000.0,10000000.0
2019-03-21,79100,79900,75000,77900,253324,779000.0,10000000.0
2019-03-22,78600,78600,75400,75700,123873,757000.0,10000000.0
2019-03-25,74000,74200,70600,72000,223999,720000.0,10000000.0
2019-03-26,73200,76800,70700,76800,121169,768000.0,10000000.0
2019-03-27,77200,78400,75300,77300,97901,773000.0,10000000.0
2019-03-28,77000,77300,71500,71500,187885,715000.0,10000000.0
2019-03-29,71800,72000,66900,70200,242265,702000.0,10000000.0
2019-04-01,69600,72800,69500,71600,96326,716000.0,10000000.0
2019-04-02,71900,74200,71900,72300,112251,723000.0,10000000.0
2019-04-03,73000,74700,71700,74500,92517,745000.0,10000000.0
2019-04-04,74500,75300,72400,73800,78653,738000.0,10000000.0
2019-04-05,74900,74900,72300,72900,62326,729000.0,10000000.0
2019-04-08,73300,73400,70200,72200,110315,722000.0,10000000.0
2019-04-09,73400,78600,72700,78500,269283,785000.0,10000000.0
2019-04-10,78400,85700,77500,84300,387770,843000.0,10000000.0
2019-04-11,84300,85400,82300,83100,176550,831000.0,10000000.0
2019-04-12,83400,86700,82500,85400,183761,854000.0,10000000.0
2019-04-15,84400,85300,82300,83700,137374,837000.0,10000000.0
2019-04-16,84000,85800,81200,85800,118494,858000.0,10000000.0
2019-04-17,86000,87100,83900,84600,109120,846000.0,10000000.0
