나노스(151910),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-08-02,4122,4731,4088,4734,8204323,77925.0,7316920.0
2012-08-03,4754,5021,4577,4756,3689923,78291.0,7316920.0
2012-08-06,4909,4954,4287,4360,2741315,71779.0,7316920.0
2012-08-07,4314,4337,4194,4267,970710,70242.0,7316920.0
2012-08-08,4314,4390,4203,4222,1096947,69511.0,7316920.0
2012-08-09,4104,4199,3860,3947,1212777,64974.0,7316920.0
2012-08-10,3945,4532,3945,4129,3000066,67974.0,7316920.0
2012-08-13,4154,4319,4110,4138,584151,68121.0,7316920.0
2012-08-14,4154,4687,4128,4445,2428580,73169.0,7316920.0
2012-08-16,4599,4709,4429,4623,1086607,76096.0,7316920.0
2012-08-17,4665,5310,4665,5311,2403246,87437.0,7316920.0
2012-08-20,5310,5465,5110,5378,2001719,97610.0,8066920.0
2012-08-21,5332,5399,5021,5067,1072545,91963.0,8066920.0
2012-08-22,5131,5131,4909,5023,769345,91156.0,8066920.0
2012-08-23,5109,5354,4998,5245,1083707,95190.0,8066920.0
2012-08-24,5132,5177,4909,4978,610760,90350.0,8066920.0
2012-08-27,4665,4732,4381,4512,1027144,81879.0,8066920.0
2012-08-28,4554,4709,4509,4645,563155,84299.0,8066920.0
2012-08-29,4710,4776,4599,4756,377192,86316.0,8066920.0
2012-08-30,4732,5043,4599,4889,621750,88736.0,8066920.0
2012-08-31,4887,4998,4776,4911,437027,89139.0,8066920.0
2012-09-03,4999,5021,4754,4889,682658,88736.0,8066920.0
2012-09-04,4932,5443,4932,5222,1714212,94786.0,8066920.0
2012-09-05,5177,5221,4909,4911,486925,89139.0,8066920.0
2012-09-06,4999,5220,4909,5155,536798,93576.0,8066920.0
2012-09-07,5288,5865,5132,5800,2341819,105273.0,8066920.0
2012-09-10,5799,6110,5689,5889,1632692,106887.0,8066920.0
2012-09-11,5932,6000,5710,6000,882667,108903.0,8066920.0
2012-09-12,5955,6133,5888,6000,629553,108903.0,8066920.0
2012-09-13,6110,6377,5755,6022,1380683,109307.0,8066920.0
2012-09-14,6177,6354,5888,5956,947873,108097.0,8066920.0
2012-09-17,5932,6155,5687,6045,604392,109710.0,8066920.0
2012-09-18,5955,6399,5932,6267,980590,113744.0,8066920.0
2012-09-19,6176,6266,6088,6200,380660,112534.0,8066920.0
2012-09-20,6199,6466,6155,6423,567469,116567.0,8066920.0
2012-09-21,6421,6532,6221,6289,328969,114147.0,8066920.0
2012-09-24,6221,6266,5888,5956,697221,108097.0,8066920.0
2012-09-25,5888,6043,5820,5845,211256,106080.0,8066920.0
2012-09-26,5842,5999,5598,5911,522756,107290.0,8066920.0
2012-09-27,5821,5866,5399,5601,485453,101643.0,8066920.0
2012-09-28,5621,5643,5221,5222,729735,94786.0,8066920.0
2012-10-02,5265,5465,5221,5378,315155,97610.0,8066920.0
2012-10-04,5399,5710,5377,5689,605448,103257.0,8066920.0
2012-10-05,5776,5865,5599,5778,424525,104870.0,8066920.0
2012-10-08,5843,6199,5754,6200,725694,112534.0,8066920.0
2012-10-09,6266,6310,5932,5956,574748,108097.0,8066920.0
2012-10-10,5888,6043,5732,5845,273080,106080.0,8066920.0
2012-10-11,5821,6021,5732,5867,233378,106483.0,8066920.0
2012-10-12,5820,6155,5799,6089,304001,110517.0,8066920.0
2012-10-15,6176,6242,5799,5911,522868,107290.0,8066920.0
2012-10-16,5932,5932,5554,5645,477736,102450.0,8066920.0
2012-10-17,5643,5777,5399,5490,365255,99626.0,8066920.0
2012-10-18,5555,5621,5221,5222,358933,94786.0,8066920.0
2012-10-19,5220,5443,5132,5445,179702,98820.0,8066920.0
2012-10-22,5332,5710,5310,5622,196820,102047.0,8066920.0
2012-10-23,5688,5865,5598,5823,261293,105677.0,8066920.0
2012-10-24,5777,6065,5710,5867,477984,106483.0,8066920.0
2012-10-25,5955,5977,5599,5689,317443,103257.0,8066920.0
2012-10-26,5688,5731,5465,5534,188413,100433.0,8066920.0
2012-10-29,5488,5577,5243,5556,348165,100836.0,8066920.0
2012-10-30,5377,5509,5243,5333,274602,96803.0,8066920.0
2012-10-31,5399,5488,5332,5356,204970,97206.0,8066920.0
2012-11-01,5331,5376,5199,5245,274694,95190.0,8066920.0
2012-11-02,5288,5421,5242,5267,285988,95593.0,8066920.0
2012-11-05,5310,5310,5065,5111,261629,92770.0,8066920.0
2012-11-06,5109,5354,5109,5333,199366,96803.0,8066920.0
2012-11-07,5265,5354,5088,5134,346304,93173.0,8066920.0
2012-11-08,5021,5354,4999,5311,349078,96400.0,8066920.0
2012-11-09,5332,5754,5266,5734,589514,104063.0,8066920.0
2012-11-12,5843,5977,5688,5823,495292,105677.0,8066920.0
2012-11-13,5888,6065,5777,5956,571734,108097.0,8066920.0
2012-11-14,5999,6042,5598,5645,439800,102450.0,8066920.0
2012-11-15,5399,5599,5266,5467,412757,99223.0,8066920.0
2012-11-16,5399,5532,5177,5333,212749,96803.0,8066920.0
2012-11-19,5376,5776,5354,5778,316506,104870.0,8066920.0
2012-11-20,5865,5865,5399,5534,429058,100433.0,8066920.0
2012-11-21,5532,5754,5443,5667,226457,102853.0,8066920.0
2012-11-22,5732,6088,5688,6022,677021,109307.0,8066920.0
2012-11-23,6042,6110,5842,6045,490491,109710.0,8066920.0
2012-11-26,6087,6332,5977,6178,597943,112130.0,8066920.0
2012-11-27,6243,6310,5888,6067,392538,110113.0,8066920.0
2012-11-28,6066,6599,6066,6534,603877,118584.0,8066920.0
2012-11-29,6576,6999,6510,6978,1023290,126651.0,8066920.0
2012-11-30,6955,7044,6799,6978,375542,126651.0,8066920.0
2012-12-03,7066,7288,6866,6933,485279,125844.0,8066920.0
2012-12-04,6866,7177,6866,7178,345628,130281.0,8066920.0
2012-12-05,7176,7332,6955,7111,292879,129071.0,8066920.0
2012-12-06,7088,7310,6865,6867,305780,124634.0,8066920.0
2012-12-07,6866,7043,6377,6801,351578,123424.0,8066920.0
2012-12-10,6776,6977,6576,6956,177894,126247.0,8066920.0
2012-12-11,6932,6932,6665,6801,150907,123424.0,8066920.0
2012-12-12,6777,6955,6621,6667,129710,121004.0,8066920.0
2012-12-13,6710,6977,6665,6889,230011,125037.0,8066920.0
2012-12-14,6888,7154,6843,6912,242151,125441.0,8066920.0
2012-12-17,6932,7087,6776,6822,116763,123827.0,8066920.0
2012-12-18,6821,6910,6643,6689,136644,121407.0,8066920.0
2012-12-20,6820,7109,6642,6711,330073,124302.0,8231920.0
2012-12-21,6710,6798,6376,6734,208906,124714.0,8231920.0
2012-12-24,6755,6932,6665,6756,145316,125125.0,8231920.0
2012-12-26,6755,6999,6755,6889,172110,127595.0,8231920.0
2012-12-27,6887,7398,6687,7356,391793,136238.0,8231920.0
2012-12-28,7643,7799,7444,7667,490329,142001.0,8231920.0
2013-01-02,7688,7754,7510,7689,334150,142412.0,8231920.0
2013-01-03,7643,7888,7377,7467,209586,138296.0,8231920.0
2013-01-04,7509,7754,7376,7756,212845,143647.0,8231920.0
2013-01-07,7777,8289,7666,8133,401372,150644.0,8231920.0
2013-01-08,8132,8199,7977,8156,150376,151056.0,8231920.0
2013-01-09,8176,8176,7687,7800,491114,144470.0,8231920.0
2013-01-10,7754,8021,7732,7956,344208,147351.0,8231920.0
2013-01-11,8021,8643,7954,8311,1028928,153937.0,8231920.0
2013-01-14,8332,8488,8133,8133,246225,150644.0,8231920.0
2013-01-15,8176,8176,7798,7889,190972,146117.0,8231920.0
2013-01-16,7865,8087,7754,7823,128109,144882.0,8231920.0
2013-01-17,7821,8044,7776,7823,122218,146818.0,8341920.0
2013-01-18,7866,8088,7866,8000,121852,150155.0,8341920.0
2013-01-21,8066,8066,7888,7978,126614,149737.0,8341920.0
2013-01-22,8088,8244,8044,8244,343766,154743.0,8341920.0
2013-01-23,8177,8221,7955,7956,162074,149320.0,8341920.0
2013-01-24,7976,8044,7776,7800,141422,146401.0,8341920.0
2013-01-25,7843,7910,7265,7467,245074,140144.0,8341920.0
2013-01-28,7465,7488,7066,7178,220394,134722.0,8341920.0
2013-01-29,7155,7421,7155,7356,130593,138059.0,8341920.0
2013-01-30,7310,7421,7265,7379,85437,138476.0,8341920.0
2013-01-31,7398,7421,7287,7356,55511,138059.0,8341920.0
2013-02-01,7354,7377,7066,7178,131478,134722.0,8341920.0
2013-02-04,7266,7688,7199,7333,210428,137642.0,8341920.0
2013-02-05,7199,7466,7199,7445,92562,139727.0,8341920.0
2013-02-06,7555,7821,7487,7778,221012,145984.0,8341920.0
2013-02-07,7777,7933,7709,7845,154165,147235.0,8341920.0
2013-02-08,7888,7977,7644,7778,184579,145984.0,8341920.0
2013-02-12,7843,7888,7599,7778,152839,145984.0,8341920.0
2013-02-13,7888,7932,7799,7934,126416,148903.0,8341920.0
2013-02-14,7999,8177,7910,8111,271633,152240.0,8341920.0
2013-02-15,8176,8310,8065,8156,242947,153074.0,8341920.0
2013-02-18,8221,8400,8177,8267,147978,155160.0,8341920.0
2013-02-19,8310,8377,8133,8267,230823,155160.0,8341920.0
2013-02-20,8266,8377,8065,8067,257740,151406.0,8341920.0
2013-02-21,7954,8044,7620,7889,653490,148069.0,8341920.0
2013-02-22,7932,9065,7910,9000,1216141,168924.0,8341920.0
2013-02-25,8932,9221,8866,8956,358810,168090.0,8341920.0
2013-02-26,8843,9487,8843,9379,394522,176015.0,8341920.0
2013-02-27,9377,9622,9133,9556,239742,179351.0,8341920.0
2013-02-28,9554,9598,9332,9490,190484,178100.0,8341920.0
2013-03-04,9487,9555,9332,9356,142137,175597.0,8341920.0
2013-03-05,9288,9688,9221,9423,244176,176849.0,8341920.0
2013-03-06,9487,9509,9243,9289,184295,174346.0,8341920.0
2013-03-07,9288,9288,8843,8934,284787,167673.0,8341920.0
2013-03-08,8955,9243,8932,9200,208392,172678.0,8341920.0
