펌텍코리아(251970),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-04,25990,27357,22646,23148,243335,286737.0,1882710.0
2019-07-05,23147,25822,23102,24896,143706,308388.0,1882710.0
2019-07-08,24667,24895,22813,23072,40169,285795.0,1882710.0
2019-07-09,23208,23953,22874,23087,19065,285984.0,1882710.0
2019-07-10,23330,24090,22859,23665,20307,293138.0,1882710.0
2019-07-11,23421,24120,23421,23695,24324,293514.0,1882710.0
2019-07-12,23831,23953,22965,23285,14368,288431.0,1882710.0
2019-07-15,23330,24622,20822,21613,123214,267721.0,1882710.0
2019-07-16,22281,22691,21415,22464,39073,278265.0,1882710.0
2019-07-17,22205,22691,22190,22373,13604,277135.0,1882710.0
2019-07-18,22342,22600,21339,21385,24612,264897.0,1882710.0
2019-07-19,21703,21977,21278,21552,11811,266968.0,1882710.0
2019-07-22,21445,21612,21293,21370,8391,264709.0,1882710.0
2019-07-23,21339,21703,21308,21339,8289,264332.0,1882710.0
2019-07-24,21582,22418,21354,22054,26543,273181.0,1882710.0
2019-07-25,22114,22600,21703,22023,14100,272805.0,1882710.0
2019-07-26,21673,21977,21141,21674,20458,268474.0,1882710.0
2019-07-29,21886,22311,21400,21400,19367,265086.0,1882710.0
2019-07-30,27800,27800,20200,20350,886776,38313.0,1882710.0
2019-07-31,20350,20500,18800,19550,94928,36807.0,1882710.0
2019-08-01,19550,20500,19200,19350,99396,36430.0,1882710.0
2019-08-02,19000,19350,18650,18750,50686,35301.0,1882710.0
2019-08-05,18700,18750,16750,16850,63967,31724.0,1882710.0
2019-08-06,16200,16550,15400,15600,58489,29370.0,1882710.0
2019-08-07,15700,16150,15650,15900,31329,29935.0,1882710.0
2019-08-08,15900,19150,15900,17550,166677,33042.0,1882710.0
2019-08-09,17450,22800,17450,22800,464722,42926.0,1882710.0
2019-08-12,24000,25200,21950,22550,182100,42455.0,1882710.0
2019-08-13,22200,22850,21150,22550,123411,42455.0,1882710.0
2019-08-14,22550,23000,21400,21400,72804,40290.0,1882710.0
2019-08-16,21050,21850,19150,19150,65919,36054.0,1882710.0
2019-08-19,19300,19350,17250,17400,82731,32759.0,1882710.0
2019-08-20,17500,17700,16500,17050,146690,32100.0,1882710.0
2019-08-21,16950,18500,16900,17950,143274,33795.0,1882710.0
2019-08-22,17500,17650,16700,16850,248182,208940.0,12400000.0
2019-08-23,16700,17200,16250,16550,163444,205220.0,12400000.0
2019-08-26,16000,16150,15550,15600,100188,193440.0,12400000.0
2019-08-27,15800,16350,15600,15950,124652,197780.0,12400000.0
2019-08-28,15900,16000,15600,15950,75443,197780.0,12400000.0
2019-08-29,16000,16750,15900,16450,162296,203980.0,12400000.0
2019-08-30,16600,16900,16350,16600,113597,205840.0,12400000.0
2019-09-02,16550,16650,16100,16150,88865,200260.0,12400000.0
2019-09-03,16150,18000,15950,17300,374498,214520.0,12400000.0
2019-09-04,17450,18050,17050,17950,212346,222580.0,12400000.0
2019-09-05,17900,17900,17100,17350,121923,215140.0,12400000.0
2019-09-06,17450,17550,16750,16750,87595,207700.0,12400000.0
2019-09-09,17050,17300,16550,16650,64306,206460.0,12400000.0
2019-09-10,16700,17250,16550,16900,98587,209560.0,12400000.0
2019-09-11,16900,17700,16800,17550,121830,217620.0,12400000.0
2019-09-16,17700,17700,17150,17350,66765,215140.0,12400000.0
2019-09-17,17250,17300,16850,16900,79888,209560.0,12400000.0
2019-09-18,16900,17200,16850,17150,32529,212660.0,12400000.0
2019-09-19,17150,17250,16850,17100,39261,212040.0,12400000.0
2019-09-20,16950,17600,16850,17150,64223,212660.0,12400000.0
2019-09-23,17100,17300,16650,16750,57353,207700.0,12400000.0
2019-09-24,16750,16950,16600,16700,32251,207080.0,12400000.0
2019-09-25,16700,16700,16250,16250,46569,201500.0,12400000.0
2019-09-26,16400,16400,15700,16000,82960,198400.0,12400000.0
2019-09-27,15900,16450,15800,16150,67735,200260.0,12400000.0
2019-09-30,15950,16650,15750,16150,53767,,
2019-10-01,16300,16300,15950,16100,41979,,
2019-10-02,15950,16400,15900,16400,42155,,
2019-10-04,16300,16400,15800,16100,53830,,
2019-10-07,16000,16350,15850,16150,46729,,
