디케이락(105740),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-11-12,7480,7540,6360,6460,3305623,40052.0,6200000.0
2010-11-15,6550,6720,6110,6140,858880,38068.0,6200000.0
2010-11-16,6210,6260,5620,5650,488883,35030.0,6200000.0
2010-11-17,5600,6050,5480,5600,488469,34720.0,6200000.0
2010-11-18,5660,5850,5630,5800,226043,35960.0,6200000.0
2010-11-19,5820,6360,5770,5870,740403,36394.0,6200000.0
2010-11-22,5850,5960,5650,5650,165932,35030.0,6200000.0
2010-11-23,5700,5720,5290,5360,173896,33232.0,6200000.0
2010-11-24,5000,5280,4715,5140,107225,31868.0,6200000.0
2010-11-25,5300,5520,5170,5250,106354,32550.0,6200000.0
2010-11-26,5260,5340,4850,4910,152434,30442.0,6200000.0
2010-11-29,4890,5090,4800,5000,85381,31000.0,6200000.0
2010-11-30,5000,5080,4915,4945,71305,30659.0,6200000.0
2010-12-01,4920,5050,4920,5010,46795,31062.0,6200000.0
2010-12-02,5060,5240,5050,5090,78945,31558.0,6200000.0
2010-12-03,5140,5240,5060,5110,42478,31682.0,6200000.0
2010-12-06,5200,5200,4900,4910,71371,30442.0,6200000.0
2010-12-07,4940,5070,4880,4970,47755,30814.0,6200000.0
2010-12-08,4970,4990,4800,4840,67972,30008.0,6200000.0
2010-12-09,4840,4920,4810,4825,40247,29915.0,6200000.0
2010-12-10,4805,4850,4765,4845,39617,30039.0,6200000.0
2010-12-13,4865,5130,4810,4930,99051,30566.0,6200000.0
2010-12-14,4920,4930,4830,4840,46226,30008.0,6200000.0
2010-12-15,4900,4900,4805,4805,30311,29791.0,6200000.0
2010-12-16,4780,4890,4730,4805,62868,29791.0,6200000.0
2010-12-17,4835,4835,4655,4655,66342,28861.0,6200000.0
2010-12-20,4500,4525,4310,4515,91452,27993.0,6200000.0
2010-12-21,4560,4600,4470,4600,75285,28520.0,6200000.0
2010-12-22,4600,4910,4600,4760,59956,29512.0,6200000.0
2010-12-23,4795,5300,4700,5190,149261,32178.0,6200000.0
2010-12-24,5240,5430,5080,5240,224694,32488.0,6200000.0
2010-12-27,5330,5450,5150,5300,119220,32860.0,6200000.0
2010-12-28,5200,5350,5020,5070,58434,31434.0,6200000.0
2010-12-29,5060,5290,5060,5200,61388,32240.0,6200000.0
2010-12-30,5250,5710,5150,5620,196793,34844.0,6200000.0
2011-01-03,5680,5830,5510,5510,111121,34162.0,6200000.0
2011-01-04,5570,5570,5420,5470,89470,33914.0,6200000.0
2011-01-05,5560,5800,5450,5680,135091,35216.0,6200000.0
2011-01-06,5710,5960,5580,5580,210683,34596.0,6200000.0
2011-01-07,5640,5880,5520,5800,112764,35960.0,6200000.0
2011-01-10,5800,5890,5640,5780,63261,35836.0,6200000.0
2011-01-11,5780,5790,5510,5620,73012,34844.0,6200000.0
2011-01-12,5680,5680,5390,5600,61071,34720.0,6200000.0
2011-01-13,5650,5650,5460,5520,18774,34224.0,6200000.0
2011-01-14,5520,5600,5380,5560,40739,34472.0,6200000.0
2011-01-17,5620,5680,5480,5560,27254,34472.0,6200000.0
2011-01-18,5600,5620,5400,5480,37238,33976.0,6200000.0
2011-01-19,5510,5510,5230,5480,78594,33976.0,6200000.0
2011-01-20,5490,5590,5300,5470,29269,33914.0,6200000.0
2011-01-21,5530,5660,5280,5280,327747,32736.0,6200000.0
2011-01-24,5280,5290,5050,5250,47168,32550.0,6200000.0
2011-01-25,5260,5310,5180,5270,29664,32674.0,6200000.0
2011-01-26,5270,5330,5150,5270,22027,32674.0,6200000.0
2011-01-27,5270,5270,5020,5200,41368,32240.0,6200000.0
2011-01-28,5190,5240,5080,5150,16369,31930.0,6200000.0
2011-01-31,5040,5180,4980,5140,14963,31868.0,6200000.0
2011-02-01,5140,5140,5030,5140,14366,31868.0,6200000.0
2011-02-07,5140,5170,5050,5130,11455,31806.0,6200000.0
2011-02-08,5180,5180,5000,5000,18036,31000.0,6200000.0
2011-02-09,4950,5180,4905,5070,44864,31434.0,6200000.0
2011-02-10,5070,5110,4970,5050,11389,31310.0,6200000.0
2011-02-11,5100,5100,4930,5030,12975,31186.0,6200000.0
