나우아이비캐피탈(293580),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-10-04,9300,9770,7060,7180,4115230,68066.0,9480000.0
2018-10-05,7150,7300,6550,6650,986814,63042.0,9480000.0
2018-10-08,6650,6730,6330,6330,337081,60008.0,9480000.0
2018-10-10,6270,6420,5940,6050,380741,57354.0,9480000.0
2018-10-11,5770,5960,5440,5540,318162,52519.0,9480000.0
2018-10-12,5560,5960,5510,5620,387612,53278.0,9480000.0
2018-10-15,5590,5650,5390,5500,184916,52140.0,9480000.0
2018-10-16,5500,5850,5500,5640,240943,53467.0,9480000.0
2018-10-17,5770,5840,5590,5770,162737,54700.0,9480000.0
2018-10-18,5770,5850,5660,5740,77742,54415.0,9480000.0
2018-10-19,5690,5790,5470,5600,91276,53088.0,9480000.0
2018-10-22,5600,5660,5500,5570,44948,52804.0,9480000.0
2018-10-23,5570,5660,5230,5230,160574,49580.0,9480000.0
2018-10-24,5260,5370,4955,5070,105253,48064.0,9480000.0
2018-10-25,4900,4905,4630,4710,155582,44651.0,9480000.0
2018-10-26,4740,4780,4475,4590,87187,43513.0,9480000.0
2018-10-29,4590,4770,4295,4295,71935,40717.0,9480000.0
2018-10-30,4015,4575,4015,4385,86854,41570.0,9480000.0
2018-10-31,4490,5060,4210,4750,154276,45030.0,9480000.0
2018-11-01,4890,4960,4585,4720,64319,44746.0,9480000.0
2018-11-02,4730,4920,4645,4810,59068,45599.0,9480000.0
2018-11-05,4805,4805,4610,4655,41911,44129.0,9480000.0
2018-11-06,4720,4720,4370,4590,63627,43513.0,9480000.0
2018-11-07,4550,4650,4500,4540,25483,43039.0,9480000.0
2018-11-08,4590,4595,4470,4570,26507,43324.0,9480000.0
2018-11-09,4550,4700,4365,4560,43986,43229.0,9480000.0
2018-11-12,4555,4700,4475,4480,27124,42470.0,9480000.0
2018-11-13,4450,4645,4320,4450,29291,42186.0,9480000.0
2018-11-14,4470,4470,4400,4420,17511,41902.0,9480000.0
2018-11-15,4420,4460,4335,4370,24966,41428.0,9480000.0
2018-11-16,4375,4435,4330,4410,37390,41807.0,9480000.0
2018-11-19,4450,5380,4430,5020,1358248,47590.0,9480000.0
2018-11-20,4960,5000,4790,4845,179094,45931.0,9480000.0
2018-11-21,4765,4800,4650,4790,110783,45409.0,9480000.0
2018-11-22,4760,4930,4640,4680,181937,44366.0,9480000.0
2018-11-23,4710,4760,4610,4740,59834,44935.0,9480000.0
2018-11-26,4690,4775,4690,4755,68156,45077.0,9480000.0
2018-11-27,4755,4950,4755,4805,85730,45551.0,9480000.0
2018-11-28,4850,4850,4710,4755,43610,45077.0,9480000.0
