서울옥션(063170),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-07-01,9900,9900,8420,8420,2346196,138930.0,16500000.0
2008-07-02,8500,9200,7910,8070,934122,133155.0,16500000.0
2008-07-03,8020,8150,7580,7600,368870,125400.0,16500000.0
2008-07-04,7700,8050,7400,7600,357080,125400.0,16500000.0
2008-07-07,7600,7840,6460,6460,665655,106590.0,16500000.0
2008-07-08,6450,6540,5510,5760,991086,95040.0,16500000.0
2008-07-09,5980,6150,5740,5800,484232,95700.0,16500000.0
2008-07-10,5700,6620,5450,6350,668134,104775.0,16500000.0
2008-07-11,6440,6940,6190,6900,419166,113850.0,16500000.0
2008-07-14,6800,7000,6570,6750,143327,111375.0,16500000.0
2008-07-15,6700,6710,6210,6430,227792,106095.0,16500000.0
2008-07-16,6520,6850,6410,6800,190606,112200.0,16500000.0
2008-07-17,7020,7210,6700,6970,117029,115005.0,16500000.0
2008-07-18,7000,7050,6720,6790,84035,112035.0,16500000.0
2008-07-21,6850,6980,6700,6890,61908,113685.0,16500000.0
2008-07-22,6800,6880,6470,6640,84701,109560.0,16500000.0
2008-07-23,6670,6750,6550,6640,45373,109560.0,16500000.0
2008-07-24,6710,6710,6410,6530,93901,107745.0,16500000.0
2008-07-25,6460,6540,6280,6420,70735,105930.0,16500000.0
2008-07-28,6570,6590,6380,6500,40898,107250.0,16500000.0
2008-07-29,6500,6500,6100,6490,73624,107085.0,16500000.0
2008-07-30,6490,6510,6330,6370,35186,105105.0,16500000.0
2008-07-31,6350,6440,6350,6370,16847,105105.0,16500000.0
2008-08-01,6400,6400,6160,6280,27287,103620.0,16500000.0
2008-08-04,6330,6330,5930,6150,44994,101475.0,16500000.0
2008-08-05,6140,6300,5830,6230,107651,102795.0,16500000.0
2008-08-06,6270,6850,6150,6720,171616,110880.0,16500000.0
2008-08-07,6790,6830,6600,6730,52906,111045.0,16500000.0
2008-08-08,6720,7200,6620,7160,139230,118140.0,16500000.0
2008-08-11,7160,7600,7160,7330,150462,120945.0,16500000.0
2008-08-12,7330,7550,7330,7340,52523,121110.0,16500000.0
2008-08-13,7210,7440,7210,7310,29507,120615.0,16500000.0
2008-08-14,7400,7440,7210,7400,31829,122100.0,16500000.0
2008-08-18,7450,7640,7350,7470,41829,123255.0,16500000.0
2008-08-19,7490,7490,7190,7400,24054,122100.0,16500000.0
2008-08-20,7300,7580,7260,7380,17102,121770.0,16500000.0
2008-08-21,7460,7460,7150,7150,24765,117975.0,16500000.0
2008-08-22,7030,7150,6550,6800,49075,112200.0,16500000.0
2008-08-25,6960,6960,6700,6700,25413,110550.0,16500000.0
2008-08-26,6350,6670,6280,6440,113153,106260.0,16500000.0
2008-08-27,6550,6650,6320,6600,43266,108900.0,16500000.0
2008-08-28,6460,6580,6390,6480,32477,106920.0,16500000.0
2008-08-29,6670,6670,6350,6500,36425,107250.0,16500000.0
2008-09-01,6260,6460,5530,5530,268656,91245.0,16500000.0
2008-09-02,5000,5340,4710,5300,805726,87450.0,16500000.0
2008-09-03,5080,5850,5080,5730,213657,94545.0,16500000.0
2008-09-04,5460,5930,5400,5400,100094,89100.0,16500000.0
2008-09-05,5250,5400,5150,5400,66267,89100.0,16500000.0
2008-09-08,5660,5660,5300,5620,193851,92730.0,16500000.0
2008-09-09,5690,5690,5340,5390,24974,88935.0,16500000.0
2008-09-10,5390,5390,4960,5160,172205,85140.0,16500000.0
2008-09-11,5090,5130,5000,5000,31489,82500.0,16500000.0
2008-09-12,5030,5210,5010,5080,61622,83820.0,16500000.0
2008-09-16,4730,4730,4320,4520,370624,74580.0,16500000.0
2008-09-17,4680,4865,4480,4570,160732,75405.0,16500000.0
2008-09-18,4375,4690,4200,4680,91335,77220.0,16500000.0
2008-09-19,4700,4845,4560,4690,139282,77385.0,16500000.0
2008-09-22,4745,4860,4590,4630,66475,76395.0,16500000.0
2008-09-23,4630,4715,4600,4660,68665,76890.0,16500000.0
2008-09-24,4695,4700,4600,4680,26211,77220.0,16500000.0
2008-09-25,4655,4820,4655,4800,67000,79200.0,16500000.0
2008-09-26,4800,5080,4710,4940,86012,81510.0,16500000.0
2008-09-29,4980,5150,4950,5010,50690,82665.0,16500000.0
2008-09-30,4730,5140,4620,5080,53358,83820.0,16500000.0
2008-10-01,5160,5200,4950,5100,27717,84150.0,16500000.0
2008-10-02,5100,5100,4850,5050,14368,83325.0,16500000.0
2008-10-06,5020,5020,4520,4890,64885,80685.0,16500000.0
2008-10-07,4810,4810,4500,4590,22617,75735.0,16500000.0
2008-10-08,4540,4540,3915,3930,48177,64845.0,16500000.0
2008-10-09,3930,4175,3930,4135,27637,68228.0,16500000.0
2008-10-10,3925,4200,3570,4140,55418,68310.0,16500000.0
2008-10-13,4150,4200,4060,4150,22717,68475.0,16500000.0
2008-10-14,4210,4490,4170,4205,111560,69382.0,16500000.0
2008-10-15,4205,4265,4115,4200,62224,69300.0,16500000.0
2008-10-16,4000,4000,3640,3885,36130,64102.0,16500000.0
2008-10-17,4070,4070,3710,3945,28544,65092.0,16500000.0
2008-10-20,4120,4120,3435,3615,68634,59648.0,16500000.0
2008-10-21,3780,3780,3310,3400,121168,56100.0,16500000.0
2008-10-22,3390,3390,3040,3250,45478,53625.0,16500000.0
2008-10-23,2905,3040,2765,2795,188900,46118.0,16500000.0
2008-10-24,2765,2875,2380,2530,99790,41745.0,16500000.0
2008-10-27,2525,2620,2215,2520,28873,41580.0,16500000.0
2008-10-28,2345,2570,2270,2570,27848,42405.0,16500000.0
2008-10-29,2600,2895,2380,2540,66537,41910.0,16500000.0
2008-10-30,2630,2920,2600,2920,100136,48180.0,16500000.0
2008-10-31,2855,3280,2840,3250,14612,53625.0,16500000.0
2008-11-03,3250,3400,2955,3350,274190,55275.0,16500000.0
2008-11-04,3340,3340,3100,3285,185534,54202.0,16500000.0
2008-11-05,3300,3550,3300,3515,59491,57998.0,16500000.0
2008-11-06,3290,3490,3105,3490,91466,57585.0,16500000.0
2008-11-07,3155,3635,3150,3635,32334,59978.0,16500000.0
2008-11-10,3575,3780,3565,3780,76182,62370.0,16500000.0
2008-11-11,3700,3830,3620,3825,66274,63112.0,16500000.0
2008-11-12,3830,3880,3660,3780,70018,62370.0,16500000.0
2008-11-13,3590,3745,3470,3595,79890,59318.0,16500000.0
2008-11-14,3630,3700,3450,3490,139669,57585.0,16500000.0
2008-11-17,3540,3550,3400,3400,67786,56100.0,16500000.0
2008-11-18,3450,3545,3250,3300,15528,54450.0,16500000.0
2008-11-19,3330,3330,2995,3120,91760,51480.0,16500000.0
2008-11-20,3050,3050,2705,2985,26169,49252.0,16500000.0
