한라IMS(092460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-05-22,11501,13207,11501,13207,408415,118500.0,6000000.0
2007-05-23,14710,15178,13506,15180,632579,136200.0,6000000.0
2007-05-25,15179,15982,12906,12973,417967,116400.0,6000000.0
2007-05-28,13340,13507,11836,12438,212879,111600.0,6000000.0
2007-05-29,12704,12905,12336,12405,140782,111300.0,6000000.0
2007-05-30,12438,12538,10866,11234,200378,100800.0,6000000.0
2007-05-31,11501,12906,11033,12237,353948,109800.0,6000000.0
2007-06-01,12202,14041,11868,14043,245446,126000.0,6000000.0
2007-06-04,15380,16149,15380,16149,106087,144900.0,6000000.0
2007-06-05,17786,18488,16148,18189,690961,163200.0,6000000.0
2007-06-07,18187,20862,17452,19460,313180,174600.0,6000000.0
2007-06-08,19458,20729,18656,18724,218584,168000.0,6000000.0
2007-06-11,19157,19625,16716,16852,130425,151200.0,6000000.0
2007-06-12,16817,17820,16482,17019,127070,152700.0,6000000.0
2007-06-13,16717,16784,15748,15848,118233,142200.0,6000000.0
2007-06-14,16517,18222,16249,18222,205733,163500.0,6000000.0
2007-06-15,19425,20528,18923,19861,364160,178200.0,6000000.0
2007-06-18,20328,20496,19058,19359,150021,173700.0,6000000.0
2007-06-19,19391,19491,18254,19326,78635,173400.0,6000000.0
2007-06-20,19292,19292,17720,17988,78241,161400.0,6000000.0
2007-06-21,17352,20194,16917,19092,186807,171300.0,6000000.0
2007-06-22,17786,18522,16248,16250,802407,145800.0,6000000.0
2007-06-25,15479,17385,15279,15782,558262,141600.0,6000000.0
2007-06-26,16316,16884,15781,16450,340342,147600.0,6000000.0
2007-06-27,16482,16649,14911,15180,197463,136200.0,6000000.0
2007-06-28,15246,15915,15079,15079,125138,135300.0,6000000.0
2007-06-29,15379,17318,15145,17320,564801,155400.0,6000000.0
2007-07-02,17719,18121,16783,16785,304001,150600.0,6000000.0
2007-07-03,17052,17353,16717,16918,190193,151800.0,6000000.0
2007-07-04,17385,18054,17151,17320,258313,155400.0,6000000.0
2007-07-05,17418,17953,16850,16852,172345,151200.0,6000000.0
2007-07-06,16850,18321,16549,18156,313378,162900.0,6000000.0
2007-07-09,18389,18556,17520,17520,169121,157200.0,6000000.0
2007-07-10,17786,18254,17452,18022,112706,161700.0,6000000.0
2007-07-11,17719,20528,17686,19694,537492,176700.0,6000000.0
2007-07-12,19759,20294,19157,19928,237879,178800.0,6000000.0
2007-07-13,20295,20696,18690,18690,211637,167700.0,6000000.0
2007-07-16,18722,18956,17519,17554,176781,157500.0,6000000.0
2007-07-18,17586,18689,17452,17621,115012,158100.0,6000000.0
2007-07-19,17687,18021,16985,17152,79272,153900.0,6000000.0
2007-07-20,17519,17519,16783,17253,79232,154800.0,6000000.0
2007-07-23,17252,18389,17252,17888,114133,160500.0,6000000.0
2007-07-24,18021,18122,17319,17687,52071,158700.0,6000000.0
2007-07-25,17452,17586,17118,17387,69169,156000.0,6000000.0
2007-07-26,17920,17920,16148,16417,118120,147300.0,6000000.0
2007-07-27,16082,16216,15681,15915,79431,142800.0,6000000.0
2007-07-30,15815,16851,15815,16684,44174,149700.0,6000000.0
2007-07-31,16884,17085,16517,16584,51108,148800.0,6000000.0
2007-08-01,16716,16783,15680,15782,81559,141600.0,6000000.0
2007-08-02,16382,16683,15312,15648,80436,140400.0,6000000.0
2007-08-03,15780,15981,15579,15782,50057,141600.0,6000000.0
2007-08-06,15145,15646,15145,15414,35153,138300.0,6000000.0
2007-08-07,16115,16115,15547,15848,34002,142200.0,6000000.0
2007-08-08,15948,17286,15948,16918,64688,151800.0,6000000.0
2007-08-09,17251,17719,16783,16785,39244,150600.0,6000000.0
2007-08-10,16584,16584,15848,16049,29990,144000.0,6000000.0
2007-08-13,16149,16517,15948,16383,17270,147000.0,6000000.0
2007-08-14,16516,16516,15780,15949,26586,143100.0,6000000.0
2007-08-16,14710,15078,13573,13575,55704,121800.0,6000000.0
2007-08-17,13373,13373,11902,11937,104903,107100.0,6000000.0
2007-08-20,12905,13707,12771,13709,35318,123000.0,6000000.0
2007-08-21,13941,14643,13406,13408,65937,120300.0,6000000.0
2007-08-22,13441,14176,13441,13842,38767,124200.0,6000000.0
2007-08-23,14510,14944,14041,14244,41497,127800.0,6000000.0
2007-08-24,14076,14444,14009,14143,27140,126900.0,6000000.0
2007-08-27,14644,14811,14377,14511,22480,130200.0,6000000.0
2007-08-28,14510,16683,14376,15715,123281,141000.0,6000000.0
2007-08-29,14710,15111,14476,14879,73324,133500.0,6000000.0
2007-08-30,15079,15714,14544,14611,69116,131100.0,6000000.0
2007-08-31,14511,14745,14276,14377,39933,129000.0,6000000.0
2007-09-03,14477,14577,14210,14377,43029,129000.0,6000000.0
2007-09-04,14576,14576,14409,14478,31788,129900.0,6000000.0
2007-09-05,14710,14710,14008,14344,60896,128700.0,6000000.0
2007-09-06,14310,14310,13675,13909,50466,124800.0,6000000.0
2007-09-07,13774,14510,13741,13876,33195,124500.0,6000000.0
2007-09-10,13339,13841,13105,13408,73932,120300.0,6000000.0
2007-09-11,13775,13775,13273,13374,30611,120000.0,6000000.0
2007-09-12,13441,13574,13173,13307,31955,119400.0,6000000.0
2007-09-13,13173,13608,12973,13441,20247,120600.0,6000000.0
2007-09-14,13507,13608,13240,13240,24238,118800.0,6000000.0
2007-09-17,13106,13340,13106,13240,19575,118800.0,6000000.0
2007-09-18,13340,13441,13106,13140,24401,117900.0,6000000.0
2007-09-19,13540,13774,13373,13508,37418,121200.0,6000000.0
2007-09-20,13640,13707,13272,13341,39594,119700.0,6000000.0
2007-09-21,13541,13541,13173,13307,21631,119400.0,6000000.0
2007-09-27,13374,14009,13173,13374,41359,120000.0,6000000.0
