라이온켐텍(171120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-11-19,7829,8988,7829,8851,4552165,163123.0,10163425.0
2013-11-20,8904,10173,8492,10175,1753243,187515.0,10163425.0
2013-11-21,10339,10642,9815,10394,1005271,191581.0,10163425.0
2013-11-22,10559,10587,9760,10036,495257,184974.0,10163425.0
2013-11-25,10036,11166,9925,10809,771848,199203.0,10163425.0
2013-11-26,10670,10945,10201,10202,278368,188023.0,10163425.0
2013-11-27,10201,10366,9870,10257,220269,189040.0,10163425.0
2013-11-28,10173,11773,10173,11773,721299,216989.0,10163425.0
2013-11-29,11883,11966,11000,11360,469097,209367.0,10163425.0
2013-12-02,11387,12324,11193,11829,714813,218005.0,10163425.0
2013-12-03,11607,11966,11083,11856,299614,218514.0,10163425.0
2013-12-04,11525,11800,10945,11085,379821,204285.0,10163425.0
2013-12-05,10918,11745,10752,11195,263890,206318.0,10163425.0
2013-12-06,11387,11415,10891,10919,138756,201236.0,10163425.0
2013-12-09,11000,11166,10146,10478,204455,193105.0,10163425.0
2013-12-10,10366,10780,9705,9871,205315,181925.0,10163425.0
2013-12-11,9980,10449,9732,9926,157720,182942.0,10163425.0
2013-12-12,9870,10090,9263,9430,208445,173795.0,10163425.0
2013-12-13,9401,10476,9098,10119,274657,186499.0,10163425.0
2013-12-16,10118,10283,9677,9678,73144,178368.0,10163425.0
2013-12-17,9788,10090,9263,9458,86910,174303.0,10163425.0
2013-12-18,9456,9788,9070,9402,165311,173286.0,10163425.0
2013-12-19,9291,10090,9126,9761,586963,179893.0,10163425.0
2013-12-20,9843,10807,9732,10533,515279,194121.0,10163425.0
2013-12-23,10476,10615,10228,10616,174155,195646.0,10163425.0
2013-12-24,10642,11028,10394,10919,211500,201236.0,10163425.0
2013-12-26,10752,11249,10752,10919,160922,201236.0,10163425.0
2013-12-27,10973,11579,10835,11581,225673,213432.0,10163425.0
2013-12-30,11579,11745,11193,11471,170101,211399.0,10163425.0
2014-01-02,11662,11745,11221,11333,151978,208858.0,10163425.0
2014-01-03,9649,10118,9649,10010,2044477,184466.0,10163425.0
2014-01-06,9925,10201,9732,10175,468677,187515.0,10163425.0
2014-01-07,10312,10615,9705,10092,626010,185991.0,10163425.0
2014-01-08,10201,10201,9843,10092,213553,185991.0,10163425.0
2014-01-09,10283,11579,10283,11195,786003,206318.0,10163425.0
2014-01-10,11304,11415,10891,11250,122697,207334.0,10163425.0
2014-01-13,11304,12848,11304,12188,426567,224612.0,10163425.0
2014-01-14,12242,12490,11690,12381,217317,228169.0,10163425.0
2014-01-15,12352,12490,12021,12463,105225,229693.0,10163425.0
2014-01-16,12462,12462,12131,12132,77980,223595.0,10163425.0
2014-01-17,12048,12103,11690,11802,59583,217497.0,10163425.0
2014-01-20,11938,12076,11773,11884,54110,219022.0,10163425.0
2014-01-21,12021,12021,11497,11664,48640,214956.0,10163425.0
2014-01-22,11552,11855,11331,11719,67888,215973.0,10163425.0
2014-01-23,11827,12407,11800,12215,128836,225120.0,10163425.0
2014-01-24,12214,13427,12076,13042,345978,240365.0,10163425.0
2014-01-27,12710,14474,12462,13153,331328,242398.0,10163425.0
2014-01-28,13262,13896,12820,13180,176153,242906.0,10163425.0
2014-01-29,13124,13620,12545,12546,140579,231218.0,10163425.0
2014-02-03,12434,13151,12186,13125,109800,241890.0,10163425.0
2014-02-04,12793,13565,12793,12959,99785,238840.0,10163425.0
2014-02-05,13096,13399,12186,12215,116980,225120.0,10163425.0
2014-02-06,12324,12628,12186,12325,56371,227153.0,10163425.0
2014-02-07,12462,13151,12434,13015,120999,239857.0,10163425.0
2014-02-10,13179,14448,12820,14090,291385,259676.0,10163425.0
2014-02-11,14254,14420,13841,14228,88536,262216.0,10163425.0
2014-02-12,14226,14888,14006,14476,101079,266790.0,10163425.0
2014-02-13,14530,14696,14199,14503,53619,267298.0,10163425.0
2014-02-14,14612,14612,14006,14338,78518,264249.0,10163425.0
2014-02-17,14392,14888,14172,14228,72602,262216.0,10163425.0
2014-02-18,14337,14612,13896,13952,61417,257135.0,10163425.0
2014-02-19,13951,14806,13785,14807,85560,272888.0,10163425.0
2014-02-20,15054,15054,14282,14587,49981,268823.0,10163425.0
2014-02-21,14612,14612,13979,14062,76344,259167.0,10163425.0
2014-02-24,13868,14392,13868,14200,57242,261708.0,10163425.0
2014-02-25,14337,14337,13841,13842,53410,255102.0,10163425.0
2014-02-26,13868,14199,13234,13345,190974,245955.0,10163425.0
2014-02-27,13482,13565,12876,13097,91328,241381.0,10163425.0
2014-02-28,13234,13372,12682,12794,88805,235791.0,10163425.0
2014-03-03,12930,13206,12407,12601,97466,232234.0,10163425.0
2014-03-04,12628,13234,12600,13180,75078,242906.0,10163425.0
2014-03-05,13289,13399,13041,13345,60590,245955.0,10163425.0
2014-03-06,13399,13814,13345,13760,104878,253577.0,10163425.0
2014-03-07,13841,13841,13317,13401,93339,246971.0,10163425.0
2014-03-10,13399,13482,12738,12739,88078,234775.0,10163425.0
2014-03-11,12765,13096,12654,12794,56625,235791.0,10163425.0
2014-03-12,12793,13206,12765,12959,44296,238840.0,10163425.0
2014-03-13,13096,13124,12876,12959,33358,238840.0,10163425.0
2014-03-14,12876,13785,12793,13732,101164,253069.0,10163425.0
2014-03-17,13757,14089,13179,13593,105150,250528.0,10163425.0
2014-03-18,13620,13896,13206,13373,78044,246463.0,10163425.0
2014-03-19,13399,13399,12848,12905,100747,237824.0,10163425.0
2014-03-20,13013,13179,12407,12546,106648,231218.0,10163425.0
2014-03-21,12682,12710,12407,12436,67603,229185.0,10163425.0
2014-03-24,12572,12793,12379,12657,50301,233251.0,10163425.0
2014-03-25,12682,12738,11469,11636,121626,214448.0,10163425.0
2014-03-26,11800,12352,11718,11856,54383,218514.0,10163425.0
2014-03-27,11745,12407,11745,12325,46459,227153.0,10163425.0
2014-03-28,12324,12324,11883,12242,33921,225628.0,10163425.0
