네이처셀(007390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1065,1065,1065,1064,0,4500.0,600000.0
1999-01-05,1065,1065,1065,1064,0,,
1999-01-06,1065,1065,1065,1064,0,,
1999-01-07,1065,1065,1065,1064,0,,
1999-01-08,1065,1065,1065,1064,0,,
1999-01-11,1065,1065,1065,1064,0,,
1999-01-12,1065,1065,1065,1064,0,,
1999-01-13,1065,1065,1065,1064,0,,
1999-01-14,1065,1065,1065,1064,0,,
1999-01-15,1065,1065,1065,1064,0,,
1999-01-18,1065,1065,1065,1064,0,,
1999-01-19,1065,1065,1065,1064,0,,
1999-01-20,1065,1065,1065,1064,0,,
1999-01-21,1065,1065,1065,1064,0,,
1999-01-22,1065,1065,1065,1064,0,,
1999-01-25,1065,1065,1065,1064,0,,
1999-01-26,1065,1065,1065,1064,0,,
1999-01-27,1065,1065,1065,1064,0,,
1999-01-28,1065,1065,1065,1064,10000,4500.0,600000.0
1999-01-29,1065,1065,1065,1064,0,,
1999-02-01,1065,1065,1065,1064,0,,
1999-02-02,1065,1065,1065,1064,0,,
1999-02-03,1065,1065,1065,1064,0,,
1999-02-04,1065,1065,1065,1064,0,,
1999-02-05,1065,1065,1065,1064,0,,
1999-02-08,1065,1065,1065,1064,0,,
1999-02-09,1065,1065,1065,1064,0,,
1999-02-10,1065,1065,1065,1064,0,,
1999-02-11,1065,1065,1065,1064,0,,
1999-02-12,1065,1065,1065,1064,0,,
1999-02-18,1065,1065,1065,1064,0,,
1999-02-19,1065,1065,1065,1064,0,,
1999-02-22,1065,1065,1065,1064,0,,
1999-02-23,1065,1065,1065,1064,0,,
1999-02-24,1065,1065,1065,1064,0,,
1999-02-25,1065,1065,1065,1064,10000,,
1999-02-26,1065,1065,1065,1064,0,,
1999-03-02,1065,1065,1065,1064,0,,
1999-03-03,1065,1065,1065,1064,0,,
1999-03-04,1065,1065,1065,1064,0,,
1999-03-05,1065,1065,1065,1064,0,,
1999-03-08,1065,1065,1065,1064,0,,
1999-03-09,1065,1065,1065,1064,0,,
1999-03-10,1065,1065,1065,1064,0,,
1999-03-11,1065,1065,1065,1064,0,,
1999-03-12,1065,1065,1065,1064,0,,
1999-03-15,1065,1065,1065,1064,0,,
1999-03-16,1065,1065,1065,1064,0,,
1999-03-17,1065,1065,1065,1064,0,,
1999-03-18,1065,1065,1065,1064,0,,
1999-03-19,1065,1065,1065,1064,0,,
