파수닷컴(150900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-10-18,6000,6900,5960,6900,5599960,54715.0,7929695.0
2013-10-21,7300,7470,5870,6090,3792276,48292.0,7929695.0
2013-10-22,6030,6050,5500,5500,1103293,43613.0,7929695.0
2013-10-23,5580,6240,5520,5680,2657152,45041.0,7929695.0
2013-10-24,5650,5840,5400,5550,771184,44010.0,7929695.0
2013-10-25,5620,5620,5450,5520,385655,43772.0,7929695.0
2013-10-28,5510,5540,5210,5320,336783,42186.0,7929695.0
2013-10-29,5320,5660,5230,5420,511006,42979.0,7929695.0
2013-10-30,5430,5680,5360,5450,479446,43217.0,7929695.0
2013-10-31,5470,5640,5410,5450,175125,43217.0,7929695.0
2013-11-01,5520,5590,5440,5590,277726,44327.0,7929695.0
2013-11-04,5550,5620,5450,5450,175454,43217.0,7929695.0
2013-11-05,5450,5510,5270,5400,148974,42820.0,7929695.0
2013-11-06,5430,5430,5290,5380,81495,42769.0,7949695.0
2013-11-07,5330,5450,5330,5390,64481,42849.0,7949695.0
2013-11-08,5400,5400,5240,5260,40690,41815.0,7949695.0
2013-11-11,5220,5220,4960,5100,143781,40543.0,7949695.0
2013-11-12,5040,5240,4940,5110,59825,40623.0,7949695.0
2013-11-13,5110,5110,4865,4865,51377,38675.0,7949695.0
2013-11-14,4870,4955,4660,4750,75290,37761.0,7949695.0
2013-11-15,4805,4805,4690,4720,63456,37523.0,7949695.0
2013-11-18,4780,4875,4665,4790,55969,38079.0,7949695.0
2013-11-19,4800,5340,4800,5100,141655,40543.0,7949695.0
2013-11-20,5120,5250,5030,5180,56820,41179.0,7949695.0
2013-11-21,5260,5270,5010,5270,65957,41895.0,7949695.0
2013-11-22,5220,5380,5080,5270,64646,41895.0,7949695.0
2013-11-25,5250,5390,5200,5330,43166,42372.0,7949695.0
2013-11-26,5390,5420,5270,5380,40638,42769.0,7949695.0
2013-11-27,5420,5460,5360,5450,42954,43326.0,7949695.0
2013-11-28,5490,5490,5380,5470,29941,43485.0,7949695.0
2013-11-29,5470,5710,5410,5580,55170,44359.0,7949695.0
2013-12-02,5540,5630,5540,5590,31188,44439.0,7949695.0
2013-12-03,5650,5680,5500,5520,20002,43882.0,7949695.0
2013-12-04,5500,5520,5390,5450,35514,43326.0,7949695.0
2013-12-05,5450,5580,5450,5540,35788,44041.0,7949695.0
2013-12-06,5540,5600,5440,5600,16580,44518.0,7949695.0
2013-12-09,5680,5680,5460,5460,15821,43405.0,7949695.0
2013-12-10,5470,5580,5340,5480,43658,43564.0,7949695.0
2013-12-11,5600,5640,5410,5560,44141,44200.0,7949695.0
2013-12-12,5560,5560,4745,5300,46520,42133.0,7949695.0
