케어랩스(263700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-03-28,40000,52000,40000,52000,274705,310826.0,5977430.0
2018-03-29,49000,65400,48000,58500,3067401,349680.0,5977430.0
2018-03-30,60900,64500,56800,57500,570467,343702.0,5977430.0
2018-04-02,57100,59900,52400,53500,182930,319793.0,5977430.0
2018-04-03,53000,59500,53000,56100,319225,335334.0,5977430.0
2018-04-04,58000,58100,54300,54300,99792,324574.0,5977430.0
2018-04-05,54800,56000,54100,54800,76496,327563.0,5977430.0
2018-04-06,54100,55100,51200,51300,68583,306642.0,5977430.0
2018-04-09,51600,51700,48350,49650,79378,296779.0,5977430.0
2018-04-10,50000,50000,46250,46850,102590,280043.0,5977430.0
2018-04-11,47000,60900,46800,58500,731649,349680.0,5977430.0
2018-04-12,57300,58200,52600,53200,274843,317999.0,5977430.0
2018-04-13,53500,55700,51300,52300,188217,312620.0,5977430.0
2018-04-16,52600,52800,50000,50300,90429,300665.0,5977430.0
2018-04-17,49700,59500,48800,55200,458538,329954.0,5977430.0
2018-04-18,55200,57500,53200,57300,127676,342507.0,5977430.0
2018-04-19,57300,61400,56700,59300,174039,354462.0,5977430.0
2018-04-20,58200,60800,56700,60100,92520,359244.0,5977430.0
2018-04-23,58900,64700,58000,59500,178755,355657.0,5977430.0
2018-04-24,61000,62600,59500,59600,81360,356255.0,5977430.0
2018-04-25,58100,61500,57400,61200,86049,365819.0,5977430.0
2018-04-26,61600,62300,58500,58600,65344,350277.0,5977430.0
2018-04-27,58300,58600,56000,57400,78792,343104.0,5977430.0
2018-04-30,55100,55800,52400,54000,167670,322781.0,5977430.0
2018-05-02,53100,53200,49950,51600,130377,308435.0,5977430.0
2018-05-03,51200,53700,51000,52300,61323,312620.0,5977430.0
2018-05-04,51500,53500,50600,51600,47903,308435.0,5977430.0
2018-05-08,51300,53000,49400,49400,39895,295285.0,5977430.0
2018-05-09,50500,50500,47000,48600,37641,290503.0,5977430.0
2018-05-10,49400,49500,48150,48700,14698,291101.0,5977430.0
2018-05-11,49050,51900,49050,49900,32961,298274.0,5977430.0
2018-05-14,50100,50300,47650,47750,34145,285422.0,5977430.0
2018-05-15,48850,49250,47700,47900,14981,286319.0,5977430.0
2018-05-16,48450,48450,46000,46400,30331,277353.0,5977430.0
2018-05-17,46400,47350,44750,45000,32668,268984.0,5977430.0
2018-05-18,45800,46100,44500,45300,16153,270778.0,5977430.0
2018-05-21,45600,47200,45300,46600,22541,278548.0,5977430.0
2018-05-23,47350,47750,46100,46700,16035,279146.0,5977430.0
2018-05-24,47650,47650,44950,45350,21320,271076.0,5977430.0
2018-05-25,45400,45400,42950,43000,44456,257029.0,5977430.0
2018-05-28,42000,43700,41800,41900,32416,250454.0,5977430.0
2018-05-29,41600,41950,38500,38500,127314,230131.0,5977430.0
2018-05-30,38400,38850,35550,36200,94333,216383.0,5977430.0
2018-05-31,36200,37100,35550,36700,30852,219372.0,5977430.0
2018-06-01,36700,38600,36500,37300,44481,222958.0,5977430.0
2018-06-04,37450,39000,37450,38700,31145,231327.0,5977430.0
2018-06-05,39000,39800,37300,37600,20772,224751.0,5977430.0
2018-06-07,38300,38750,37000,38000,21728,227142.0,5977430.0
2018-06-08,38000,38650,37300,38000,13111,227142.0,5977430.0
2018-06-11,38700,38700,35900,36150,32054,216084.0,5977430.0
2018-06-12,36250,36750,35000,35600,18838,212797.0,5977430.0
2018-06-14,34900,35600,34100,34750,30808,207716.0,5977430.0
2018-06-15,35150,35350,33900,34700,13852,207417.0,5977430.0
2018-06-18,35050,35050,32900,33050,16984,197554.0,5977430.0
2018-06-19,33650,33650,31050,31600,22883,188887.0,5977430.0
2018-06-20,31200,32600,31200,32400,12798,193669.0,5977430.0
2018-06-21,32000,32500,31200,31200,12493,186496.0,5977430.0
2018-06-22,31650,31650,29950,30700,17210,183507.0,5977430.0
2018-06-25,30650,30650,29250,30100,19173,179921.0,5977430.0
2018-06-26,30000,30400,29300,30300,8988,181116.0,5977430.0
2018-06-27,30300,33100,29700,31900,65071,190680.0,5977430.0
2018-06-28,29550,29750,27650,27700,195521,165575.0,5977430.0
2018-06-29,27450,28500,27450,27800,58382,166173.0,5977430.0
2018-07-02,28000,28400,24300,25200,78146,150631.0,5977430.0
2018-07-03,24800,26800,24800,25300,72031,151229.0,5977430.0
2018-07-04,25300,26850,25200,25450,43919,152126.0,5977430.0
2018-07-05,25650,26750,25400,25800,51187,154218.0,5977430.0
2018-07-06,25850,27400,25750,26950,44442,161092.0,5977430.0
2018-07-09,27200,31200,27150,29800,244577,178127.0,5977430.0
2018-07-10,30500,38700,30450,35200,1171072,210406.0,5977430.0
2018-07-11,35200,37900,34000,35500,477709,212199.0,5977430.0
2018-07-12,35600,35850,33750,33850,159730,202336.0,5977430.0
2018-07-13,33650,35100,33150,34050,114552,203531.0,5977430.0
2018-07-16,34050,35600,33600,35200,120727,210406.0,5977430.0
2018-07-17,36000,36700,34600,34600,88187,206819.0,5977430.0
2018-07-18,34100,36000,33250,34600,102669,206819.0,5977430.0
2018-07-19,34600,35500,31750,31950,83053,190979.0,5977430.0
2018-07-20,32000,39850,32000,35850,1063018,214291.0,5977430.0
2018-07-23,35500,36700,34850,36500,160800,218176.0,5977430.0
2018-07-24,36800,37900,35600,35700,150357,213394.0,5977430.0
2018-07-25,35250,35650,33150,33300,122676,199048.0,5977430.0
2018-07-26,33350,33850,32100,33450,74651,199945.0,5977430.0
2018-07-27,33500,34600,33100,33950,47906,202934.0,5977430.0
2018-07-30,33750,33850,32800,33050,30689,197554.0,5977430.0
2018-07-31,33600,38500,33050,34950,368469,208911.0,5977430.0
2018-08-01,34850,36150,34500,35300,97132,211003.0,5977430.0
2018-08-02,35100,37150,35100,36300,152426,216981.0,5977430.0
2018-08-03,36250,37200,35500,37150,96545,222062.0,5977430.0
2018-08-06,37700,39700,35500,35500,111536,212199.0,5977430.0
2018-08-07,35700,35850,33750,34600,59870,206819.0,5977430.0
2018-08-08,34600,35100,33850,34550,39812,206520.0,5977430.0
2018-08-09,34300,34400,33550,33700,42160,201439.0,5977430.0
2018-08-10,34000,34550,32500,32750,49574,195761.0,5977430.0
2018-08-13,33200,33300,30600,30650,60637,183208.0,5977430.0
2018-08-14,30400,31550,30050,31400,49300,187691.0,5977430.0
2018-08-16,31000,31000,28000,28850,76862,172449.0,5977430.0
2018-08-17,29250,30450,29200,30100,53904,179921.0,5977430.0
2018-08-20,29700,30300,28500,29350,33380,175438.0,5977430.0
2018-08-21,29750,30350,29000,30200,28138,180518.0,5977430.0
2018-08-22,30600,30950,30100,30350,34562,181415.0,5977430.0
2018-08-23,30200,30750,29350,29650,28748,177231.0,5977430.0
2018-08-24,30050,30250,29300,29900,19516,178725.0,5977430.0
2018-08-27,30150,30150,29400,29450,32158,176035.0,5977430.0
2018-08-28,29500,33800,29500,31700,232608,189485.0,5977430.0
2018-08-29,32150,32200,31050,31250,62316,186795.0,5977430.0
2018-08-30,31600,31650,30900,31450,40892,187990.0,5977430.0
2018-08-31,31450,31450,30800,30900,28917,184703.0,5977430.0
2018-09-03,31150,31950,30950,31950,40507,190979.0,5977430.0
2018-09-04,32400,32400,31550,31700,28574,189485.0,5977430.0
2018-09-05,32000,32450,31350,31850,40390,190381.0,5977430.0
2018-09-06,31800,32150,31100,31100,24261,185898.0,5977430.0
2018-09-07,31100,31100,29600,30150,46315,180220.0,5977430.0
2018-09-10,30500,30500,29000,30150,28349,180220.0,5977430.0
2018-09-11,30000,30500,29650,30200,21619,180518.0,5977430.0
2018-09-12,30450,30600,29800,29950,25568,179024.0,5977430.0
2018-09-13,29950,30050,29750,29800,11131,178127.0,5977430.0
2018-09-14,29850,30550,29850,30400,20281,181714.0,5977430.0
2018-09-17,30300,30300,29300,29400,25296,175736.0,5977430.0
2018-09-18,29050,31100,28700,30800,34903,184105.0,5977430.0
2018-09-19,30600,37350,30600,33350,924902,199347.0,5977430.0
2018-09-20,33200,35650,32900,33650,184882,201141.0,5977430.0
2018-09-21,34000,34850,33200,33550,69286,200543.0,5977430.0
2018-09-27,33500,35850,33500,34800,99861,208015.0,5977430.0
2018-09-28,34200,34350,31400,31400,359883,187691.0,5977430.0
2018-10-01,31650,31750,30500,30500,203865,182312.0,5977430.0
2018-10-02,30950,31650,29800,29800,55994,178127.0,5977430.0
2018-10-04,29500,30250,28950,29650,38367,177231.0,5977430.0
2018-10-05,29300,29950,28150,28350,53950,169460.0,5977430.0
2018-10-08,28050,28250,26300,26500,86874,158402.0,5977430.0
2018-10-10,26200,26450,23600,23950,148607,143159.0,5977430.0
2018-10-11,21950,23300,21950,22100,101930,132101.0,5977430.0
2018-10-12,21850,23400,21600,23050,79899,137780.0,5977430.0
2018-10-15,23100,23300,21500,21500,95387,128515.0,5977430.0
2018-10-16,21850,23050,21800,22900,86867,136883.0,5977430.0
2018-10-17,23400,24450,23100,23700,87567,141665.0,5977430.0
2018-10-18,23900,27850,23500,26000,474546,155413.0,5977430.0
2018-10-19,25900,25900,24550,24800,89273,148240.0,5977430.0
2018-10-22,24600,25200,24100,24100,53384,148655.0,6168275.0
2018-10-23,23900,24300,22400,22600,58006,139403.0,6168275.0
2018-10-24,23000,23550,21550,21800,50920,134468.0,6168275.0
2018-10-25,21150,21950,20150,21700,77073,133852.0,6168275.0
2018-10-26,21800,22000,20100,20450,43086,126141.0,6168275.0
2018-10-29,20000,20700,17800,17800,88914,109795.0,6168275.0
2018-10-30,16900,18900,16900,18450,57953,113805.0,6168275.0
2018-10-31,19150,20350,18700,19550,65489,120590.0,6168275.0
2018-11-01,20050,20850,19900,20050,38903,123674.0,6168275.0
2018-11-02,20200,21300,20200,20950,39706,129225.0,6168275.0
2018-11-05,20950,21200,20200,21200,23645,130767.0,6168275.0
2018-11-06,21250,21700,20400,20750,27018,127992.0,6168275.0
2018-11-07,20800,21300,20150,20400,35574,125833.0,6168275.0
2018-11-08,21250,21700,20750,20850,26708,128609.0,6168275.0
2018-11-09,20850,21150,20200,20600,18729,127066.0,6168275.0
2018-11-12,20250,20800,20000,20050,14918,123674.0,6168275.0
2018-11-13,19500,20650,19000,20650,28325,127375.0,6168275.0
2018-11-14,20450,21200,20450,20500,20536,126450.0,6168275.0
2018-11-15,20900,20900,20100,20600,14664,127066.0,6168275.0
2018-11-16,20800,21700,20600,21550,48203,132926.0,6168275.0
2018-11-19,21400,21950,21250,21700,18504,133852.0,6168275.0
2018-11-20,21250,21800,20700,21150,24616,130459.0,6168275.0
2018-11-21,21300,23950,20550,23150,85858,142796.0,6168275.0
2018-11-22,23000,23900,22650,23050,45335,142179.0,6168275.0
2018-11-23,22750,23600,21700,22150,44425,136627.0,6168275.0
2018-11-26,22000,22450,21750,21750,15378,134160.0,6168275.0
2018-11-27,22000,22150,21450,22000,20606,135702.0,6168275.0
2018-11-28,22350,22350,21650,22000,13022,135702.0,6168275.0
2018-11-29,22050,22350,21750,21800,16430,134468.0,6168275.0
2018-11-30,21800,22300,21450,21600,13001,133235.0,6168275.0
2018-12-03,21900,22850,21500,22500,38257,138786.0,6168275.0
2018-12-04,22500,22800,21900,22300,15813,137553.0,6168275.0
2018-12-05,21700,22800,21700,22700,26481,140020.0,6168275.0
2018-12-06,22450,22750,21100,21200,30398,130767.0,6168275.0
2018-12-07,21200,22000,21100,21200,13303,130767.0,6168275.0
2018-12-10,20750,21000,19600,20050,28050,123674.0,6168275.0
2018-12-11,20050,20450,19400,19600,20697,120898.0,6168275.0
2018-12-12,19150,20500,19100,20500,22903,126450.0,6168275.0
2018-12-13,20250,20600,19650,19850,11326,122440.0,6168275.0
2018-12-14,20450,20700,19700,19700,27017,121515.0,6168275.0
2018-12-17,19350,19600,18600,18850,21198,116272.0,6168275.0
2018-12-18,18400,18950,18350,18550,14311,114422.0,6168275.0
2018-12-19,18400,19200,18400,19200,14713,118431.0,6168275.0
2018-12-20,18800,19650,18600,18900,12892,116580.0,6168275.0
2018-12-21,18900,19500,18700,19400,20983,119665.0,6168275.0
2018-12-24,19400,19400,18800,18950,9379,116889.0,6168275.0
2018-12-26,18550,18750,17550,17600,41179,108562.0,6168275.0
2018-12-27,17750,19350,17750,18900,39130,116580.0,6168275.0
2018-12-28,18750,19350,18650,19150,12734,118122.0,6168275.0
2019-01-02,19150,19250,18650,18850,11528,116272.0,6168275.0
2019-01-03,18550,20300,18550,19350,43078,119356.0,6168275.0
2019-01-04,19450,20400,18650,20200,59192,124599.0,6168275.0
2019-01-07,20400,20450,19300,19650,44719,121207.0,6168275.0
2019-01-08,19500,19900,19350,19650,8634,121207.0,6168275.0
2019-01-09,19650,20000,19400,19950,16657,123057.0,6168275.0
2019-01-10,19650,19850,19500,19750,9194,121823.0,6168275.0
