아이쓰리시스템(214430),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-07-30,31709,41221,27581,29192,2730512,192409.0,3317400.0
2015-07-31,29695,31004,25669,26676,659133,175822.0,3317400.0
2015-08-03,30702,34678,27833,34679,866083,228569.0,3317400.0
2015-08-04,36792,37245,31507,31961,877424,210655.0,3317400.0
2015-08-05,33168,34376,30702,32162,349219,211982.0,3317400.0
2015-08-06,32464,33068,31105,32212,217642,212314.0,3317400.0
2015-08-07,31558,32011,30299,30551,137151,201366.0,3317400.0
2015-08-10,29796,31155,28739,29545,115080,194731.0,3317400.0
2015-08-11,31054,33470,29544,29595,179954,195063.0,3317400.0
2015-08-12,29444,29897,27430,28085,102700,185111.0,3317400.0
2015-08-13,26877,27934,26877,27431,71035,180798.0,3317400.0
2015-08-17,28286,29192,26776,26827,87032,176817.0,3317400.0
2015-08-18,26826,27078,24637,24788,81113,163382.0,3317400.0
2015-08-19,25920,26524,23202,25116,101555,165538.0,3317400.0
2015-08-20,25115,25367,23001,23404,46744,154259.0,3317400.0
2015-08-21,22171,22599,20636,20787,90518,137009.0,3317400.0
2015-08-24,20434,21894,19377,19504,53837,128549.0,3317400.0
2015-08-25,20057,21869,19352,20435,63144,134686.0,3317400.0
2015-08-26,20384,24612,20233,22272,163073,146795.0,3317400.0
2015-08-27,23152,23303,22297,22951,55959,151273.0,3317400.0
2015-08-28,23655,24587,22951,23958,66151,157908.0,3317400.0
2015-08-31,23379,23907,22573,23606,66174,155586.0,3317400.0
2015-09-01,22976,23303,22297,22347,49700,147293.0,3317400.0
2015-09-02,21391,25165,21265,24663,88494,162553.0,3317400.0
2015-09-03,26172,31507,25971,28689,391891,189092.0,3317400.0
2015-09-04,29796,30048,27682,28689,98571,189092.0,3317400.0
2015-09-07,28840,28840,25367,25871,86054,170514.0,3317400.0
2015-09-08,26071,27430,24838,25518,81438,168192.0,3317400.0
2015-09-09,26776,28336,26323,27179,99461,179140.0,3317400.0
2015-09-10,27078,27380,26222,27381,31607,180467.0,3317400.0
2015-09-11,27128,28286,25669,26324,52145,173500.0,3317400.0
2015-09-14,26675,26726,25266,26324,24216,173500.0,3317400.0
2015-09-15,25870,26877,25669,26777,28481,176486.0,3317400.0
2015-09-16,27179,27330,26222,26575,28574,175159.0,3317400.0
2015-09-17,26675,29746,26675,28387,117418,187101.0,3317400.0
