한독크린텍(256150),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-09-05,24500,24800,19050,19250,3364344,77404.0,4021000.0
2019-09-06,19250,19550,17600,17800,985148,71574.0,4021000.0
2019-09-09,18000,18650,17150,17700,981529,71172.0,4021000.0
2019-09-10,17750,18300,17550,17800,719088,71574.0,4021000.0
2019-09-11,18650,18700,17850,17950,597678,72177.0,4021000.0
2019-09-16,18050,18200,17450,18200,356054,73182.0,4021000.0
2019-09-17,18100,18250,17800,18150,337437,72981.0,4021000.0
2019-09-18,18350,18350,17650,17650,312413,70971.0,4021000.0
2019-09-19,17450,17850,17400,17400,161120,69965.0,4021000.0
2019-09-20,17300,17400,16700,16800,234659,67553.0,4021000.0
2019-09-23,16850,17000,16550,16700,119902,67151.0,4021000.0
2019-09-24,16750,17000,16400,16400,137114,65944.0,4021000.0
2019-09-25,16400,16600,15750,15900,144996,63934.0,4021000.0
2019-09-26,16100,16300,15650,16200,161202,65140.0,4021000.0
2019-09-27,16350,16950,16100,16550,203847,66548.0,4021000.0
2019-09-30,16650,16800,16050,16450,88394,66145.0,4021000.0
2019-10-01,16500,16900,16400,16850,96344,67754.0,4021000.0
2019-10-02,16600,16850,16300,16300,95744,65542.0,4021000.0
2019-10-04,16350,16450,15750,16150,105027,64939.0,4021000.0
2019-10-07,16450,16500,15900,16200,71525,65140.0,4021000.0
