지니언스(263860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-08-02,10313,10545,7818,7819,3523580,73794.0,4854900.0
2017-08-03,8101,8564,7510,7947,1419182,75008.0,4854900.0
2017-08-04,7844,8024,7304,7382,684900,69668.0,4854900.0
2017-08-07,7716,9362,7587,8899,4868691,83990.0,4854900.0
2017-08-08,8744,8796,8307,8693,942947,82048.0,4854900.0
2017-08-09,9130,9979,8641,8642,2044141,81562.0,4854900.0
2017-08-10,8641,8693,8101,8333,629808,78649.0,4854900.0
2017-08-11,8256,9079,8153,8771,947623,82776.0,4854900.0
2017-08-14,8821,8847,8410,8565,552297,80834.0,4854900.0
2017-08-16,8590,8616,7741,7742,664526,73066.0,4854900.0
2017-08-17,7973,8101,7716,7767,410727,73309.0,4854900.0
2017-08-18,7793,7998,7741,7819,524478,73794.0,4854900.0
2017-08-21,8050,8127,7767,7973,328598,75251.0,4854900.0
2017-08-22,7921,7998,7767,7947,289228,75008.0,4854900.0
2017-08-23,7973,7998,7741,7793,224943,73552.0,4854900.0
2017-08-24,7793,7818,7458,7459,187838,70396.0,4854900.0
2017-08-25,7484,7638,7355,7639,156951,72095.0,4854900.0
2017-08-28,7613,7613,7407,7536,136264,71124.0,4854900.0
2017-08-29,7484,7535,7330,7330,127861,69182.0,4854900.0
2017-08-30,7381,7484,7253,7459,130704,70396.0,4854900.0
2017-08-31,7458,7613,7330,7613,167533,71853.0,4854900.0
2017-09-01,7561,7587,7407,7407,85474,69911.0,4854900.0
2017-09-04,7098,7253,7021,7073,149019,66755.0,4854900.0
2017-09-05,7124,7201,7021,7073,54836,66755.0,4854900.0
2017-09-06,7098,7098,6790,6919,101714,65298.0,4854900.0
2017-09-07,6867,7073,6867,6919,82414,65298.0,4854900.0
2017-09-08,6944,6970,6584,6661,156539,62871.0,4854900.0
2017-09-11,6687,6841,6610,6636,82248,62628.0,4854900.0
2017-09-12,6712,6867,6584,6661,92312,62871.0,4854900.0
2017-09-13,6687,6687,6532,6636,28462,62628.0,4854900.0
2017-09-14,6610,6790,6558,6764,62128,63842.0,4854900.0
2017-09-15,6764,6892,6635,6661,93255,62871.0,4854900.0
2017-09-18,6712,6712,6532,6636,46734,62628.0,4854900.0
2017-09-19,6635,6790,6352,6404,122585,60444.0,4854900.0
2017-09-20,6430,6430,6044,6070,141613,57288.0,4854900.0
2017-09-21,6095,6147,5709,5838,130733,55103.0,4854900.0
2017-09-22,5787,5864,5555,5581,80625,52676.0,4854900.0
2017-09-25,5504,6172,5426,5607,213032,52918.0,4854900.0
2017-09-26,5658,5915,5555,5890,75558,55589.0,4854900.0
2017-09-27,6018,6249,5915,6224,84627,58744.0,4854900.0
2017-09-28,6249,6352,6018,6353,76164,59958.0,4854900.0
2017-09-29,6249,6404,6224,6379,56266,60201.0,4854900.0
2017-10-10,6378,6455,6249,6430,51975,60686.0,4854900.0
2017-10-11,6481,6507,6378,6507,43157,61414.0,4854900.0
2017-10-12,6532,6712,6455,6661,64117,62871.0,4854900.0
2017-10-13,6738,6764,6507,6533,54770,61657.0,4854900.0
2017-10-16,6532,6584,6172,6276,25072,59230.0,4854900.0
2017-10-17,6198,6507,6198,6456,16783,60929.0,4854900.0
2017-10-18,6507,6635,6327,6584,17265,62143.0,4854900.0
2017-10-19,6635,6635,6352,6456,34289,60929.0,4854900.0
2017-10-20,6352,6481,6275,6379,16462,60201.0,4854900.0
2017-10-23,6275,6404,6224,6379,18876,60201.0,4854900.0
2017-10-24,6378,6635,6301,6430,14166,60686.0,4854900.0
2017-10-25,6404,6610,6249,6276,30067,59230.0,4854900.0
2017-10-26,6275,6352,6198,6276,22178,59230.0,4854900.0
2017-10-27,6224,6327,6172,6301,29415,59473.0,4854900.0
2017-10-30,6275,6327,6198,6301,18097,59473.0,4854900.0
2017-10-31,6301,6352,6044,6147,32693,58016.0,4854900.0
2017-11-01,6147,6455,6044,6456,40126,60929.0,4854900.0
2017-11-02,6455,8230,6378,7176,1299392,67726.0,4854900.0
2017-11-03,7150,7175,6970,7099,147823,66998.0,4854900.0
2017-11-06,7201,7278,7021,7047,166525,66512.0,4854900.0
2017-11-07,7047,7458,7047,7279,255887,68697.0,4854900.0
2017-11-08,7278,7330,7073,7176,91630,67726.0,4854900.0
2017-11-09,7201,7381,7098,7382,101727,69668.0,4854900.0
2017-11-10,7484,7664,7227,7227,192388,68211.0,4854900.0
2017-11-13,7150,7304,6970,7304,80320,68940.0,4854900.0
2017-11-14,7304,7355,7150,7176,46637,67726.0,4854900.0
2017-11-15,7150,7150,6815,6893,122189,65056.0,4854900.0
2017-11-16,6815,6815,6301,6353,602681,59958.0,4854900.0
2017-11-17,6404,6430,6198,6199,129850,58502.0,4854900.0
2017-11-20,6249,6249,6095,6173,95274,58259.0,4854900.0
2017-11-21,6172,6198,6018,6121,77267,57773.0,4854900.0
2017-11-22,6172,6430,6121,6327,116523,59715.0,4854900.0
2017-11-23,6327,6455,6301,6327,84991,59715.0,4854900.0
2017-11-24,6378,6507,6378,6456,81874,60929.0,4854900.0
2017-11-27,6481,6532,6224,6224,80155,58744.0,4854900.0
2017-11-28,6224,6352,6172,6276,54378,59230.0,4854900.0
2017-11-29,6275,6275,6121,6121,49906,57773.0,4854900.0
2017-11-30,6121,6172,5787,5838,121618,55103.0,4854900.0
2017-12-01,5915,6095,5761,6096,60580,57531.0,4854900.0
2017-12-04,6069,6095,5838,5838,72628,55103.0,4854900.0
2017-12-05,5838,5967,5838,5967,39561,56317.0,4854900.0
2017-12-06,5941,6224,5941,6173,79940,58259.0,4854900.0
2017-12-07,6198,6327,5864,6096,112810,57531.0,4854900.0
2017-12-08,6044,6224,5992,6096,33979,57531.0,4854900.0
2017-12-11,6069,6301,6018,6199,61910,58502.0,4854900.0
2017-12-12,6224,6378,6121,6301,58374,59473.0,4854900.0
2017-12-13,6378,6430,6275,6379,61146,60201.0,4854900.0
2017-12-14,6378,6481,6301,6481,58846,61172.0,4854900.0
2017-12-15,6532,6867,6532,6661,183997,62871.0,4854900.0
2017-12-18,6635,6815,6610,6816,73243,64327.0,4854900.0
2017-12-19,6892,6892,6507,6559,148394,61900.0,4854900.0
2017-12-20,6790,6944,6532,6533,152819,61657.0,4854900.0
2017-12-21,6481,6584,6378,6430,80829,60686.0,4854900.0
2017-12-22,6430,6558,6378,6507,58079,61414.0,4854900.0
2017-12-26,6584,6584,6327,6379,65893,60201.0,4854900.0
2017-12-27,6275,6507,6275,6404,24486,60444.0,4854900.0
2017-12-28,6430,6558,6378,6481,37272,61172.0,4854900.0
2018-01-02,6584,6584,6378,6404,40950,60444.0,4854900.0
2018-01-03,6481,6635,6404,6584,45206,62143.0,4854900.0
2018-01-04,6635,6635,6327,6353,73665,59958.0,4854900.0
2018-01-05,6378,6532,6352,6533,54155,61657.0,4854900.0
2018-01-08,6584,6841,6507,6790,120407,64085.0,4854900.0
2018-01-09,6790,6815,6558,6636,72885,62628.0,4854900.0
2018-01-10,6661,7098,6558,6944,192165,65541.0,4854900.0
2018-01-11,6995,7073,6584,6610,131464,62385.0,4854900.0
2018-01-12,6584,6738,6224,6353,156609,59958.0,4854900.0
2018-01-15,6352,6352,6044,6147,102930,58016.0,4854900.0
2018-01-16,6198,6352,6121,6250,63263,58987.0,4854900.0
2018-01-17,6301,6635,6249,6404,132475,60444.0,4854900.0
2018-01-18,6404,7381,6352,7227,687931,68211.0,4854900.0
2018-01-19,7638,8050,6918,6944,477616,65541.0,4854900.0
2018-01-22,6918,7124,6712,7099,165090,66998.0,4854900.0
2018-01-23,7021,9207,6841,8256,3512335,77921.0,4854900.0
2018-01-24,8230,8461,8050,8333,533939,78649.0,4854900.0
2018-01-25,8230,8333,8050,8102,288064,76465.0,4854900.0
2018-01-26,8050,8333,8024,8179,259637,77193.0,4854900.0
2018-01-29,8410,8641,8153,8230,514649,77678.0,4854900.0
2018-01-30,8153,8230,7818,7922,237376,74765.0,4854900.0
