로보티즈(108490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-10-26,28000,30000,19600,19600,2988967,220520.0,11251000.0
2018-10-29,19600,22200,17250,17400,2032832,195767.0,11251000.0
2018-10-30,18650,21550,18200,18700,2802927,210394.0,11251000.0
2018-10-31,20350,21150,19000,20000,1245332,225020.0,11251000.0
2018-11-01,21100,21250,19200,20350,699949,228958.0,11251000.0
2018-11-02,20000,21850,19650,21700,950699,244147.0,11251000.0
2018-11-05,21150,22100,20800,21850,640054,245834.0,11251000.0
2018-11-06,21650,22100,20350,20900,475255,235146.0,11251000.0
2018-11-07,20750,20850,19450,19600,388050,220520.0,11251000.0
2018-11-08,20000,20250,19350,19450,290003,218832.0,11251000.0
2018-11-09,19400,20000,18100,18700,330314,210394.0,11251000.0
2018-11-12,19100,21250,18900,19900,1002707,223895.0,11251000.0
2018-11-13,19400,19450,18350,18950,246780,213206.0,11251000.0
2018-11-14,19000,20200,18450,19100,300330,214894.0,11251000.0
2018-11-15,19600,20100,18400,19300,374795,217144.0,11251000.0
2018-11-16,19200,19500,18700,19250,166462,216582.0,11251000.0
2018-11-19,19250,19650,18500,18600,193318,209269.0,11251000.0
2018-11-20,18350,19000,18150,18400,192076,207018.0,11251000.0
2018-11-21,18000,18050,17400,17650,183895,198580.0,11251000.0
2018-11-22,17700,18250,16800,16950,304650,190704.0,11251000.0
2018-11-23,16900,17000,15850,15950,139443,179453.0,11251000.0
2018-11-26,15850,16200,15250,15950,279973,179453.0,11251000.0
2018-11-27,16100,17100,15750,16100,259148,181141.0,11251000.0
2018-11-28,16150,17150,15950,17000,178424,191267.0,11251000.0
2018-11-29,16950,17100,16550,17000,94573,191267.0,11251000.0
2018-11-30,17000,17200,16400,16600,57405,186767.0,11251000.0
2018-12-03,16750,17200,16400,16850,137269,189579.0,11251000.0
2018-12-04,16800,17000,16350,17000,55221,191267.0,11251000.0
2018-12-05,16550,16750,16250,16300,72489,183391.0,11251000.0
2018-12-06,16300,16550,15400,15550,74395,174953.0,11251000.0
2018-12-07,15850,16000,15350,15950,58288,179453.0,11251000.0
2018-12-10,15600,16250,15450,15950,51220,179453.0,11251000.0
2018-12-11,16200,16350,15400,15400,39023,173265.0,11251000.0
2018-12-12,15500,15900,15200,15500,50587,174390.0,11251000.0
2018-12-13,15600,15950,15500,15800,31876,177766.0,11251000.0
2018-12-14,15950,16900,15700,16750,206211,188454.0,11251000.0
2018-12-17,16800,17750,16700,17050,195420,191830.0,11251000.0
2018-12-18,16900,17150,16650,16650,59339,187329.0,11251000.0
2018-12-19,16650,18200,16450,17700,232156,199143.0,11251000.0
2018-12-20,17600,17700,17000,17300,660993,194642.0,11251000.0
2018-12-21,17200,17600,16700,17050,139528,191830.0,11251000.0
2018-12-24,17450,18650,16700,16800,233046,189017.0,11251000.0
2018-12-26,16300,16950,15750,16400,143523,184516.0,11251000.0
2018-12-27,16900,17300,16450,16450,77966,185079.0,11251000.0
2018-12-28,16600,17500,16600,17200,144712,193517.0,11251000.0
2019-01-02,17900,18750,17600,18300,566454,205893.0,11251000.0
2019-01-03,18500,18600,17550,18000,166286,202518.0,11251000.0
2019-01-04,17750,17900,16800,17800,129084,200268.0,11251000.0
2019-01-07,18200,18250,16850,17200,216697,193517.0,11251000.0
2019-01-08,17250,17400,16100,16150,175412,181704.0,11251000.0
2019-01-09,16150,16600,15700,16400,109193,184516.0,11251000.0
2019-01-10,16700,16850,16200,16800,122325,189017.0,11251000.0
2019-01-11,16700,16900,15900,16000,102019,180016.0,11251000.0
2019-01-14,16000,16100,14450,14450,478711,162577.0,11251000.0
2019-01-15,14600,14700,13850,14450,357723,162577.0,11251000.0
2019-01-16,14650,14650,13950,14200,158783,159764.0,11251000.0
2019-01-17,14150,14450,14050,14200,113415,159764.0,11251000.0
2019-01-18,14300,14600,14150,14600,117716,164265.0,11251000.0
2019-01-21,14600,14650,14350,14450,86550,162577.0,11251000.0
2019-01-22,14450,14750,14400,14500,101726,163140.0,11251000.0
2019-01-23,14500,14750,14300,14750,69267,165952.0,11251000.0
2019-01-24,14900,15300,14700,15150,154644,170453.0,11251000.0
2019-01-25,15050,15350,14900,15100,83080,169890.0,11251000.0
2019-01-28,14750,15000,14450,14650,198797,164827.0,11251000.0
2019-01-29,14550,14650,14350,14450,83780,162577.0,11251000.0
2019-01-30,14500,14650,14400,14550,64126,163702.0,11251000.0
2019-01-31,14600,14700,14350,14500,80218,163140.0,11251000.0
2019-02-01,14450,14500,14100,14200,101033,159764.0,11251000.0
