아스트(067390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-24,7797,8846,6885,8208,7783714,112647.0,12516293.0
2014-12-26,8098,8426,7268,7268,1625072,99755.0,12516293.0
2014-12-29,7295,7341,6502,6639,946820,91119.0,12516293.0
2014-12-30,6657,7633,6639,7633,1624500,104761.0,12516293.0
2015-01-02,7888,7997,7542,7752,944919,106388.0,12516293.0
2015-01-05,7751,7760,7487,7524,248145,103259.0,12516293.0
2015-01-06,7314,7423,7049,7059,318883,96876.0,12516293.0
2015-01-07,7067,7715,7049,7506,436813,103009.0,12516293.0
2015-01-08,7514,7578,7204,7350,160053,100881.0,12516293.0
2015-01-09,7359,7833,7222,7806,833165,107139.0,12516293.0
2015-01-12,7806,8298,7660,7943,519740,109017.0,12516293.0
2015-01-13,7943,8143,7888,7962,186389,109267.0,12516293.0
2015-01-14,7915,8435,7852,8208,444080,112647.0,12516293.0
2015-01-15,8207,8754,8207,8664,491210,118905.0,12516293.0
2015-01-16,8919,9393,8627,9019,922875,123786.0,12516293.0
2015-01-19,8982,9438,8900,9257,439560,127040.0,12516293.0
2015-01-20,9256,10031,9165,10032,607624,137679.0,12516293.0
2015-01-21,10487,10761,10031,10123,624277,138931.0,12516293.0
2015-01-22,10168,10578,9210,9667,568108,132673.0,12516293.0
2015-01-23,9758,10077,9393,10077,451220,138305.0,12516293.0
2015-01-26,10305,10305,9849,10032,217880,137679.0,12516293.0
2015-01-27,10077,10122,9438,9530,521588,130795.0,12516293.0
2015-01-28,9347,9940,9165,9576,357158,131421.0,12516293.0
2015-01-29,9666,10943,9347,10305,674245,141434.0,12516293.0
2015-01-30,10487,11034,10259,10396,743623,147519.0,12940293.0
2015-02-02,10533,10943,10305,10396,528590,147519.0,12940293.0
2015-02-03,10533,11354,10442,11217,913654,159166.0,12940293.0
2015-02-04,11126,11308,10852,11263,348348,159813.0,12940293.0
2015-02-05,11171,11536,10989,11172,443976,158519.0,12940293.0
2015-02-06,11308,11308,10670,10670,300591,151401.0,12940293.0
2015-02-09,10670,11126,9940,11126,601918,160215.0,13132393.0
2015-02-10,11034,11308,10806,11080,261377,159559.0,13132393.0
2015-02-11,11490,12722,11217,12722,2007494,183197.0,13132393.0
2015-02-12,12950,13907,12539,12813,1913697,184510.0,13132393.0
2015-02-13,12904,13725,12813,13497,1514098,194359.0,13132393.0
2015-02-16,13725,14272,13405,14044,882398,202239.0,13132393.0
2015-02-17,14135,14317,13177,13680,997562,196986.0,13132393.0
2015-02-23,13861,14089,12995,13360,568466,192390.0,13132393.0
2015-02-24,13405,13542,12904,12950,445788,186480.0,13132393.0
2015-02-25,13086,13679,12858,13406,617457,193046.0,13132393.0
2015-02-26,13314,13542,12904,13041,283237,187793.0,13132393.0
2015-02-27,12995,13223,12767,12950,290923,186480.0,13132393.0
2015-03-02,12950,13041,12585,12768,274753,183854.0,13132393.0
2015-03-03,12767,13633,12630,13588,523541,195673.0,13132393.0
