레드로버(060300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-01-10,59080,59080,59080,59082,25616,49358.0,5365000.0
2002-01-11,66144,66144,61777,66146,781838,55260.0,5365000.0
2002-01-14,64860,64860,58438,58440,247155,48822.0,5365000.0
2002-01-15,56514,58761,51440,51953,223339,43403.0,5365000.0
2002-01-16,48355,55485,48355,50541,169145,42223.0,5365000.0
2002-01-17,48998,50732,47585,48164,116781,40238.0,5365000.0
2002-01-18,48164,49706,44952,46881,114671,39164.0,5365000.0
2002-01-21,46751,47779,44374,45982,71861,38413.0,5365000.0
2002-01-22,46302,47971,45917,46559,78946,38896.0,5365000.0
2002-01-23,46880,52146,45404,50477,218087,42169.0,5365000.0
2002-01-24,50154,50926,46301,46881,103859,39164.0,5365000.0
2002-01-25,48163,52467,47200,52468,232932,43832.0,5365000.0
2002-01-28,54586,58246,53685,55679,126989,46515.0,5365000.0
2002-01-29,56190,56514,52146,56513,116812,47212.0,5365000.0
2002-01-30,56513,56513,53430,56385,47945,47105.0,5365000.0
2002-01-31,56896,59721,55933,58954,276066,49251.0,5365000.0
2002-02-01,59852,59852,51888,51889,169619,43349.0,5365000.0
2002-02-04,49899,50734,45725,45724,147167,38199.0,5365000.0
2002-02-05,44248,47201,43414,46238,71567,38628.0,5365000.0
2002-02-06,46237,49449,44310,44312,77409,37018.0,5365000.0
2002-02-07,41741,46174,40458,40522,51311,33853.0,5365000.0
2002-02-08,40522,41098,38980,40972,34343,34229.0,5365000.0
2002-02-14,41740,43667,38853,38917,126537,32512.0,5365000.0
2002-02-15,38210,39623,37312,38725,168263,32351.0,5365000.0
2002-02-18,39815,43349,39559,43348,386847,36214.0,5365000.0
2002-02-19,44889,47521,44630,44954,324654,37555.0,5365000.0
2002-02-20,43346,46558,43346,45146,90132,37716.0,5365000.0
2002-02-21,45595,47007,43154,44312,274095,37018.0,5365000.0
2002-02-22,44374,45979,43026,45467,114390,37984.0,5365000.0
2002-02-25,47329,47522,45596,45917,86013,38360.0,5365000.0
2002-02-26,46237,51374,46237,51376,168612,42920.0,5365000.0
2002-02-27,51372,52529,50283,51054,130641,42652.0,5365000.0
2002-02-28,51694,52657,51053,52017,69582,43456.0,5365000.0
2002-03-04,52337,55228,52337,52659,136926,43993.0,5365000.0
2002-03-05,53944,55034,52337,52659,97293,43993.0,5365000.0
2002-03-06,48229,52659,47522,51247,117575,42813.0,5365000.0
2002-03-07,51569,51697,49451,50413,74744,42115.0,5365000.0
2002-03-08,49898,53302,48356,52981,73447,44261.0,5365000.0
2002-03-11,53623,55870,52851,53944,200134,45066.0,5365000.0
2002-03-12,53817,54779,52338,53944,78421,45066.0,5365000.0
2002-03-13,53945,57798,53365,53944,134640,45066.0,5365000.0
2002-03-14,53302,54586,52146,53302,60433,44530.0,5365000.0
2002-03-15,52337,57347,52337,55549,185102,46407.0,5365000.0
2002-03-18,57156,61523,55870,59660,201949,49841.0,5365000.0
2002-03-19,59851,61007,57796,58440,113322,48822.0,5365000.0
2002-03-20,57859,63254,57859,59531,239191,49734.0,5365000.0
2002-03-21,59081,66466,59081,63899,262800,53382.0,5365000.0
2002-03-22,65503,71284,65503,71284,585560,59552.0,5365000.0
2002-03-25,73851,78990,70963,74172,416871,61966.0,5365000.0
2002-03-26,74493,82844,72888,82843,451734,69208.0,5365000.0
2002-03-27,84768,86696,79631,82843,452361,69208.0,5365000.0
2002-03-28,85409,92474,84767,88623,682016,74037.0,5365000.0
2002-03-29,87980,91833,86376,89908,309568,75110.0,5365000.0
2002-04-01,90550,90550,79311,79311,226788,66258.0,5365000.0
2002-04-02,75778,85409,72566,83807,410832,70013.0,5365000.0
2002-04-03,81556,83483,73850,77063,249566,64380.0,5365000.0
2002-04-04,69356,77704,69356,74816,260076,62502.0,5365000.0
2002-04-08,75137,75137,70639,73210,138515,61161.0,5365000.0
2002-04-09,70961,77704,70961,75778,195782,63307.0,5365000.0
2002-04-10,76098,76098,69354,72889,124270,60893.0,5365000.0
2002-04-11,73208,80594,72887,80596,352238,67331.0,5365000.0
2002-04-12,79952,80914,76099,80917,182379,67599.0,5365000.0
2002-04-15,83483,86694,80914,80917,407144,67599.0,5365000.0
2002-04-16,82199,82199,77061,80274,187809,67062.0,5365000.0
2002-04-17,82202,82843,70641,72246,310051,60356.0,5365000.0
2002-04-18,72248,76421,69998,72567,200868,60624.0,5365000.0
2002-04-19,72890,74494,64220,69036,247688,57674.0,5365000.0
2002-04-22,65182,67430,61070,61394,160079,51289.0,5365000.0
2002-04-23,59723,65502,59080,63577,194481,53114.0,5365000.0
2002-04-24,64860,66784,64025,64156,147283,53596.0,5365000.0
2002-04-25,62420,67107,62420,64220,74172,53650.0,5365000.0
2002-04-26,62291,66464,62291,65504,53603,54723.0,5365000.0
2002-04-29,64219,64861,61842,63577,56147,53114.0,5365000.0
2002-04-30,63574,65502,62036,62614,69897,52309.0,5365000.0
2002-05-02,62612,64218,62612,63256,121741,52845.0,5365000.0
2002-05-03,63898,69677,63575,66789,282278,55796.0,5365000.0
2002-05-06,68392,70639,65181,65825,231236,54991.0,5365000.0
2002-05-07,65823,69675,64218,69678,236096,58210.0,5365000.0
2002-05-08,71925,72887,69676,70642,262188,59015.0,5365000.0
2002-05-09,71924,73208,67750,69678,176014,58210.0,5365000.0
2002-05-10,69676,70639,64539,66467,150100,55528.0,5365000.0
2002-05-13,66465,69035,63897,66146,233423,55260.0,5365000.0
2002-05-14,67430,67430,64088,65825,155155,54991.0,5365000.0
2002-05-15,66465,71925,65181,70642,251289,59015.0,5365000.0
2002-05-16,70640,73852,69357,71926,279706,60088.0,5365000.0
2002-05-17,73208,73208,64218,70000,260889,58478.0,5365000.0
2002-05-20,71284,72568,68394,71605,291203,59820.0,5365000.0
2002-05-21,71605,71605,66786,66789,143902,55796.0,5365000.0
2002-05-22,66784,68712,64860,65504,136394,54723.0,5365000.0
2002-05-23,64221,65183,57798,57798,219002,48285.0,5365000.0
2002-05-24,56127,58951,56127,57412,104232,47963.0,5365000.0
2002-05-27,57411,59401,56382,57412,88339,47963.0,5365000.0
2002-05-28,55934,57156,54585,55164,76657,46085.0,5365000.0
2002-05-29,54265,54265,48742,50862,57127,42491.0,5365000.0
2002-05-30,48804,52016,48804,50156,23023,41901.0,5365000.0
2002-05-31,47843,56127,47843,56128,357632,46890.0,5365000.0
2002-06-03,55868,59079,55868,58440,177153,48822.0,5365000.0
2002-06-04,58440,60622,54586,56513,263082,47212.0,5365000.0
2002-06-05,57155,59080,56513,58760,112327,49090.0,5365000.0
2002-06-07,57798,59595,56835,59467,102115,49680.0,5365000.0
2002-06-10,59466,59980,58887,58889,90412,49197.0,5365000.0
2002-06-11,59080,60366,58566,59531,71333,49734.0,5365000.0
2002-06-12,60301,60687,58697,59724,61669,49894.0,5365000.0
