알에프세미(096610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-11-20,3066,3526,2893,3527,931725,20646.0,3902860.0
2007-11-21,4053,4053,4053,4053,17772,23729.0,3902860.0
2007-11-22,4660,4660,4080,4660,2715441,27281.0,3902860.0
2007-11-23,4800,4920,3966,3967,1223378,23222.0,3902860.0
2007-11-26,3833,3946,3373,3413,617806,19983.0,3902860.0
2007-11-27,3373,3520,3036,3190,370141,18675.0,3902860.0
2007-11-28,3190,3300,2966,3153,229917,18461.0,3902860.0
2007-11-29,3086,3200,2966,3027,172899,17719.0,3902860.0
2007-11-30,3020,3106,2866,3067,172816,17953.0,3902860.0
2007-12-03,3026,3440,3020,3227,187857,18890.0,3902860.0
2007-12-04,3210,3286,3133,3177,54112,18597.0,3902860.0
2007-12-05,3200,3233,3053,3200,72778,18734.0,3902860.0
2007-12-06,3230,3236,3133,3230,53171,18909.0,3902860.0
2007-12-07,3373,3373,3103,3133,32751,18343.0,3902860.0
2007-12-10,3133,3133,2980,3107,15616,18187.0,3902860.0
2007-12-11,3106,3106,2913,2930,89866,23794.0,5413980.0
2007-12-12,2933,2970,2833,2933,45458,23822.0,5413980.0
2007-12-13,2880,3106,2880,2950,39337,23957.0,5413980.0
2007-12-14,2956,3100,2956,3013,34509,24471.0,5413980.0
2007-12-17,3016,3173,2973,3013,73805,24471.0,5413980.0
2007-12-18,3013,3086,2920,2980,31269,24200.0,5413980.0
2007-12-20,2913,3056,2913,2933,31860,23822.0,5413980.0
2007-12-21,2933,3000,2866,2870,34524,23307.0,5413980.0
2007-12-24,2960,2960,2860,2897,20742,23524.0,5413980.0
2007-12-26,2876,2960,2863,2947,42070,23930.0,5413980.0
2007-12-27,2963,2986,2910,2987,17426,24255.0,5413980.0
2007-12-28,3050,3200,2936,3047,58588,24742.0,5413980.0
2008-01-02,3046,3163,3046,3133,11056,25446.0,5413980.0
2008-01-03,3180,3180,2960,3133,30890,25446.0,5413980.0
2008-01-04,3133,3300,3023,3203,43645,26014.0,5413980.0
2008-01-07,3203,3426,3203,3263,31943,26501.0,5413980.0
2008-01-08,3393,3393,3200,3267,11046,26529.0,5413980.0
2008-01-09,3333,3333,3176,3253,9895,26420.0,5413980.0
2008-01-10,3200,3533,3200,3433,59650,27882.0,5413980.0
2008-01-11,3593,3826,3400,3567,75469,28965.0,5413980.0
2008-01-14,3546,3613,3400,3580,16829,29073.0,5413980.0
2008-01-15,3533,3673,3466,3580,12766,29073.0,5413980.0
2008-01-16,3666,3866,3513,3733,37770,30318.0,5413980.0
2008-01-17,3866,3866,3566,3833,41811,31130.0,5413980.0
2008-01-18,3893,3893,3666,3700,25187,30048.0,5413980.0
2008-01-21,3733,3733,3533,3600,24390,29235.0,5413980.0
2008-01-22,3506,3506,3226,3393,41640,27557.0,5413980.0
2008-01-23,3393,3466,3213,3387,72287,27503.0,5413980.0
2008-01-24,3573,3573,3230,3333,87808,27070.0,5413980.0
2008-01-25,3460,3666,3333,3553,79189,28857.0,5413980.0
2008-01-28,3933,3933,3566,3633,84729,29506.0,5413980.0
2008-01-29,3600,3833,3600,3800,74108,30860.0,5413980.0
2008-01-30,3800,3900,3713,3800,41543,30860.0,5413980.0
2008-01-31,3800,4366,3733,4367,181385,35462.0,5413980.0
2008-02-01,4466,4640,4200,4420,152306,35895.0,5413980.0
2008-02-04,4426,4653,4046,4393,101106,35678.0,5413980.0
2008-02-05,4300,4560,4200,4260,55333,34595.0,5413980.0
2008-02-11,4246,4266,4093,4267,32407,34649.0,5413980.0
2008-02-12,4186,4400,4186,4333,48125,35191.0,5413980.0
2008-02-13,4313,4466,4313,4367,54797,35462.0,5413980.0
2008-02-14,4313,4393,4220,4220,48968,34270.0,5413980.0
2008-02-15,4266,4320,4093,4093,41078,33242.0,5413980.0
2008-02-18,4040,4266,4000,4100,65549,33296.0,5413980.0
2008-02-19,4080,4466,4006,4100,111070,33296.0,5413980.0
2008-02-20,4100,4166,3880,4000,52979,32484.0,5413980.0
2008-02-21,3933,4066,3893,3947,18472,32051.0,5413980.0
2008-02-22,3813,3993,3786,3893,32876,31618.0,5413980.0
2008-02-25,3800,3920,3786,3800,36016,30860.0,5413980.0
2008-02-26,3860,3933,3686,3907,26998,31726.0,5413980.0
2008-02-27,3833,3926,3800,3860,18564,31347.0,5413980.0
2008-02-28,3866,4233,3766,4053,49419,32917.0,5413980.0
2008-02-29,4120,4126,3973,4000,19932,32484.0,5413980.0
2008-03-03,3900,3966,3733,3933,5742,31942.0,5413980.0
2008-03-04,3846,4000,3826,3867,5427,31401.0,5413980.0
2008-03-05,3866,3926,3746,3867,6372,31401.0,5413980.0
2008-03-06,3800,3866,3673,3747,34203,30427.0,5413980.0
2008-03-07,3746,3826,3666,3800,14720,30860.0,5413980.0
2008-03-10,3866,3866,3600,3600,14190,29235.0,5413980.0
2008-03-11,3566,3780,3533,3653,18655,29669.0,5413980.0
2008-03-12,3740,4046,3693,3773,11566,30643.0,5413980.0
2008-03-13,3820,3820,3620,3760,20973,30535.0,5413980.0
2008-03-14,3760,3920,3673,3673,38413,29831.0,5413980.0
2008-03-17,3766,3786,3600,3707,25875,30102.0,5413980.0
2008-03-18,3620,3826,3620,3820,34235,31022.0,5413980.0
2008-03-19,3986,4066,3826,3827,119428,31076.0,5413980.0
2008-03-20,3760,3926,3760,3867,26354,31401.0,5413980.0
2008-03-21,3993,4046,3920,4047,38594,32863.0,5413980.0
2008-03-24,4073,4100,3980,4027,23811,32700.0,5413980.0
2008-03-25,4133,4133,3980,4000,24273,32484.0,5413980.0
2008-03-26,4000,4000,3920,3967,21797,32213.0,5413980.0
2008-03-27,4000,4000,3800,3920,11081,31834.0,5413980.0
2008-03-28,3920,4000,3860,3933,22302,31942.0,5413980.0
2008-03-31,3960,3960,3853,3953,14905,32105.0,5413980.0
2008-04-01,3966,3980,3900,3973,36863,32267.0,5413980.0
2008-04-02,4020,4033,3926,3987,21254,32376.0,5413980.0
2008-04-03,4000,4433,3980,4333,118723,35191.0,5413980.0
2008-04-04,4333,4333,4166,4267,11973,34649.0,5413980.0
2008-04-07,4266,4500,4180,4333,40883,35191.0,5413980.0
2008-04-08,4326,4400,4253,4333,19354,35191.0,5413980.0
2008-04-10,4346,4526,4339,4387,39273,35624.0,5413980.0
2008-04-11,4433,4433,4286,4320,11899,35083.0,5413980.0
2008-04-14,4266,4286,4133,4193,12030,34054.0,5413980.0
2008-04-15,4193,4266,4133,4200,35215,34108.0,5413980.0
2008-04-16,4266,4266,4066,4233,43779,34379.0,5413980.0
2008-04-17,4200,4200,3966,3973,29561,32267.0,5413980.0
2008-04-18,4000,4080,3826,3887,47816,31564.0,5413980.0
2008-04-21,3886,3920,3766,3767,44450,30589.0,5413980.0
2008-04-22,3766,3793,3646,3767,40618,30589.0,5413980.0
2008-04-23,3733,3853,3686,3800,13494,30860.0,5413980.0
2008-04-24,3833,3966,3833,3880,37711,31509.0,5413980.0
2008-04-25,3993,3993,3806,3893,9851,31618.0,5413980.0
2008-04-28,3866,3953,3806,3913,5509,31780.0,5413980.0
2008-04-29,3806,3926,3733,3847,7956,31239.0,5413980.0
2008-04-30,3740,3873,3740,3820,5707,31022.0,5413980.0
2008-05-02,3866,3866,3753,3780,27059,30697.0,5413980.0
2008-05-06,3793,3886,3773,3867,10794,31401.0,5413980.0
2008-05-07,3926,3926,3746,3747,40346,30427.0,5413980.0
2008-05-08,3800,3800,3533,3747,58110,30427.0,5413980.0
2008-05-09,3780,3793,3520,3553,49936,28857.0,5413980.0
2008-05-13,3580,3633,3500,3587,21854,29127.0,5413980.0
2008-05-14,3653,3653,3333,3620,48619,29398.0,5413980.0
2008-05-15,3546,3666,3533,3627,16286,29452.0,5413980.0
2008-05-16,3553,3660,3440,3440,57817,27936.0,5413980.0
2008-05-19,3466,3566,3413,3440,43011,27936.0,5413980.0
2008-05-20,3426,3473,3400,3460,2115,28099.0,5413980.0
2008-05-21,3413,3420,3300,3373,40280,27395.0,5413980.0
2008-05-22,3333,3413,3300,3400,19199,27611.0,5413980.0
2008-05-23,3340,3466,3340,3400,21793,27611.0,5413980.0
2008-05-26,3460,3460,3270,3367,15650,27341.0,5413980.0
2008-05-27,3333,3433,3293,3347,16967,27178.0,5413980.0
2008-05-28,3333,3386,3306,3387,6664,27503.0,5413980.0
2008-05-29,3386,3386,3280,3330,25190,27043.0,5413980.0
2008-05-30,3333,3426,3330,3427,3372,27828.0,5413980.0
2008-06-02,3426,3533,3360,3467,9523,28153.0,5413980.0
2008-06-03,3386,3466,3373,3467,11211,28153.0,5413980.0
2008-06-04,3413,3413,3346,3353,18455,27232.0,5413980.0
2008-06-05,3360,3493,3346,3420,20655,27774.0,5413980.0
2008-06-09,3406,3406,3313,3387,16793,27503.0,5413980.0
2008-06-10,3393,3393,3296,3327,18476,27016.0,5413980.0
2008-06-11,3366,3380,3290,3340,18709,27124.0,5413980.0
2008-06-12,3326,3326,3266,3317,17049,26935.0,5413980.0
2008-06-13,3330,3330,3246,3293,22278,26745.0,5413980.0
2008-06-16,3233,3320,3233,3233,26031,26258.0,5413980.0
2008-06-17,3233,3310,3173,3220,11826,26150.0,5413980.0
2008-06-18,3180,3353,3180,3297,42538,26772.0,5413980.0
2008-06-19,3273,3333,3200,3283,14165,26664.0,5413980.0
2008-06-20,3266,3333,3210,3300,21441,26799.0,5413980.0
2008-06-23,3286,3333,3223,3330,18944,27043.0,5413980.0
2008-06-24,3546,3626,3426,3473,185666,28207.0,5413980.0
2008-06-25,3473,3813,3473,3767,70582,30589.0,5413980.0
2008-06-26,3800,3866,3620,3780,48797,30697.0,5413980.0
2008-06-27,3726,3726,3333,3587,12120,29127.0,5413980.0
2008-06-30,3486,3586,3433,3433,9622,27882.0,5413980.0
2008-07-01,3406,3486,3353,3467,22901,28153.0,5413980.0
2008-07-02,3533,3533,3200,3333,32867,27070.0,5413980.0
2008-07-03,3266,3333,3070,3200,4979,25987.0,5413980.0
2008-07-04,3166,3426,3166,3290,5123,26718.0,5413980.0
2008-07-07,3140,3233,3100,3143,18314,25527.0,5413980.0
2008-07-08,3143,3206,2866,2933,10351,23822.0,5413980.0
2008-07-09,2973,3300,2933,3100,25427,25175.0,5413980.0
2008-07-10,3000,3330,3000,3317,7054,26935.0,5413980.0
2008-07-11,3760,3760,3183,3440,10068,27936.0,5413980.0
2008-07-14,3346,3546,3246,3317,28897,26935.0,5413980.0
2008-07-15,3333,3333,3166,3200,7499,25987.0,5413980.0
2008-07-16,3166,3270,3143,3270,4800,26556.0,5413980.0
2008-07-17,3393,3400,3233,3327,4353,27016.0,5413980.0
