유신(054930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-01-15,12145,12145,12145,12145,11010,36290.0,1900000.0
2002-01-16,12145,13576,11954,13575,93796,40565.0,1900000.0
2002-01-17,14116,14848,12908,12908,60011,38570.0,1900000.0
2002-01-18,12717,13226,12177,12622,19787,37715.0,1900000.0
2002-01-21,12717,13480,12463,12463,27026,37240.0,1900000.0
2002-01-22,12463,12463,11827,12145,25916,36290.0,1900000.0
2002-01-23,12018,13576,12018,13544,53819,40470.0,1900000.0
2002-01-24,13353,13353,12399,12399,25463,37050.0,1900000.0
2002-01-25,13226,13226,12145,12717,12507,38000.0,1900000.0
2002-01-28,13989,14243,12622,14243,19012,42560.0,1900000.0
2002-01-29,14625,15197,13353,13385,16247,39995.0,1900000.0
2002-01-30,13163,14975,12813,14625,85211,43700.0,1900000.0
2002-01-31,14593,16374,13989,16373,89053,48925.0,1900000.0
2002-02-01,16882,18249,14752,14879,71941,44460.0,1900000.0
2002-02-04,15642,15642,14053,14179,17413,42370.0,1900000.0
2002-02-05,13480,13989,12527,13480,21617,40280.0,1900000.0
2002-02-06,13862,14053,13099,13353,13440,39900.0,1900000.0
2002-02-07,13353,13480,12781,12780,11343,38190.0,1900000.0
2002-02-08,12654,13989,12654,13925,11144,41610.0,1900000.0
2002-02-14,14243,14243,13353,13448,8979,40185.0,1900000.0
2002-02-15,13926,13926,13163,13353,16937,39900.0,1900000.0
2002-02-18,13703,13703,13099,13130,11511,39235.0,1900000.0
2002-02-19,13194,13639,13099,13162,12008,39330.0,1900000.0
2002-02-20,13035,13353,11636,12717,24513,38000.0,1900000.0
2002-02-21,12717,13671,12717,13544,9233,40470.0,1900000.0
2002-02-22,13671,14498,13035,14497,11199,43320.0,1900000.0
2002-02-25,14498,15197,13798,13989,15671,41800.0,1900000.0
2002-02-26,14434,14434,13544,13544,13572,40470.0,1900000.0
2002-02-27,13989,13989,13067,13353,10990,39900.0,1900000.0
2002-02-28,13194,13671,13035,13162,53526,39330.0,1900000.0
2002-03-04,13353,13353,13004,13098,13094,39140.0,1900000.0
2002-03-05,13131,13608,12972,13226,25601,39520.0,1900000.0
2002-03-06,13035,13258,12908,13162,9967,39330.0,1900000.0
2002-03-07,13258,13862,13067,13353,15559,39900.0,1900000.0
2002-03-08,13830,13830,13163,13321,9452,39805.0,1900000.0
2002-03-11,13353,14180,13099,14179,38508,42370.0,1900000.0
2002-03-12,14498,14625,13608,14625,20395,43700.0,1900000.0
2002-03-13,14879,15102,14116,14434,31308,43130.0,1900000.0
2002-03-14,13767,14243,13385,13512,33505,40375.0,1900000.0
2002-03-15,13671,13926,13480,13734,30800,41040.0,1900000.0
2002-03-18,13989,14243,13735,13861,21841,41420.0,1900000.0
2002-03-19,13957,14498,13735,14243,41488,42560.0,1900000.0
2002-03-20,14275,14752,13798,14243,29094,42560.0,1900000.0
2002-03-21,14243,14339,13894,14116,15823,42180.0,1900000.0
2002-03-22,14434,15134,14085,14879,67156,44460.0,1900000.0
2002-03-25,14943,15642,14784,14815,43744,44270.0,1900000.0
2002-03-26,15134,15833,14593,15451,47595,46170.0,1900000.0
2002-03-27,15579,16405,14943,14942,36227,44650.0,1900000.0
2002-03-28,15388,16405,15261,15769,87838,47120.0,1900000.0
2002-03-29,15897,15897,15007,15260,30341,45600.0,1900000.0
2002-04-01,15770,17073,15007,15260,220504,45600.0,1900000.0
2002-04-02,15388,15960,13480,14625,114602,43700.0,1900000.0
2002-04-03,15229,15229,14148,14815,40308,44270.0,1900000.0
2002-04-04,14561,15261,14116,14529,104594,43415.0,1900000.0
2002-04-08,14561,16215,14561,15896,135709,47500.0,1900000.0
2002-04-09,15897,15960,14243,14307,102107,42750.0,1900000.0
2002-04-10,13989,14243,13226,13321,65493,39805.0,1900000.0
2002-04-11,13480,13767,13163,13480,34805,40280.0,1900000.0
2002-04-12,13290,13798,13162,13702,42822,40945.0,1900000.0
2002-04-15,13926,13989,13544,13798,18952,41230.0,1900000.0
2002-04-16,13798,13798,13353,13607,26915,40660.0,1900000.0
2002-04-17,13608,14180,13417,13925,40702,41610.0,1900000.0
2002-04-18,13926,13926,13353,13575,21750,40565.0,1900000.0
2002-04-19,13576,13608,13290,13289,18631,39710.0,1900000.0
2002-04-22,13194,13671,12590,12780,42118,38190.0,1900000.0
2002-04-23,12527,12717,12050,12145,34512,36290.0,1900000.0
2002-04-24,12145,12368,11764,11827,25559,35340.0,1900000.0
2002-04-25,11636,11636,11191,11445,17340,34200.0,1900000.0
2002-04-26,11446,11509,11191,11445,13856,34200.0,1900000.0
2002-04-29,11318,11573,10683,11191,10606,33440.0,1900000.0
2002-04-30,11223,11446,10969,11127,9164,33250.0,1900000.0
2002-05-02,11223,11573,11064,11477,10240,34295.0,1900000.0
2002-05-03,11287,11605,11160,11477,19169,34295.0,1900000.0
2002-05-06,11446,11573,11318,11350,10851,33915.0,1900000.0
2002-05-07,11223,11382,10810,11064,17938,33060.0,1900000.0
2002-05-08,11191,11509,11128,11413,15033,34105.0,1900000.0
