엔에이치스팩12호(273060),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-08-07,2040,2400,2000,2000,1987401,15020.0,7510000.0
2017-08-08,2010,2015,1990,2000,314336,15020.0,7510000.0
2017-08-09,1995,2015,1990,2000,254355,15020.0,7510000.0
2017-08-10,2000,2015,2000,2005,67821,15058.0,7510000.0
2017-08-11,2000,2010,2000,2000,57673,15020.0,7510000.0
2017-08-14,2000,2010,2000,2000,38170,15020.0,7510000.0
2017-08-16,2000,2010,2000,2010,8406,15095.0,7510000.0
2017-08-17,2010,2015,2005,2015,15878,15133.0,7510000.0
2017-08-18,2025,2075,2000,2025,56112,15208.0,7510000.0
2017-08-21,2000,2040,2000,2040,42728,15320.0,7510000.0
2017-08-22,2010,2080,2000,2020,52022,15170.0,7510000.0
2017-08-23,2045,2045,2000,2005,29896,15058.0,7510000.0
2017-08-24,2005,2030,2005,2015,888,15133.0,7510000.0
2017-08-25,2000,2035,2000,2020,16695,15170.0,7510000.0
2017-08-28,2020,2020,2010,2020,8829,15170.0,7510000.0
2017-08-29,2020,2020,2010,2020,26230,15170.0,7510000.0
2017-08-30,2015,2020,2010,2015,607,15133.0,7510000.0
2017-08-31,2020,2020,2000,2020,9443,15170.0,7510000.0
2017-09-01,2005,2020,2005,2020,11430,15170.0,7510000.0
2017-09-04,2025,2025,2005,2010,16433,15095.0,7510000.0
2017-09-05,2010,2020,2005,2010,17074,15095.0,7510000.0
2017-09-06,2020,2020,2005,2015,5925,15133.0,7510000.0
2017-09-07,2020,2020,2005,2010,2403,15095.0,7510000.0
2017-09-08,2020,2020,2005,2020,1650,15170.0,7510000.0
2017-09-11,2005,2010,2005,2010,8651,15095.0,7510000.0
2017-09-12,2005,2010,2005,2010,1569,15095.0,7510000.0
2017-09-13,2005,2015,2005,2015,8225,15133.0,7510000.0
2017-09-14,2015,2085,2005,2015,4369,15133.0,7510000.0
2017-09-15,2020,2020,2015,2020,2492,15170.0,7510000.0
2017-09-18,2015,2020,2010,2015,3207,15133.0,7510000.0
2017-09-19,2010,2015,2005,2015,8967,15133.0,7510000.0
2017-09-20,2005,2020,2005,2020,17726,15170.0,7510000.0
2017-09-21,2020,2020,2005,2010,17,15095.0,7510000.0
2017-09-22,2005,2010,2000,2010,52561,15095.0,7510000.0
2017-09-25,2005,2025,2005,2020,9250,15170.0,7510000.0
2017-09-26,2010,2015,2010,2015,104,15133.0,7510000.0
2017-09-27,2015,2015,2005,2005,3205,15058.0,7510000.0
2017-09-28,2015,2015,2010,2010,1185,15095.0,7510000.0
2017-09-29,2005,2015,2005,2015,1837,15133.0,7510000.0
2017-10-10,2020,2020,2015,2020,555,15170.0,7510000.0
2017-10-11,2010,2085,2010,2050,6017,15396.0,7510000.0
2017-10-12,2090,2090,2020,2020,4632,15170.0,7510000.0
2017-10-13,2090,2090,2015,2040,16,15320.0,7510000.0
2017-10-16,2095,2095,2010,2020,15850,15170.0,7510000.0
2017-10-17,2085,2085,2035,2045,11315,15358.0,7510000.0
2017-10-18,2075,2075,2045,2065,301,15508.0,7510000.0
2017-10-19,2095,2095,2050,2085,93,15658.0,7510000.0
2017-10-20,2090,2090,2015,2065,1461,15508.0,7510000.0
2017-10-23,2095,2095,2040,2040,10065,15320.0,7510000.0
2017-10-24,2095,2095,2045,2045,2769,15358.0,7510000.0
2017-10-25,2005,2095,2005,2040,8623,15320.0,7510000.0
2017-10-26,2060,2060,2025,2035,10696,15283.0,7510000.0
2017-10-27,2060,2060,2005,2005,26294,15058.0,7510000.0
