디알젬(263690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-22,8470,8500,6760,6760,6611032,76561.0,11325610.0
2018-11-23,6650,6810,6390,6450,1137596,73050.0,11325610.0
2018-11-26,6400,6480,5960,6030,747553,68293.0,11325610.0
2018-11-27,6090,6340,5980,6150,1022556,69653.0,11325610.0
2018-11-28,6310,6460,6070,6070,949928,68746.0,11325610.0
2018-11-29,6070,6150,5900,5990,618147,67840.0,11325610.0
2018-11-30,6050,6280,6000,6130,801802,69426.0,11325610.0
2018-12-03,6160,6210,5910,6070,431694,68746.0,11325610.0
2018-12-04,6070,7890,5980,7890,3659152,89359.0,11325610.0
2018-12-05,8970,9090,7320,7630,5496270,86414.0,11325610.0
2018-12-06,7780,9910,7500,9910,7956412,112237.0,11325610.0
2018-12-07,10200,10350,8620,8940,3998851,101251.0,11325610.0
2018-12-10,8700,9350,8320,8790,2522161,99552.0,11325610.0
2018-12-11,9000,9770,8450,9010,3577969,102044.0,11325610.0
2018-12-12,9500,9800,8560,8560,2388387,96947.0,11325610.0
2018-12-13,8660,8780,8380,8700,1035180,98533.0,11325610.0
2018-12-14,8530,8600,7870,7870,984236,89133.0,11325610.0
2018-12-17,7780,7900,7520,7820,608151,88566.0,11325610.0
2018-12-18,7670,7680,7190,7250,647798,82111.0,11325610.0
2018-12-19,7100,7490,7050,7220,538852,81771.0,11325610.0
2018-12-20,7130,7540,7040,7540,650375,85395.0,11325610.0
2018-12-21,7370,7720,7170,7200,862728,81544.0,11325610.0
2018-12-24,7250,7590,7110,7110,795651,80525.0,11325610.0
2018-12-26,7000,7350,6800,6830,618587,77354.0,11325610.0
2018-12-27,7000,7060,6600,6670,280654,75542.0,11325610.0
2018-12-28,6670,7430,6670,6850,983061,77580.0,11325610.0
2019-01-02,6870,6970,6780,6860,242264,77694.0,11325610.0
2019-01-03,6960,6960,6540,6540,246589,74069.0,11325610.0
2019-01-04,6680,7280,6610,7210,1100412,81658.0,11325610.0
2019-01-07,7580,7780,7200,7270,897224,82337.0,11325610.0
2019-01-08,7300,7400,7110,7380,371876,83583.0,11325610.0
2019-01-09,7490,7580,7280,7390,383379,83696.0,11325610.0
2019-01-10,7390,7430,7080,7100,237496,80412.0,11325610.0
2019-01-11,7180,7500,7070,7500,268807,84942.0,11325610.0
2019-01-14,7600,7600,7300,7470,219470,84602.0,11325610.0
2019-01-15,7450,7580,7230,7290,169960,82564.0,11325610.0
2019-01-16,7340,7460,7160,7170,196760,81205.0,11325610.0
2019-01-17,7220,7360,7090,7100,138316,80412.0,11325610.0
2019-01-18,7140,7330,7120,7140,133442,80865.0,11325610.0
2019-01-21,7180,7290,6830,6940,164068,78600.0,11325610.0
2019-01-22,6910,7180,6900,6930,124405,78486.0,11325610.0
2019-01-23,6800,6950,6770,6770,153447,76674.0,11325610.0
2019-01-24,6900,7370,6900,7020,506351,79506.0,11325610.0
2019-01-25,7060,7450,7030,7450,385415,84376.0,11325610.0
2019-01-28,7600,7760,7330,7340,286434,83130.0,11325610.0
2019-01-29,7390,7410,7250,7280,124290,82450.0,11325610.0
2019-01-30,7340,7440,7170,7390,158947,83696.0,11325610.0
2019-01-31,7440,7480,7220,7240,132850,81997.0,11325610.0
2019-02-01,7240,7290,7170,7210,64860,81658.0,11325610.0
2019-02-07,7160,7240,7030,7080,99818,80185.0,11325610.0
2019-02-08,7080,7240,6960,7080,88757,80185.0,11325610.0
2019-02-11,7080,7360,7070,7260,151161,82224.0,11325610.0
2019-02-12,7330,7640,7230,7320,238820,82903.0,11325610.0
2019-02-13,7440,7440,7200,7270,89792,82337.0,11325610.0
2019-02-14,7350,7450,7210,7360,91980,83356.0,11325610.0
2019-02-15,7340,7520,7240,7260,135817,82224.0,11325610.0
2019-02-18,7330,7580,7260,7570,186058,85735.0,11325610.0
2019-02-19,7680,7680,7390,7390,323327,83696.0,11325610.0
2019-02-20,7420,7440,7200,7230,168474,81884.0,11325610.0
2019-02-21,7250,7290,7040,7080,149146,80185.0,11325610.0
2019-02-22,7080,7360,7080,7290,125199,82564.0,11325610.0
2019-02-25,7280,7490,7240,7370,177703,83470.0,11325610.0
2019-02-26,7450,7480,7200,7300,106568,82677.0,11325610.0
2019-02-27,7330,7430,7230,7410,64448,83923.0,11325610.0
2019-02-28,7420,7520,7090,7100,167984,80412.0,11325610.0
2019-03-04,7220,7430,7210,7250,112394,82111.0,11325610.0
2019-03-05,7300,9050,7300,8440,6022971,95588.0,11325610.0
2019-03-06,8420,8540,8200,8510,938747,96381.0,11325610.0
2019-03-07,8450,8850,8060,8070,1311039,91398.0,11325610.0
2019-03-08,8070,8280,7810,7980,403309,90378.0,11325610.0
2019-03-11,8170,9600,8160,8800,6710800,99665.0,11325610.0
2019-03-12,8810,9090,8580,9020,1265658,102157.0,11325610.0
2019-03-13,8930,11700,8810,11400,8920351,129112.0,11325610.0
2019-03-14,11200,11800,11050,11600,2003618,131377.0,11325610.0
2019-03-15,11400,12300,10700,11450,3160241,129678.0,11325610.0
2019-03-18,11650,12150,11250,11900,2259954,134775.0,11325610.0
2019-03-19,11900,12000,11200,11250,921731,127413.0,11325610.0
2019-03-20,11200,11500,10850,11350,782450,128546.0,11325610.0
2019-03-21,11300,11750,10700,10700,1146444,121184.0,11325610.0
