인텍플러스(064290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-01-05,14000,16100,14000,16100,5178278,128880.0,8005000.0
2011-01-06,18500,18500,13750,15500,11962588,124078.0,8005000.0
2011-01-07,16300,16700,13250,13400,7107370,107267.0,8005000.0
2011-01-10,13050,13750,12250,12250,4656948,98061.0,8005000.0
2011-01-11,12200,14050,12050,12400,8089109,99262.0,8005000.0
2011-01-12,12500,12650,11050,11100,2176505,88856.0,8005000.0
2011-01-13,11300,11450,10450,10700,1861496,85654.0,8005000.0
2011-01-14,11200,11600,10600,10650,2376713,85253.0,8005000.0
2011-01-17,10750,11450,10500,11000,1567383,88055.0,8005000.0
2011-01-18,11150,11550,10100,10150,1663247,81251.0,8005000.0
2011-01-19,10250,10300,9690,9900,1087281,79250.0,8005000.0
2011-01-20,9950,10150,9340,9420,912476,81090.0,8608333.0
2011-01-21,9430,9500,8610,8610,1399227,74118.0,8608333.0
2011-01-24,8920,9350,8650,8690,1390669,74806.0,8608333.0
2011-01-25,8800,9050,8140,8310,1380278,71535.0,8608333.0
2011-01-26,8370,9420,8250,8650,2773507,74462.0,8608333.0
2011-01-27,8750,8980,8130,8300,725134,71449.0,8608333.0
2011-01-28,8300,8370,7840,7840,569163,67489.0,8608333.0
2011-01-31,7790,8050,7640,7650,374654,65854.0,8608333.0
2011-02-01,7800,8300,7610,7780,651935,66973.0,8608333.0
2011-02-07,8050,8830,7930,8500,1444447,73171.0,8608333.0
2011-02-08,8540,8540,8230,8340,390652,71793.0,8608333.0
2011-02-09,8370,8720,8300,8360,556174,71966.0,8608333.0
2011-02-10,8210,8710,8040,8050,983545,69297.0,8608333.0
2011-02-11,8050,8290,7520,7600,513144,65423.0,8608333.0
2011-02-14,7560,7750,7310,7350,386824,63271.0,8608333.0
2011-02-15,7370,7450,7020,7060,384678,60775.0,8608333.0
2011-02-16,7080,7420,7050,7250,481453,62410.0,8608333.0
2011-02-17,7250,7490,6880,6990,421760,60172.0,8608333.0
2011-02-18,7030,7360,6930,7290,359718,62755.0,8608333.0
2011-02-21,7300,7420,7050,7150,265329,61550.0,8608333.0
2011-02-22,7050,7140,6750,6750,283167,58106.0,8608333.0
2011-02-23,6750,6860,6570,6590,239827,56729.0,8608333.0
2011-02-24,6500,6940,6460,6480,324298,55782.0,8608333.0
2011-02-25,6570,6720,6540,6710,170021,57762.0,8608333.0
2011-02-28,6650,6690,6450,6460,190390,58110.0,8995333.0
2011-03-02,6400,6600,6350,6480,147719,58290.0,8995333.0
2011-03-03,6620,7450,6590,7450,1274607,67015.0,8995333.0
2011-03-04,7600,8150,7590,7620,1947780,68544.0,8995333.0
2011-03-07,7800,8620,7630,8500,1831015,76460.0,8995333.0
2011-03-08,8450,8690,8210,8550,1176282,76910.0,8995333.0
2011-03-09,8690,8860,8410,8620,1022688,77540.0,8995333.0
2011-03-10,8600,8790,8160,8200,686910,73762.0,8995333.0
2011-03-11,8010,8210,7830,8080,540049,72682.0,8995333.0
2011-03-14,8190,9080,8080,8450,1508014,76011.0,8995333.0
2011-03-15,8500,8790,7200,7540,1179130,67825.0,8995333.0
2011-03-16,7540,8200,7420,8000,742589,71963.0,8995333.0
2011-03-17,7650,8080,7650,8080,360690,72682.0,8995333.0
2011-03-18,8210,9280,8190,9100,2249843,81858.0,8995333.0
2011-03-21,9210,10000,8980,9220,2614044,82937.0,8995333.0
2011-03-22,9440,9620,8910,9280,1041101,83477.0,8995333.0
2011-03-23,9280,9820,9250,9310,1329369,83747.0,8995333.0
2011-03-24,9450,9730,9370,9650,765467,86805.0,8995333.0
2011-03-25,9890,9980,9210,9210,969989,82847.0,8995333.0
2011-03-28,9150,9240,8660,8780,596933,78979.0,8995333.0
2011-03-29,8790,9490,8780,9490,604579,85366.0,8995333.0
2011-03-30,9710,9730,9250,9300,537194,83657.0,8995333.0
2011-03-31,9420,9460,9060,9150,380628,82307.0,8995333.0
2011-04-01,9240,9670,9120,9360,783312,84196.0,8995333.0
2011-04-04,9420,9990,9370,9800,1698107,88154.0,8995333.0
2011-04-05,9900,9990,9500,9500,796487,85456.0,8995333.0
2011-04-06,9490,9640,9290,9300,563068,83657.0,8995333.0
2011-04-07,9340,9500,9180,9310,321612,83747.0,8995333.0
2011-04-08,9410,9540,9160,9180,385957,82577.0,8995333.0
2011-04-11,9220,9390,9100,9170,264531,82487.0,8995333.0
2011-04-12,9180,9240,8500,8550,530185,76910.0,8995333.0
2011-04-13,8550,8690,8100,8210,397473,73852.0,8995333.0
2011-04-14,8210,8420,8130,8300,268351,74661.0,8995333.0
2011-04-15,8450,8450,8170,8410,177693,75651.0,8995333.0
2011-04-18,8410,8430,7750,7770,433197,69894.0,8995333.0
2011-04-19,7620,7770,7410,7410,353096,66655.0,8995333.0
2011-04-20,7510,8170,7510,8140,372036,73222.0,8995333.0
2011-04-21,8300,8460,7800,7800,379383,70164.0,8995333.0
2011-04-22,7830,8040,7450,7760,217336,69804.0,8995333.0
2011-04-25,7850,7910,7730,7740,131131,69624.0,8995333.0
2011-04-26,7630,7730,7190,7190,352278,64676.0,8995333.0
2011-04-27,7210,7320,7010,7200,263256,64766.0,8995333.0
2011-04-28,7200,7560,6990,6990,237348,62877.0,8995333.0
2011-04-29,7000,7100,6800,6930,164933,62338.0,8995333.0
2011-05-02,7050,7260,6800,7260,213538,65306.0,8995333.0
2011-05-03,7260,7420,6940,6970,223129,62697.0,8995333.0
2011-05-04,6980,7200,6960,7010,210247,63057.0,8995333.0
2011-05-06,7010,7290,6950,7070,226703,63597.0,8995333.0
2011-05-09,7150,7510,7090,7500,450160,67465.0,8995333.0
2011-05-11,7570,7680,7250,7300,307714,65666.0,8995333.0
2011-05-12,7260,7680,7100,7680,276993,69084.0,8995333.0
2011-05-13,7620,7950,7560,7720,442459,69444.0,8995333.0
2011-05-16,7950,8120,7600,7600,550636,68365.0,8995333.0
2011-05-17,7450,7450,7000,7000,421125,62967.0,8995333.0
2011-05-18,7000,7200,6960,6980,229879,62787.0,8995333.0
2011-05-19,6980,7110,6600,6630,244327,59639.0,8995333.0
2011-05-20,6630,6750,6450,6580,99007,59189.0,8995333.0
2011-05-23,6510,6570,6260,6260,129234,56311.0,8995333.0
2011-05-24,6010,6360,6010,6050,189170,54422.0,8995333.0
2011-05-25,6150,6290,6010,6030,153659,54242.0,8995333.0
2011-05-26,6140,6930,6030,6560,341309,59009.0,8995333.0
2011-05-27,6610,6680,6330,6330,144500,56940.0,8995333.0
2011-05-30,6550,7110,6500,6840,293700,61528.0,8995333.0
2011-05-31,6840,6890,6700,6700,104296,60269.0,8995333.0
2011-06-01,6850,6910,6730,6730,103117,61279.0,9105333.0
2011-06-02,6210,6650,6200,6480,132721,59003.0,9105333.0
2011-06-03,6470,6830,6460,6480,65519,59003.0,9105333.0
2011-06-07,6350,6480,6120,6120,154726,55725.0,9105333.0
2011-06-08,6080,6210,6060,6150,117780,55998.0,9105333.0
2011-06-09,6160,6690,6100,6320,167843,57546.0,9105333.0
2011-06-10,6380,6510,6090,6100,140401,55543.0,9105333.0
2011-06-13,6060,6210,5970,5990,92326,54541.0,9105333.0
2011-06-14,5940,6180,5930,6150,60395,55998.0,9105333.0
2011-06-15,6250,6350,6130,6140,78804,55907.0,9105333.0
2011-06-16,6010,6110,6010,6030,61641,54905.0,9105333.0
2011-06-17,6100,6480,6060,6210,224945,56544.0,9105333.0
2011-06-20,6250,6440,6070,6070,139498,55269.0,9105333.0
2011-06-21,6210,6240,6000,6070,61332,55269.0,9105333.0
2011-06-22,6200,6210,6100,6140,75227,55907.0,9105333.0
2011-06-23,6140,6350,6130,6300,130130,57364.0,9105333.0
2011-06-24,6320,6510,6290,6360,207976,57910.0,9105333.0
2011-06-27,6320,6420,6190,6200,104502,56453.0,9105333.0
2011-06-28,6280,6460,6100,6100,135572,55543.0,9105333.0
2011-06-29,6180,6200,6070,6100,92446,55543.0,9105333.0
2011-06-30,6220,6320,6080,6270,112301,57090.0,9105333.0
2011-07-01,6370,6650,6300,6560,240658,59731.0,9105333.0
2011-07-04,6570,6790,6550,6550,140161,59640.0,9105333.0
2011-07-05,6550,6630,6420,6600,198088,60095.0,9105333.0
2011-07-06,6580,6860,6500,6500,260887,59185.0,9105333.0
2011-07-07,6530,6640,6460,6550,125780,59640.0,9105333.0
2011-07-08,6600,6640,6410,6430,130673,58547.0,9105333.0
2011-07-11,6390,7180,6390,6950,717207,63282.0,9105333.0
2011-07-12,6810,6960,6740,6890,250481,62736.0,9105333.0
2011-07-13,6940,7050,6850,7030,237082,64010.0,9105333.0
2011-07-14,7070,7130,6800,6810,222300,62007.0,9105333.0
2011-07-15,6910,6970,6760,6770,169580,61643.0,9105333.0
2011-07-18,6860,7120,6780,7120,282180,64830.0,9105333.0
2011-07-19,7180,7280,7070,7260,400972,66105.0,9105333.0
2011-07-20,7310,7410,7140,7140,328178,65012.0,9105333.0
2011-07-21,7140,7250,6800,6890,196456,62736.0,9105333.0
2011-07-22,6950,7090,6910,6990,135259,63646.0,9105333.0
2011-07-25,6920,7200,6920,7000,147456,63737.0,9105333.0
2011-07-26,7000,7070,6920,6970,89345,63464.0,9105333.0
2011-07-27,6960,7000,6770,6840,193008,62280.0,9105333.0
2011-07-28,6690,7000,6670,6900,172389,62827.0,9105333.0
2011-07-29,7070,7140,6770,6850,225391,62372.0,9105333.0
2011-08-01,6910,7040,6830,6860,147793,62463.0,9105333.0
2011-08-02,6830,6960,6690,6690,118328,60915.0,9105333.0
2011-08-03,6600,6880,6390,6850,230985,62372.0,9105333.0
2011-08-04,6950,6990,6470,6470,186937,58912.0,9105333.0
2011-08-05,5900,6080,5700,5780,230745,52629.0,9105333.0
2011-08-08,5420,5720,4920,4950,312837,45071.0,9105333.0
2011-08-09,4350,4490,4210,4360,333862,39699.0,9105333.0
2011-08-10,4635,4800,4600,4720,263341,42977.0,9105333.0
2011-08-11,4300,4870,4300,4860,240676,44252.0,9105333.0
2011-08-12,5080,5290,4865,4865,186957,44297.0,9105333.0
2011-08-16,5100,5270,5010,5260,191160,47894.0,9105333.0
2011-08-17,5180,5660,5110,5600,249670,50990.0,9105333.0
2011-08-18,5550,5870,5250,5600,345228,50990.0,9105333.0
2011-08-19,5320,5350,4950,4950,203314,45071.0,9105333.0
2011-08-22,4910,5090,4795,4800,146153,43706.0,9105333.0
2011-08-23,4800,5020,4800,5020,73916,45709.0,9105333.0
2011-08-24,5200,5420,4960,5000,244695,45527.0,9105333.0
2011-08-25,5200,5270,5050,5090,87532,46346.0,9105333.0
2011-08-26,5000,5180,4950,5060,80583,46073.0,9105333.0
2011-08-29,5150,5190,5070,5150,85312,46892.0,9105333.0
2011-08-30,5240,5260,5120,5120,104078,46619.0,9105333.0
2011-08-31,5170,5290,5090,5190,71281,47257.0,9105333.0
2011-09-01,5230,5360,5170,5200,116172,47348.0,9105333.0
2011-09-02,5110,5260,5070,5120,61029,46619.0,9105333.0
2011-09-05,4990,5000,4815,4815,116339,43842.0,9105333.0
2011-09-06,4630,4785,4520,4640,87986,42249.0,9105333.0
2011-09-07,4685,4980,4685,4940,69836,44980.0,9105333.0
2011-09-08,4950,4995,4755,4760,64411,43341.0,9105333.0
2011-09-09,4760,4875,4600,4740,44608,43159.0,9105333.0
2011-09-14,4720,4795,4460,4490,72638,40883.0,9105333.0
2011-09-15,4610,4685,4435,4490,50465,40883.0,9105333.0
2011-09-16,4610,4675,4530,4650,72701,42340.0,9105333.0
2011-09-19,4650,4650,4460,4550,42036,41429.0,9105333.0
2011-09-20,4550,4600,4415,4600,119548,41885.0,9105333.0
2011-09-21,4850,5250,4820,4880,379374,44434.0,9105333.0
2011-09-22,4700,4825,4540,4540,113563,41338.0,9105333.0
2011-09-23,4205,4270,4000,4020,176851,36603.0,9105333.0
2011-09-26,4030,4070,3425,3430,150562,31231.0,9105333.0
2011-09-27,3500,3630,3500,3615,74278,32916.0,9105333.0
2011-09-28,3625,3775,3600,3600,60873,32779.0,9105333.0
2011-09-29,3490,3665,3435,3665,38561,33371.0,9105333.0
2011-09-30,3620,3810,3620,3800,64557,34600.0,9105333.0
2011-10-04,3550,3550,3300,3420,70450,31140.0,9105333.0
2011-10-05,3445,3490,3235,3235,62754,29456.0,9105333.0
2011-10-06,3350,3475,3350,3400,35124,30958.0,9105333.0
2011-10-07,3455,3675,3455,3580,51497,32597.0,9105333.0
2011-10-10,3645,3855,3610,3820,72669,34782.0,9105333.0
2011-10-11,4000,4005,3760,3795,69363,34555.0,9105333.0
2011-10-12,3750,3990,3720,3990,57433,36330.0,9105333.0
2011-10-13,4050,4550,4030,4280,176438,38971.0,9105333.0
2011-10-14,4280,4540,4250,4295,82411,39107.0,9105333.0
2011-10-17,4465,4470,4275,4275,63465,38925.0,9105333.0
2011-10-18,4125,4220,4085,4090,68546,37241.0,9105333.0
2011-10-19,4200,4220,4075,4125,97719,37559.0,9105333.0
