팬젠(222110),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-03-11,24900,25700,21950,22300,3693362,171293.0,7681318.0
2016-03-14,22050,23400,22000,22600,581135,173598.0,7681318.0
2016-03-15,22600,22800,21050,21150,422813,162460.0,7681318.0
2016-03-16,20850,21700,20800,21200,324052,162844.0,7681318.0
2016-03-17,21250,21300,20000,20000,296144,153626.0,7681318.0
2016-03-18,20250,22450,20050,21450,784291,164764.0,7681318.0
2016-03-21,21900,21950,20900,20900,201444,160540.0,7681318.0
2016-03-22,21000,21200,20300,20400,142265,156699.0,7681318.0
2016-03-23,20100,20350,19450,19600,206046,150554.0,7681318.0
2016-03-24,19500,20400,19300,19650,161771,150938.0,7681318.0
2016-03-25,19900,19900,18950,18950,177097,156244.0,8245072.0
2016-03-28,18850,18900,17350,17350,277767,143052.0,8245072.0
2016-03-29,17500,18150,17150,17500,202384,144289.0,8245072.0
2016-03-30,17750,18950,17450,18200,306573,150060.0,8245072.0
2016-03-31,18350,21200,18150,19500,615124,160779.0,8245072.0
2016-04-01,19350,20500,18900,19200,170442,158305.0,8245072.0
2016-04-04,19300,19450,18800,19450,83018,160367.0,8245072.0
2016-04-05,19800,20550,19400,19500,127834,160779.0,8245072.0
2016-04-06,19450,19500,19000,19200,49617,158305.0,8245072.0
2016-04-07,19450,19450,18700,18950,65498,156244.0,8245072.0
2016-04-08,18750,19000,18250,18700,44207,162628.0,8696682.0
2016-04-11,18450,18700,18000,18200,91385,158280.0,8696682.0
2016-04-12,18150,18850,18050,18300,45688,159149.0,8696682.0
2016-04-14,18250,19250,18250,18900,60158,164367.0,8696682.0
2016-04-15,19000,19000,18550,18900,45935,164367.0,8696682.0
2016-04-18,19000,19000,18450,18450,38290,160454.0,8696682.0
2016-04-19,18500,19200,18350,18600,47070,161758.0,8696682.0
2016-04-20,18800,19300,18650,19000,58806,165237.0,8696682.0
2016-04-21,19250,19250,18450,18450,53250,160454.0,8696682.0
2016-04-22,18700,18700,17250,17900,166181,155671.0,8696682.0
2016-04-25,18000,18250,17800,17900,36443,155671.0,8696682.0
2016-04-26,18050,20900,17850,19150,323565,166541.0,8696682.0
2016-04-27,19150,19150,18300,18300,95766,159149.0,8696682.0
2016-04-28,18200,18500,18000,18050,48318,156975.0,8696682.0
2016-04-29,17950,18150,17800,17950,35015,156105.0,8696682.0
2016-05-02,17950,18300,17950,18000,33870,156540.0,8696682.0
2016-05-03,18000,18200,17550,17700,34657,153931.0,8696682.0
2016-05-04,17500,17900,17500,17900,28974,155671.0,8696682.0
2016-05-09,17900,17900,17350,17450,27973,151757.0,8696682.0
2016-05-10,17450,17700,17450,17650,19749,153496.0,8696682.0
2016-05-11,17900,18700,17550,18100,76144,157410.0,8696682.0
2016-05-12,18100,18650,18100,18200,34709,158280.0,8696682.0
2016-05-13,18100,18100,17550,17750,47531,154366.0,8696682.0
2016-05-16,17750,17900,17300,17400,48999,151322.0,8696682.0
2016-05-17,17400,17500,17150,17250,39060,150018.0,8696682.0
2016-05-18,17300,17300,16550,16800,53918,146104.0,8696682.0
2016-05-19,16600,16900,16450,16900,37371,146974.0,8696682.0
2016-05-20,16800,17050,16500,16900,32194,146974.0,8696682.0
2016-05-23,16900,17500,16700,17350,34829,150887.0,8696682.0
2016-05-24,17250,17400,16900,17100,28412,148713.0,8696682.0
2016-05-25,17150,17300,16550,16750,59834,145669.0,8696682.0
2016-05-26,16650,17000,16550,16750,36173,145669.0,8696682.0
2016-05-27,16650,16900,16400,16600,38415,144365.0,8696682.0
2016-05-30,16700,16750,16450,16550,23993,143930.0,8696682.0
2016-05-31,16550,17100,16400,17000,42360,147844.0,8696682.0
2016-06-01,17000,17500,17000,17450,38234,151757.0,8696682.0
2016-06-02,17500,17800,17200,17500,39432,152192.0,8696682.0
2016-06-03,17800,18450,17550,18200,95762,158280.0,8696682.0
2016-06-07,18450,19800,18200,18850,190243,163932.0,8696682.0
2016-06-08,19150,19550,18900,19500,109232,169585.0,8696682.0
2016-06-09,19750,20050,19200,19450,121875,169150.0,8696682.0
2016-06-10,19250,19300,18700,19200,72183,166976.0,8696682.0
2016-06-13,19200,20800,18850,19450,223553,169150.0,8696682.0
2016-06-14,19650,19700,18900,19450,76653,169150.0,8696682.0
2016-06-15,19450,19750,18400,18600,102771,161758.0,8696682.0
2016-06-16,18600,19150,18000,18000,93120,156540.0,8696682.0
2016-06-17,18200,18650,18000,18400,56166,160019.0,8696682.0
2016-06-20,18300,18650,18100,18450,46142,160454.0,8696682.0
2016-06-21,18400,19400,18250,18900,79400,164367.0,8696682.0
2016-06-22,18900,19350,18550,18850,38493,163932.0,8696682.0
2016-06-23,18850,18850,17850,18050,66974,156975.0,8696682.0
2016-06-24,18250,18550,16650,17100,140842,148713.0,8696682.0
2016-06-27,16500,17450,16500,17250,51721,150018.0,8696682.0
2016-06-28,17050,18000,17050,18000,32036,156540.0,8696682.0
2016-06-29,18500,18500,18000,18300,46794,165222.0,9028515.0
2016-06-30,18600,18750,18350,18500,21951,167028.0,9028515.0
2016-07-01,18750,18750,18300,18600,27519,167930.0,9028515.0
2016-07-04,18400,18550,18000,18200,38573,164319.0,9028515.0
2016-07-05,18200,19350,18150,19050,88651,171993.0,9028515.0
2016-07-06,18900,20600,18650,20000,327687,180570.0,9028515.0
2016-07-07,20500,21200,19700,20200,490236,182376.0,9028515.0
2016-07-08,20350,21500,20250,20650,231483,186439.0,9028515.0
2016-07-11,20900,21150,20200,20200,150504,182376.0,9028515.0
2016-07-12,20300,20300,19400,19750,200205,178313.0,9028515.0
2016-07-13,19950,22750,19900,22000,773142,198627.0,9028515.0
2016-07-14,21700,24450,21650,23000,592763,207656.0,9028515.0
2016-07-15,23450,23450,21900,22500,212090,203142.0,9028515.0
2016-07-18,22500,22950,21000,22650,241202,204496.0,9028515.0
2016-07-19,22800,25050,22800,23850,422292,215330.0,9028515.0
2016-07-20,24100,24500,22600,23400,204360,211267.0,9028515.0
2016-07-21,23850,24250,23000,23700,146209,213976.0,9028515.0
2016-07-22,23400,24000,22750,22750,121874,205399.0,9028515.0
2016-07-25,22400,22650,21500,21500,190499,194113.0,9028515.0
2016-07-26,21750,23800,21650,23050,265598,208107.0,9028515.0
2016-07-27,23500,23500,22300,22650,98803,204496.0,9028515.0
2016-07-28,22650,23600,22000,23600,136447,213073.0,9028515.0
2016-07-29,23400,23600,23050,23200,82593,209462.0,9028515.0
2016-08-01,23200,25100,23050,24400,269828,220296.0,9028515.0
2016-08-02,24150,25050,23800,24450,143336,220747.0,9028515.0
2016-08-03,24250,24750,24100,24150,68828,218039.0,9028515.0
2016-08-04,24400,25050,23000,23800,138671,214879.0,9028515.0
2016-08-05,23800,24100,22300,22400,169742,202239.0,9028515.0
2016-08-08,22400,23300,21600,22500,116727,203142.0,9028515.0
2016-08-09,23150,23300,22000,22550,85870,203593.0,9028515.0
2016-08-10,22400,23500,21650,23250,130006,209913.0,9028515.0
2016-08-11,23450,23450,22400,22400,67148,202239.0,9028515.0
2016-08-12,22550,22550,21500,21900,120161,197724.0,9028515.0
2016-08-16,22100,22100,21000,21100,138157,190502.0,9028515.0
2016-08-17,23700,24350,21650,22000,327682,198627.0,9028515.0
2016-08-18,21700,22100,20800,21000,131819,189599.0,9028515.0
2016-08-19,21000,21700,21000,21100,59986,190502.0,9028515.0
2016-08-22,20800,21500,20600,21000,65210,189599.0,9028515.0
2016-08-23,20900,21600,20850,21100,60125,190502.0,9028515.0
2016-08-24,21350,21450,20050,20150,103111,181925.0,9028515.0
2016-08-25,20100,20700,20000,20050,58172,181022.0,9028515.0
2016-08-26,20000,21350,19500,21100,88395,190502.0,9028515.0
2016-08-29,21150,21150,20450,20450,47105,184633.0,9028515.0
2016-08-30,20550,21300,20550,21100,47659,190502.0,9028515.0
2016-08-31,20850,21350,20550,20950,54563,189147.0,9028515.0
2016-09-01,21200,21300,20750,20950,38171,189147.0,9028515.0
2016-09-02,21150,21300,20650,20650,42880,186439.0,9028515.0
2016-09-05,20700,21000,20200,20750,47764,187342.0,9028515.0
2016-09-06,20950,24150,20600,23300,270613,210364.0,9028515.0
