파워넷(037030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-12-24,,,,,,70560.0,9000000.0
1999-12-27,,,,,,79020.0,9000000.0
1999-12-28,,,,,,88470.0,9000000.0
2000-01-04,,,,,,98550.0,9000000.0
2000-01-05,,,,,,110250.0,9000000.0
2000-01-06,,,,,,123300.0,9000000.0
2000-01-07,,,,,,130950.0,9000000.0
2000-01-10,,,,,,115650.0,9000000.0
2000-01-11,,,,,,102150.0,9000000.0
2000-01-12,,,,,,90000.0,9000000.0
2000-01-13,,,,,,79200.0,9000000.0
2000-01-14,,,,,,69750.0,9000000.0
2000-01-17,,,,,,68850.0,9000000.0
2000-01-18,,,,,,77040.0,9000000.0
2000-01-19,,,,,,72000.0,9000000.0
2000-01-20,,,,,,74430.0,9000000.0
2000-01-21,,,,,,71100.0,9000000.0
2000-01-24,,,,,,69840.0,9000000.0
2000-01-25,,,,,,71280.0,9000000.0
2000-01-26,,,,,,74700.0,9000000.0
2000-01-27,,,,,,71010.0,9000000.0
2000-01-28,,,,,,70110.0,9000000.0
2000-01-31,,,,,,69300.0,9000000.0
2000-02-01,,,,,,74250.0,9000000.0
2000-02-02,,,,,,82800.0,9000000.0
2000-02-03,,,,,,85500.0,9000000.0
2000-02-07,,,,,,92700.0,9000000.0
2000-02-08,,,,,,86400.0,9000000.0
2000-02-09,,,,,,81900.0,9000000.0
2000-02-10,,,,,,83250.0,9000000.0
2000-02-11,,,,,,93150.0,9000000.0
2000-02-14,,,,,,103950.0,9000000.0
2000-02-15,,,,,,93600.0,9000000.0
2000-02-16,,,,,,97650.0,9000000.0
2000-02-17,,,,,,109350.0,9000000.0
2000-02-18,,,,,,122400.0,9000000.0
2000-02-21,,,,,,136800.0,9000000.0
2000-02-22,,,,,,144000.0,9000000.0
2000-02-23,,,,,,126900.0,9000000.0
2000-02-24,,,,,,130500.0,9000000.0
2000-02-25,,,,,,145800.0,9000000.0
2000-02-28,,,,,,162900.0,9000000.0
2000-02-29,,,,,,158400.0,9000000.0
2000-03-02,,,,,,177300.0,9000000.0
2000-03-03,,,,,,198450.0,9000000.0
2000-03-06,,,,,,221850.0,9000000.0
2000-03-07,,,,,,195300.0,9000000.0
2000-03-08,,,,,,209700.0,9000000.0
2000-03-09,,,,,,203850.0,9000000.0
2000-03-10,,,,,,184050.0,9000000.0
2000-03-13,,,,,,168300.0,9000000.0
2000-03-14,,,,,,178200.0,9000000.0
2000-03-15,,,,,,166050.0,9000000.0
2000-03-16,,,,,,153000.0,9000000.0
2000-03-17,,,,,,135000.0,9000000.0
2000-03-20,,,,,,120600.0,9000000.0
2000-03-21,,,,,,124200.0,9000000.0
2000-03-22,,,,,,139050.0,9000000.0
2000-03-23,,,,,,141300.0,9000000.0
2000-03-24,,,,,,139500.0,9000000.0
2000-03-27,,,,,,152100.0,9000000.0
2000-03-28,,,,,,152550.0,9000000.0
2000-03-29,,,,,,144900.0,9000000.0
2000-03-30,,,,,,137250.0,9000000.0
2000-03-31,,,,,,117000.0,9000000.0
2000-04-03,,,,,,103050.0,9000000.0
2000-04-04,,,,,,106200.0,9000000.0
2000-04-06,,,,,,102600.0,9000000.0
2000-04-07,,,,,,114750.0,9000000.0
2000-04-10,,,,,,128250.0,9000000.0
2000-04-11,,,,,,113400.0,9000000.0
2000-04-12,,,,,,118800.0,9000000.0
2000-04-14,,,,,,109800.0,9000000.0
2000-04-17,,,,,,96750.0,9000000.0
2000-04-18,,,,,,100800.0,9000000.0
2000-04-19,,,,,,104400.0,9000000.0
2000-04-20,,,,,,104850.0,9000000.0
2000-04-21,,,,,,112050.0,9000000.0
2000-04-24,,,,,,104400.0,9000000.0
2000-04-25,,,,,,111600.0,9000000.0
2000-04-26,,,,,,124650.0,9000000.0
2000-04-27,,,,,,139500.0,9000000.0
2000-04-28,,,,,,135900.0,9000000.0
2000-05-02,,,,,,152100.0,9000000.0
2000-05-03,,,,,,148950.0,9000000.0
2000-05-04,,,,,,144000.0,9000000.0
2000-05-08,,,,,,115200.0,9000000.0
2000-05-09,,,,,,128700.0,9000000.0
2000-05-10,,,,,,137250.0,9000000.0
2000-05-12,,,,,,137250.0,9000000.0
2000-05-15,,,,,,121500.0,9000000.0
2000-05-16,,,,,,125550.0,9000000.0
2000-05-17,,,,,,117900.0,9000000.0
2000-05-18,,,,,,103950.0,9000000.0
