오션브릿지(241790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-12-01,7730,8000,6570,6700,5632034,57772.0,8622720.0
2016-12-02,6660,6900,6410,6770,1295610,58376.0,8622720.0
2016-12-05,6820,6900,6270,6300,664928,54323.0,8622720.0
2016-12-06,6270,6800,6220,6600,1037999,56910.0,8622720.0
2016-12-07,6610,6730,6400,6510,367045,56134.0,8622720.0
2016-12-08,6440,6690,6270,6590,388152,56824.0,8622720.0
2016-12-09,6660,7400,6610,7030,973211,60618.0,8622720.0
2016-12-12,7200,7670,7040,7640,542917,65878.0,8622720.0
2016-12-13,7410,9590,7320,8650,2752517,74587.0,8622720.0
2016-12-14,8570,9690,8550,9000,1306646,77604.0,8622720.0
2016-12-15,8880,9100,8620,8730,373349,79661.0,9124980.0
2016-12-16,8770,9030,8260,8790,384400,80209.0,9124980.0
2016-12-19,8790,11000,8710,9900,1660463,90337.0,9124980.0
2016-12-20,9860,10000,9270,9270,387534,84589.0,9124980.0
2016-12-21,9240,9620,8780,8870,381746,80939.0,9124980.0
2016-12-22,8950,10650,8950,9400,1927810,85775.0,9124980.0
2016-12-23,9250,10100,9100,9610,1889015,87691.0,9124980.0
2016-12-26,9610,11950,9570,10700,3570272,97637.0,9124980.0
2016-12-27,10700,11050,10500,10800,593820,98550.0,9124980.0
2016-12-28,11000,11600,10500,10550,804985,96269.0,9124980.0
2016-12-29,10850,11050,10500,10900,555396,99462.0,9124980.0
2017-01-02,10750,10900,10050,10300,377219,93987.0,9124980.0
2017-01-03,10350,10700,9950,10450,344459,95356.0,9124980.0
2017-01-04,10550,10700,10050,10150,239755,92619.0,9124980.0
2017-01-05,10200,10250,9880,10150,192153,92619.0,9124980.0
2017-01-06,10200,11000,10100,10850,568443,99006.0,9124980.0
2017-01-09,10850,11850,10700,11200,1185495,102200.0,9124980.0
2017-01-10,11400,11850,11200,11350,441775,103569.0,9124980.0
2017-01-11,11300,11650,11100,11100,198067,101287.0,9124980.0
2017-01-12,11000,11600,10750,11100,472855,101287.0,9124980.0
2017-01-13,11150,11250,10500,10600,313627,96725.0,9124980.0
2017-01-16,10450,10700,10000,10100,237558,92162.0,9124980.0
2017-01-17,9940,10650,9940,10000,177831,91250.0,9124980.0
2017-01-18,10050,10500,9840,10200,165079,93075.0,9124980.0
2017-01-19,10400,10850,10300,10350,244896,94444.0,9124980.0
