에스트래픽(234300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-12-05,20000,23800,14100,15000,5589589,171759.0,11450592.0
2017-12-06,14500,15500,13150,13550,1287119,155156.0,11450592.0
2017-12-07,13300,14100,12600,13550,901976,155156.0,11450592.0
2017-12-08,13800,14500,13300,13450,884929,154010.0,11450592.0
2017-12-11,13700,14050,13150,13350,285968,152865.0,11450592.0
2017-12-12,13350,13500,12650,12650,335125,144850.0,11450592.0
2017-12-13,12700,12850,12300,12450,345387,142560.0,11450592.0
2017-12-14,12600,12950,12450,12450,257961,142560.0,11450592.0
2017-12-15,12600,13550,12600,12950,716673,148285.0,11450592.0
2017-12-18,13050,13150,12550,12600,289456,144277.0,11450592.0
2017-12-19,12750,12900,11900,12100,376685,138552.0,11450592.0
2017-12-20,11950,12250,11000,11100,733035,129713.0,11685886.0
2017-12-21,11100,11250,10500,10750,329036,125623.0,11685886.0
2017-12-22,10650,10850,10550,10700,178893,125039.0,11685886.0
2017-12-26,10800,11050,10550,10550,177577,123286.0,11685886.0
2017-12-27,10600,11350,10600,11100,299767,129713.0,11685886.0
2017-12-28,11200,11500,11050,11300,153781,132051.0,11685886.0
2018-01-02,11750,12400,11450,11650,385394,136141.0,11685886.0
2018-01-03,11750,12250,11650,12200,234856,142568.0,11685886.0
2018-01-04,12500,13200,12350,12800,603142,149579.0,11685886.0
2018-01-05,12800,16600,12800,16100,2988104,188143.0,11685886.0
2018-01-08,15850,17050,15300,16850,1535312,196907.0,11685886.0
2018-01-09,16550,17650,15450,16050,1059972,187558.0,11685886.0
2018-01-10,16250,16950,15650,16950,944015,198076.0,11685886.0
2018-01-11,17650,19450,14600,15450,4274254,180547.0,11685886.0
2018-01-12,15550,16050,14000,14750,978923,172367.0,11685886.0
2018-01-15,14950,15550,14100,15200,666780,177625.0,11685886.0
2018-01-16,15300,16650,15300,16000,1164018,186974.0,11685886.0
2018-01-17,16050,16450,15200,16450,541154,192233.0,11685886.0
2018-01-18,16700,17850,16250,16650,1681511,194570.0,11685886.0
2018-01-19,16950,17350,16600,17200,579045,200997.0,11685886.0
2018-01-22,17300,17650,16700,16800,490287,196323.0,11685886.0
2018-01-23,16750,17050,16050,16550,449547,193401.0,11685886.0
2018-01-24,16450,17600,16400,17600,600263,205672.0,11685886.0
2018-01-25,17900,18750,17150,17200,1477932,200997.0,11685886.0
2018-01-26,17300,18200,17050,17400,609740,203334.0,11685886.0
2018-01-29,17700,18150,17400,17900,488242,209177.0,11685886.0
2018-01-30,17900,18000,17250,17550,360929,205087.0,11685886.0
2018-01-31,17200,17400,16400,16550,490402,193401.0,11685886.0
2018-02-01,16750,16950,16450,16800,210200,196323.0,11685886.0
2018-02-02,16900,17150,15500,15500,460998,181131.0,11685886.0
2018-02-05,15000,15250,14300,14500,333698,169445.0,11685886.0
2018-02-06,13300,14050,13250,14050,447143,164187.0,11685886.0
2018-02-07,14450,14700,13350,13350,307314,156007.0,11685886.0
2018-02-08,13250,14350,13100,13750,403432,160681.0,11685886.0
2018-02-09,13050,13400,13000,13050,214946,152501.0,11685886.0
2018-02-12,13200,13400,12650,12700,189790,148411.0,11685886.0
2018-02-13,12750,13050,12650,12900,132291,153783.0,11921180.0
2018-02-14,12850,13400,12800,13400,135066,159744.0,11921180.0
2018-02-19,13650,14050,13350,13950,192139,166300.0,11921180.0
2018-02-20,13700,13950,13500,13700,182822,163320.0,11921180.0
2018-02-21,13800,13900,13450,13850,131925,165108.0,11921180.0
2018-02-22,13850,14450,13700,14350,328311,171069.0,11921180.0
2018-02-23,14400,14750,14300,14750,187259,175837.0,11921180.0
2018-02-26,15000,15200,14350,14350,134429,171069.0,11921180.0
2018-02-27,14400,14850,14050,14400,87895,171665.0,11921180.0
2018-02-28,14300,14300,13300,13300,203124,158552.0,11921180.0
2018-03-02,13100,13400,12750,13200,94073,157360.0,11921180.0
2018-03-05,13000,13000,12300,12350,379134,147227.0,11921180.0
2018-03-06,12600,12600,12300,12500,128375,149015.0,11921180.0
2018-03-07,12550,13050,12400,12750,167925,151995.0,11921180.0
2018-03-08,13100,13700,12950,13700,189603,163320.0,11921180.0
2018-03-09,13550,14050,13400,13500,132014,160936.0,11921180.0
2018-03-12,13600,13850,13250,13800,161842,164512.0,11921180.0
2018-03-13,13650,14000,13550,13950,117282,166300.0,11921180.0
2018-03-14,13950,14100,13600,13850,111241,165108.0,11921180.0
2018-03-15,13850,13950,13250,13400,148250,159744.0,11921180.0
2018-03-16,13300,13350,12900,12950,181711,154379.0,11921180.0
2018-03-19,12950,13100,12650,13100,121426,156167.0,11921180.0
2018-03-20,13450,16850,13400,15100,7783946,180010.0,11921180.0
2018-03-21,15450,16050,14900,15850,2450588,188951.0,11921180.0
2018-03-22,16100,16250,15450,15450,1212551,184182.0,11921180.0
2018-03-23,14900,15200,14200,14300,922216,170473.0,11921180.0
2018-03-26,14300,15000,14200,14800,620979,176433.0,11921180.0
2018-03-27,15050,15700,14800,15150,839392,180606.0,11921180.0
2018-03-28,15000,15900,14650,15850,808878,188951.0,11921180.0
2018-03-29,16150,16400,15550,15750,1264685,187759.0,11921180.0
2018-03-30,16150,16350,15750,15850,668757,188951.0,11921180.0
2018-04-02,15950,16500,15800,15850,655310,188951.0,11921180.0
2018-04-03,15450,15700,15300,15400,407093,183586.0,11921180.0
2018-04-04,15650,15800,14800,14800,518971,176433.0,11921180.0
2018-04-05,15000,15150,14700,14900,261299,177626.0,11921180.0
2018-04-06,14850,15450,14700,15300,302582,182394.0,11921180.0
