모트렉스(118990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-08-04,7600,7900,6590,6680,2001760,178226.0,5336109.0
2017-08-07,6820,7630,6710,7000,1048999,186764.0,5336109.0
2017-08-08,7050,7100,6720,6800,266178,181428.0,5336109.0
2017-08-09,6800,6880,6550,6570,195573,175291.0,5336109.0
2017-08-10,6480,6650,6220,6360,167140,169688.0,5336109.0
2017-08-11,6210,6350,6040,6200,107300,165419.0,5336109.0
2017-08-14,6380,6890,6350,6520,243049,173957.0,5336109.0
2017-08-16,6520,6560,6110,6170,153578,164619.0,5336109.0
2017-08-17,6260,6360,6170,6360,102264,169688.0,5336109.0
2017-08-18,6300,6420,6240,6320,49961,168621.0,5336109.0
2017-08-21,6480,6480,6270,6270,76405,167287.0,5336109.0
2017-08-22,6300,6380,6250,6300,50305,168087.0,5336109.0
2017-08-23,6300,6500,6289,6340,114087,169155.0,5336109.0
2017-08-24,6340,6370,6150,6230,56200,166220.0,5336109.0
2017-08-25,6250,6270,6150,6270,61206,167287.0,5336109.0
2017-08-28,6270,6290,6160,6200,30736,165419.0,5336109.0
2017-08-29,6140,6179,6070,6090,38811,162485.0,5336109.0
2017-08-30,6090,6200,6040,6150,31526,164085.0,5336109.0
2017-08-31,6180,6220,6060,6080,38708,162218.0,5336109.0
2017-09-01,6120,6300,6080,6280,67245,167554.0,5336109.0
2017-09-04,6030,6250,6000,6200,70984,165419.0,5336109.0
2017-09-05,6480,6490,6340,6380,108456,170222.0,5336109.0
2017-09-06,6360,6470,6339,6410,51393,171022.0,5336109.0
2017-09-07,6530,6550,6459,6550,62753,174758.0,5336109.0
2017-09-08,6550,6550,6480,6520,46052,173957.0,5336109.0
2017-09-11,6520,6550,6460,6520,44181,173957.0,5336109.0
2017-09-12,6520,6520,6350,6400,43504,170755.0,5336109.0
2017-09-13,6410,6450,6280,6310,35931,168354.0,5336109.0
2017-09-14,6320,6450,6310,6370,33456,169955.0,5336109.0
2017-09-15,6400,6420,6320,6400,29132,170755.0,5336109.0
2017-09-18,6390,6410,6320,6370,33045,169955.0,5336109.0
2017-09-19,6400,6520,6370,6470,61839,172623.0,5336109.0
2017-09-20,6440,6470,6350,6360,31001,169688.0,5336109.0
