올릭스(226950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-07-18,72000,74100,60300,65600,2726823,422026.0,6433321.0
2018-07-19,65000,68000,62500,67300,505012,432963.0,6433321.0
2018-07-20,66500,68600,60400,62000,365387,398866.0,6433321.0
2018-07-23,61100,62300,53500,55000,430044,353833.0,6433321.0
2018-07-24,55500,57500,51500,56500,218892,363483.0,6433321.0
2018-07-25,57100,58000,49750,56500,538961,363483.0,6433321.0
2018-07-26,54900,57600,53500,53700,142834,345469.0,6433321.0
2018-07-27,54100,56800,53100,55200,114804,355119.0,6433321.0
2018-07-30,54400,55200,52300,52900,84656,340323.0,6433321.0
2018-07-31,52300,53100,49050,50100,249974,322309.0,6433321.0
2018-08-01,50400,52500,49500,49500,197414,318449.0,6433321.0
2018-08-02,49700,51400,48650,49850,142600,320701.0,6433321.0
2018-08-03,51200,51800,49600,49700,79581,319736.0,6433321.0
2018-08-06,50000,50000,47650,48050,86026,309121.0,6433321.0
2018-08-07,48000,48200,45500,47000,108127,302366.0,6433321.0
2018-08-08,47150,51000,46550,50700,164024,326169.0,6433321.0
2018-08-09,50700,55000,49800,52700,221201,339036.0,6433321.0
2018-08-10,53100,55100,50100,51100,132454,328743.0,6433321.0
2018-08-13,51100,52200,45250,45250,301157,291108.0,6433321.0
2018-08-14,45350,46250,42950,44500,96577,286283.0,6433321.0
2018-08-16,43150,43500,40550,41250,181386,265374.0,6433321.0
2018-08-17,41250,46250,41250,44850,288164,288534.0,6433321.0
2018-08-20,44400,45550,43600,43600,155341,280493.0,6433321.0
2018-08-21,43900,47200,43500,45850,276000,294968.0,6433321.0
2018-08-22,45950,48450,45700,46300,148890,297863.0,6433321.0
2018-08-23,46000,47700,45550,46300,82585,297863.0,6433321.0
2018-08-24,47000,49550,46350,49550,215663,318771.0,6433321.0
2018-08-27,50300,53200,49550,52300,337441,336463.0,6433321.0
2018-08-28,53900,55000,50200,50500,274088,324883.0,6433321.0
2018-08-29,51500,51500,49400,49800,113424,320379.0,6433321.0
2018-08-30,50000,50400,48200,48700,97614,313303.0,6433321.0
2018-08-31,48300,55900,48150,55000,485407,353833.0,6433321.0
2018-09-03,55500,59000,55500,57900,514421,372489.0,6433321.0
2018-09-04,57600,58800,56200,58100,271684,373776.0,6433321.0
2018-09-05,58100,58800,56400,56600,211280,364126.0,6433321.0
2018-09-06,56700,58300,54700,55000,258016,353833.0,6433321.0
2018-09-07,54500,57600,53700,57500,237686,371215.0,6455921.0
2018-09-10,57600,58600,56100,56600,128734,365405.0,6455921.0
2018-09-11,56500,57500,53700,54800,191343,353784.0,6455921.0
2018-09-12,54400,56600,54100,55500,187373,358304.0,6455921.0
2018-09-13,55500,56700,53100,53700,146348,346683.0,6455921.0
2018-09-14,53700,58900,53400,56400,321949,364114.0,6455921.0
2018-09-17,57000,57000,55700,56200,108070,362823.0,6455921.0
2018-09-18,55600,73000,55500,73000,1699886,471282.0,6455921.0
2018-09-19,71700,72300,64900,67400,916076,435129.0,6455921.0
2018-09-20,67500,79900,66000,70200,2055526,453206.0,6455921.0
2018-09-21,70900,78500,70400,78500,960709,506790.0,6455921.0
2018-09-27,78000,80800,76800,80000,426534,516474.0,6455921.0
2018-09-28,79900,81700,75400,79900,504699,515828.0,6455921.0
2018-10-01,79000,80500,73700,74900,384592,483548.0,6455921.0
2018-10-02,75300,77400,71500,72500,304869,468054.0,6455921.0
2018-10-04,72000,74300,68600,72800,417263,469991.0,6455921.0
2018-10-05,71100,73600,68900,72300,236277,466763.0,6455921.0
2018-10-08,72300,77600,72100,74800,409530,482903.0,6455921.0
2018-10-10,76000,77700,74500,77000,328004,497106.0,6455921.0
2018-10-11,73000,75500,67800,68000,394598,439003.0,6455921.0
2018-10-12,70000,71300,68200,70700,316149,456434.0,6455921.0
2018-10-15,72900,74600,70100,70400,326713,454497.0,6455921.0
2018-10-16,71600,72900,70400,71300,153160,460307.0,6455921.0
2018-10-17,73900,74100,65300,66600,615435,429964.0,6455921.0
2018-10-18,64800,67100,63000,64100,435257,413825.0,6455921.0
2018-10-19,63200,66300,61300,65800,305828,424800.0,6455921.0
2018-10-22,65000,66200,63800,64800,176629,418344.0,6455921.0
2018-10-23,64400,64800,59500,59600,223458,384773.0,6455921.0
2018-10-24,60800,61400,55000,55600,233758,358949.0,6455921.0
2018-10-25,52300,54400,50500,53600,357867,346037.0,6455921.0
2018-10-26,54500,55100,50000,51500,255024,332480.0,6455921.0
2018-10-29,51800,54200,49500,49600,211242,320214.0,6455921.0
2018-10-30,49100,56600,48400,55500,340998,358304.0,6455921.0
2018-10-31,56500,59800,55000,56500,269705,364760.0,6455921.0
2018-11-01,58000,59800,56900,57300,148359,369924.0,6455921.0
2018-11-02,59100,62400,58700,61000,251271,393811.0,6455921.0
2018-11-05,62700,68700,62000,64700,458342,417698.0,6455921.0
2018-11-06,65700,67200,62300,64000,217526,413179.0,6455921.0
