한화에이스스팩4호(279410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-11-27,2010,2030,1965,1990,592291,6955.0,3495000.0
2017-11-28,1995,1995,1975,1985,30953,6938.0,3495000.0
2017-11-29,1980,1995,1975,1990,4486,6955.0,3495000.0
2017-11-30,1980,1990,1980,1990,13131,6955.0,3495000.0
2017-12-01,1985,1985,1975,1985,13027,6938.0,3495000.0
2017-12-04,1985,1985,1980,1980,140956,6920.0,3495000.0
2017-12-05,1980,1980,1960,1980,53110,6920.0,3495000.0
2017-12-06,1975,1980,1975,1980,14981,6920.0,3495000.0
2017-12-07,1975,1980,1975,1980,3409,6920.0,3495000.0
2017-12-08,1980,1980,1980,1980,21515,6920.0,3495000.0
2017-12-11,1975,1980,1975,1980,9001,6920.0,3495000.0
2017-12-12,1980,1990,1980,1990,5252,6955.0,3495000.0
2017-12-13,1990,1990,1970,1990,10380,6955.0,3495000.0
2017-12-14,1970,1990,1970,1990,11022,6955.0,3495000.0
2017-12-15,1990,1995,1970,1995,13821,6973.0,3495000.0
2017-12-18,1970,1990,1970,1990,201,6955.0,3495000.0
2017-12-19,1990,1990,1975,1990,16002,6955.0,3495000.0
2017-12-20,1990,2190,1980,1980,44937,6920.0,3495000.0
2017-12-21,1975,1980,1975,1980,1587,6920.0,3495000.0
2017-12-22,1965,1980,1965,1975,2056,6903.0,3495000.0
2017-12-26,1975,1995,1975,1995,629,6973.0,3495000.0
2017-12-27,1980,1980,1980,1980,1,6920.0,3495000.0
2017-12-28,1990,1995,1990,1990,205,6955.0,3495000.0
2018-01-02,1985,1985,1985,1985,173,6938.0,3495000.0
2018-01-03,1985,1985,1985,1985,846,6938.0,3495000.0
2018-01-04,1980,1985,1980,1980,573,6920.0,3495000.0
2018-01-05,1980,2000,1980,2000,1782,6990.0,3495000.0
2018-01-08,2000,2000,1925,1985,44165,6938.0,3495000.0
2018-01-09,1990,2010,1990,1990,4885,6955.0,3495000.0
2018-01-10,1990,1990,1985,1990,2172,6955.0,3495000.0
2018-01-11,1990,1990,1990,1990,1702,6955.0,3495000.0
2018-01-12,2000,2000,2000,2000,4228,6990.0,3495000.0
2018-01-15,1985,2000,1985,2000,1566,6990.0,3495000.0
2018-01-16,1980,2000,1980,1980,3380,6920.0,3495000.0
2018-01-17,1980,1985,1975,1980,3696,6920.0,3495000.0
2018-01-18,1980,1980,1980,1980,5886,6920.0,3495000.0
2018-01-19,1980,1980,1970,1980,791,6920.0,3495000.0
2018-01-22,1970,2000,1970,2000,1395,6990.0,3495000.0
2018-01-23,1980,1985,1980,1985,1468,6938.0,3495000.0
2018-01-24,2000,2000,1985,2000,1094,6990.0,3495000.0
2018-01-25,1980,2000,1980,2000,29072,6990.0,3495000.0
2018-01-26,1990,2000,1990,1995,5203,6973.0,3495000.0
