로지시스(067730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-07-29,4180,5430,3680,5430,16989945,50721.0,9340922.0
2015-07-30,6300,7050,5960,7050,6256191,65854.0,9340922.0
2015-07-31,8310,9160,8220,8400,7512790,78464.0,9340922.0
2015-08-03,8400,9150,6980,7400,5467335,69123.0,9340922.0
2015-08-04,7190,8550,6710,7030,4537931,65667.0,9340922.0
2015-08-05,7150,7500,6730,6730,2117671,62864.0,9340922.0
2015-08-06,6800,7110,6600,6650,1515740,62117.0,9340922.0
2015-08-07,6510,7190,6320,6460,2190928,60342.0,9340922.0
2015-08-10,6460,6650,6000,6000,865302,56046.0,9340922.0
2015-08-11,6100,6110,5430,5490,878323,51282.0,9340922.0
2015-08-12,5400,5850,4930,5400,987888,50441.0,9340922.0
2015-08-13,5330,6160,5270,5590,1620861,52216.0,9340922.0
2015-08-17,5620,5700,5160,5170,681115,48293.0,9340922.0
2015-08-18,5130,5300,4600,4600,618019,42968.0,9340922.0
2015-08-19,4480,4595,4205,4240,538156,39606.0,9340922.0
2015-08-20,4200,4460,4100,4130,318382,38578.0,9340922.0
2015-08-21,3760,3990,3385,3610,518974,33721.0,9340922.0
2015-08-24,3500,3690,3200,3350,405225,31292.0,9340922.0
2015-08-25,3500,4355,3405,4355,1325308,40680.0,9340922.0
2015-08-26,4920,5100,4300,4440,3158177,41474.0,9340922.0
2015-08-27,4570,4720,4275,4285,683201,40026.0,9340922.0
2015-08-28,4380,5430,4370,4810,4546209,44930.0,9340922.0
2015-08-31,4725,4785,4560,4630,794621,43248.0,9340922.0
2015-09-01,4660,4965,4565,4565,985424,42641.0,9340922.0
2015-09-02,4640,5450,4640,4795,3253500,44790.0,9340922.0
2015-09-03,5000,6230,5000,6230,3215944,58194.0,9340922.0
2015-09-04,6900,7890,6410,6560,12562872,61276.0,9340922.0
2015-09-07,6600,7610,6550,7250,5006739,67722.0,9340922.0
2015-09-08,7010,7440,6220,6400,3263282,59782.0,9340922.0
2015-09-09,6600,7420,6510,6510,4355931,60809.0,9340922.0
2015-09-10,6710,7290,6550,6850,4430367,63985.0,9340922.0
2015-09-11,7100,7230,6250,6350,1836618,59315.0,9340922.0
2015-09-14,6500,6650,5940,6200,1111507,57914.0,9340922.0
2015-09-15,6200,6380,5950,5960,1010352,55672.0,9340922.0
2015-09-16,6050,7740,5960,7740,5224589,72299.0,9340922.0
2015-09-17,8400,9840,8170,9350,9251663,87338.0,9340922.0
2015-09-18,9120,9450,8620,8730,3358297,81546.0,9340922.0
2015-09-21,8880,10800,8880,9740,6087584,90981.0,9340922.0
2015-09-22,9300,9310,8010,8250,2056224,77063.0,9340922.0
2015-09-23,8050,8120,7420,7600,903858,70991.0,9340922.0
2015-09-24,7670,8100,7450,7730,1137866,72205.0,9340922.0
2015-09-25,7830,8020,7410,7580,391664,70804.0,9340922.0
2015-09-30,7580,7590,7130,7300,308387,68189.0,9340922.0
2015-10-01,7470,7930,7280,7540,573672,70431.0,9340922.0
2015-10-02,7600,7890,7310,7620,647467,71178.0,9340922.0
2015-10-05,7730,7850,7570,7710,352893,72019.0,9340922.0
2015-10-06,7840,7840,6700,6960,764860,65013.0,9340922.0
2015-10-07,6960,7150,6550,6700,291104,62584.0,9340922.0
2015-10-08,6900,7700,6900,6950,813008,64919.0,9340922.0
2015-10-12,7160,7160,6690,6720,198863,62771.0,9340922.0
2015-10-13,6900,6900,6350,6700,281166,62584.0,9340922.0
2015-10-14,6660,6660,6390,6390,214814,59688.0,9340922.0
2015-10-15,6310,6540,6260,6440,145503,60156.0,9340922.0
2015-10-16,6440,6690,6350,6390,170606,59688.0,9340922.0
2015-10-19,6350,6390,6190,6220,142376,58101.0,9340922.0
2015-10-20,6230,6360,6120,6180,109345,57727.0,9340922.0
2015-10-21,6150,6250,6070,6070,116638,56699.0,9340922.0
2015-10-22,6070,6140,5550,5620,235502,52496.0,9340922.0
2015-10-23,5690,7300,5670,7300,2690242,68189.0,9340922.0
2015-10-26,8250,8330,6980,7280,2769672,68002.0,9340922.0
2015-10-27,7330,7480,7080,7080,979268,66134.0,9340922.0
2015-10-28,7010,7160,6500,6640,618416,62024.0,9340922.0
2015-10-29,6430,6490,5870,5970,1376636,55765.0,9340922.0
2015-10-30,6070,6220,5800,5900,757556,55111.0,9340922.0
2015-11-02,5880,5970,5670,5920,223512,55298.0,9340922.0
2015-11-03,5960,6300,5780,5780,521945,53991.0,9340922.0
2015-11-04,5660,5780,5530,5580,289896,52122.0,9340922.0
2015-11-05,5520,5750,5520,5640,153626,52683.0,9340922.0
2015-11-06,5640,5740,5410,5410,173588,50534.0,9340922.0
2015-11-09,5550,5550,5090,5250,195179,49040.0,9340922.0
2015-11-10,5120,5150,4850,5030,181738,46985.0,9340922.0
2015-11-11,5100,5540,5050,5070,262238,47358.0,9340922.0
2015-11-12,5130,5160,5000,5070,103195,47358.0,9340922.0
2015-11-13,4975,5060,4900,4950,96403,46238.0,9340922.0
2015-11-16,4950,5340,4770,4935,203516,46097.0,9340922.0
2015-11-17,4945,5190,4945,5150,133775,48106.0,9340922.0
2015-11-18,5150,5210,4995,5000,96074,46705.0,9340922.0
2015-11-19,5000,5310,4960,5110,146185,47732.0,9340922.0
2015-11-20,5200,5440,5160,5250,202331,49040.0,9340922.0
2015-11-23,5230,5310,5130,5160,78642,48199.0,9340922.0
2015-11-24,5100,5200,5100,5100,62081,47639.0,9340922.0
2015-11-25,5050,5160,4985,5000,119490,46705.0,9340922.0
2015-11-26,4970,5080,4970,5020,77594,46891.0,9340922.0
2015-11-27,5020,5070,4905,4940,72840,46144.0,9340922.0
2015-11-30,5010,6400,5010,5920,4144514,55298.0,9340922.0
2015-12-01,6000,6010,5310,5400,1058474,50441.0,9340922.0
2015-12-02,5460,6880,5400,6490,5281179,60623.0,9340922.0
2015-12-03,6280,6350,5920,6150,852283,57447.0,9340922.0
2015-12-04,6100,7250,6080,6480,3861884,60529.0,9340922.0
2015-12-07,6590,6930,6350,6490,699518,60623.0,9340922.0
2015-12-08,6610,6970,6400,6590,1108061,61557.0,9340922.0
2015-12-09,6510,6580,5940,6000,587947,56046.0,9340922.0
2015-12-10,5950,6250,5660,5690,456756,53150.0,9340922.0
2015-12-11,5740,5860,5510,5690,272669,53150.0,9340922.0
2015-12-14,5750,6230,5690,5690,649314,53150.0,9340922.0
2015-12-15,5680,5890,5680,5700,216430,53243.0,9340922.0
2015-12-16,5870,6100,5760,5860,385729,54738.0,9340922.0
2015-12-17,6000,6390,5870,6330,756535,59128.0,9340922.0
2015-12-18,6230,6520,6140,6350,283254,59315.0,9340922.0
2015-12-21,6210,6460,6090,6230,326476,58194.0,9340922.0
2015-12-22,6270,6300,5970,6040,281968,56419.0,9340922.0
2015-12-23,6000,6230,5890,5890,226350,55018.0,9340922.0
2015-12-24,5870,5930,5610,5660,216045,52870.0,9340922.0
2015-12-28,5630,5940,5580,5580,111574,52122.0,9340922.0
2015-12-29,5510,5700,5510,5560,126310,51936.0,9340922.0
2015-12-30,5740,5780,5610,5650,118144,52776.0,9340922.0
2016-01-04,5750,5790,5410,5420,125749,50628.0,9340922.0
2016-01-05,5430,5580,5380,5450,100187,50908.0,9340922.0
2016-01-06,5430,5550,5010,5290,141724,49413.0,9340922.0
2016-01-07,5340,5430,5250,5270,92684,49227.0,9340922.0
2016-01-08,5170,5170,4840,5130,153052,47919.0,9340922.0
2016-01-11,5050,5240,5050,5090,72205,47545.0,9340922.0
2016-01-12,5180,5240,5040,5150,66795,48106.0,9340922.0
2016-01-13,5170,5310,5110,5210,77448,48666.0,9340922.0
2016-01-14,5100,5190,5070,5090,57903,47545.0,9340922.0
2016-01-15,5110,5330,5000,5020,78320,46891.0,9340922.0
2016-01-18,5020,5130,4975,5040,42108,47078.0,9340922.0
2016-01-19,5040,5090,4965,5020,41231,46891.0,9340922.0
2016-01-20,4950,5050,4750,4750,108807,44369.0,9340922.0
2016-01-21,4700,4800,4570,4570,92514,42688.0,9340922.0
2016-01-22,4410,4680,4410,4535,128929,42361.0,9340922.0
2016-01-25,4630,4630,4535,4620,52349,43155.0,9340922.0
2016-01-26,4610,4610,4500,4550,47618,42501.0,9340922.0
2016-01-27,4560,4740,4500,4530,80226,42314.0,9340922.0
2016-01-28,4475,4565,4470,4560,36255,42595.0,9340922.0
2016-01-29,4610,4610,4465,4500,65963,42034.0,9340922.0
2016-02-01,4520,5700,4510,5280,2387220,49320.0,9340922.0
2016-02-02,5340,5350,5020,5160,296662,48199.0,9340922.0
2016-02-03,5100,5310,4955,5070,376171,47358.0,9340922.0
2016-02-04,5150,5720,5100,5130,1275694,47919.0,9340922.0
2016-02-05,5200,5280,4785,4870,300725,45490.0,9340922.0
2016-02-11,4630,4735,4535,4535,141368,42361.0,9340922.0
2016-02-12,4365,4500,3900,4135,164011,38625.0,9340922.0
2016-02-15,3955,4215,3955,4040,158365,37737.0,9340922.0
2016-02-16,4040,4230,4040,4170,129145,38952.0,9340922.0
2016-02-17,4155,4160,4050,4085,87822,38158.0,9340922.0
2016-02-18,4130,4335,4105,4180,125187,39045.0,9340922.0
2016-02-19,4185,4310,4185,4200,61026,39232.0,9340922.0
2016-02-22,4280,4280,4195,4220,47606,39419.0,9340922.0
2016-02-23,4280,4280,4100,4210,92786,39325.0,9340922.0
2016-02-24,4330,4470,4230,4235,106727,39559.0,9340922.0
2016-02-25,4210,4245,4150,4190,34163,39138.0,9340922.0
2016-02-26,4190,4235,4050,4105,79988,38344.0,9340922.0
2016-02-29,4090,4235,4080,4100,56748,38298.0,9340922.0
2016-03-02,4110,4185,4095,4110,57296,38391.0,9340922.0
2016-03-03,4120,4240,4100,4130,51718,38578.0,9340922.0
2016-03-04,4145,4205,4120,4190,53699,39138.0,9340922.0
