제이브이엠(054950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-06-07,15300,16850,13200,15200,837776,96230.0,6330908.0
2006-06-08,14900,15800,12950,12950,196023,81985.0,6330908.0
2006-06-09,13300,14800,12500,12850,153960,81352.0,6330908.0
2006-06-12,13000,13100,11300,11750,88583,74388.0,6330908.0
2006-06-13,11300,13500,11000,12250,276028,77554.0,6330908.0
2006-06-14,12150,12450,11500,12250,103460,77554.0,6330908.0
2006-06-15,12300,12950,12050,12150,94516,76921.0,6330908.0
2006-06-16,12450,13000,12200,12750,100792,80719.0,6330908.0
2006-06-19,12650,13000,12050,12500,71143,79136.0,6330908.0
2006-06-20,12350,12400,11500,12100,44861,76604.0,6330908.0
2006-06-21,11750,12100,11500,11950,34941,75654.0,6330908.0
2006-06-22,12000,13700,11950,13550,194251,85784.0,6330908.0
2006-06-23,13050,13700,12700,13600,69099,86100.0,6330908.0
2006-06-26,13500,13800,13100,13500,39075,85467.0,6330908.0
2006-06-27,13650,15500,13500,15000,207796,94964.0,6330908.0
2006-06-28,14550,14600,14000,14500,73471,91798.0,6330908.0
2006-06-29,14700,15800,14600,15100,121954,95597.0,6330908.0
2006-06-30,15100,15450,14800,15250,44220,96546.0,6330908.0
2006-07-03,15000,15150,14500,15000,26650,94964.0,6330908.0
2006-07-04,14900,15750,14850,15700,75866,99395.0,6330908.0
2006-07-05,15100,15650,14850,15400,96119,97496.0,6330908.0
2006-07-06,15400,15700,14700,14700,95805,93064.0,6330908.0
2006-07-07,14400,14900,13200,14750,293757,93381.0,6330908.0
2006-07-10,14950,16300,14600,15900,279272,100661.0,6330908.0
2006-07-11,15600,16650,15400,15800,130262,100028.0,6330908.0
2006-07-12,16150,16950,16000,16650,136481,105410.0,6330908.0
2006-07-13,16300,16600,15850,16300,78702,103194.0,6330908.0
2006-07-14,15800,16150,15200,15750,61678,99712.0,6330908.0
2006-07-18,15500,15650,14850,15450,49358,97813.0,6330908.0
2006-07-19,15400,16200,15400,15800,45185,100028.0,6330908.0
2006-07-20,16050,16100,15500,16000,40058,101295.0,6330908.0
2006-07-21,15600,16500,15500,16400,83794,103827.0,6330908.0
2006-07-24,16400,16700,16100,16450,22911,104143.0,6330908.0
2006-07-25,16500,16900,16200,16450,30775,104143.0,6330908.0
2006-07-26,16300,17000,15950,16700,270503,105726.0,6330908.0
2006-07-27,16900,17150,16550,16750,47172,106043.0,6330908.0
2006-07-28,16550,16950,16500,16750,35173,106043.0,6330908.0
2006-07-31,17150,18150,16950,17000,223998,107625.0,6330908.0
2006-08-01,17100,19300,17000,18500,280949,117122.0,6330908.0
2006-08-02,18600,20200,18300,19500,301837,123453.0,6330908.0
2006-08-03,20100,21000,19800,20600,230997,130417.0,6330908.0
2006-08-04,21000,21500,20100,20350,89543,128834.0,6330908.0
2006-08-07,20800,21400,20100,20250,158457,128201.0,6330908.0
2006-08-08,20150,23000,20150,23000,411500,145611.0,6330908.0
2006-08-09,23700,25500,23200,25500,569796,161438.0,6330908.0
2006-08-10,25800,28350,24100,25000,874794,158273.0,6330908.0
2006-08-11,25050,25500,23850,24000,254983,151942.0,6330908.0
2006-08-14,24150,25000,22000,25000,608599,158273.0,6330908.0
2006-08-16,25700,28750,25550,28300,1137290,179165.0,6330908.0
2006-08-17,28000,28200,26900,27200,384216,172201.0,6330908.0
2006-08-18,27350,28400,27050,27200,346390,172201.0,6330908.0
2006-08-21,27350,28150,27000,27200,383861,172201.0,6330908.0
2006-08-22,27550,27750,27150,27500,245917,174100.0,6330908.0
2006-08-23,28500,30350,28100,29650,737436,187711.0,6330908.0
2006-08-24,29900,32000,29200,32000,528654,202589.0,6330908.0
2006-08-25,32450,36800,31750,36800,715637,232977.0,6330908.0
2006-08-28,37500,39300,35150,37750,643170,238992.0,6330908.0
2006-08-29,38300,38300,32900,33750,760274,213668.0,6330908.0
2006-08-30,34300,35600,32400,35600,632823,225380.0,6330908.0
2006-08-31,35750,37050,34150,34650,466143,219366.0,6330908.0
2006-09-01,34150,35700,34000,34150,335787,216201.0,6330908.0
2006-09-04,34400,35150,33900,34050,313593,215567.0,6330908.0
2006-09-05,34650,34800,32400,33100,357969,209553.0,6330908.0
2006-09-06,33600,37850,33000,37000,805517,234244.0,6330908.0
2006-09-07,36900,37000,34800,34800,298090,220316.0,6330908.0
