중앙백신(072020),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-10-31,4078,4564,3612,3686,1332112,31114.0,6620000.0
2003-11-03,3246,3529,3246,3247,401079,27407.0,6620000.0
2003-11-04,2942,3353,2938,2996,697216,25288.0,6620000.0
2003-11-05,3012,3130,2674,2698,269672,22773.0,6620000.0
2003-11-06,2666,2698,2375,2376,243163,20059.0,6620000.0
2003-11-07,2277,2501,2247,2431,355069,20522.0,6620000.0
2003-11-10,2392,2494,2392,2400,129784,20257.0,6620000.0
2003-11-11,2369,2420,2275,2290,85782,19330.0,6620000.0
2003-11-12,2290,2408,2290,2314,115438,19529.0,6620000.0
2003-11-13,2345,2408,2305,2365,155044,19959.0,6620000.0
2003-11-14,2369,2424,2318,2322,99046,19595.0,6620000.0
2003-11-17,2322,2353,2259,2267,109024,19132.0,6620000.0
2003-11-18,2243,2321,2243,2282,50884,19264.0,6620000.0
2003-11-19,2165,2259,2152,2196,66799,18536.0,6620000.0
2003-11-20,2196,2208,2102,2126,72865,17940.0,6620000.0
2003-11-21,2086,2164,2058,2082,53487,17576.0,6620000.0
2003-11-24,2117,2117,1973,1977,51753,16682.0,6620000.0
2003-11-25,1960,2039,1899,1898,71091,16020.0,6620000.0
2003-11-26,1870,1983,1827,1887,129164,15921.0,6620000.0
2003-11-27,1929,2090,1914,1968,184474,16616.0,6620000.0
2003-11-28,1976,2046,1921,1961,97103,16550.0,6620000.0
2003-12-01,1965,1965,1784,1796,624198,15160.0,6620000.0
2003-12-02,1828,1859,1768,1801,474110,15193.0,6620000.0
2003-12-03,1827,1983,1827,1961,1044421,16550.0,6620000.0
2003-12-04,1964,2054,1827,1835,979032,15491.0,6620000.0
2003-12-05,1854,1858,1776,1788,348131,15094.0,6620000.0
2003-12-08,1792,1854,1772,1835,482413,15491.0,6620000.0
2003-12-09,1859,1878,1793,1796,336632,15160.0,6620000.0
2003-12-10,1812,1914,1803,1898,729864,16020.0,6620000.0
2003-12-11,1899,1969,1863,1968,648778,16616.0,6620000.0
2003-12-12,2007,2113,1983,2039,1000169,17212.0,6620000.0
2003-12-15,2117,2220,2106,2220,872229,18735.0,6620000.0
2003-12-16,2478,2478,2004,2095,1311861,17675.0,6620000.0
2003-12-17,2141,2326,2039,2314,1529632,19529.0,6620000.0
2003-12-18,2274,2313,2156,2156,490928,18205.0,6620000.0
2003-12-19,2157,2392,2007,2196,1682296,18536.0,6620000.0
2003-12-22,2391,2458,2304,2459,3199593,20754.0,6620000.0
2003-12-23,2549,2753,2451,2550,2840957,21515.0,6620000.0
2003-12-24,2588,2588,2244,2243,1351723,18933.0,6620000.0
2003-12-26,2203,2416,1977,1977,1506150,16682.0,6620000.0
2003-12-29,1983,2101,1744,1765,1280055,14895.0,6620000.0
2003-12-30,1803,1803,1670,1705,871299,14398.0,6620000.0
2004-01-02,1702,1773,1694,1773,843423,14961.0,6620000.0
2004-01-05,1788,1808,1733,1773,685328,14961.0,6620000.0
2004-01-06,1783,1834,1725,1733,527290,14630.0,6620000.0
2004-01-07,1765,1765,1682,1695,372236,14299.0,6620000.0
2004-01-08,1709,1779,1583,1584,840060,13372.0,6620000.0
2004-01-09,1610,1631,1481,1490,526103,12578.0,6620000.0
2004-01-12,1489,1560,1489,1541,385657,13008.0,6620000.0
2004-01-13,1560,1726,1560,1726,1151860,14564.0,6620000.0
2004-01-14,1748,1838,1678,1733,1706636,14630.0,6620000.0
2004-01-15,1803,1803,1577,1596,849278,13472.0,6620000.0
2004-01-16,1595,1646,1517,1565,412901,13207.0,6620000.0
2004-01-19,1537,1588,1474,1475,354574,12446.0,6620000.0
2004-01-20,1451,1474,1428,1451,358431,12247.0,6620000.0
2004-01-26,1525,1624,1522,1624,978775,13703.0,6620000.0
2004-01-27,1725,1815,1689,1816,1245967,15325.0,6620000.0
2004-01-28,1874,2031,1823,2031,1332166,17146.0,6620000.0
2004-01-29,2196,2275,2129,2275,437400,19198.0,6620000.0
2004-01-30,2546,2546,2078,2196,3796785,18536.0,6620000.0
2004-02-02,2277,2458,2277,2459,1386989,20754.0,6620000.0
2004-02-03,2752,2752,2615,2753,761939,23236.0,6620000.0
2004-02-04,3081,3081,3081,3083,68681,26017.0,6620000.0
2004-02-05,3450,3450,2713,3451,3537238,29128.0,6620000.0
2004-02-06,3800,3863,3412,3863,3693515,32604.0,6620000.0
2004-02-09,3991,4321,3952,4322,1288672,36476.0,6620000.0
2004-02-10,4619,4682,3803,3804,3271908,32107.0,6620000.0
2004-02-11,3529,3748,3348,3349,664251,28267.0,6620000.0
2004-02-12,3271,3655,2948,3491,2791710,29459.0,6620000.0
2004-02-13,3608,3906,3545,3906,2573326,32968.0,6620000.0
2004-02-16,4040,4040,3439,3440,1853640,29029.0,6620000.0
2004-02-17,3263,3780,3114,3240,4231213,27341.0,6620000.0
2004-02-18,3293,3399,2988,3074,1505038,25950.0,6620000.0
2004-02-19,3019,3097,2705,2706,1419308,22839.0,6620000.0
2004-02-20,2721,3026,2666,3027,2479323,25553.0,6620000.0
2004-02-23,3114,3185,2667,2667,3314251,22508.0,6620000.0
2004-02-24,2525,2648,2369,2389,2087319,20158.0,6620000.0
2004-02-25,2478,2624,2173,2243,1126815,18933.0,6620000.0
2004-02-26,2223,2266,2007,2008,805588,16947.0,6620000.0
2004-02-27,2000,2106,1847,1867,881090,15756.0,6620000.0
2004-03-02,1882,2016,1859,1942,955900,16384.0,6620000.0
2004-03-03,1913,2061,1889,1980,1106387,16716.0,6620000.0
2004-03-04,2031,2047,1945,1949,816729,16451.0,6620000.0
2004-03-05,1969,1988,1894,1898,447843,16020.0,6620000.0
2004-03-08,1881,1955,1862,1878,489106,15855.0,6620000.0
2004-03-09,1882,2004,1882,1977,752093,16682.0,6620000.0
2004-03-10,2007,2211,2000,2181,2146451,18404.0,6620000.0
2004-03-11,2090,2220,1926,1926,958446,16252.0,6620000.0
2004-03-12,1945,2000,1698,1769,901680,14928.0,6620000.0
2004-03-15,1761,1851,1761,1847,413962,15590.0,6620000.0
2004-03-16,1859,2066,1803,2067,1433576,17444.0,6620000.0
2004-03-17,2157,2157,1950,2048,1252398,17278.0,6620000.0
2004-03-18,2089,2266,1945,2184,2000224,18437.0,6620000.0
2004-03-19,2195,2345,2000,2078,1808488,17543.0,6620000.0
2004-03-22,2326,2326,2305,2326,378624,19628.0,6620000.0
2004-03-23,2510,2557,2314,2424,2776822,20456.0,6620000.0
2004-03-24,2302,2380,2145,2150,1140176,18139.0,6620000.0
2004-03-25,2165,2220,1899,1898,672697,16020.0,6620000.0
2004-03-26,1904,1955,1858,1914,593982,16153.0,6620000.0
2004-03-29,1890,2027,1843,1926,806274,16252.0,6620000.0
2004-03-30,1937,2000,1890,1922,446917,16219.0,6620000.0
2004-03-31,1904,1968,1898,1938,570925,16351.0,6620000.0
2004-04-01,1952,1964,1866,1890,341133,15954.0,6620000.0
2004-04-02,1886,1905,1835,1843,381889,15557.0,6620000.0
2004-04-06,1854,1874,1828,1843,229265,15557.0,6620000.0
2004-04-07,1843,1932,1843,1890,511779,15954.0,6620000.0
2004-04-08,1913,2038,1885,1929,1106386,16285.0,6620000.0
2004-04-09,1956,1969,1886,1902,360977,16054.0,6620000.0
2004-04-12,1953,2059,1937,2016,1071084,17013.0,6620000.0
2004-04-13,2015,2051,1904,1914,561131,16153.0,6620000.0
2004-04-14,1921,1940,1881,1906,281275,16087.0,6620000.0
2004-04-16,1686,1922,1686,1875,297790,15822.0,6620000.0
2004-04-19,1854,1914,1854,1875,214047,15822.0,6620000.0
2004-04-20,1823,1932,1823,1933,371723,16318.0,6620000.0
2004-04-21,1945,1945,1859,1867,144656,15756.0,6620000.0
2004-04-22,1874,1922,1867,1871,273000,15789.0,6620000.0
2004-04-23,2038,2093,2015,2039,731398,17212.0,6620000.0
2004-04-26,2195,2281,2164,2282,578543,19264.0,6620000.0
2004-04-27,2553,2553,2301,2522,2229886,21283.0,6620000.0
2004-04-28,2353,2455,2220,2220,692008,18735.0,6620000.0
2004-04-29,2234,2321,1960,2156,751239,18205.0,6620000.0
2004-04-30,2117,2250,2007,2078,441845,17543.0,6620000.0
2004-05-03,2054,2117,1991,2059,237868,17378.0,6620000.0
2004-05-04,2062,2102,2031,2067,290420,17444.0,6620000.0
2004-05-06,2109,2152,1858,1929,538581,16285.0,6620000.0
2004-05-07,1894,1941,1828,1875,207682,15822.0,6620000.0
2004-05-10,1788,1921,1651,1663,344472,14034.0,6620000.0
2004-05-11,1592,1749,1533,1679,267020,14167.0,6620000.0
2004-05-12,1697,1877,1686,1878,473650,15855.0,6620000.0
2004-05-13,1811,1913,1803,1804,495574,15226.0,6620000.0
2004-05-14,1862,1866,1728,1804,150716,15226.0,6620000.0
2004-05-17,1764,1803,1587,1654,152860,13968.0,6620000.0
2004-05-18,1576,1702,1576,1663,96678,14034.0,6620000.0
2004-05-19,1671,1784,1671,1726,211876,14564.0,6620000.0
2004-05-20,1726,1749,1651,1651,184593,13935.0,6620000.0
2004-05-21,1661,1847,1661,1808,815269,15259.0,6620000.0
2004-05-24,1867,1867,1749,1769,193811,14928.0,6620000.0
2004-05-25,1768,1812,1710,1773,250345,14961.0,6620000.0
2004-05-27,1847,1866,1783,1804,329306,15226.0,6620000.0
2004-05-28,1839,1851,1765,1773,156067,14961.0,6620000.0
2004-05-31,1779,1850,1737,1737,238609,14663.0,6620000.0
2004-06-01,1874,1945,1819,1945,245575,16418.0,6620000.0
2004-06-02,2173,2173,1851,1852,885336,15623.0,6620000.0
2004-06-03,1881,1991,1772,1781,700399,15027.0,6620000.0
2004-06-04,1793,1823,1765,1820,178952,15358.0,6620000.0
2004-06-07,1811,1866,1807,1839,248327,15524.0,6620000.0
2004-06-08,1838,1952,1838,1859,373588,15689.0,6620000.0
2004-06-09,1932,1932,1858,1859,170636,15689.0,6620000.0
2004-06-10,1850,2015,1850,1910,361577,16120.0,6620000.0
2004-06-11,1882,1905,1851,1871,213264,15789.0,6620000.0
2004-06-14,1866,1894,1819,1835,243101,15491.0,6620000.0
2004-06-15,1835,1854,1741,1796,150091,15160.0,6620000.0
2004-06-16,1757,1816,1745,1745,133864,14730.0,6620000.0
2004-06-17,1749,1793,1713,1745,203484,14730.0,6620000.0
2004-06-18,1741,1757,1686,1750,81434,14763.0,6620000.0
2004-06-21,1741,1788,1741,1750,144735,14763.0,6620000.0
2004-06-22,1752,1827,1740,1804,293306,15226.0,6620000.0
2004-06-23,1799,1921,1776,1816,1141062,15325.0,6620000.0
2004-06-24,1823,1823,1737,1765,375380,14895.0,6620000.0
2004-06-25,1788,1796,1761,1792,163750,15127.0,6620000.0
2004-06-28,1796,1929,1796,1843,545841,15557.0,6620000.0
2004-06-29,1843,1867,1820,1843,159945,15557.0,6620000.0
2004-06-30,1862,2046,1843,1957,677304,16517.0,6620000.0
2004-07-01,1960,2000,1890,1977,395339,16682.0,6620000.0
2004-07-02,1969,2212,1937,2071,1502298,17477.0,6620000.0
2004-07-05,2117,2173,2043,2173,689499,18337.0,6620000.0
2004-07-06,2234,2321,2176,2211,1357910,18668.0,6620000.0
2004-07-07,2353,2475,2299,2475,2493535,20886.0,6620000.0
2004-07-08,2509,2694,2298,2353,3128040,19860.0,6620000.0
2004-07-09,2275,2337,2071,2071,1286688,17477.0,6620000.0
2004-07-12,2070,2195,1955,2039,2133042,17212.0,6620000.0
2004-07-13,2039,2110,1851,1898,1077771,16020.0,6620000.0
2004-07-14,1882,1956,1874,1894,682643,15987.0,6620000.0
2004-07-15,2000,2117,2000,2118,1475721,17874.0,6620000.0
2004-07-16,2109,2109,1894,1953,835873,16484.0,6620000.0
2004-07-19,1960,2046,1913,1914,486456,16153.0,6620000.0
2004-07-20,1913,2007,1913,1914,720808,16153.0,6620000.0
2004-07-21,1936,1945,1862,1910,642188,16120.0,6620000.0
2004-07-22,1862,1983,1838,1839,529388,15524.0,6620000.0
2004-07-23,1843,1874,1803,1816,378111,15325.0,6620000.0
2004-07-26,1885,1983,1838,1882,897632,15888.0,6620000.0
2004-07-27,1854,1874,1807,1816,376381,15325.0,6620000.0
2004-07-28,1820,1843,1808,1820,280894,15358.0,6620000.0
2004-07-29,1811,1862,1772,1788,414340,15094.0,6620000.0
2004-07-30,1795,1838,1792,1808,161005,15259.0,6620000.0
2004-08-02,1788,1827,1744,1765,143681,14895.0,6620000.0
2004-08-03,1749,1780,1611,1647,233501,13902.0,6620000.0
2004-08-04,1647,1647,1588,1604,129066,13538.0,6620000.0
