메디포스트(078160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-07-29,16281,18723,16281,18724,578,189405.0,4575000.0
2005-08-01,21528,21528,21528,21528,288,217770.0,4575000.0
2005-08-02,24738,24738,24738,24738,2294,250252.0,4575000.0
2005-08-03,28446,28446,28446,28447,121804,287768.0,4575000.0
2005-08-04,32697,32697,31748,32698,706593,330772.0,4575000.0
2005-08-05,32381,37220,31748,36045,2533150,364628.0,4575000.0
2005-08-08,35729,36633,30753,31026,1023035,313845.0,4575000.0
2005-08-09,31567,33105,28356,32337,1853880,327112.0,4575000.0
2005-08-10,31748,33467,30572,30573,1232055,309270.0,4575000.0
2005-08-11,30302,31070,28583,28719,688306,290512.0,4575000.0
2005-08-12,29126,30844,27588,28764,1560900,290970.0,4575000.0
2005-08-16,28492,30437,28311,29895,1139535,302408.0,4575000.0
2005-08-17,30075,31161,28583,28583,1138586,289140.0,4575000.0
2005-08-18,28492,28808,26230,26367,710620,266722.0,4575000.0
2005-08-19,26367,27090,25191,25417,658655,257115.0,4575000.0
2005-08-22,25462,26095,25371,25779,588824,260775.0,4575000.0
2005-08-23,25824,26230,23969,23970,1179568,242475.0,4575000.0
2005-08-24,23834,23834,21641,22048,911287,223031.0,4575000.0
2005-08-25,22342,24015,21753,23472,1344337,237442.0,4575000.0
2005-08-26,23110,23291,20171,20578,1103415,208162.0,4575000.0
2005-08-29,19086,19809,17502,17503,1145853,177052.0,4575000.0
2005-08-30,17864,18611,16937,18317,1461204,185288.0,4575000.0
2005-08-31,17864,18633,17547,18633,900454,188490.0,4575000.0
2005-09-01,18587,19469,18180,18181,1403424,183915.0,4575000.0
2005-09-02,18339,19311,18091,19086,1059308,193065.0,4575000.0
2005-09-05,19718,20148,19153,19402,1212202,196268.0,4575000.0
2005-09-06,19402,19627,18632,18882,595300,191006.0,4575000.0
2005-09-07,19243,19243,18882,19108,400690,193294.0,4575000.0
2005-09-08,19176,21053,19153,20284,1735641,205189.0,4575000.0
2005-09-09,20192,20781,19786,20714,568344,209535.0,4575000.0
2005-09-12,20849,21414,20555,20623,612979,208620.0,4575000.0
2005-09-13,20419,20848,19967,20352,466871,205875.0,4575000.0
2005-09-14,20352,20487,19673,19741,444055,199699.0,4575000.0
2005-09-15,19447,19876,18632,18769,461756,189862.0,4575000.0
2005-09-16,18632,19175,18519,18837,328941,190549.0,4575000.0
2005-09-20,18882,19651,18882,19402,532741,196268.0,4575000.0
2005-09-21,19402,20781,19153,19877,813652,201071.0,4575000.0
2005-09-22,19944,20713,19627,19719,512189,199470.0,4575000.0
2005-09-23,19854,19968,19086,19221,316904,194438.0,4575000.0
2005-09-26,19492,20306,19402,19832,625756,200614.0,4575000.0
2005-09-27,19899,20373,19514,20374,371754,206104.0,4575000.0
2005-09-28,21030,23019,20848,22071,1480762,223260.0,4575000.0
2005-09-29,22183,22363,21255,21709,440683,219600.0,4575000.0
2005-09-30,21889,22974,21573,22387,771866,226462.0,4575000.0
