명성티엔에스(257370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-09-13,22000,28600,21950,28600,7217964,182182.0,6370000.0
2018-09-14,31000,37150,30550,37150,5702327,236646.0,6370000.0
2018-09-17,38900,39450,33100,33800,2701707,215306.0,6370000.0
2018-09-18,35050,37800,30950,31700,2096796,201929.0,6370000.0
2018-09-19,31450,33650,31050,31650,849916,201610.0,6370000.0
2018-09-20,31650,31700,28500,29500,759674,187915.0,6370000.0
2018-09-21,29200,30350,28600,29400,368297,187278.0,6370000.0
2018-09-27,29200,29700,27700,28450,326865,181226.0,6370000.0
2018-09-28,28350,31100,28200,28450,794021,181226.0,6370000.0
2018-10-01,28200,28350,26100,26500,304197,168805.0,6370000.0
2018-10-02,26200,26700,23950,24500,322324,156065.0,6370000.0
2018-10-04,24650,24900,23100,23700,215422,150969.0,6370000.0
2018-10-05,23600,25650,23350,23650,351138,150650.0,6370000.0
2018-10-08,23100,27950,23100,25450,1384088,162116.0,6370000.0
2018-10-10,26200,28400,25700,26300,747204,167531.0,6370000.0
2018-10-11,25150,27250,23850,23900,338775,152243.0,6370000.0
2018-10-12,23950,26450,23950,25600,465815,163072.0,6370000.0
2018-10-15,26300,27400,25350,25800,393628,164346.0,6370000.0
2018-10-16,26000,26900,24950,25200,227635,160524.0,6370000.0
2018-10-17,25950,26300,24000,24150,210340,153836.0,6370000.0
2018-10-18,24500,24550,23300,23450,126663,149376.0,6370000.0
2018-10-19,23300,23400,22150,22950,151310,146192.0,6370000.0
2018-10-22,22900,24300,22600,24000,180395,152880.0,6370000.0
2018-10-23,23750,23750,22500,22850,111133,145554.0,6370000.0
2018-10-24,23300,23400,21400,21450,135356,136636.0,6370000.0
2018-10-25,20650,20850,19800,19900,155060,126763.0,6370000.0
2018-10-26,20200,20450,18350,18400,155451,117208.0,6370000.0
2018-10-29,18100,18500,15650,15650,169657,99690.0,6370000.0
2018-10-30,15650,17050,15300,16550,143915,105424.0,6370000.0
2018-10-31,16800,17850,16350,17250,186158,109882.0,6370000.0
2018-11-01,17400,17800,16800,17200,111406,109564.0,6370000.0
2018-11-02,17500,18250,17200,17900,96592,114023.0,6370000.0
2018-11-05,17800,17950,16800,17450,83461,111156.0,6370000.0
2018-11-06,17850,19350,17550,18250,189728,116252.0,6370000.0
2018-11-07,18300,18300,17050,17450,85398,111156.0,6370000.0
