국순당(043650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-08-24,5349,5349,5349,5349,223110,90000.0,7500000.0
2000-08-25,5082,5127,4725,4725,101455,79500.0,7500000.0
2000-08-28,4168,4681,4168,4328,1635695,72825.0,7500000.0
2000-08-29,4413,4837,4239,4836,1069209,81375.0,7500000.0
2000-08-30,4814,5305,4502,4546,907276,76500.0,7500000.0
2000-08-31,4458,4681,4297,4546,263565,76500.0,7500000.0
2000-09-01,4547,4636,4391,4448,238496,74850.0,7500000.0
2000-09-04,4235,4449,4235,4435,172670,74625.0,7500000.0
2000-09-05,4458,4814,4355,4613,440419,77625.0,7500000.0
2000-09-06,4703,4703,4391,4390,231572,73875.0,7500000.0
2000-09-07,4391,4413,4079,4087,216216,68775.0,7500000.0
2000-09-08,4061,4168,3927,4056,163428,68250.0,7500000.0
2000-09-14,3767,3967,3589,3717,93104,62550.0,7500000.0
2000-09-15,3655,3762,3388,3459,132613,58200.0,7500000.0
2000-09-18,3263,3263,3045,3044,127025,51225.0,7500000.0
2000-09-19,3045,3165,3045,3062,215650,51525.0,7500000.0
2000-09-20,3063,3147,2982,3089,213126,51975.0,7500000.0
2000-09-21,3112,3112,2719,2942,167428,49500.0,7500000.0
2000-09-22,2929,3054,2808,2808,290365,47250.0,7500000.0
2000-09-25,2474,2898,2474,2661,305349,44775.0,7500000.0
2000-09-26,2675,2750,2586,2674,201528,45000.0,7500000.0
2000-09-27,2586,2996,2586,2995,294212,50400.0,7500000.0
2000-09-28,3071,3263,2987,3205,256599,53925.0,7500000.0
2000-09-29,3232,3299,3054,3151,169093,53025.0,7500000.0
2000-10-02,3152,3187,3018,3107,78826,52275.0,7500000.0
2000-10-04,2987,3299,2875,3178,216559,53475.0,7500000.0
2000-10-05,3250,3557,3205,3535,420151,59475.0,7500000.0
2000-10-06,3611,3834,3566,3700,551865,62250.0,7500000.0
2000-10-09,3611,3985,3433,3744,442561,63000.0,7500000.0
2000-10-10,3745,3807,3526,3588,148902,60375.0,7500000.0
2000-10-11,3477,3584,3165,3298,122307,55500.0,7500000.0
2000-10-12,3187,3299,3076,3209,69815,54000.0,7500000.0
2000-10-13,2853,3254,2831,3165,78039,53250.0,7500000.0
2000-10-16,3254,3531,3254,3454,141374,58125.0,7500000.0
2000-10-17,3473,3642,3317,3477,181776,58500.0,7500000.0
2000-10-18,3477,3522,3299,3521,76521,59250.0,7500000.0
2000-10-19,3566,3789,3522,3566,207182,60000.0,7500000.0
2000-10-20,3785,3785,3477,3486,115547,58650.0,7500000.0
2000-10-23,3397,3544,3254,3343,51565,56250.0,7500000.0
2000-10-24,3348,3433,3303,3432,79576,57750.0,7500000.0
2000-10-25,3343,3464,3343,3370,50446,56700.0,7500000.0
2000-10-26,3477,3722,3379,3521,238902,59250.0,7500000.0
2000-10-27,3633,3941,3633,3940,660864,66300.0,7500000.0
2000-10-30,3967,4400,3745,3744,1260701,63000.0,7500000.0
2000-10-31,4012,4190,3745,4012,1014200,67500.0,7500000.0
2000-11-01,4012,4230,3878,4012,386580,67500.0,7500000.0
2000-11-02,3901,4230,3901,4003,372182,67350.0,7500000.0
2000-11-03,4146,4168,3860,3900,346571,65625.0,7500000.0
2000-11-06,3834,3999,3816,3913,205005,65850.0,7500000.0
2000-11-07,3967,3976,3749,3922,156795,66000.0,7500000.0
2000-11-08,3945,3945,3767,3780,81427,63600.0,7500000.0
2000-11-09,3745,3999,3709,3927,188884,66075.0,7500000.0
2000-11-10,3990,4369,3950,4101,532287,69000.0,7500000.0
2000-11-13,4101,4106,3753,3829,194444,64425.0,7500000.0
2000-11-14,3838,4048,3838,3963,176073,66675.0,7500000.0
2000-11-15,4190,4436,4190,4435,267810,74625.0,7500000.0
2000-11-16,4770,4948,4235,4448,842988,74850.0,7500000.0
2000-11-17,4449,4547,4315,4457,228307,75000.0,7500000.0
2000-11-20,4480,4993,4458,4992,698532,84000.0,7500000.0
2000-11-21,4948,5505,4547,5171,862764,87000.0,7500000.0
2000-11-22,5037,5305,4770,4903,410240,82500.0,7500000.0
2000-11-23,4725,4792,4373,4680,284757,78750.0,7500000.0
2000-11-24,4814,4993,4449,4591,185213,77250.0,7500000.0
2000-11-27,4681,4859,4547,4725,220622,79500.0,7500000.0
2000-11-28,4725,4725,4413,4480,123041,75375.0,7500000.0
2000-11-29,4369,5015,4337,4859,773292,81750.0,7500000.0
2000-11-30,4859,5015,4418,4546,373693,76500.0,7500000.0
2000-12-01,4458,4770,4418,4546,312313,76500.0,7500000.0
2000-12-04,4502,4703,4418,4457,203263,75000.0,7500000.0
2000-12-05,4458,4547,4155,4480,341106,75375.0,7500000.0
2000-12-06,4569,4658,4284,4288,218695,72150.0,7500000.0
2000-12-07,4235,4378,4146,4261,150789,71700.0,7500000.0
2000-12-08,4280,4525,4271,4368,193362,73500.0,7500000.0
2000-12-11,4369,4431,4280,4333,123825,72900.0,7500000.0
2000-12-12,4302,4337,4239,4275,102731,71925.0,7500000.0
2000-12-13,4235,4770,4213,4769,257557,80250.0,7500000.0
2000-12-14,4904,5082,4614,4814,443192,81000.0,7500000.0
2000-12-15,4681,4792,4547,4591,127933,77250.0,7500000.0
2000-12-18,4681,5060,4592,4769,338379,80250.0,7500000.0
2000-12-19,4614,4770,4502,4680,201454,78750.0,7500000.0
2000-12-20,4681,4681,4369,4480,99238,75375.0,7500000.0
2000-12-21,4235,4681,4235,4680,155784,78750.0,7500000.0
2000-12-22,4681,4993,4547,4658,565044,78375.0,7500000.0
2000-12-26,4904,5127,4792,5104,389889,85875.0,7500000.0
2001-01-02,4787,5275,4738,5055,212474,77625.0,7500000.0
2001-01-03,4958,5104,4836,4933,162560,75750.0,7500000.0
2001-01-04,5153,5300,4982,4982,318044,76500.0,7500000.0
2001-01-05,4933,5177,4836,5006,171025,76875.0,7500000.0
2001-01-08,4884,5055,4884,4957,161101,76125.0,7500000.0
2001-01-09,4909,5104,4884,4982,185497,76500.0,7500000.0
2001-01-10,5007,5471,4884,5030,519771,77250.0,7500000.0
2001-01-11,5129,5202,4909,5006,166962,76875.0,7500000.0
2001-01-12,5153,5593,5031,5128,571846,78750.0,7500000.0
2001-01-15,5373,5739,5324,5739,651093,88125.0,7500000.0
2001-01-16,6032,6252,5642,5714,499238,87750.0,7500000.0
2001-01-17,5617,5666,5129,5519,260598,84750.0,7500000.0
2001-01-18,5617,5715,5226,5372,163178,82500.0,7500000.0
2001-01-19,5422,5519,5251,5275,148326,81000.0,7500000.0
2001-01-22,5177,5495,5177,5372,226619,82500.0,7500000.0
2001-01-26,5373,5422,5202,5250,142225,80625.0,7500000.0
2001-01-29,5348,5837,5177,5470,363131,84000.0,7500000.0
2001-01-30,5471,5983,5471,5568,365908,85500.0,7500000.0
2001-01-31,5519,5812,5300,5543,150407,85125.0,7500000.0
2001-02-01,5471,5617,5348,5372,133681,82500.0,7500000.0
2001-02-02,5251,5446,5226,5275,96858,81000.0,7500000.0
2001-02-05,5275,5324,5129,5128,88599,78750.0,7500000.0
2001-02-06,5275,5617,5275,5372,264610,82500.0,7500000.0
2001-02-07,5324,5519,5177,5348,155033,82125.0,7500000.0
2001-02-08,5348,5397,5251,5275,54000,81000.0,7500000.0
2001-02-09,5226,5422,5202,5324,119327,81750.0,7500000.0
2001-02-12,5251,5373,5251,5324,68181,81750.0,7500000.0
2001-02-13,5446,5471,5275,5348,99562,82125.0,7500000.0
2001-02-14,5348,5910,5275,5690,524255,87375.0,7500000.0
2001-02-15,5617,6350,5471,6349,413516,97500.0,7500000.0
2001-02-16,6594,7107,6399,7106,380018,109125.0,7500000.0
2001-02-19,7571,7937,7156,7326,566416,112500.0,7500000.0
2001-02-20,7522,7717,7131,7522,277324,115500.0,7500000.0
2001-02-21,7327,8279,7327,7326,492293,112500.0,7500000.0
2001-02-22,7082,7278,6447,6447,333226,99000.0,7500000.0
2001-02-23,6594,6741,6008,6569,265948,100875.0,7500000.0
2001-02-26,6447,6789,6106,6252,218006,96000.0,7500000.0
2001-02-27,6545,6765,6252,6423,351828,98625.0,7500000.0
2001-02-28,6154,6325,6081,6203,112810,95250.0,7500000.0
2001-03-02,6203,6301,5617,6081,166435,93375.0,7500000.0
2001-03-05,5861,6325,5764,6325,142523,97125.0,7500000.0
2001-03-06,6252,6643,6130,6252,142667,96000.0,7500000.0
2001-03-07,6399,6496,6228,6300,134954,96750.0,7500000.0
2001-03-08,6423,7034,6374,6887,457667,105750.0,7500000.0
2001-03-09,6741,7058,6594,6740,176651,103500.0,7500000.0
2001-03-12,6618,6741,6276,6398,179936,98250.0,7500000.0
2001-03-13,5861,6154,5788,5861,142756,90000.0,7500000.0
2001-03-14,6008,6203,6008,6056,130872,93000.0,7500000.0
2001-03-15,5812,6228,5690,6178,165652,94875.0,7500000.0
2001-03-16,6057,6276,6057,6056,78769,93000.0,7500000.0
2001-03-19,5886,6252,5886,6105,77324,93750.0,7500000.0
2001-03-20,6252,6252,6057,6105,69038,93750.0,7500000.0
2001-03-21,5910,6057,5910,5983,58701,91875.0,7500000.0
2001-03-22,6008,6032,5788,5836,52593,89625.0,7500000.0
2001-03-23,5861,6179,5812,5983,56530,91875.0,7500000.0
