알티캐스트(085810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-12-06,8500,8800,7860,7940,2843110,144468.0,18194997.0
2013-12-09,7890,9070,7860,8600,1181747,156477.0,18194997.0
2013-12-10,8650,9550,8430,9250,1002360,168304.0,18194997.0
2013-12-11,9340,9850,9300,9430,497052,171579.0,18194997.0
2013-12-12,9100,9290,8770,8910,230113,162117.0,18194997.0
2013-12-13,8850,9000,8510,8800,108475,160116.0,18194997.0
2013-12-16,8700,8790,8550,8610,99651,177135.0,20573160.0
2013-12-17,8700,8970,8550,8660,100368,178164.0,20573160.0
2013-12-18,8600,8720,8510,8580,62690,176518.0,20573160.0
2013-12-19,8550,9260,8500,9080,294227,186804.0,20573160.0
2013-12-20,9150,9230,8900,8900,57808,183101.0,20573160.0
2013-12-23,9040,9040,8700,8710,75682,179192.0,20573160.0
2013-12-24,8660,8940,8620,8750,96037,180015.0,20573160.0
2013-12-26,8720,9000,8600,8810,46816,181250.0,20573160.0
2013-12-27,8810,8960,8700,8750,35697,180015.0,20573160.0
2013-12-30,8730,9270,8730,9220,143397,189685.0,20573160.0
2014-01-02,9270,9270,8890,9020,51591,185570.0,20573160.0
2014-01-03,9000,9090,8860,9010,47261,185364.0,20573160.0
2014-01-06,9100,9250,8950,9010,100853,185364.0,20573160.0
2014-01-07,9080,9080,8900,9000,31686,185158.0,20573160.0
2014-01-08,9050,9070,8910,8920,23091,183513.0,20573160.0
2014-01-09,8930,9140,8910,9120,54468,187627.0,20573160.0
2014-01-10,9170,9480,9040,9230,217013,189890.0,20573160.0
2014-01-13,9230,9560,9100,9500,132880,195445.0,20573160.0
2014-01-14,9550,10300,9510,9790,505252,201411.0,20573160.0
2014-01-15,9770,9980,9650,9770,113711,201000.0,20573160.0
2014-01-16,9900,10350,9860,10200,248676,209846.0,20573160.0
2014-01-17,10200,10200,9990,10150,100300,208818.0,20573160.0
2014-01-20,10150,10200,9820,9890,96942,203469.0,20573160.0
2014-01-21,9900,10000,9780,9980,94239,205320.0,20573160.0
2014-01-22,10100,10300,9940,10150,128140,208818.0,20573160.0
2014-01-23,10200,10250,9960,10000,62307,205732.0,20573160.0
2014-01-24,9910,10000,9620,9850,61257,202646.0,20573160.0
2014-01-27,9740,9740,9520,9700,33606,199560.0,20573160.0
2014-01-28,9740,9740,9430,9550,51166,196474.0,20573160.0
2014-01-29,9630,9860,9410,9850,58580,202646.0,20573160.0
2014-02-03,9940,10050,9750,9750,64262,200588.0,20573160.0
2014-02-04,9550,9760,9460,9760,31110,200794.0,20573160.0
2014-02-05,9800,9800,9420,9420,118508,193799.0,20573160.0
2014-02-06,9500,9790,9420,9760,39228,200794.0,20573160.0
