엑시콘(092870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-24,7100,7100,7100,7100,200,48447.0,6823500.0
2014-12-26,6700,6700,6700,6700,200,45717.0,6823500.0
2014-12-29,5700,5700,5700,5700,200,38894.0,6823500.0
2014-12-30,5400,5400,5400,5400,190,36847.0,6823500.0
2015-01-02,5400,5400,5400,5400,5663,36847.0,6823500.0
2015-01-05,5500,5500,5500,5500,200,37529.0,6823500.0
2015-01-06,5500,5500,5500,5500,200,37529.0,6823500.0
2015-01-07,5500,5700,5500,5700,790,38894.0,6823500.0
2015-01-08,5700,5700,5700,5700,200,38894.0,6823500.0
2015-01-09,5800,6000,5800,6000,1000,40941.0,6823500.0
2015-01-12,6000,6000,6000,6000,200,40941.0,6823500.0
2015-01-13,6000,6000,6000,6000,100,40941.0,6823500.0
2015-01-14,6000,6000,6000,6000,200,,
2015-01-15,6000,6000,6000,6000,4457,40941.0,6823500.0
2015-01-16,6000,6000,6000,6000,200,,
2015-01-19,6000,6000,6000,6000,0,40941.0,6823500.0
2015-01-20,6000,6000,6000,6000,900,40941.0,6823500.0
2015-01-21,6000,6000,6000,6000,800,40941.0,6823500.0
2015-01-22,6000,6000,6000,6000,5450,40941.0,6823500.0
2015-01-23,6200,6200,6200,6200,650,42306.0,6823500.0
2015-01-26,6000,6000,6000,6000,200,40941.0,6823500.0
2015-01-27,6000,6000,6000,6000,600,40941.0,6823500.0
2015-01-28,6000,6000,6000,6000,2600,40941.0,6823500.0
2015-01-29,6000,6100,5900,6100,4121,41623.0,6823500.0
2015-01-30,6300,6700,6300,6500,5294,44353.0,6823500.0
2015-02-02,6700,7200,6700,7200,3207,49129.0,6823500.0
2015-02-03,7200,7200,7000,7000,5547,47764.0,6823500.0
2015-02-04,6500,7300,6500,7000,2225,47764.0,6823500.0
2015-02-05,7300,7500,7300,7400,4241,50494.0,6823500.0
2015-02-06,7500,7800,7500,7650,6900,52200.0,6823500.0
2015-02-09,7800,7800,7400,7400,5200,50494.0,6823500.0
2015-02-10,7900,7900,7900,7900,200,53906.0,6823500.0
2015-02-11,8000,8500,8000,8500,3500,58000.0,6823500.0
2015-02-12,8500,9500,8500,9500,3000,64823.0,6823500.0
2015-02-13,9800,9800,9800,9800,200,66870.0,6823500.0
2015-02-16,9800,9800,9800,9800,800,66870.0,6823500.0
2015-02-17,9800,9800,9800,9800,0,66870.0,6823500.0
2015-02-23,9800,9800,8500,8500,1200,58000.0,6823500.0
2015-02-24,8600,8600,8500,8500,950,58000.0,6823500.0
2015-02-25,9000,9000,8500,9000,25659,61412.0,6823500.0
2015-02-26,8990,8990,8990,8990,1100,61343.0,6823500.0
2015-02-27,8990,8990,8990,8990,7000,61343.0,6823500.0
2015-03-02,8990,8990,8990,8990,0,61343.0,6823500.0
2015-03-03,8980,8980,8700,8900,2949,60729.0,6823500.0
2015-03-04,8900,9000,8900,9000,22245,61412.0,6823500.0
2015-03-05,9000,9000,8900,8900,22555,60729.0,6823500.0
2015-03-06,9000,9000,8900,9000,34596,61412.0,6823500.0
2015-03-09,9000,9000,8990,9000,21583,61412.0,6823500.0
2015-03-10,9000,9000,9000,9000,21569,61412.0,6823500.0
2015-03-11,9000,9000,9000,9000,50000,61412.0,6823500.0
2015-03-12,9070,9070,9070,9070,4500,61889.0,6823500.0
2015-03-13,9500,9500,9500,9500,500,64823.0,6823500.0
2015-03-16,9200,9600,9200,9600,2300,65506.0,6823500.0
2015-03-17,9500,9500,9020,9100,9031,62094.0,6823500.0
2015-03-18,9200,9200,9200,9200,300,62776.0,6823500.0
2015-03-19,9200,9200,8800,9000,14088,61412.0,6823500.0
2015-03-20,9000,9400,9000,9400,21147,64141.0,6823500.0
2015-03-23,9500,10000,9500,10000,25110,68235.0,6823500.0
2015-03-24,10000,10100,10000,10100,28450,68917.0,6823500.0
2015-03-25,10000,10000,10000,10000,0,68235.0,6823500.0
2015-03-26,10000,10000,9900,9900,600,67553.0,6823500.0
2015-03-27,10000,10700,10000,10700,36400,73011.0,6823500.0
2015-03-30,10500,10500,10500,10500,1700,71647.0,6823500.0
2015-03-31,10400,10500,10400,10500,8400,71647.0,6823500.0
2015-04-01,10450,10450,10450,10450,2000,71306.0,6823500.0
2015-04-02,10500,11600,10500,11600,26500,79153.0,6823500.0
2015-04-03,11300,11300,11000,11000,4600,75058.0,6823500.0
2015-04-06,11000,11000,11000,11000,2000,75058.0,6823500.0
2015-04-07,10800,10800,10800,10800,0,73694.0,6823500.0
2015-04-08,11500,11500,10500,11000,301,75058.0,6823500.0
2015-04-09,10500,12000,10500,11200,6210,76423.0,6823500.0
2015-04-10,11200,11500,11200,11500,11899,78470.0,6823500.0
2015-04-13,11500,13000,11500,13000,23066,88706.0,6823500.0
2015-04-14,13000,14500,12800,12950,12001,88364.0,6823500.0
2015-04-15,12950,13200,12950,13000,30500,88706.0,6823500.0
2015-04-16,13050,13050,12800,12950,6039,88364.0,6823500.0
2015-04-17,13000,13000,13000,13000,100,88706.0,6823500.0
2015-04-20,14200,14200,12950,12950,501,88364.0,6823500.0
2015-04-21,12700,12850,12600,12850,1801,87682.0,6823500.0
2015-04-22,12950,12950,12950,12950,1,88364.0,6823500.0
2015-04-23,12950,12950,12950,12950,100,88364.0,6823500.0
2015-04-24,12900,12900,12550,12550,2767,85635.0,6823500.0
2015-04-27,12550,14000,12550,12950,5717,88364.0,6823500.0
2015-04-28,12950,12950,12950,12950,100,,
2015-04-29,12900,13500,12900,13000,6445,88706.0,6823500.0
2015-04-30,13000,13000,13000,13000,0,88706.0,6823500.0
2015-05-04,13000,13000,13000,13000,1,88706.0,6823500.0
2015-05-06,11200,13000,11200,12900,2202,88023.0,6823500.0
2015-05-07,12200,12850,11100,12850,329227,87682.0,6823500.0
2015-05-08,12200,12900,12200,12900,201,88023.0,6823500.0
2015-05-11,12900,13000,12900,13000,1603,88706.0,6823500.0
2015-05-12,12600,13100,12600,13100,15115,89388.0,6823500.0
2015-05-13,13300,13500,13250,13500,3983,92117.0,6823500.0
2015-05-14,13500,13900,12500,13450,13352,91776.0,6823500.0
2015-05-15,13900,13900,12600,13800,5310,94164.0,6823500.0
2015-05-18,13000,13500,12600,13450,10793,91776.0,6823500.0
2015-05-19,15000,15000,12700,13250,30013,90411.0,6823500.0
2015-05-20,13200,13400,13000,13400,8345,91435.0,6823500.0
2015-05-21,13000,13400,12900,13250,10220,90411.0,6823500.0
2015-05-22,12950,13200,12900,13200,8010,90070.0,6823500.0
2015-05-26,13650,13650,13300,13650,362,93141.0,6823500.0
2015-05-27,13650,14050,13500,14050,8471,95870.0,6823500.0
2015-05-28,15000,15000,14000,14700,17850,100305.0,6823500.0
2015-05-29,14700,15300,14550,15200,8429,103717.0,6823500.0
2015-06-01,15200,15200,15200,15200,10,103717.0,6823500.0
2015-06-02,15200,15200,14000,14800,5270,100988.0,6823500.0
2015-06-03,14200,14700,14100,14500,1257,98941.0,6823500.0
2015-06-04,15300,15450,14500,15450,16115,105423.0,6823500.0
2015-06-05,15400,16700,15000,16700,19409,113952.0,6823500.0
2015-06-08,17100,18000,17000,17550,7665,119752.0,6823500.0
2015-06-09,17550,17750,17250,17750,5940,121117.0,6823500.0
2015-06-10,17750,17750,17500,17550,3240,119752.0,6823500.0
2015-06-11,17000,17900,17000,17600,1930,120094.0,6823500.0
2015-06-12,17000,17500,17000,17500,579,119411.0,6823500.0
2015-06-15,16700,17350,16500,16800,10923,114635.0,6823500.0
2015-06-16,16500,18000,16000,18000,6890,122823.0,6823500.0
2015-06-17,17900,17900,16500,16500,24035,112588.0,6823500.0
2015-06-18,17000,17000,16000,17000,2411,116000.0,6823500.0
2015-06-19,16000,16500,15900,16000,6699,109176.0,6823500.0
2015-06-22,17000,17000,15000,15450,8725,105423.0,6823500.0
2015-06-23,15950,17000,15000,17000,3323,116000.0,6823500.0
2015-06-24,16500,17000,16500,16900,12202,115317.0,6823500.0
2015-06-25,17000,17000,16000,17000,165,116000.0,6823500.0
2015-06-26,16900,17500,16900,17000,18222,116000.0,6823500.0
2015-06-29,17000,17000,16700,17000,3340,116000.0,6823500.0
2015-06-30,16950,17000,16050,16950,5319,115658.0,6823500.0
2015-07-01,16950,17000,16300,16800,3185,114635.0,6823500.0
2015-07-02,17000,17000,16800,16800,361,114635.0,6823500.0
2015-07-03,16200,17000,16200,17000,3747,116000.0,6823500.0
2015-07-06,17000,19000,16700,17100,8661,116682.0,6823500.0
2015-07-07,16100,16950,16000,16950,3056,115658.0,6823500.0
2015-07-08,16950,16950,16950,16950,100,115658.0,6823500.0
2015-07-09,15500,17000,15000,16800,13552,114635.0,6823500.0
2015-07-10,16600,16700,16600,16700,600,113952.0,6823500.0
2015-07-13,16100,16600,16100,16600,910,113270.0,6823500.0
2015-07-14,16550,16550,16250,16300,2170,111223.0,6823500.0
2015-07-15,16200,16300,15300,16300,25810,111223.0,6823500.0
2015-07-16,16000,16950,16000,16150,56034,110200.0,6823500.0
2015-07-17,16800,16850,16500,16850,4892,114976.0,6823500.0
2015-07-20,18900,18900,16950,17000,9273,116000.0,6823500.0
2015-07-21,17000,17050,17000,17000,2220,116000.0,6823500.0
2015-07-22,17000,17950,17000,17000,4655,116000.0,6823500.0
2015-07-23,17000,17000,17000,17000,5320,116000.0,6823500.0
2015-07-24,17000,17000,16000,16900,3816,115317.0,6823500.0
2015-07-27,16900,16900,16900,16900,0,115317.0,6823500.0
