코디(080530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-01-05,12403,14005,10549,10552,6230608,38509.0,4868354.0
2010-01-06,10509,12123,9735,12126,2250863,44253.0,4868354.0
2010-01-07,12551,13471,10789,12246,2621380,44691.0,4868354.0
2010-01-08,12404,13004,12272,12712,1002506,46395.0,4868354.0
2010-01-11,13072,14606,12872,14607,2738491,53308.0,4868354.0
2010-01-12,14671,15405,13937,14273,1888191,52091.0,4868354.0
2010-01-13,14205,14605,12697,12939,1117021,47223.0,4868354.0
2010-01-14,12991,13537,12297,12779,838807,46639.0,4868354.0
2010-01-15,12791,14671,12537,14273,1350700,52091.0,4868354.0
2010-01-18,14272,16206,14072,15340,1309002,55986.0,4868354.0
2010-01-19,15272,17608,14338,17608,3034289,76032.0,5760000.0
2010-01-20,18941,19472,17405,18275,3826464,78912.0,5760000.0
2010-01-21,18007,21007,17873,21010,2797183,90720.0,5760000.0
2010-01-22,20675,22541,20141,21610,3431027,93312.0,5760000.0
2010-01-25,21742,23142,18408,19342,2547275,83520.0,5760000.0
2010-01-26,20008,20342,18074,19942,1607844,86112.0,5760000.0
2010-01-27,20407,20607,17005,17741,1708319,76608.0,5760000.0
2010-01-28,18007,19141,17405,18142,1158981,78336.0,5760000.0
2010-01-29,17539,17673,15871,16808,1085411,72576.0,5760000.0
2010-02-01,16805,17539,16273,17541,679759,75744.0,5760000.0
2010-02-02,17807,17939,17139,17541,523703,75744.0,5760000.0
2010-02-03,17873,18207,16005,16608,1012912,71712.0,5760000.0
2010-02-04,16539,19073,16405,18142,1855860,78336.0,5760000.0
2010-02-05,17006,17940,16740,17275,876515,74592.0,5760000.0
2010-02-08,17608,18340,15672,16341,996294,70560.0,5760000.0
2010-02-09,16140,17474,15872,16474,736773,71136.0,5760000.0
2010-02-10,16939,17939,16605,17408,835817,75168.0,5760000.0
2010-02-11,17940,18474,17674,18008,636989,77760.0,5760000.0
2010-02-12,18139,19073,17607,18475,776050,79776.0,5760000.0
2010-02-16,18673,19207,18539,18875,457511,81504.0,5760000.0
2010-02-17,18942,19474,18340,18942,726203,81792.0,5760000.0
2010-02-18,19274,20274,18942,19742,817549,85248.0,5760000.0
2010-02-19,19474,19874,18208,18809,714858,81216.0,5760000.0
2010-02-22,19408,20943,19342,19609,1281625,84672.0,5760000.0
2010-02-23,19608,19674,18942,19209,382610,82944.0,5760000.0
2010-02-24,18942,19742,18608,19009,561871,82080.0,5760000.0
2010-02-25,19409,19543,18074,18075,422413,78048.0,5760000.0
2010-02-26,18408,19342,18008,19342,373053,83520.0,5760000.0
2010-03-02,19474,19809,19074,19609,440563,84672.0,5760000.0
2010-03-03,19873,20007,19273,19276,413483,83232.0,5760000.0
2010-03-04,19341,19607,18673,18742,248084,80928.0,5760000.0
2010-03-05,19074,21542,19008,20943,2660442,90432.0,5760000.0
2010-03-08,21475,24075,21407,24078,2849721,103968.0,5760000.0
2010-03-09,24476,24676,21408,21477,2299268,92736.0,5760000.0
2010-03-10,21608,23944,21476,22210,2744878,95904.0,5760000.0
2010-03-11,22410,22410,20876,21076,1169876,91008.0,5760000.0
2010-03-12,21475,22074,21141,21143,659525,91296.0,5760000.0
2010-03-15,21008,21608,20408,21477,733525,92736.0,5760000.0
2010-03-16,22010,22476,21476,21477,859253,92736.0,5760000.0
2010-03-17,21675,21675,20941,21010,531462,90720.0,5760000.0
2010-03-18,21141,21607,21007,21543,328807,93024.0,5760000.0
2010-03-19,22009,22409,21407,21410,639065,92448.0,5760000.0
2010-03-22,21142,21408,20876,20943,258711,90432.0,5760000.0
2010-03-23,21208,22076,20876,21877,732615,94464.0,5760000.0
2010-03-24,22210,23276,21608,21810,1891988,94176.0,5760000.0
2010-03-25,22010,22742,21942,22277,506703,96192.0,5760000.0
2010-03-26,22410,22476,21876,21877,245126,94464.0,5760000.0
2010-03-29,21475,21875,21341,21543,278267,93024.0,5760000.0
2010-03-30,21807,22275,18407,19476,1512693,84096.0,5760000.0
2010-03-31,19406,19472,17873,18275,785434,78912.0,5760000.0
2010-04-01,18539,19473,18139,19476,476838,84096.0,5760000.0
2010-04-02,19208,19408,18340,19142,303816,82656.0,5760000.0
2010-04-05,19209,19209,16940,18075,242289,78048.0,5760000.0
2010-04-06,18073,18673,17339,17408,223815,75168.0,5760000.0
2010-04-07,17674,18074,17340,17475,163134,75456.0,5760000.0
2010-04-08,17540,17740,17140,17608,139400,76032.0,5760000.0
2010-04-09,17806,17806,16405,16741,161420,72288.0,5760000.0
2010-04-12,16739,17139,15805,16007,194400,69120.0,5760000.0
2010-04-13,16205,16805,15271,16808,303496,72576.0,5760000.0
2010-04-14,16939,17073,16339,16408,192329,70848.0,5760000.0
2010-04-15,16405,16473,15271,15874,259284,68544.0,5760000.0
2010-04-16,15739,15871,15271,15807,142591,68256.0,5760000.0
2010-04-19,15672,16140,15140,15340,254540,66240.0,5760000.0
2010-04-20,15606,16674,15206,16541,433910,71424.0,5760000.0
2010-04-21,16674,16806,16206,16541,136651,71424.0,5760000.0
2010-04-22,17074,17274,16140,17275,321496,74592.0,5760000.0
2010-04-23,17406,17740,17206,17475,157321,75456.0,5760000.0
2010-04-26,17474,17608,17074,17475,116762,75456.0,5760000.0
2010-04-27,17808,18740,17740,17808,407870,76896.0,5760000.0
2010-04-28,17140,18340,17006,17675,188233,76320.0,5760000.0
2010-04-29,17673,18273,17273,17541,364805,75744.0,5760000.0
2010-04-30,17808,17808,17274,17275,141400,74592.0,5760000.0
2010-05-03,17273,17273,16205,16207,145998,69984.0,5760000.0
2010-05-04,16340,16940,16206,16674,182570,72000.0,5760000.0
2010-05-06,16274,16406,15472,15741,208700,67968.0,5760000.0
2010-05-07,14672,15140,14406,14807,204904,63936.0,5760000.0
2010-05-10,15005,15671,14939,15407,271146,66528.0,5760000.0
2010-05-11,15739,16205,15271,15407,229556,66528.0,5760000.0
2010-05-12,15471,15939,15139,15674,387617,67680.0,5760000.0
2010-05-13,15872,16474,15672,16274,328273,70272.0,5760000.0
2010-05-14,16007,16275,15206,15207,264762,65664.0,5760000.0
2010-05-17,15006,15806,14406,14407,212448,62208.0,5760000.0
2010-05-18,14672,14806,13272,13273,341151,57312.0,5760000.0
2010-05-19,13086,13258,12272,12272,293669,52992.0,5760000.0
2010-05-20,12191,12523,11069,11472,288377,49536.0,5760000.0
2010-05-24,11403,12083,11283,11765,150664,50803.0,5760000.0
2010-05-25,11389,11697,10069,10351,232349,44698.0,5760000.0
2010-05-26,10404,10738,10244,10538,225617,45504.0,5760000.0
2010-05-27,10603,11469,10537,11032,445254,47635.0,5760000.0
2010-05-28,11324,11804,11124,11258,308536,48614.0,5760000.0
2010-05-31,11257,11777,11229,11485,232851,49594.0,5760000.0
2010-06-01,11604,11604,11164,11339,146813,48960.0,5760000.0
2010-06-03,11404,12604,11404,12232,339884,52819.0,5760000.0
2010-06-04,12164,12632,12044,12219,147357,52762.0,5760000.0
2010-06-07,11737,11871,11483,11485,160758,49594.0,5760000.0
2010-06-08,11404,11764,11310,11739,138960,50688.0,5760000.0
2010-06-09,12044,13472,12044,13473,531028,58176.0,5760000.0
