데브시스터즈(194480),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-10-06,71000,77000,61000,61000,2492633,658800.0,10800000.0
2014-10-07,60000,62200,55900,57000,758488,615600.0,10800000.0
2014-10-08,57500,62800,56500,57700,992491,623160.0,10800000.0
2014-10-10,56700,57200,52600,52600,307006,568080.0,10800000.0
2014-10-13,51400,54900,49750,53300,412829,575640.0,10800000.0
2014-10-14,52200,58300,51800,55500,471380,599400.0,10800000.0
2014-10-15,56200,59000,54900,54900,205118,592920.0,10800000.0
2014-10-16,54400,56000,52500,55200,150212,596160.0,10800000.0
2014-10-17,56300,58200,54900,55200,220105,596160.0,10800000.0
2014-10-20,56200,56300,54200,55200,100479,596160.0,10800000.0
2014-10-21,53900,54000,51300,51300,309055,554040.0,10800000.0
2014-10-22,51900,52200,49900,50200,148018,542160.0,10800000.0
2014-10-23,49900,51000,42700,42700,701702,461160.0,10800000.0
2014-10-24,43450,44600,41300,43550,323267,470340.0,10800000.0
2014-10-27,43650,43800,40050,40100,240856,433080.0,10800000.0
2014-10-28,40400,45600,40350,44650,491374,482220.0,10800000.0
2014-10-29,44950,48400,43550,46100,384131,497880.0,10800000.0
2014-10-30,47100,47150,43100,44650,175377,482220.0,10800000.0
2014-10-31,44650,45100,42000,42000,126467,453600.0,10800000.0
2014-11-03,41800,42750,40100,40450,134060,436860.0,10800000.0
2014-11-04,40500,43150,40150,41550,211939,448740.0,10800000.0
2014-11-05,39250,42200,38950,39000,546958,421200.0,10800000.0
2014-11-06,39950,40350,36300,38000,301260,410400.0,10800000.0
2014-11-07,38500,39950,32350,33800,1092979,365040.0,10800000.0
2014-11-10,34200,35250,33400,34500,293068,372600.0,10800000.0
2014-11-11,34400,34500,31850,32000,413812,345600.0,10800000.0
2014-11-12,32300,33750,31500,32350,310147,349380.0,10800000.0
2014-11-13,32800,36050,32600,34500,490343,372600.0,10800000.0
2014-11-14,35100,36400,34350,35450,255663,382860.0,10800000.0
2014-11-17,35700,35800,33300,34000,157457,367200.0,10800000.0
2014-11-18,34200,39100,34200,39100,477439,422280.0,10800000.0
2014-11-19,38600,41400,38000,38700,437319,417960.0,10800000.0
2014-11-20,39150,40450,37200,39000,328286,421200.0,10800000.0
2014-11-21,38750,39500,38000,39000,214462,421200.0,10800000.0
2014-11-24,39200,39600,37000,37000,180493,399600.0,10800000.0
2014-11-25,37300,39850,36550,36700,357686,396360.0,10800000.0
2014-11-26,37300,38800,36800,38000,167051,410400.0,10800000.0
2014-11-27,38300,39000,37250,37800,124044,408240.0,10800000.0
2014-11-28,38200,39600,37500,38400,284053,414720.0,10800000.0
2014-12-01,38600,38700,36400,36400,121992,393120.0,10800000.0
2014-12-02,35750,36750,33450,34200,231549,369360.0,10800000.0
2014-12-03,34450,35450,34050,34750,208354,375300.0,10800000.0
2014-12-04,34900,38300,34900,36850,436761,397980.0,10800000.0
2014-12-05,37250,41600,36350,39450,607926,426060.0,10800000.0
2014-12-08,41500,45300,41200,43000,1039899,464400.0,10800000.0
2014-12-09,42300,44300,40200,40450,431593,436860.0,10800000.0
2014-12-10,40950,44950,40300,44000,430047,475200.0,10800000.0
2014-12-11,43700,47450,42700,44700,707284,482760.0,10800000.0
2014-12-12,44900,45850,41500,43150,439397,466020.0,10800000.0
2014-12-15,43600,45300,42600,43100,283652,465480.0,10800000.0
2014-12-16,43200,43400,40500,41000,313159,442800.0,10800000.0
2014-12-17,41500,42650,40800,40900,179975,441720.0,10800000.0
2014-12-18,40900,41800,38500,39600,216104,427680.0,10800000.0
2014-12-19,40250,42700,39100,41800,373825,451440.0,10800000.0
2014-12-22,41800,42800,40000,40000,166469,432000.0,10800000.0
2014-12-23,40250,42050,39450,40000,200282,432000.0,10800000.0
2014-12-24,40650,41900,40400,41400,131749,447120.0,10800000.0
2014-12-26,44000,44700,42300,42300,349077,456840.0,10800000.0
2014-12-29,42700,48600,42500,47400,593165,511920.0,10800000.0
2014-12-30,48500,49650,47150,47750,388600,515700.0,10800000.0
2015-01-02,48050,51600,46650,50800,502272,548640.0,10800000.0
2015-01-05,50900,51300,49100,51300,277955,554040.0,10800000.0
2015-01-06,50300,52000,49000,49000,252731,529200.0,10800000.0
2015-01-07,48400,51200,46100,47950,727586,517860.0,10800000.0
2015-01-08,48600,49350,47500,48550,233711,524340.0,10800000.0
2015-01-09,47850,52000,47000,50400,500178,544320.0,10800000.0
2015-01-12,50300,51700,49650,51000,279225,550800.0,10800000.0
2015-01-13,51200,54800,50200,51400,682831,555120.0,10800000.0
2015-01-14,51500,53300,48050,48050,384856,518940.0,10800000.0
2015-01-15,47800,49800,46900,48050,335023,518940.0,10800000.0
2015-01-16,47900,49250,47600,48600,270925,524880.0,10800000.0
2015-01-19,49050,50400,48350,49600,273707,535680.0,10800000.0
2015-01-20,49500,54500,48000,53000,860717,572400.0,10800000.0
2015-01-21,54200,56000,52400,53000,667155,572400.0,10800000.0
2015-01-22,52300,53000,49300,50100,385257,541080.0,10800000.0
2015-01-23,50500,53500,49900,53300,402140,575640.0,10800000.0
2015-01-26,53300,54000,51600,52200,404398,563760.0,10800000.0
2015-01-27,52800,57300,51500,53500,1166413,577800.0,10800000.0
2015-01-28,54200,56900,53400,54400,627650,587520.0,10800000.0
2015-01-29,54800,57200,53800,55400,592753,598320.0,10800000.0
2015-01-30,55000,55800,52100,52700,379153,569160.0,10800000.0
2015-02-02,52000,52900,49450,49650,376960,536220.0,10800000.0
2015-02-03,49150,49350,45950,47100,745112,508680.0,10800000.0
2015-02-04,47450,47750,46200,46350,323604,500580.0,10800000.0
2015-02-05,46350,47000,44200,44400,450067,479520.0,10800000.0
2015-02-06,44900,46400,44400,45400,369883,490320.0,10800000.0
2015-02-09,45000,45250,40400,40700,584424,439560.0,10800000.0
2015-02-10,40150,42500,39700,42500,287114,459000.0,10800000.0
2015-02-11,42700,43800,41450,42150,241488,455220.0,10800000.0
2015-02-12,41750,44150,35850,35850,1363768,387180.0,10800000.0
2015-02-13,34750,37450,33150,36300,1602294,392040.0,10800000.0
2015-02-16,35800,36800,34400,34400,490605,371520.0,10800000.0
2015-02-17,33950,35200,33700,34400,366467,371520.0,10800000.0
2015-02-23,34850,36700,34500,35600,387541,384480.0,10800000.0
2015-02-24,35600,36800,35450,36250,282330,391500.0,10800000.0
2015-02-25,36650,38200,36350,37000,378335,399600.0,10800000.0
2015-02-26,37200,37400,36100,36700,217344,396360.0,10800000.0
2015-02-27,36950,37450,36450,36950,226490,399060.0,10800000.0
2015-03-02,37200,37450,35500,35700,189896,385560.0,10800000.0
2015-03-03,35500,36350,35250,35700,181352,385560.0,10800000.0
2015-03-04,36100,37250,35900,36850,236321,397980.0,10800000.0
2015-03-05,37450,38000,36800,37200,253022,401760.0,10800000.0
2015-03-06,37750,38100,36950,37950,219468,409860.0,10800000.0
2015-03-09,38000,38200,37100,37200,152920,401760.0,10800000.0
2015-03-10,37350,37700,35050,35100,296109,379080.0,10800000.0
2015-03-11,34300,36150,34250,35450,126754,382860.0,10800000.0
2015-03-12,35850,35900,33900,34000,267350,367200.0,10800000.0
2015-03-13,34100,36500,34100,36000,257180,388800.0,10800000.0
2015-03-16,36150,36800,35150,36050,200678,389340.0,10800000.0
2015-03-17,36350,37200,36000,36200,203742,390960.0,10800000.0
2015-03-18,36500,36600,34550,34650,206268,374220.0,10800000.0
2015-03-19,35000,35950,34400,35950,145816,388260.0,10800000.0
2015-03-20,35950,36400,35600,35900,110062,387720.0,10800000.0
2015-03-23,36200,36450,35700,35750,87265,386100.0,10800000.0
2015-03-24,35750,37400,34800,36300,281571,392040.0,10800000.0
2015-03-25,36450,36550,35700,35750,102943,386100.0,10800000.0
2015-03-26,35750,35800,34700,34700,131564,374760.0,10800000.0
2015-03-27,35000,35300,34200,34400,99686,371520.0,10800000.0
2015-03-30,34750,35600,34650,35350,106434,381780.0,10800000.0
2015-03-31,35800,40650,35450,38850,1273228,419580.0,10800000.0
2015-04-01,39200,39300,37550,38300,266714,413640.0,10800000.0
2015-04-02,38700,39050,37700,37950,252833,409860.0,10800000.0
2015-04-03,38050,39800,38000,38450,309627,415260.0,10800000.0
2015-04-06,38950,39400,38000,38050,151756,410940.0,10800000.0
2015-04-07,38200,38250,37000,37650,170055,406620.0,10800000.0
2015-04-08,37800,37950,36550,36700,184931,396360.0,10800000.0
2015-04-09,37000,38000,36700,36800,192869,397440.0,10800000.0
2015-04-10,36800,39300,36550,38650,421292,417420.0,10800000.0
2015-04-13,39750,40400,38650,39000,392702,421200.0,10800000.0
2015-04-14,38800,38900,37950,37950,247535,409860.0,10800000.0
2015-04-15,38000,38550,37550,38050,158423,410940.0,10800000.0
2015-04-16,38250,38400,37200,37200,219899,401760.0,10800000.0
2015-04-17,37200,38100,37000,37550,154433,405540.0,10800000.0
2015-04-20,36950,37000,35950,36000,242173,388800.0,10800000.0
2015-04-21,36250,37150,35950,36500,209269,394200.0,10800000.0
2015-04-22,36700,36850,33450,35450,290961,382860.0,10800000.0
2015-04-23,35500,35900,33900,35000,155243,378000.0,10800000.0
2015-04-24,35500,35800,34850,35800,125648,386640.0,10800000.0
2015-04-27,35600,36250,35600,35750,98113,389729.0,10901500.0
2015-04-28,35600,35800,35250,35250,87295,384278.0,10901500.0
2015-04-29,35400,35650,33800,34000,162609,370651.0,10901500.0
2015-04-30,34000,34000,30700,30800,517269,335766.0,10901500.0
2015-05-04,30800,31150,28550,28800,295115,313963.0,10901500.0
2015-05-06,28400,29350,27700,27900,231846,304152.0,10901500.0
2015-05-07,28050,30500,27900,29850,352040,325410.0,10901500.0
2015-05-08,29650,30500,29100,29850,239442,325410.0,10901500.0
2015-05-11,29900,31850,29850,30850,170648,336311.0,10901500.0
2015-05-12,30150,31050,29700,29900,118344,325955.0,10901500.0
2015-05-13,29650,32350,28700,31300,352025,341217.0,10901500.0
2015-05-14,31250,31400,30350,30400,98834,331406.0,10901500.0
2015-05-15,33950,34600,31150,31650,765115,345032.0,10901500.0
2015-05-18,31850,32900,31450,31450,190408,342852.0,10901500.0
2015-05-19,31000,31950,30150,31350,148184,341762.0,10901500.0
2015-05-20,31350,31600,30700,30700,98133,334676.0,10901500.0
2015-05-21,30700,32550,30700,32050,164269,349393.0,10901500.0
2015-05-22,32100,32500,31550,32000,81739,348848.0,10901500.0
2015-05-26,32000,32300,31400,32150,91539,350483.0,10901500.0
2015-05-27,32100,32850,31700,32500,132644,354299.0,10901500.0
2015-05-28,32650,33400,32300,32300,104187,352118.0,10901500.0
2015-05-29,32150,32350,31750,31850,89837,347213.0,10901500.0
2015-06-01,31950,33150,31900,32500,93608,354299.0,10901500.0
2015-06-02,32200,32500,30800,31100,130216,339037.0,10901500.0
2015-06-03,30700,31500,30350,30700,88982,334676.0,10901500.0
2015-06-04,30550,31150,30550,31000,49113,337946.0,10901500.0
2015-06-05,30900,30900,29900,30200,95172,329225.0,10901500.0
2015-06-08,30000,30750,29950,30150,58515,328680.0,10901500.0
2015-06-09,29900,30450,29900,30200,45511,329225.0,10901500.0
2015-06-10,30700,33200,30400,32000,320617,348848.0,10901500.0
2015-06-11,32700,33350,32050,32450,189539,353754.0,10901500.0
2015-06-12,32400,33050,31900,32000,92189,348848.0,10901500.0
2015-06-15,31700,33200,31350,32900,112213,358659.0,10901500.0
2015-06-16,32900,34600,31600,31700,324854,345578.0,10901500.0
2015-06-17,32200,32200,30750,31650,121242,345032.0,10901500.0
2015-06-18,31850,32300,31300,31850,63989,347213.0,10901500.0
2015-06-19,32050,33200,31950,33000,148257,359750.0,10901500.0
2015-06-22,33300,33350,32450,32650,87666,355934.0,10901500.0
2015-06-23,32650,33200,32300,32550,69334,354844.0,10901500.0
2015-06-24,32650,33950,32400,33350,172511,363565.0,10901500.0
2015-06-25,33300,34150,33050,33700,122491,367381.0,10901500.0
2015-06-26,34300,34350,33200,33250,100785,362475.0,10901500.0
2015-06-29,32850,33000,31150,31150,156830,339582.0,10901500.0
2015-06-30,30600,31600,30000,31600,102521,344487.0,10901500.0
2015-07-01,31700,32650,31050,32250,88704,351573.0,10901500.0
2015-07-02,32300,33750,32150,33400,174330,364110.0,10901500.0
