미래에셋대우스팩3호(328380),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-20,2120,2170,2035,2040,8272853,13223.0,6482000.0
2019-08-21,2055,2055,2035,2035,1460082,13191.0,6482000.0
2019-08-22,2035,2055,2035,2045,527035,13256.0,6482000.0
2019-08-23,2045,2050,2040,2050,273035,13288.0,6482000.0
2019-08-26,2040,2050,2035,2045,242175,13256.0,6482000.0
2019-08-27,2045,2055,2045,2050,160917,13288.0,6482000.0
2019-08-28,2050,2055,2045,2055,65808,13321.0,6482000.0
2019-08-29,2050,2065,2045,2055,198878,13321.0,6482000.0
2019-08-30,2055,2060,2045,2050,261054,13288.0,6482000.0
2019-09-02,2055,2060,2045,2045,125862,13256.0,6482000.0
2019-09-03,2050,2055,2050,2050,80755,13288.0,6482000.0
2019-09-04,2050,2055,2050,2050,48839,13288.0,6482000.0
2019-09-05,2050,2055,2045,2045,78433,13256.0,6482000.0
2019-09-06,2050,2055,2045,2050,75725,13288.0,6482000.0
2019-09-09,2055,2060,2050,2055,72103,13321.0,6482000.0
2019-09-10,2060,2060,2050,2055,26556,13321.0,6482000.0
2019-09-11,2050,2060,2050,2060,70024,13353.0,6482000.0
2019-09-16,2065,2065,2055,2060,38887,13353.0,6482000.0
2019-09-17,2065,2065,2055,2060,41414,13353.0,6482000.0
2019-09-18,2065,2065,2055,2060,90614,13353.0,6482000.0
2019-09-19,2055,2060,2055,2060,59706,13353.0,6482000.0
2019-09-20,2055,2060,2055,2055,82646,13321.0,6482000.0
2019-09-23,2055,2060,2055,2055,22358,13321.0,6482000.0
2019-09-24,2055,2060,2050,2055,21567,13321.0,6482000.0
2019-09-25,2055,2065,2055,2065,62418,13385.0,6482000.0
2019-09-26,2055,2065,2055,2065,7114,13385.0,6482000.0
2019-09-27,2055,2075,2055,2070,65838,13418.0,6482000.0
2019-09-30,2075,2080,2060,2080,69384,13483.0,6482000.0
2019-10-01,2075,2085,2065,2085,22798,13515.0,6482000.0
2019-10-02,2080,2085,2075,2075,27738,13450.0,6482000.0
2019-10-04,2080,2085,2070,2080,43726,13483.0,6482000.0
2019-10-07,2075,2080,2065,2070,20824,,
