CJ ENM(035760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-11-23,56500,56500,56500,56500,623,267514.0,8243871.0
1999-11-24,63202,63202,63202,63203,6500,299253.0,8243871.0
1999-11-25,70777,70777,70777,70776,22782,335113.0,8243871.0
1999-11-26,79221,79221,79221,79220,191164,375096.0,8243871.0
1999-11-29,88624,88624,83747,88623,1048545,419613.0,8243871.0
1999-11-30,99244,99244,99244,99243,104046,469901.0,8243871.0
1999-12-01,111083,111083,111083,111083,79549,525959.0,8243871.0
1999-12-02,124315,124315,113346,121528,875488,575422.0,8243871.0
1999-12-03,107078,123617,107078,116654,889277,552339.0,8243871.0
1999-12-06,122224,130582,117002,130582,851239,618290.0,8243871.0
1999-12-07,141900,146253,134239,146254,519499,692485.0,8243871.0
1999-12-08,161924,163665,151478,163665,493697,774924.0,8243871.0
1999-12-09,182817,182817,175851,182816,371975,865606.0,8243871.0
1999-12-10,204580,204580,204580,204580,165353,968655.0,8243871.0
1999-12-13,226344,228956,180205,212414,996367,1005752.0,8243871.0
1999-12-14,208933,235920,191522,199357,681845,943923.0,8243871.0
1999-12-15,183688,207194,175853,175852,695278,832631.0,8243871.0
1999-12-16,167147,182817,154959,154958,308945,733705.0,8243871.0
1999-12-17,136676,145731,136502,140160,585350,663632.0,8243871.0
1999-12-20,142076,154958,130584,149736,477230,708973.0,8243871.0
1999-12-21,144687,165057,141030,161923,692824,766680.0,8243871.0
1999-12-22,160181,177591,153216,161052,863915,762558.0,8243871.0
1999-12-23,161053,167147,141900,142771,572371,675997.0,8243871.0
1999-12-24,139290,139290,125710,125708,530798,595207.0,8243871.0
1999-12-27,127100,140681,127100,137548,676377,651266.0,8243871.0
1999-12-28,121876,132324,121181,121181,552115,573773.0,8243871.0
2000-01-04,126594,134277,122405,127817,213126,603451.0,8243871.0
2000-01-05,112625,118736,112625,113848,228249,537500.0,8243871.0
2000-01-06,121880,121880,101625,109133,219455,515242.0,8243871.0
2000-01-07,98132,102148,96036,96910,210916,457535.0,8243871.0
2000-01-10,105640,105640,92893,99006,196791,467427.0,8243871.0
2000-01-11,102847,110880,101275,110879,260516,523486.0,8243871.0
2000-01-12,103895,118561,98656,107037,414102,505349.0,8243871.0
2000-01-13,108261,108261,96212,99180,202053,468252.0,8243871.0
2000-01-14,101450,111052,100053,111054,656998,524310.0,8243871.0
2000-01-17,113498,121182,111753,117514,354432,554813.0,8243871.0
2000-01-18,116991,127292,110006,117863,456208,556461.0,8243871.0
2000-01-19,122228,132006,118038,122229,813763,577071.0,8243871.0
2000-01-20,122405,127468,108261,112276,490387,530081.0,8243871.0
2000-01-21,112277,116642,107561,111228,349823,525135.0,8243871.0
2000-01-24,107387,116992,107387,111752,343155,527608.0,8243871.0
2000-01-25,110879,111576,98656,100751,350622,475671.0,8243871.0
2000-01-26,100752,105467,92545,94291,374057,445169.0,8243871.0
2000-01-27,89053,90624,83116,83116,336037,392408.0,8243871.0
2000-01-28,78576,87305,78050,83291,400068,393233.0,8243871.0
2000-01-31,79448,84687,78664,82068,370234,387462.0,8243871.0
2000-02-01,86433,91846,83989,91497,531385,431979.0,8243871.0
2000-02-02,92545,101275,89403,94815,780745,447642.0,8243871.0
2000-02-03,98306,106164,98132,106164,691289,501227.0,8243871.0
