퓨쳐켐(220100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-08-13,16900,19400,16900,19400,26600,40139.0,2069000.0
2015-08-17,22300,22300,22300,22300,7500,46139.0,2069000.0
2015-08-18,25600,25600,25600,25600,10000,52966.0,2069000.0
2015-08-19,29400,29400,25900,26900,7335,55656.0,2069000.0
2015-08-20,26900,27900,26900,26900,1332,55656.0,2069000.0
2015-08-21,25000,26500,25000,26500,1506,54828.0,2069000.0
2015-08-24,26500,26500,26500,26500,0,54828.0,2069000.0
2015-08-25,27000,27000,24000,26500,522,54828.0,2069000.0
2015-08-26,27000,27000,25000,26500,778,54828.0,2069000.0
2015-08-27,25000,25000,25000,25000,44,51725.0,2069000.0
2015-08-28,23000,25000,23000,25000,1601,51725.0,2069000.0
2015-08-31,24500,24500,24500,24500,0,50690.0,2069000.0
2015-09-01,22500,24500,22500,24400,1003,50484.0,2069000.0
2015-09-02,23200,23900,22000,23800,1275,61142.0,2569000.0
2015-09-03,26400,26400,23000,23000,1278,59087.0,2569000.0
2015-09-04,23000,25900,23000,25900,201,66537.0,2569000.0
2015-09-07,29750,29750,27000,27000,852,69363.0,2569000.0
2015-09-08,24900,25000,24300,25000,999,64225.0,2569000.0
2015-09-09,28000,28000,24100,26000,4,66794.0,2569000.0
2015-09-10,29850,29850,25000,25000,401,64225.0,2569000.0
2015-09-11,28650,28750,28650,28750,195,73859.0,2569000.0
2015-09-14,26500,28750,26500,28700,1029,73730.0,2569000.0
2015-09-15,25750,28700,25000,25700,1300,66023.0,2569000.0
2015-09-16,28000,28000,25500,25700,1350,66023.0,2569000.0
2015-09-17,23000,27000,23000,23500,1403,60372.0,2569000.0
2015-09-18,25000,25000,24000,24000,2599,61656.0,2569000.0
2015-09-21,25000,25500,24900,25500,1294,65510.0,2569000.0
2015-09-22,25000,26000,25000,25000,2525,64225.0,2569000.0
2015-09-23,25000,25950,24900,25000,2674,64225.0,2569000.0
2015-09-24,25000,26000,24500,25000,530,64225.0,2569000.0
2015-09-25,25000,26500,24950,24950,328,64097.0,2569000.0
2015-09-30,26450,26450,24500,24950,820,64097.0,2569000.0
2015-10-01,25000,25000,24500,24500,68,62940.0,2569000.0
2015-10-02,24500,24500,21000,21000,2396,53949.0,2569000.0
2015-10-05,20600,24100,20600,24100,16,61913.0,2569000.0
2015-10-06,24500,24500,22100,22100,731,56775.0,2569000.0
2015-10-07,24500,24500,22100,22100,940,56775.0,2569000.0
2015-10-08,25400,25400,23000,25000,12,64225.0,2569000.0
2015-10-12,23500,24900,23000,24900,1201,63968.0,2569000.0
2015-10-13,24850,24850,22000,22000,2932,56518.0,2569000.0
2015-10-14,24000,24000,22000,23950,1083,61528.0,2569000.0
2015-10-15,23950,23950,21500,23950,32,61528.0,2569000.0
2015-10-16,22000,23000,21900,22100,2654,56775.0,2569000.0
2015-10-19,25400,25400,21000,21000,2974,53949.0,2569000.0
2015-10-20,24000,24000,21000,22000,1682,56518.0,2569000.0
2015-10-21,24000,24000,21000,21900,1567,56261.0,2569000.0
2015-10-22,25000,25000,25000,25000,1,64225.0,2569000.0
2015-10-23,22000,24000,21250,21250,862,54591.0,2569000.0
2015-10-26,24000,24000,22000,22000,31,56518.0,2569000.0
2015-10-27,21950,21950,21000,21000,259,53949.0,2569000.0
2015-10-28,22950,22950,21000,21000,12,53949.0,2569000.0
2015-10-29,23850,23850,20000,21000,1346,53949.0,2569000.0
2015-10-30,23350,23350,19000,23000,502,59087.0,2569000.0
2015-11-02,19550,26000,19550,24000,323,61656.0,2569000.0
2015-11-03,23500,23500,23500,23500,1,60372.0,2569000.0
2015-11-04,23500,24000,20000,20000,544,51380.0,2569000.0
2015-11-05,21000,21950,21000,21500,20,55234.0,2569000.0
2015-11-06,24700,24700,18300,19950,3761,51252.0,2569000.0
2015-11-09,20000,20000,20000,20000,4,51380.0,2569000.0
2015-11-10,19950,19950,19850,19850,174,50995.0,2569000.0
2015-11-11,22500,22500,21500,21500,6,55234.0,2569000.0
2015-11-12,24650,24650,18300,19900,2828,51123.0,2569000.0
2015-11-13,21500,21500,16950,19000,459,48811.0,2569000.0
2015-11-16,19500,19500,18500,18500,40,47526.0,2569000.0
2015-11-17,20000,20000,16500,16500,24,42388.0,2569000.0
2015-11-18,18950,18950,15100,18900,10,48554.0,2569000.0
2015-11-19,21700,21700,16100,19500,9,50096.0,2569000.0
2015-11-20,22400,22400,16600,19500,310,50096.0,2569000.0
2015-11-23,21900,21900,17000,19000,104,48811.0,2569000.0
2015-11-24,19900,19900,18000,19000,533,48811.0,2569000.0
2015-11-25,18950,18950,18750,18950,613,48683.0,2569000.0
2015-11-26,18900,18900,16150,18750,1012,48169.0,2569000.0
2015-11-27,20000,20000,18900,19000,3110,48811.0,2569000.0
2015-11-30,18950,18950,18650,18650,729,47912.0,2569000.0
2015-12-01,18650,20000,18000,18850,1860,48426.0,2569000.0
2015-12-02,18850,18850,18450,18450,1202,47398.0,2569000.0
2015-12-03,19450,19450,18850,18850,501,48426.0,2569000.0
2015-12-04,18500,19450,17900,19100,2132,49068.0,2569000.0
2015-12-07,19100,19100,18500,19100,403,49068.0,2569000.0
2015-12-08,19900,19900,19000,19300,2506,49582.0,2569000.0
2015-12-09,21000,21000,19300,19300,602,49582.0,2569000.0
2015-12-10,20000,20000,19200,19200,508,49325.0,2569000.0
2015-12-11,19300,19300,19200,19200,1300,49325.0,2569000.0
2015-12-14,20000,20000,19000,19200,1208,49325.0,2569000.0
2015-12-15,20000,20000,19500,19500,18,50096.0,2569000.0
2015-12-16,20500,20500,19500,19500,3,50096.0,2569000.0
2015-12-17,20500,20500,19500,19500,28,50096.0,2569000.0
2015-12-18,19800,20000,19000,20000,1311,51380.0,2569000.0
2015-12-21,21000,21000,19000,19000,560,48811.0,2569000.0
2015-12-22,19000,21500,19000,19000,2211,48811.0,2569000.0
2015-12-23,21500,21500,19000,19000,14,48811.0,2569000.0
2015-12-24,21000,21000,20000,20000,43,51380.0,2569000.0
2015-12-28,21000,21000,19950,20000,34,51380.0,2569000.0
2015-12-29,20900,20900,19100,19100,470,49068.0,2569000.0
2015-12-30,20500,20500,19000,19000,459,48811.0,2569000.0
2016-01-04,21000,21000,21000,21000,2,53949.0,2569000.0
2016-01-05,21000,21000,21000,21000,0,53949.0,2569000.0
2016-01-06,19100,19100,19100,19100,175,49068.0,2569000.0
2016-01-07,21000,21000,21000,21000,1,53949.0,2569000.0
2016-01-08,23000,23000,19500,20000,155,51380.0,2569000.0
2016-01-11,20000,20000,20000,20000,0,51380.0,2569000.0
2016-01-12,18500,19000,18500,19000,588,48811.0,2569000.0
2016-01-13,21500,21500,21500,21500,1,55234.0,2569000.0
2016-01-14,22000,22000,22000,22000,1,56518.0,2569000.0
2016-01-15,20000,20000,18800,20000,595,51380.0,2569000.0
2016-01-18,23000,23000,18500,18800,175,48297.0,2569000.0
2016-01-19,18800,19000,18500,19000,215,48811.0,2569000.0
2016-01-20,21750,21750,19500,19500,18,50096.0,2569000.0
2016-01-21,20000,20000,20000,20000,1,51380.0,2569000.0
2016-01-22,22500,22500,19100,19300,1003,49582.0,2569000.0
2016-01-25,20000,20000,20000,20000,5,51380.0,2569000.0
2016-01-26,19400,19400,19400,19400,100,49839.0,2569000.0
2016-01-27,19500,19500,18000,19000,103,48811.0,2569000.0
2016-01-28,19000,19000,18950,18950,6,48683.0,2569000.0
2016-01-29,19000,19000,18200,18950,434,48683.0,2569000.0
2016-02-01,19100,19100,19050,19100,5,49068.0,2569000.0
2016-02-02,19050,19500,19050,19200,306,49325.0,2569000.0
2016-02-03,19200,21000,19200,21000,201,53949.0,2569000.0
2016-02-04,19200,19200,19100,19100,443,49068.0,2569000.0
2016-02-05,21950,21950,19000,19200,1229,49325.0,2569000.0
2016-02-11,22050,22050,20000,20500,271,52664.0,2569000.0
2016-02-12,22000,22000,22000,22000,1,56518.0,2569000.0
2016-02-15,20000,20000,20000,20000,10,51380.0,2569000.0
2016-02-16,20000,20000,20000,20000,11,51380.0,2569000.0
2016-02-17,20000,20000,20000,20000,2,51380.0,2569000.0
2016-02-18,19500,20000,19000,20000,203,51380.0,2569000.0
2016-02-19,20000,20000,20000,20000,25,51380.0,2569000.0
2016-02-22,22000,22000,17000,20500,2025,52664.0,2569000.0
2016-02-23,21500,22500,21500,22500,20,57802.0,2569000.0
