서원인텍(093920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-12-20,2750,3160,2510,2780,965807,51708.0,9300000.0
2007-12-21,2775,2830,2375,2505,111566,46593.0,9300000.0
2007-12-24,2549,2689,2464,2473,35178,45988.0,9300000.0
2007-12-26,2675,2675,2500,2525,30545,46965.0,9300000.0
2007-12-27,2644,2644,2414,2493,31956,46360.0,9300000.0
2007-12-28,2550,2550,2415,2520,3895,46872.0,9300000.0
2008-01-02,2525,2550,2375,2480,22257,46128.0,9300000.0
2008-01-03,2407,2625,2407,2550,27849,47430.0,9300000.0
2008-01-04,2615,2750,2510,2675,25566,49755.0,9300000.0
2008-01-07,2825,2825,2525,2680,5730,49848.0,9300000.0
2008-01-08,2680,2785,2550,2615,21277,48639.0,9300000.0
2008-01-09,2650,2650,2510,2585,19316,48081.0,9300000.0
2008-01-10,2670,2970,2565,2575,223672,47895.0,9300000.0
2008-01-11,2675,2675,2575,2575,26004,47895.0,9300000.0
2008-01-14,2595,2675,2545,2550,26119,47430.0,9300000.0
2008-01-15,2725,2725,2575,2615,10208,48639.0,9300000.0
2008-01-16,2530,2700,2530,2680,12367,49848.0,9300000.0
2008-01-17,2680,2745,2680,2745,12514,51057.0,9300000.0
2008-01-18,2765,2890,2740,2825,15899,52545.0,9300000.0
2008-01-21,2855,3140,2825,2890,29663,53754.0,9300000.0
2008-01-22,2880,2880,2635,2760,19321,51336.0,9300000.0
2008-01-23,2910,2920,2660,2705,14784,50313.0,9300000.0
2008-01-24,2675,2865,2675,2750,2949,51150.0,9300000.0
2008-01-25,2755,2895,2755,2755,5680,51243.0,9300000.0
2008-01-28,2700,3070,2620,2875,24476,53475.0,9300000.0
2008-01-29,3050,3050,2780,2925,6384,54405.0,9300000.0
2008-01-30,2950,3050,2700,2710,22672,50406.0,9300000.0
2008-01-31,2655,2710,2430,2505,84002,46593.0,9300000.0
2008-02-01,2510,2615,2430,2490,61799,46314.0,9300000.0
2008-02-04,2520,2715,2500,2675,27839,49755.0,9300000.0
2008-02-05,2675,2800,2675,2740,14877,50964.0,9300000.0
2008-02-11,2885,2885,2750,2825,3310,52545.0,9300000.0
2008-02-12,2950,2950,2670,2725,12796,50685.0,9300000.0
2008-02-13,2870,2870,2700,2710,4678,50406.0,9300000.0
2008-02-14,2770,2800,2655,2750,32910,51150.0,9300000.0
2008-02-15,2795,2795,2615,2700,5444,50220.0,9300000.0
2008-02-18,2585,2685,2585,2635,9098,49011.0,9300000.0
2008-02-19,2640,2685,2600,2645,13607,49197.0,9300000.0
2008-02-20,2550,2690,2550,2655,5307,49383.0,9300000.0
2008-02-21,2600,2695,2580,2630,13529,48918.0,9300000.0
2008-02-22,2600,2750,2600,2680,330380,49848.0,9300000.0
2008-02-25,2680,2835,2630,2750,59444,51150.0,9300000.0
2008-02-26,2705,2770,2680,2740,20041,50964.0,9300000.0
2008-02-27,2740,2790,2650,2730,80714,50778.0,9300000.0
2008-02-28,2850,3075,2690,2990,38443,55614.0,9300000.0
2008-02-29,3000,3000,2875,2985,13976,55521.0,9300000.0
2008-03-03,2990,3125,2830,3025,14306,56265.0,9300000.0
2008-03-04,2930,3445,2930,3185,91751,59241.0,9300000.0
2008-03-05,3400,3400,3100,3160,28862,58776.0,9300000.0
2008-03-06,3185,3290,3100,3230,9829,60078.0,9300000.0
2008-03-07,3100,3200,2765,3110,27200,57846.0,9300000.0
2008-03-10,3000,3145,3000,3125,15019,58125.0,9300000.0
2008-03-11,3275,3275,3025,3030,4190,56358.0,9300000.0
2008-03-12,3190,3190,3000,3050,22947,56730.0,9300000.0
2008-03-13,3050,3185,2985,3050,80451,56730.0,9300000.0
2008-03-14,3015,3125,3015,3100,8490,57660.0,9300000.0
2008-03-17,3100,3100,3005,3035,10850,56451.0,9300000.0
2008-03-18,3050,3250,3050,3125,56194,58125.0,9300000.0
