고영(098460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-06-03,4608,4986,4095,4586,2025288,53934.0,5236290.0
2008-06-04,4540,5253,4496,5254,1572216,61788.0,5236290.0
2008-06-05,5431,5832,5097,5343,2395424,62835.0,5236290.0
2008-06-09,5231,5587,5186,5566,488617,65454.0,5236290.0
2008-06-10,5654,5765,5431,5543,624990,65192.0,5236290.0
2008-06-11,5631,6366,5364,6144,616654,72261.0,5236290.0
2008-06-12,6144,6611,5988,6211,580558,73046.0,5236290.0
2008-06-13,6299,6388,6010,6144,287977,72261.0,5236290.0
2008-06-16,6232,6433,6077,6077,273572,71475.0,5236290.0
2008-06-17,5965,6277,5654,6234,361193,73308.0,5236290.0
2008-06-18,6210,6411,6054,6234,196385,73308.0,5236290.0
2008-06-19,6232,6433,5943,6144,186003,72261.0,5236290.0
2008-06-20,6144,6232,5787,6122,175767,71999.0,5236290.0
2008-06-23,6010,6232,5921,6033,153039,70952.0,5236290.0
2008-06-24,6054,6277,5988,6167,208445,72523.0,5236290.0
2008-06-25,6166,6188,5721,5899,171791,69381.0,5236290.0
2008-06-26,5921,6032,5587,5877,153003,69119.0,5236290.0
2008-06-27,5676,5899,5654,5833,78393,68595.0,5236290.0
2008-06-30,5832,6010,5342,5366,117454,63097.0,5236290.0
2008-07-01,5342,5587,5231,5366,122964,63097.0,5236290.0
2008-07-02,5476,5476,4875,4965,107213,58385.0,5236290.0
2008-07-03,4697,4875,4518,4586,160884,53934.0,5236290.0
2008-07-04,4719,4785,4385,4403,139972,51787.0,5236290.0
2008-07-07,4318,4407,3882,4002,259428,47422.0,5275000.0
2008-07-08,3962,4037,3405,3767,329122,44626.0,5275000.0
2008-07-09,3784,3962,3672,3767,137982,44626.0,5275000.0
2008-07-10,3632,3953,3601,3905,195607,46262.0,5275000.0
2008-07-11,3957,3984,3832,3958,54006,46895.0,5275000.0
2008-07-14,3957,4540,3957,4452,549778,52750.0,5275000.0
2008-07-15,4367,4452,4131,4190,148482,49638.0,5275000.0
2008-07-16,4340,4763,4233,4630,595060,54860.0,5275000.0
2008-07-17,4674,4808,4608,4675,265086,55388.0,5275000.0
2008-07-18,4741,5276,4585,4764,432682,56442.0,5275000.0
2008-07-21,4763,4963,4741,4898,108220,58025.0,5275000.0
2008-07-22,4919,4941,4452,4742,114616,56179.0,5275000.0
2008-07-23,4853,4897,4630,4808,122010,56970.0,5275000.0
2008-07-24,4919,5142,4674,5053,209944,59871.0,5275000.0
2008-07-25,5031,5053,4853,4853,116921,57498.0,5275000.0
2008-07-28,4919,4986,4741,4742,56923,56179.0,5275000.0
2008-07-29,4585,4919,4518,4808,85372,56970.0,5275000.0
2008-07-30,5053,5298,4941,5053,284250,59871.0,5275000.0
2008-07-31,5164,5409,5119,5321,322811,63036.0,5275000.0
2008-08-01,5276,5476,5231,5321,173392,63036.0,5275000.0
2008-08-04,5320,5386,5142,5298,179272,62772.0,5275000.0
2008-08-05,5253,5342,4919,4920,103651,58289.0,5275000.0
2008-08-06,5031,5164,4919,5031,108991,59608.0,5275000.0
2008-08-07,5075,5186,4808,4920,107770,58289.0,5275000.0
2008-08-08,4919,4986,4830,4831,87222,57234.0,5275000.0
2008-08-11,4919,5008,4853,4943,71767,58552.0,5275000.0
2008-08-12,5031,5053,4785,4786,77033,56706.0,5275000.0
2008-08-13,4763,4763,4447,4520,122501,53541.0,5275000.0
2008-08-14,4474,4853,4430,4764,142620,56442.0,5275000.0
2008-08-18,4697,4875,4652,4675,73079,55388.0,5275000.0
2008-08-19,4585,4674,4452,4608,56343,54596.0,5275000.0
2008-08-20,4540,4719,4540,4608,42402,54596.0,5275000.0
2008-08-21,4674,4986,4630,4853,202465,57498.0,5275000.0
2008-08-22,4941,5008,4719,4965,156323,58816.0,5275000.0
2008-08-25,5031,5253,4963,5143,231960,60926.0,5275000.0
2008-08-26,5075,5253,5008,5165,89317,61190.0,5275000.0
2008-08-27,5164,5431,5142,5298,249077,62772.0,5275000.0
2008-08-28,5276,5342,4941,5009,112232,59344.0,5275000.0
2008-08-29,5031,5253,4963,5254,71474,62245.0,5275000.0
2008-09-01,5164,5208,4474,4475,189064,53014.0,5275000.0
2008-09-02,4474,4630,3940,4110,234730,48688.0,5275000.0
2008-09-03,4047,4314,3895,4270,139315,50587.0,5275000.0
2008-09-04,4185,4403,4185,4230,88790,50112.0,5275000.0
2008-09-05,4100,4229,4055,4101,61635,48583.0,5275000.0
