케이비제11호스팩(258790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-04-27,1909,1909,1881,1891,281163,6356.0,3210000.0
2017-04-28,1890,1900,1886,1891,152313,6356.0,3210000.0
2017-05-02,1895,1952,1886,1900,171339,6388.0,3210000.0
2017-05-04,1924,1924,1895,1900,68635,6388.0,3210000.0
2017-05-08,1900,1914,1900,1900,14646,6388.0,3210000.0
2017-05-10,1909,1909,1900,1905,7680,6404.0,3210000.0
2017-05-11,1905,1905,1900,1900,9376,6388.0,3210000.0
2017-05-12,1900,1909,1890,1910,14981,6420.0,3210000.0
2017-05-15,1948,1948,1900,1905,246,6404.0,3210000.0
2017-05-16,1905,1905,1895,1896,16015,6372.0,3210000.0
2017-05-17,1900,1909,1900,1910,911,6420.0,3210000.0
2017-05-18,1905,1905,1905,1905,5420,6404.0,3210000.0
2017-05-19,1900,1909,1900,1900,12501,6388.0,3210000.0
2017-05-22,1900,1900,1895,1900,6153,6388.0,3210000.0
2017-05-23,1900,1900,1895,1896,4135,6372.0,3210000.0
2017-05-24,1900,1900,1895,1896,5917,6372.0,3210000.0
2017-05-25,1895,1905,1886,1891,10891,6356.0,3210000.0
2017-05-26,1890,1890,1876,1881,29852,6324.0,3210000.0
2017-05-29,1890,1905,1881,1881,741,6324.0,3210000.0
2017-05-30,1876,1900,1876,1881,281,6324.0,3210000.0
2017-05-31,1881,1890,1881,1886,373,6340.0,3210000.0
2017-06-01,1881,1886,1881,1881,1277,6324.0,3210000.0
2017-06-02,1900,1900,1881,1881,2,6324.0,3210000.0
2017-06-05,1881,1905,1881,1905,1445,6404.0,3210000.0
2017-06-07,1881,1905,1881,1886,138,6340.0,3210000.0
2017-06-08,1881,1900,1876,1900,4027,6388.0,3210000.0
2017-06-09,1881,1886,1881,1881,836,6324.0,3210000.0
2017-06-12,1905,1905,1886,1896,903,6372.0,3210000.0
2017-06-13,1881,1900,1881,1900,211,6388.0,3210000.0
2017-06-14,1900,1900,1886,1896,1367,6372.0,3210000.0
2017-06-15,1881,1900,1876,1881,2795,6324.0,3210000.0
2017-06-16,1881,1881,1881,1881,3978,6324.0,3210000.0
2017-06-19,1881,1886,1881,1881,1353,6324.0,3210000.0
2017-06-20,1876,1881,1876,1877,1140,6308.0,3210000.0
2017-06-21,1876,1881,1876,1877,1798,6308.0,3210000.0
2017-06-22,1876,1876,1876,1877,227,6308.0,3210000.0
2017-06-23,1890,1914,1890,1915,34948,6436.0,3210000.0
2017-06-26,1919,1919,1905,1910,11449,6420.0,3210000.0
2017-06-27,1914,1914,1914,1915,1,6436.0,3210000.0
2017-06-28,1890,1909,1890,1910,2851,6420.0,3210000.0
2017-06-29,1909,1986,1909,1920,52446,6452.0,3210000.0
2017-06-30,1924,2038,1924,1982,420746,6661.0,3210000.0
2017-07-03,2053,2105,1933,1939,346608,6516.0,3210000.0
2017-07-04,1948,1976,1919,1934,53807,6500.0,3210000.0
2017-07-05,1929,1929,1909,1924,90717,6468.0,3210000.0
2017-07-06,1919,1986,1914,1948,129786,6548.0,3210000.0
2017-07-07,1948,1948,1919,1939,6352,6516.0,3210000.0
2017-07-10,1924,1948,1914,1915,25000,6436.0,3210000.0
2017-07-11,1929,2015,1929,1929,205884,6484.0,3210000.0
2017-07-12,1957,2339,1948,2015,2924595,6773.0,3210000.0
2017-07-13,0,0,0,2015,0,6773.0,3210000.0
2017-07-14,0,0,0,2015,0,,
2017-07-17,0,0,0,2015,0,,
2017-07-18,0,0,0,2015,0,,
2017-07-19,0,0,0,2015,0,,
2017-07-20,0,0,0,2015,0,,
2017-07-21,0,0,0,2015,0,,
2017-07-24,0,0,0,2015,0,,
2017-07-25,0,0,0,2015,0,,
2017-07-26,0,0,0,2015,0,,
2017-07-27,0,0,0,2015,0,,
2017-07-28,0,0,0,2015,0,,
2017-07-31,0,0,0,2015,0,,
2017-08-01,0,0,0,2015,0,,
2017-08-02,0,0,0,2015,0,,
2017-08-03,0,0,0,2015,0,,
2017-08-04,0,0,0,2015,0,,
2017-08-07,0,0,0,2015,0,,
2017-08-08,0,0,0,2015,0,,
2017-08-09,0,0,0,2015,0,,
2017-08-10,0,0,0,2015,0,,
2017-08-11,0,0,0,2015,0,,
2017-08-14,0,0,0,2015,0,,
2017-08-16,0,0,0,2015,0,,
2017-08-17,0,0,0,2015,0,,
2017-08-18,0,0,0,2015,0,,
2017-08-21,0,0,0,2015,0,,
2017-08-22,0,0,0,2015,0,,
2017-08-23,0,0,0,2015,0,,
2017-08-24,0,0,0,2015,0,,
2017-08-25,0,0,0,2015,0,,
2017-08-28,0,0,0,2015,0,,
2017-08-29,0,0,0,2015,0,,
2017-08-30,0,0,0,2015,0,,
2017-08-31,0,0,0,2015,0,,
2017-09-01,0,0,0,2015,0,,
