인텔리안테크(189300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-10-18,18750,20650,16850,17050,3084113,122165.0,7165110.0
2016-10-19,16850,17050,15850,16150,432245,115717.0,7165110.0
2016-10-20,16350,19100,16250,17600,1588543,126106.0,7165110.0
2016-10-21,17700,20900,17000,19050,1955662,136495.0,7165110.0
2016-10-24,19100,20350,18600,19800,1285997,141869.0,7165110.0
2016-10-25,19550,19700,18200,18800,640995,134704.0,7165110.0
2016-10-26,19000,19600,17150,18150,589894,130047.0,7165110.0
2016-10-27,18100,18450,17350,17800,163118,127539.0,7165110.0
2016-10-28,17600,18200,17100,17100,132426,122523.0,7165110.0
2016-10-31,17000,17250,16050,16400,105154,117508.0,7165110.0
2016-11-01,16150,17200,16150,16250,88544,116433.0,7165110.0
2016-11-02,16250,16400,14950,15050,121515,107835.0,7165110.0
2016-11-03,15000,15500,14750,15050,85673,107835.0,7165110.0
2016-11-04,14950,15500,14550,15050,37518,107835.0,7165110.0
2016-11-07,15100,15400,14750,15050,40593,107835.0,7165110.0
2016-11-08,15350,16600,15250,16100,151456,115358.0,7165110.0
2016-11-09,16200,16750,14500,15100,126187,108193.0,7165110.0
2016-11-10,15550,16300,15350,16000,83107,114642.0,7165110.0
2016-11-11,15600,17450,15550,17300,136140,123956.0,7165110.0
2016-11-14,17250,17250,16550,17100,58740,122523.0,7165110.0
2016-11-15,16950,17800,16500,17650,80028,126464.0,7165110.0
2016-11-16,17950,18000,17300,17750,51076,127181.0,7165110.0
2016-11-17,17750,18500,17600,18000,104792,128972.0,7165110.0
2016-11-18,18150,18300,17500,17900,53290,128255.0,7165110.0
2016-11-21,17900,18200,17400,17800,23057,127539.0,7165110.0
2016-11-22,17650,18050,17450,17650,27141,126464.0,7165110.0
2016-11-23,17650,18150,16050,16400,115038,117508.0,7165110.0
2016-11-24,16050,16400,15800,16000,67350,114642.0,7165110.0
2016-11-25,15800,16300,15750,16200,13618,116075.0,7165110.0
2016-11-28,16250,16950,16200,16500,33374,118224.0,7165110.0
2016-11-29,16550,17350,16300,16400,63310,117508.0,7165110.0
2016-11-30,16600,17150,16350,16900,30573,121090.0,7165110.0
2016-12-01,16800,17300,16600,17000,20935,121807.0,7165110.0
2016-12-02,16700,16750,16000,16450,51120,117866.0,7165110.0
