모비스(250060),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-09-08,2065,2075,2029,2050,1014265,12772.0,6402000.0
2016-09-09,2060,2065,2055,2060,125778,12836.0,6402000.0
2016-09-12,2055,2065,2055,2055,9771,12804.0,6402000.0
2016-09-13,2060,2060,2055,2055,7442,12804.0,6402000.0
2016-09-19,2055,2060,2049,2055,38055,12804.0,6402000.0
2016-09-20,2055,2060,2050,2060,38206,12836.0,6402000.0
2016-09-21,2055,2055,2055,2055,1505,12804.0,6402000.0
2016-09-22,2055,2055,2049,2055,219,12804.0,6402000.0
2016-09-23,2050,2055,2050,2050,5308,12772.0,6402000.0
2016-09-26,2055,2060,2055,2055,11072,12804.0,6402000.0
2016-09-27,2049,2055,2049,2055,4271,12804.0,6402000.0
2016-09-28,2060,2060,2060,2060,1,12836.0,6402000.0
2016-09-29,2044,2060,2044,2055,376,12804.0,6402000.0
2016-09-30,2055,2060,2044,2055,6943,12804.0,6402000.0
2016-10-04,2055,2055,2049,2055,745,12804.0,6402000.0
2016-10-05,2055,2055,2044,2055,3748,12804.0,6402000.0
2016-10-06,2055,2060,2049,2055,2819,12804.0,6402000.0
2016-10-07,2055,2055,2050,2050,1067,12772.0,6402000.0
2016-10-10,0,0,0,2050,0,12772.0,6402000.0
2016-10-11,0,0,0,2050,0,,
2016-10-12,0,0,0,2050,0,,
2016-10-13,0,0,0,2050,0,,
2016-10-14,0,0,0,2050,0,,
2016-10-17,0,0,0,2050,0,,
2016-10-18,0,0,0,2050,0,,
2016-10-19,0,0,0,2050,0,,
2016-10-20,0,0,0,2050,0,,
2016-10-21,0,0,0,2050,0,,
2016-10-24,0,0,0,2050,0,,
2016-10-25,0,0,0,2050,0,,
2016-10-26,0,0,0,2050,0,,
2016-10-27,0,0,0,2050,0,,
2016-10-28,0,0,0,2050,0,,
2016-10-31,0,0,0,2050,0,,
2016-11-01,0,0,0,2050,0,,
2016-11-02,0,0,0,2050,0,,
2016-11-03,0,0,0,2050,0,,
2016-11-04,0,0,0,2050,0,,
2016-11-07,0,0,0,2050,0,,
2016-11-08,0,0,0,2050,0,,
2016-11-09,0,0,0,2050,0,,
2016-11-10,0,0,0,2050,0,,
2016-11-11,0,0,0,2050,0,,
2016-11-14,0,0,0,2050,0,,
2016-11-15,0,0,0,2050,0,,
2016-11-16,0,0,0,2050,0,,
2016-11-17,0,0,0,2050,0,,
2016-11-18,0,0,0,2050,0,,
2016-11-21,0,0,0,2050,0,,
2016-11-22,0,0,0,2050,0,,
2016-11-23,0,0,0,2050,0,,
2016-11-24,0,0,0,2050,0,,
2016-11-25,0,0,0,2050,0,,
2016-11-28,0,0,0,2050,0,,
2016-11-29,0,0,0,2050,0,,
2016-11-30,0,0,0,2050,0,,
2016-12-01,0,0,0,2050,0,,
2016-12-02,0,0,0,2050,0,,
2016-12-05,0,0,0,2050,0,,
2016-12-06,0,0,0,2050,0,,
2016-12-07,0,0,0,2050,0,,
2016-12-08,0,0,0,2050,0,,
2016-12-09,0,0,0,2050,0,,
2016-12-12,0,0,0,2050,0,,
2016-12-13,0,0,0,2050,0,,
2016-12-14,0,0,0,2050,0,,
2016-12-15,2050,2050,2010,2020,303218,12932.0,6402000.0
2016-12-16,1990,2020,1990,2010,79680,12868.0,6402000.0
2016-12-19,2000,2015,1995,2005,50081,12836.0,6402000.0
2016-12-20,2000,2010,1995,2005,68961,12836.0,6402000.0
2016-12-21,2000,2000,1995,1995,106451,12772.0,6402000.0
2016-12-22,1995,2000,1990,1990,18214,12740.0,6402000.0
2016-12-23,1985,2000,1985,2000,31259,12804.0,6402000.0
2016-12-26,2005,2005,1995,2005,88275,12836.0,6402000.0
2016-12-27,2000,2010,2000,2000,56199,12804.0,6402000.0
2016-12-28,2000,2000,1990,1990,517,12740.0,6402000.0
2016-12-29,1995,2000,1990,2000,24767,12804.0,6402000.0
2017-01-02,1990,2080,1990,1990,6765,12740.0,6402000.0
2017-01-03,1990,2010,1990,2000,13407,12804.0,6402000.0
2017-01-04,2005,2010,2000,2005,905,12836.0,6402000.0
2017-01-05,2005,2005,1990,2005,13584,12836.0,6402000.0
2017-01-06,2005,2005,1995,2005,2848,12836.0,6402000.0
2017-01-09,1995,2000,1995,2000,4504,12804.0,6402000.0
2017-01-10,1995,2000,1995,1995,24536,12772.0,6402000.0
2017-01-11,1995,2000,1995,2000,6210,12804.0,6402000.0
2017-01-12,1995,2000,1995,2000,7059,12804.0,6402000.0
2017-01-13,2000,2000,1995,1995,2274,12772.0,6402000.0
2017-01-16,1995,2000,1995,2000,8632,12804.0,6402000.0
2017-01-17,1995,1995,1990,1995,3420,12772.0,6402000.0
2017-01-18,1990,2000,1990,1995,3478,12772.0,6402000.0
2017-01-19,1990,2025,1990,2010,226283,12868.0,6402000.0
2017-01-20,2020,2080,1990,2035,444354,13028.0,6402000.0
2017-01-23,2035,2045,1990,2015,211858,12900.0,6402000.0
2017-01-24,2000,2005,1990,2005,47429,12836.0,6402000.0
2017-01-25,1990,2005,1945,2005,88173,12836.0,6402000.0
2017-01-26,2005,2005,1900,1935,193053,12388.0,6402000.0
2017-01-31,1910,1995,1910,1975,127135,12644.0,6402000.0
2017-02-01,1955,2005,1955,1980,22623,12676.0,6402000.0
2017-02-02,1985,2000,1955,1980,17781,12676.0,6402000.0
2017-02-03,1965,1980,1900,1955,57132,12516.0,6402000.0
2017-02-06,1910,1980,1910,1965,27571,12580.0,6402000.0
2017-02-07,1925,1980,1925,1940,47186,12420.0,6402000.0
2017-02-08,1930,1950,1920,1950,19357,12484.0,6402000.0
2017-02-09,1950,1975,1940,1975,38940,12644.0,6402000.0
2017-02-10,1980,1980,1950,1960,24146,12548.0,6402000.0
2017-02-13,1960,1995,1950,1990,9762,12740.0,6402000.0
2017-02-14,1955,1995,1955,1975,34344,12644.0,6402000.0
2017-02-15,1950,1990,1930,1940,53197,12420.0,6402000.0
2017-02-16,1930,1975,1930,1935,23866,12388.0,6402000.0
2017-02-17,1935,1950,1935,1945,6551,12452.0,6402000.0
2017-02-20,1940,1965,1940,1955,10239,12516.0,6402000.0
2017-02-21,1945,1975,1940,1955,6260,12516.0,6402000.0
2017-02-22,1970,1970,1895,1920,77037,12292.0,6402000.0
2017-02-23,1920,1950,1915,1940,10032,12420.0,6402000.0
2017-02-24,1925,1955,1905,1925,71370,12324.0,6402000.0
2017-02-27,1915,1935,1900,1915,54072,12260.0,6402000.0
2017-02-28,1915,2000,1915,1965,69336,12580.0,6402000.0
2017-03-02,1940,1970,1910,1925,95407,12324.0,6402000.0
2017-03-03,1925,1935,1905,1930,53792,12356.0,6402000.0
2017-03-06,1930,1940,1925,1935,15085,12388.0,6402000.0
2017-03-07,1925,1940,1920,1940,8371,12420.0,6402000.0
2017-03-08,1930,1955,1925,1945,3486,12452.0,6402000.0
2017-03-09,1985,1985,1925,1960,5422,12548.0,6402000.0
2017-03-10,1975,1985,1970,1985,13186,12708.0,6402000.0
2017-03-13,1970,1985,1935,1945,12121,12452.0,6402000.0
2017-03-14,1985,1985,1930,1930,20914,12356.0,6402000.0
2017-03-15,1935,1965,1935,1955,4972,12516.0,6402000.0
2017-03-16,1940,1975,1940,1975,16723,12644.0,6402000.0
2017-03-17,1985,2215,1940,2005,969066,12836.0,6402000.0
2017-03-20,2040,2100,1950,2025,339504,12964.0,6402000.0
2017-03-21,2060,2630,1895,2120,13935059,58157.0,27432427.0
2017-03-22,2130,2755,2015,2720,28954936,74616.0,27432427.0
2017-03-23,2585,2715,2465,2510,6394010,68855.0,27432427.0
2017-03-24,2490,2500,2245,2260,3898230,61997.0,27432427.0
2017-03-27,2235,2745,2215,2485,14846489,68170.0,27432427.0
2017-03-28,2450,3230,2340,3230,14281980,88607.0,27432427.0
2017-03-29,3380,3460,3045,3050,15443755,83669.0,27432427.0
2017-03-30,3125,3675,3020,3235,19541568,88744.0,27432427.0
2017-03-31,3145,3315,3145,3315,1278746,90938.0,27432427.0
2017-04-03,3250,3385,3250,3320,879346,93725.0,28230427.0
2017-04-04,3350,3555,3350,3400,1490622,95983.0,28230427.0
2017-04-05,3400,3455,3120,3270,2013092,92313.0,28230427.0
2017-04-06,3240,3270,2950,3060,1905596,86385.0,28230427.0
2017-04-07,3080,3605,2960,3255,6042934,91890.0,28230427.0
2017-04-10,3115,3560,3000,3215,4908850,90761.0,28230427.0
2017-04-11,3250,3260,3030,3175,1562655,89632.0,28230427.0
2017-04-12,3130,3225,3030,3055,1318031,86244.0,28230427.0
2017-04-13,3085,3390,3035,3100,4266452,87514.0,28230427.0
2017-04-14,3050,3105,2960,3030,1158365,85538.0,28230427.0
2017-04-17,3090,3145,3000,3040,920628,85820.0,28230427.0
2017-04-18,3055,3555,3055,3225,14996059,91043.0,28230427.0
2017-04-19,3300,3410,3100,3120,2991141,88079.0,28230427.0
2017-04-20,3110,3650,2995,3130,9465558,88361.0,28230427.0
2017-04-21,3155,3320,3045,3090,3139686,87232.0,28230427.0
2017-04-24,3130,3440,3085,3120,4537202,88079.0,28230427.0
